gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,Grüne,Linke,AfD,CSU,FDP,FW,PIRATEN,Tierschutzpartei,HEIMAT,FAMILIE,ÖDP,Die PARTEI,Volksabstimmung,BP,DKP,MLPD,SGP,TIERSCHUTZ hier!,Tierschutzallianz,Bündnis C,BIG,BGE,Die Direkte!,MERA25,III. Weg,Graue,Die Rechte,DVP,LIEBE,Die Frauen,WB,Menschliche Welt,NL,ÖkoLinX,PdH,PftT,Verjüngungsforschung,Volt
DE_09780137,Rettenberg,3455,2383,7,0,0,95,455,26,131,1055.0,59,368,9,22,3,9,52,24,0,20,0,0,0,2,3,0,0,3,4,5,0,2,0,1,0,0,5,3,0,1,1,2,3,13
DE_09780139,Sonthofen,16657,10067,45,0,0,798,2052,208,879,3763.0,282,1112,33,119,12,35,235,115,14,82,2,1,0,23,17,6,9,19,3,24,2,32,2,12,11,9,9,11,2,5,4,24,10,46
DE_09780140,Sulzberg,3945,2778,4,0,0,152,526,38,177,1121.0,75,423,12,24,4,13,76,39,3,26,0,0,0,3,6,10,0,14,2,2,0,2,0,2,1,2,2,2,0,0,0,6,2,9
DE_09780143,Waltenhofen,7219,4778,10,0,0,314,1058,75,318,1891.0,118,541,20,59,3,23,127,57,4,43,0,1,0,5,9,7,0,16,1,2,1,9,1,6,1,5,4,3,1,2,7,8,8,20
DE_09780144,Weitnau,4088,2623,8,0,0,137,411,59,234,1034.0,81,406,11,37,3,16,66,31,3,12,0,1,0,7,2,0,0,14,4,2,1,8,2,1,1,1,2,3,1,1,5,6,2,10
DE_09780145,Wertach,1879,1292,3,0,0,38,194,18,101,605.0,46,190,3,8,2,4,28,14,1,8,0,0,0,0,0,0,0,6,0,1,1,5,1,1,0,2,1,1,0,0,3,2,2,3
DE_09780146,Wiggensbach,3918,2566,8,0,0,147,519,47,159,985.0,97,341,6,34,5,7,82,23,1,24,0,0,0,6,1,6,0,13,3,8,0,5,0,0,1,3,3,0,0,3,4,5,3,17
DE_09780147,Wildpoldsried,2003,1389,3,0,0,71,237,18,73,644.0,24,185,2,14,3,3,44,23,0,7,0,0,0,2,4,4,0,5,1,3,0,1,1,0,2,0,2,0,0,0,3,2,1,7
DE_09780942,Briefwahl,0,577,1,0,0,19,102,2,28,288.0,18,87,0,2,0,2,11,5,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
DE_10041100,Saarbrücken,126498,74491,990,0,18081,15656,15218,5369,6107,0.0,3060,482,691,1242,284,627,681,2979,94,25,47,56,12,203,106,26,48,109,27,351,24,273,39,60,77,128,68,66,31,108,142,188,85,631
DE_10041511,Friedrichsthal,8319,4691,103,0,1268,1126,515,344,577,0.0,185,61,37,105,15,64,22,117,11,1,0,3,0,11,7,1,1,3,6,3,0,24,5,2,7,6,6,5,0,1,9,25,9,6
DE_10041512,Großrosseln,6500,4744,114,0,1546,1370,397,211,505,0.0,111,32,32,114,30,49,12,51,7,7,0,3,0,33,13,1,3,1,2,4,0,18,2,3,4,8,2,5,0,4,2,21,10,17
DE_10041513,Heusweiler,14887,10564,231,0,3580,2375,1157,549,933,0.0,580,69,69,208,31,137,89,226,16,7,0,7,0,37,15,2,10,8,5,20,3,37,5,11,18,20,17,9,4,4,8,35,12,20
DE_10041514,Kleinblittersdorf,9150,6458,155,0,2088,1490,835,371,508,0.0,259,55,43,129,24,93,46,139,12,2,5,2,1,27,11,1,3,10,2,11,3,25,8,5,7,7,5,7,1,6,4,22,11,25
DE_10041515,Püttlingen,15380,10735,163,0,4017,2391,1169,640,923,0.0,292,118,68,172,26,109,58,246,14,10,7,1,3,31,20,6,4,7,2,19,4,31,6,7,18,19,10,8,7,6,9,24,19,51
DE_10041516,Quierschied,10696,7090,144,0,2260,1507,866,394,706,0.0,230,183,41,146,30,84,53,155,10,1,2,4,0,42,16,4,4,5,0,15,2,32,3,5,12,11,6,10,6,4,25,30,14,28
DE_10041517,Riegelsberg,11837,8362,121,0,2730,1976,1131,493,697,0.0,318,53,59,144,22,97,51,198,7,5,0,3,0,29,16,4,4,4,5,17,3,31,2,4,11,11,9,5,4,7,10,24,15,42
DE_10041518,Sulzbach/Saar,12613,7533,154,0,2280,1617,793,469,903,0.0,233,314,55,141,46,106,30,160,9,5,4,6,2,18,16,4,20,3,4,8,5,27,2,2,11,5,6,8,2,1,7,28,9,20
DE_10041519,Völklingen,27363,14883,296,0,3812,3710,1422,1149,1740,0.0,512,226,97,358,103,192,80,341,36,8,4,8,10,123,25,12,158,17,9,14,3,86,11,17,25,39,6,13,3,7,30,74,42,65
DE_10042111,Beckingen,12188,8399,190,0,2712,2067,831,621,800,0.0,272,58,61,170,28,90,24,178,15,5,0,2,1,41,13,3,1,6,6,12,0,38,3,8,6,16,7,5,3,7,12,39,9,39
DE_10042112,Losheim am See,12813,9176,224,0,3365,2114,1020,472,723,0.0,315,67,39,162,28,96,35,184,21,11,3,2,0,34,23,7,2,10,2,11,1,46,3,6,14,14,17,10,2,9,2,33,19,30
DE_10042113,Merzig,23078,15203,326,0,5299,3198,1856,917,1365,0.0,610,165,128,270,35,150,86,348,18,5,2,1,1,55,20,11,6,7,7,12,4,61,7,9,15,19,15,16,4,7,14,64,24,46
DE_10042114,Mettlach,8886,6343,169,0,2465,1270,664,323,511,0.0,292,78,28,109,22,61,29,111,11,5,1,3,3,27,10,20,1,6,1,5,1,14,4,5,6,7,12,6,0,1,8,27,12,15
DE_10042115,Perl,4478,3473,63,0,1351,710,537,119,200,0.0,169,28,20,56,9,28,25,58,4,1,1,0,0,13,6,1,0,1,3,6,1,8,1,3,2,2,1,3,0,3,5,5,8,22
DE_10042116,Wadern,12721,9222,239,0,3401,2153,1018,395,796,0.0,311,92,53,147,19,102,43,140,17,9,2,1,3,47,17,7,3,8,3,9,1,32,4,12,14,16,8,16,0,6,8,27,16,27
DE_10042117,Weiskirchen,5118,3406,92,0,1301,645,364,141,397,0.0,118,46,19,53,10,38,12,51,2,4,1,0,0,10,4,1,0,3,0,5,0,22,2,6,4,5,1,2,0,4,5,20,4,14
DE_10043111,Eppelborn,14071,10385,259,0,4458,1981,1035,457,885,0.0,312,65,51,174,31,132,21,204,15,6,2,3,0,23,12,5,3,9,5,5,3,43,5,8,16,9,23,6,0,7,8,34,26,44
DE_10043112,Illingen,13683,9863,216,0,3709,2253,1057,495,828,0.0,326,59,57,199,20,114,42,195,19,1,1,7,1,25,20,2,1,5,1,24,2,48,2,10,8,16,9,14,1,10,9,29,12,16
DE_10043113,Merchweiler,8358,5452,112,0,1751,1268,640,362,548,0.0,169,38,34,100,21,96,25,116,12,3,1,1,0,11,8,4,2,2,2,4,1,22,1,5,12,5,5,6,2,3,6,24,10,20
DE_10043114,Neunkirchen,33760,18870,403,0,4748,5374,1976,1277,2302,0.0,699,109,115,404,78,193,70,477,30,12,7,23,0,77,36,21,6,10,15,22,5,83,16,13,20,22,18,21,3,7,28,65,37,48
DE_10043115,Ottweiler,11632,7965,198,0,2453,1850,947,504,862,0.0,248,76,58,186,19,79,31,189,9,4,3,5,1,23,5,0,1,4,6,9,1,49,5,7,7,11,4,7,3,2,8,40,13,38
DE_10043116,Schiffweiler,12900,8586,154,0,2311,2566,836,591,836,0.0,299,69,52,180,43,109,23,225,13,7,3,5,0,30,14,5,3,5,4,11,0,58,3,3,20,14,5,10,4,1,5,28,10,31
DE_10043117,Spiesen-Elversberg,10645,7243,174,0,2113,1688,726,549,854,0.0,279,75,67,153,22,134,19,140,18,2,1,0,1,33,19,2,1,6,4,7,3,28,7,3,7,16,8,6,1,3,2,31,17,24
DE_10044111,Dillingen/Saar,14550,8936,179,0,3154,1851,919,675,904,0.0,290,33,91,187,18,76,42,208,10,3,5,7,0,34,13,1,37,5,4,12,1,28,8,10,3,15,8,7,3,6,6,33,15,35
DE_10044112,Lebach,14616,10453,254,0,4081,1942,1149,525,889,0.0,466,56,71,191,26,167,40,224,17,7,3,2,2,24,21,6,0,9,11,9,3,56,11,9,14,17,8,20,2,6,6,45,25,39
DE_10044113,Nalbach,7366,5388,131,0,1692,1360,520,315,591,0.0,160,44,40,143,7,68,18,97,10,7,0,0,0,24,15,0,7,6,1,3,1,28,2,4,5,6,2,5,2,2,7,28,14,23
DE_10044114,Rehlingen-Siersburg,11768,8427,175,0,2674,2283,1016,430,644,0.0,266,55,62,172,13,76,39,222,9,5,7,2,1,35,21,0,2,6,2,13,1,53,3,8,9,18,9,7,1,5,9,26,19,29
DE_10044115,Saarlouis,26891,16340,273,0,5178,3611,2424,897,1491,0.0,680,140,128,399,38,121,53,388,26,6,6,3,2,64,14,4,6,9,4,29,2,67,14,12,12,25,14,23,2,7,28,48,33,59
DE_10044116,Saarwellingen,10750,7102,210,0,2442,1666,804,411,612,0.0,197,88,52,115,17,68,35,165,6,5,3,0,1,39,10,2,2,2,3,7,2,24,1,3,6,19,0,5,1,2,9,26,10,32
DE_10044117,Schmelz,12695,9217,246,0,2977,2468,850,483,899,0.0,302,75,69,164,20,111,27,187,19,6,5,1,2,34,24,12,16,6,7,3,0,45,3,5,9,14,8,10,3,7,14,39,19,28
DE_10044118,Schwalbach,14257,9646,230,0,3304,1942,1071,636,952,0.0,326,161,62,204,38,128,39,222,17,7,2,4,1,48,19,1,2,13,1,11,1,35,6,7,9,16,9,9,1,7,15,33,21,36
DE_10044119,Überherrn,9411,6503,190,0,2012,1634,715,320,697,0.0,189,48,59,157,21,68,16,151,13,4,3,2,2,20,14,2,3,5,2,8,0,22,3,6,10,7,3,8,1,4,7,32,20,25
DE_10044120,Wadgassen,14014,9405,228,0,2744,2542,1071,516,917,0.0,357,82,53,199,29,127,28,196,12,5,2,1,2,48,11,4,15,6,0,8,3,41,3,6,11,18,4,10,1,8,14,34,16,33
DE_10044121,Wallerfangen,7406,5370,137,0,1597,1215,568,375,596,0.0,176,107,39,164,15,54,30,105,12,5,1,2,1,26,11,0,2,6,3,7,3,26,6,5,2,11,8,3,0,2,1,21,6,22
DE_10044122,Bous,5197,3589,115,0,1061,775,483,264,337,0.0,113,43,33,79,10,52,12,79,7,0,2,0,0,18,8,3,4,3,1,5,2,20,1,3,3,9,4,6,0,1,2,20,7,4
DE_10044123,Ensdorf,4790,3255,73,0,1086,699,381,199,296,0.0,105,51,14,91,6,45,12,61,16,2,3,1,1,13,4,1,8,0,1,4,6,14,3,4,1,7,2,2,3,1,0,16,8,15
DE_10045111,Bexbach,14432,9489,239,0,2778,2185,1020,581,1146,0.0,345,128,35,228,32,168,43,227,19,4,2,0,0,43,22,4,3,10,3,16,0,46,6,3,13,19,5,12,5,3,7,40,14,35
DE_10045112,Blieskastel,17290,12973,297,0,3840,2895,1805,701,1467,0.0,434,127,85,291,37,229,69,281,22,11,0,2,1,37,18,7,2,12,9,21,2,53,11,11,14,21,13,17,5,5,12,51,24,34
DE_10045113,Gersheim,5228,4119,107,0,1402,855,560,188,436,0.0,112,36,12,74,11,65,15,81,11,9,2,1,0,15,9,5,1,8,1,6,2,22,2,0,3,6,4,9,2,0,2,28,4,13
DE_10045114,Homburg,31022,19899,383,0,5840,3774,2997,1213,2482,0.0,880,346,121,338,56,239,93,440,30,12,4,10,2,70,32,21,13,11,6,42,6,82,12,15,15,27,14,9,7,5,23,66,36,127
DE_10045115,Kirkel,8238,5827,87,0,1428,1542,1018,281,483,0.0,286,55,36,114,7,70,39,177,7,3,0,0,0,13,10,11,5,2,2,10,1,18,3,2,7,10,5,6,2,4,7,25,8,43
DE_10045116,Mandelbachtal,9011,6892,143,0,2307,1471,941,283,631,0.0,242,83,29,129,17,134,46,192,14,7,2,2,0,28,18,7,1,13,0,8,2,30,2,3,10,8,14,5,3,1,10,27,14,15
DE_10045117,St.Ingbert,28616,19771,393,0,6473,3756,2732,1018,1911,0.0,806,256,119,378,39,573,121,503,30,21,7,3,1,65,35,20,8,16,7,49,3,81,16,13,20,33,20,15,6,13,19,70,38,84
DE_10046111,Freisen,6610,5215,126,0,1876,1485,407,177,421,0.0,101,221,23,84,20,52,15,82,8,3,0,0,0,21,4,0,0,5,0,6,2,12,5,1,4,9,4,3,2,3,3,12,7,11
DE_10046112,Marpingen,8623,6573,168,0,2438,1791,738,288,412,0.0,154,49,32,92,20,73,14,151,7,3,1,3,1,12,5,3,0,6,0,4,1,23,2,1,8,19,1,2,2,1,2,16,9,21
DE_10046113,Namborn,5873,4117,128,0,1432,874,395,230,391,0.0,106,119,26,65,12,63,33,95,7,1,1,0,1,15,10,0,2,8,1,3,1,21,2,2,10,9,2,5,0,2,8,23,2,12
DE_10046114,Nohfelden,8157,6203,167,0,2342,1634,542,273,459,0.0,175,81,34,108,14,58,16,102,9,6,2,2,1,30,6,3,1,2,1,4,2,25,1,5,8,8,7,4,2,5,8,30,14,12
DE_10046115,Nonnweiler,7010,5321,132,0,1914,1549,466,188,453,0.0,170,38,36,92,9,68,6,76,7,8,1,1,4,14,8,0,0,2,0,3,1,18,1,1,4,10,3,5,0,0,3,11,6,13
DE_10046116,Oberthal,4941,3720,121,0,1507,854,342,146,299,0.0,97,39,13,70,10,43,18,57,1,2,0,0,0,14,3,0,0,1,0,0,0,16,3,0,5,6,2,6,0,1,5,12,13,14
DE_10046117,St.Wendel,21149,15120,341,0,5823,2892,1939,666,1255,0.0,522,144,94,251,35,159,94,411,21,3,1,5,1,45,28,8,0,12,5,28,5,63,15,12,14,19,23,16,5,9,15,55,25,61
DE_10046118,Tholey,9967,7533,213,0,3396,1283,875,294,480,0.0,216,60,41,127,14,137,29,187,8,2,1,1,1,17,8,5,5,2,2,8,1,33,2,8,5,5,1,13,1,0,5,19,7,21
DE_11000000,Briefwahl für mehrere Gemeinden,2508435,1520678,13321,0,229352,211717,419377,179943,149177,0.0,71576,8109,12422,29702,3183,9743,8893,72846,2202,1049,2439,1016,431,4902,3130,1462,4303,2837,1194,18675,511,13487,664,1385,1613,2632,1713,1939,928,4380,3410,3326,3709,17980
DE_12051000,Brandenburg an der Havel,58801,28624,440,0,5517,5007,3886,3278,4909,0.0,1031,907,161,540,125,427,114,745,67,26,64,22,8,127,90,28,14,57,20,74,30,203,31,36,48,85,26,45,12,24,55,75,126,144
DE_12052000,"Cottbus, Stadt",78559,45012,717,0,7179,7057,4327,5576,10911,0.0,2180,686,313,712,287,719,185,1366,127,45,118,58,6,189,141,69,21,118,46,143,36,331,46,47,57,186,67,84,24,65,81,185,258,249
DE_12053000,Frankfurt (Oder),44982,22986,341,0,3817,3168,2535,4177,4698,0.0,974,309,133,306,112,327,58,739,74,22,55,44,1,79,71,26,11,60,19,82,12,160,22,14,30,85,30,34,12,12,35,80,129,93
DE_12054000,Potsdam,135094,86270,719,0,10733,15230,19813,12502,9322,0.0,3698,674,580,1696,179,906,523,4229,140,54,218,87,22,302,226,87,32,181,88,681,65,480,55,89,111,227,113,115,58,255,180,232,237,1131
DE_12060005,Ahrensfelde,11349,7637,142,0,1384,1002,833,1177,1527,0.0,333,261,32,138,38,137,29,196,13,6,28,3,1,29,17,5,1,7,8,27,8,66,7,4,13,26,15,13,2,6,11,30,39,23
DE_12060012,Althüttendorf,545,315,11,0,82,40,25,36,55,0.0,21,4,4,8,3,6,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,6,0
DE_12060020,Bernau bei Berlin,32068,18616,267,0,2688,2442,2296,3286,3357,0.0,563,1326,144,333,96,280,68,536,42,14,70,11,5,61,58,13,4,28,12,65,14,133,22,11,32,40,16,26,7,15,32,50,78,75
DE_12060024,Biesenthal,4861,2303,40,0,409,302,278,335,437,0.0,63,137,12,46,20,39,7,63,2,2,3,0,2,16,7,1,0,4,2,14,1,11,2,0,2,3,4,2,0,6,1,9,8,13
DE_12060034,Breydin,647,361,8,0,53,60,31,35,82,0.0,16,12,2,9,5,10,1,9,3,1,0,0,0,5,2,0,0,0,0,2,0,3,1,0,0,2,0,1,0,0,0,2,4,2
DE_12060036,Britz,1809,858,17,0,178,142,88,91,199,0.0,32,12,4,12,4,16,3,20,0,1,0,0,0,3,5,0,0,0,1,0,1,1,0,1,1,5,1,4,1,0,1,4,8,2
DE_12060045,Chorin,1925,1009,21,0,227,162,143,109,169,0.0,30,18,1,14,9,20,5,24,0,3,5,0,0,3,2,2,2,1,3,7,0,6,3,1,2,1,0,1,0,2,1,2,9,1
DE_12060052,Eberswalde,32883,15294,247,0,2189,2639,1895,2189,2879,0.0,618,258,66,317,75,259,124,602,53,14,38,5,8,62,49,31,7,44,20,90,13,92,21,18,22,45,8,28,4,48,24,61,63,69
DE_12060068,Friedrichswalde,701,359,15,0,131,40,34,34,57,0.0,13,3,1,2,3,3,2,8,0,0,1,0,0,1,0,0,0,0,1,3,0,1,0,0,1,1,0,0,0,0,0,1,2,1
DE_12060092,Hohenfinow,430,232,7,0,27,33,19,24,65,0.0,7,13,0,6,1,5,3,8,1,0,1,0,0,1,1,0,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,3
DE_12060100,Joachimsthal,2770,1022,30,0,235,153,89,110,231,0.0,32,13,5,25,15,15,0,9,1,3,2,0,1,4,1,0,0,1,1,0,3,6,3,1,1,3,0,1,0,0,3,7,12,6
DE_12060128,Liepe,589,267,10,0,43,41,17,28,75,0.0,19,1,4,3,2,3,0,4,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,3,2,1
DE_12060149,Lunow-Stolzenhagen,1013,483,19,0,79,81,34,55,149,0.0,11,9,2,6,6,6,3,4,1,1,1,0,0,0,2,0,0,0,0,1,0,3,2,0,0,3,0,1,0,0,2,1,0,1
DE_12060154,Marienwerder,1488,863,19,0,150,131,84,113,212,0.0,31,18,4,27,4,17,0,9,2,2,0,0,0,4,3,1,0,2,0,0,1,8,1,0,2,2,0,2,1,1,1,4,5,2
