gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,PDS,REP,Graue,Tierschutzpartei,HEIMAT,ÖDP,PBC,Die Frauen,BP,FAMILIE,CM,BüSo,HP,DVP,AUFBRUCH,DZP,KPD,PRG,PRO
DE_16063009,Brunnhartshausen,339,256,4,0,61,148,0,8,12,16,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_16063011,Buttlar,1133,901,8,0,175,614,0,20,39,21,11,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6
DE_16063013,Creuzburg,2228,1534,25,0,690,394,0,63,89,207,13,3,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,31
DE_16063014,Dankmarshausen,955,688,13,0,282,230,0,12,49,84,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9
DE_16063015,Dermbach,2785,1925,35,0,604,846,0,54,120,206,13,5,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,30
DE_16063016,Diedorf/Rhön,346,250,4,0,71,96,0,5,24,41,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_16063017,Dippach,1042,727,10,0,369,177,0,16,33,93,6,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10
DE_16063018,Dorndorf,2441,1743,42,0,744,449,0,63,91,260,23,5,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,26
DE_16063019,Ebenshausen,255,172,2,0,86,34,0,6,17,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_16063023,Empfertshausen,557,413,6,0,116,171,0,14,27,58,5,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_16063024,Ettenhausen a.d.Suhl,389,311,9,0,123,100,0,6,31,35,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_16063026,Fischbach/Rhön,528,373,10,0,129,125,0,14,19,65,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_16063028,Frankenroda,322,220,4,0,101,45,0,14,11,32,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
