gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,Linke,PRO,REP,HEIMAT,Tierschutzpartei,Graue,PBC,Die Frauen,FAMILIE,BüSo,BP,DZP,Volksabstimmung,AGFG,APPD,50Plus,MLPD,Die PARTEI,SGP,Pro DM
DE_05966016,Kirchhundem,9695,7769,96,0,2363,3902,0,301,670,229,0,50,59,38,10,3,0,27,3,0,4,10,0,0,0,0,0,4,0
DE_05966020,Lennestadt,20612,16006,173,0,6006,7033,0,619,1238,553,0,131,86,49,32,6,0,59,0,0,4,9,0,0,0,5,0,3,0
DE_05966024,Olpe,18653,14996,99,0,3920,7937,0,636,1734,368,0,53,69,41,38,15,0,43,3,0,12,16,0,0,0,6,0,6,0
DE_05966028,Wenden,15025,12325,149,0,2981,6877,0,458,1193,356,0,50,100,54,15,16,0,49,1,0,4,17,0,0,0,3,0,2,0
DE_05970004,Bad Berleburg,16434,12850,176,0,5544,4668,0,492,953,593,0,102,114,68,31,28,0,58,3,0,4,14,0,0,0,1,0,1,0
DE_05970008,Burbach,11219,8632,122,0,2820,3608,0,355,911,355,0,91,102,44,18,165,0,27,3,0,0,9,0,0,0,0,0,2,0
DE_05970012,Erndtebrück,6019,4727,47,0,2024,1696,0,184,415,198,0,29,51,30,10,9,0,19,1,0,5,8,0,0,0,0,0,1,0
DE_05970016,Freudenberg,14181,11361,127,0,4239,4206,0,611,1176,554,0,79,81,66,17,132,0,46,2,0,3,16,0,0,0,1,0,5,0
DE_05970020,Hilchenbach,12275,9731,98,0,4094,3134,0,638,978,436,0,72,60,75,28,56,0,33,5,0,7,12,0,0,0,3,0,2,0
DE_05970024,Kreuztal,23623,18505,208,0,8058,5781,0,1176,1711,951,0,110,122,105,52,106,0,74,6,0,7,28,0,0,0,1,0,9,0
DE_05970028,Bad Laasphe,11776,9167,124,0,3923,3076,0,378,856,494,0,62,92,53,22,26,0,37,2,0,2,15,0,0,0,1,0,4,0
DE_05970032,Netphen,18731,15449,183,0,4919,6899,0,846,1398,670,0,121,75,85,34,88,0,83,10,0,6,18,0,0,0,5,0,9,0
DE_05970036,Neunkirchen,10306,7641,93,0,2977,2746,0,320,754,348,0,102,64,43,16,132,0,31,2,0,1,5,0,0,0,2,0,5,0
DE_05970040,"Siegen, Stadt",78099,59396,718,0,23182,20003,0,4120,5416,3694,0,504,377,363,169,501,0,214,25,0,18,62,0,0,0,19,0,11,0
