gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,Linke,Grüne,CSU,FDP,AfD,PIRATEN,HEIMAT,FW,Tierschutzpartei,ÖDP,Die PARTEI,BP,Volksabstimmung,PDV,MLPD,BüSo,SGP,Die Rechte,Tierschutzallianz,B*,DKP,Graue,du.,GART,Menschliche Welt,Verjüngungsforschung,V-Partei³,Bündnis C,Die Einheit,DVP,FAMILIE,Die Frauen,Mieterpartei,NL,UNABHÄNGIGE
DE_14730340,Wiedemar,4310,2727,34,0,930,434,366,70,0,182,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730360,Zschepplin,2360,1500,9,0,542,187,219,38,0,89,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_14730999,Briefwahl für mehrere Gemeinden,0,21310,227,0,7600,2876,3957,736,0,1464,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_15001000,Dessau-Roßlau,68441,39165,693,0,11832,4944,7006,2510,0,2171,8558,0,323,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264
DE_15001999,Briefwahl für mehrere Gemeinden,0,8568,90,0,2934,1016,1556,852,0,601,1270,0,28,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
DE_15002000,Halle (Saale),186409,99689,1636,0,25035,21127,20171,3493,0,6395,18327,0,0,1637,0,0,1465,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_15002999,Briefwahl für mehrere Gemeinden,0,32097,267,0,8686,7928,7075,1537,0,2170,3271,0,0,485,0,0,558,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_15003000,Magdeburg,190332,100392,1562,0,25403,20727,19526,3936,0,6426,16465,0,533,1093,0,0,0,0,0,0,313,0,0,0,2655,0,0,0,0,1753,0,0,0,0,0,0,0,0,0,0,0
DE_15003999,Briefwahl für mehrere Gemeinden,0,31704,229,0,9008,7069,6095,1913,0,2662,2933,0,69,333,0,0,0,0,0,0,93,0,0,0,721,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
DE_15081026,"Apenburg-Winterfeld, Flecken",1374,938,12,0,376,184,127,35,0,46,132,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
DE_15081030,Arendsee (Altmark),5623,3237,59,0,1086,609,694,110,0,192,427,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
DE_15081045,Beetzendorf,2717,1500,21,0,505,259,282,86,0,65,240,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
DE_15081095,Dähre,1230,759,10,0,291,146,118,28,0,38,118,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_15081105,Diesdorf,1906,1136,17,0,433,240,176,29,0,56,160,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
DE_15081135,Gardelegen,18934,11011,191,0,3669,2024,2042,324,0,695,1786,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
DE_15081225,Jübar,1372,922,9,0,341,222,107,25,0,39,161,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
DE_15081240,Kalbe (Milde),6342,3625,51,0,1237,653,711,197,0,193,505,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
DE_15081280,Klötze,8731,5254,76,0,1931,1077,863,100,0,303,787,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
DE_15081290,Kuhfelde,894,560,7,0,204,102,86,25,0,33,90,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_15081440,Rohrberg,909,580,9,0,182,108,117,18,0,32,104,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_15081455,Salzwedel,19844,10601,150,0,3416,1921,2302,370,0,551,1707,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
DE_15081545,Wallstawe,749,483,8,0,179,96,63,21,0,32,75,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_15081999,Briefwahl für mehrere Gemeinden,0,7182,60,0,2666,1287,1342,379,0,433,813,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
DE_15082005,Aken (Elbe),6633,4008,65,0,1260,485,861,84,0,286,813,0,30,104,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_15082015,Bitterfeld-Wolfen,33835,17839,318,0,5233,2289,3516,309,0,795,4783,0,93,403,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
