gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,AfD,FDP,Linke,Grüne,CSU,FW,Die PARTEI,Tierschutzpartei,HEIMAT,PIRATEN,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Graue,BüSo,PdH,GART,du.,dieBasis,Bündnis C,pro Deutschland,III. Weg,BÜNDNIS21,LIEBE,WB,SSW,Team Todenhöfer,UNABHÄNGIGE,Volt,Volksabstimmung,B*,Others,FAMILIE,KlimalisteBW,THP
DE_01051074,Meldorf,5823,2966,42,0,757,981,220,380,120,358,0,51,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DE_01051075,Neuenkirchen,761,466,2,0,136,142,62,54,6,35,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
DE_01051076,Neufeld,487,268,2,0,79,84,26,37,8,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051077,Neufelderkoog,102,78,1,0,40,6,3,16,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051078,Nindorf,939,570,8,0,164,171,45,98,13,60,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051079,Norddeich,397,209,7,0,71,59,14,16,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0
DE_01051080,Norderheistedt,111,64,0,0,29,17,5,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DE_01051081,Norderwöhrden,201,104,2,0,50,17,4,18,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051082,Nordhastedt,2255,1334,21,0,401,396,120,136,23,149,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,54,0,0,0,0,0,0,0,0,0
DE_01051083,Odderade,264,166,7,0,49,47,20,29,4,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051084,Oesterdeichstrich,192,105,0,0,36,32,8,14,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
DE_01051085,Offenbüttel,212,149,4,0,61,17,11,27,5,16,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051086,Osterrade,340,188,2,0,62,55,18,22,4,20,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051087,Ostrohe,753,461,3,0,144,145,41,51,9,39,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0
DE_01051088,Pahlen,959,542,6,0,211,132,67,48,20,34,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0
DE_01051089,Quickborn,156,100,1,0,26,18,13,23,2,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051090,Ramhusen,129,75,3,0,32,11,9,16,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051092,Rehm-Flehde-Bargen,441,256,0,0,79,84,28,16,4,27,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0
DE_01051093,Reinsbüttel,359,216,3,0,57,56,16,34,6,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0
DE_01051096,Sankt Annen,259,160,1,0,55,41,15,13,7,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
DE_01051097,Sankt Michaelisdonn,2897,1603,14,0,483,521,167,201,40,119,0,34,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DE_01051098,Sarzbüttel,614,375,2,0,108,116,42,42,21,30,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051099,Schafstedt,1071,696,8,0,242,171,68,122,10,55,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE_01051100,Schalkholz,502,301,2,0,105,65,35,37,8,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0
DE_01051102,Schlichting,191,108,1,0,44,20,4,17,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
DE_01051103,Schmedeswurth,143,104,2,0,32,33,4,15,3,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051105,Schülp,320,184,0,0,55,53,17,29,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0
DE_01051107,Stelle-Wittenwurth,378,188,4,0,55,57,19,22,9,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
DE_01051108,Strübbel,85,61,3,0,26,9,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
DE_01051109,Süderdeich,367,194,1,0,52,63,19,21,6,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
