gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,Grüne,FDP,AfD,CSU,Linke,FW,Tierschutzpartei,dieBasis,Die PARTEI,Team Todenhöfer,PIRATEN,Volt,ÖDP,SSW,Verjüngungsforschung,PdH,Bündnis C,BP,MLPD,Menschliche Welt,PdF,SGP,BüSo,BD,BSW,MERA25,WU
DE_07336010,Breitenbach,1466,766,15,0,155,170,55,30,225,0,43,13,14,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,39,0,0
DE_07336011,Brücken (Pfalz),1648,758,10,0,124,214,42,26,255,0,33,6,8,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,34,0,0
DE_07336012,Buborn,143,82,1,0,16,26,5,2,17,0,7,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_07336013,Cronenberg,125,69,3,0,10,12,1,0,34,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
DE_07336014,Deimberg,81,56,0,0,11,15,1,3,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
DE_07336015,Dennweiler-Frohnbach,240,141,3,0,36,22,12,9,33,0,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
DE_07336016,Dittweiler,674,361,6,0,65,69,14,13,134,0,21,1,8,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0
DE_07336017,Dunzweiler,693,334,8,0,57,59,16,11,124,0,24,4,5,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,18,0,0
DE_07336018,Ehweiler,126,92,1,0,13,34,7,0,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
DE_07336019,Einöllen,335,167,5,0,38,39,9,0,60,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
DE_07336021,Elzweiler,87,61,1,0,11,9,1,1,22,0,3,2,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0
DE_07336022,Erdesbach,460,236,2,0,53,61,6,3,76,0,7,7,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
DE_07336023,Eßweiler,308,149,3,0,28,20,6,2,65,0,4,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
DE_07336024,Etschberg,510,243,2,0,77,65,16,4,40,0,11,12,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
DE_07336025,Föckelberg,281,138,3,0,32,24,7,2,41,0,6,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
DE_07336027,Frohnhofen,378,201,1,0,47,46,4,3,70,0,5,11,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0
DE_07336029,Ginsweiler,239,119,1,0,25,32,7,6,40,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_07336030,Glanbrücken,405,203,0,0,51,45,7,2,62,0,18,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
DE_07336031,Glan-Münchweiler,930,417,4,0,86,122,34,13,112,0,16,8,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
DE_07336032,Gries,788,354,10,0,74,53,12,8,129,0,26,14,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
DE_07336033,Grumbach,381,162,4,0,34,41,4,5,44,0,8,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
DE_07336034,Haschbach am Remigiusberg,546,269,0,0,52,70,18,9,74,0,15,6,6,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0
DE_07336036,Hefersweiler,417,214,2,0,50,52,15,4,64,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
DE_07336037,Henschtal,253,141,5,0,25,29,7,9,43,0,6,9,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
