gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,PDS,REP,Graue,Tierschutzpartei,HEIMAT,ÖDP,PBC,Die Frauen,BP,FAMILIE,CM,BüSo,HP,DVP,AUFBRUCH,DZP,KPD,PRG,PRO,Volksabstimmung,DKP,DSU,Others
DE_01051092,Rehm-Flehde-Bargen,475,321,3,0,154,120,0,12,26,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051093,Reinsbüttel,324,230,4,0,115,86,0,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051096,Sankt Annen,277,216,4,0,87,98,0,9,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051097,Sankt Michaelisdonn,2943,2004,25,0,869,914,0,40,121,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_01051098,Sarzbüttel,560,415,4,0,202,167,0,19,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051099,Schafstedt,1043,740,5,0,265,373,0,24,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051100,Schalkholz,482,348,10,0,100,191,0,15,25,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051102,Schlichting,206,159,2,0,42,98,0,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051103,Schmedeswurth,167,126,1,0,38,76,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051104,Schrum,64,50,0,0,13,33,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051105,Schülp,347,247,4,0,107,105,0,2,24,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051107,Stelle-Wittenwurth,377,223,4,0,89,109,0,5,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051108,Strübbel,82,67,3,0,18,40,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051109,Süderdeich,394,261,5,0,131,96,0,9,10,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051110,Süderhastedt,671,467,9,0,170,238,0,15,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051111,Süderheistedt,426,315,5,0,121,144,0,14,24,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051113,Wöhrden,1031,752,8,0,334,331,0,18,42,11,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051114,Tellingstedt,2051,1543,17,0,526,822,0,47,103,17,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051117,Tielenhemme,143,110,0,0,33,67,0,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051118,Trennewurth,233,172,5,0,63,77,0,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051119,Volsemenhusen,298,217,4,0,79,110,0,10,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051120,Wallen,30,18,0,0,8,7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051121,Warwerort,168,127,2,0,48,62,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051122,Weddingstedt,1832,1326,11,0,611,534,0,49,98,14,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051125,Welmbüttel,356,266,3,0,93,132,0,12,21,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051126,Wennbüttel,72,58,1,0,19,30,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051127,Wesselburen,2502,1781,35,0,802,730,0,43,131,22,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051128,Wesselburener Deichhausen,101,78,1,0,39,29,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051129,Wesselburenerkoog,148,103,2,0,39,48,0,2,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
