gisco_id,name,registered,turnout,invalid,blank,LFI-PRG-GRS-MRC,AR,PI-SIEL,PP (2006),LREM-MoDem-Agir-MR-UDE-AC,DR [Démocratie représentative],LP (2017),PACE,GE-MEI-MDP-UDE,DF,UDI,PS-PP-ND-PRG,PFE,MIC,DLF,AE,D19,LO,PCF,UPR,G·s,AVE,RN,NEA,PRC,EDE,ÉC,AJ,LR-LC-CPNT,LÉ,PA,ACPLI,UDLEF,UDMF
FR_70283,Haut-du-Them-Château-Lambert,391,207,8,10,11,0,0,0,17,0,2,0,2,0,3,7,0,0,12,0,0,2,1,5,3,0,84,0,0,0,0,2,13,21,4,0,0,0
FR_65217,Hautaget,44,31,1,3,1,0,0,0,4,0,0,0,1,0,3,4,0,0,1,0,0,0,2,0,2,0,6,0,0,0,0,0,0,3,0,0,0,0
FR_60303,Hautbos,148,71,3,2,3,0,0,0,9,0,0,0,0,0,3,3,0,0,7,0,0,0,0,2,0,0,23,0,0,1,0,0,10,5,0,0,0,0
FR_52242,Haute-Amance,757,477,26,25,24,0,0,0,76,0,12,0,3,0,6,17,0,0,17,0,0,10,6,4,10,0,162,0,0,0,0,3,32,26,18,0,0,0
FR_62415,Haute-Avesnes,348,233,5,6,7,0,0,0,52,0,0,0,3,0,9,8,0,0,20,0,0,0,3,0,8,0,59,0,0,0,0,0,30,12,10,1,0,0
FR_60304,Haute-Épine,213,135,3,3,11,0,0,0,32,0,1,0,2,0,2,0,0,0,5,0,0,1,0,0,3,0,46,0,0,0,0,1,8,15,1,1,0,0
FR_44071,Haute-Goulaine,4845,2684,48,50,73,0,0,3,790,0,5,3,73,0,102,158,1,0,57,0,0,9,30,22,88,0,378,0,0,4,0,11,238,497,40,4,0,0
FR_95301,Haute-Isle,211,120,3,0,6,0,0,0,26,0,0,0,1,0,2,7,0,0,6,0,0,0,3,4,1,0,24,0,0,0,0,0,14,21,2,0,0,0
FR_57371,Haute-Kontz,459,210,10,9,6,0,0,0,50,0,4,0,4,1,3,11,2,0,23,0,0,0,5,1,4,0,42,0,0,0,0,2,5,21,7,0,0,0
FR_69099,Haute-Rivoire,928,514,20,22,22,0,0,0,78,0,2,0,11,2,18,19,0,0,23,1,0,1,7,8,13,0,134,0,0,2,0,3,50,76,2,0,0,0
FR_57714,Haute-Vigneulles,320,197,1,8,7,0,0,0,24,0,5,0,2,0,12,12,0,0,15,0,0,2,2,5,3,0,60,0,0,0,0,5,19,11,4,0,0,0
FR_62416,Hautecloque,173,109,10,1,10,0,0,0,8,0,0,0,0,0,2,3,0,0,9,0,0,0,1,0,0,0,36,0,0,0,0,1,19,4,4,1,0,0
FR_39265,Hautecour,160,103,3,1,6,0,0,0,20,0,1,0,0,0,2,12,0,0,6,0,0,1,1,0,3,0,15,0,0,0,0,0,14,18,0,0,0,0
FR_73131,Hautecour,255,141,2,2,17,0,0,0,32,0,3,0,6,0,4,12,1,0,2,0,0,1,2,1,3,0,18,0,0,0,0,0,7,24,4,0,0,0
FR_01184,Hautecourt-Romanèche,584,308,4,9,19,0,0,0,63,0,4,0,4,0,11,21,0,0,12,1,0,2,8,4,5,0,55,0,0,0,0,1,34,47,4,0,0,0
FR_19091,Hautefage,255,153,6,3,17,0,0,0,27,0,0,0,3,0,6,16,0,0,4,0,0,2,9,3,9,0,17,0,0,0,0,1,14,12,3,1,0,0
FR_47117,Hautefage-la-Tour,669,372,10,11,16,0,0,0,58,0,0,0,13,0,12,16,0,0,14,0,0,3,10,7,9,0,104,0,0,4,0,2,20,59,3,1,0,0
FR_24209,Hautefaye,105,64,7,6,2,0,0,0,4,0,0,0,1,0,1,1,0,0,4,0,0,0,2,0,3,0,19,0,0,0,0,3,4,6,1,0,0,0
FR_77224,Hautefeuille,138,74,2,0,7,0,0,0,25,0,0,0,0,0,2,1,0,0,2,0,0,2,2,0,5,0,10,0,0,0,0,0,4,11,1,0,0,0
FR_71232,Hautefond,178,102,7,3,7,0,5,0,17,0,0,0,0,0,1,2,0,0,8,0,0,0,2,1,1,0,24,0,0,0,0,1,19,3,1,0,0,0
FR_60305,Hautefontaine,214,125,3,0,7,0,0,0,14,0,0,0,3,0,4,5,0,0,2,0,0,1,4,1,4,0,50,0,0,0,0,0,12,13,2,0,0,0
FR_24210,Hautefort,659,355,12,18,38,0,0,0,79,0,2,0,5,0,3,18,0,0,13,0,0,2,21,4,13,0,61,0,0,0,0,0,29,31,6,0,0,0
FR_73132,Hauteluce,762,331,10,6,15,0,0,0,53,0,1,0,2,0,4,11,0,0,32,0,2,4,7,6,5,0,83,0,0,2,0,0,52,35,1,0,0,0
FR_03126,Hauterive,838,453,8,10,26,0,0,0,94,0,4,0,4,0,16,14,0,0,24,0,0,5,13,7,8,0,133,0,0,0,0,1,29,42,13,2,0,0
FR_61202,Hauterive,377,195,1,2,3,0,0,0,34,0,2,0,2,0,6,4,0,0,10,0,0,3,2,5,5,0,61,0,0,0,0,2,15,27,10,1,0,0
FR_89200,Hauterive,311,162,3,2,4,0,0,0,27,0,0,0,3,0,5,7,0,0,17,0,0,4,0,1,6,0,49,0,0,0,0,1,13,13,7,0,0,0
FR_25303,Hauterive-la-Fresse,175,112,3,9,10,0,0,0,16,0,0,0,0,0,2,4,0,0,10,0,0,1,4,1,2,0,22,0,0,0,0,0,7,18,3,0,0,0
FR_26148,Hauterives,1535,814,11,34,42,0,0,0,139,0,4,0,15,0,18,36,0,0,33,0,0,5,14,15,13,0,193,0,0,2,0,5,134,94,5,2,0,0
FR_21314,Hauteroche,86,57,1,0,4,0,0,0,14,0,2,0,0,0,1,0,0,0,4,0,0,0,3,0,2,0,6,0,0,0,0,0,8,12,0,0,0,0
FR_04177,Hautes-Duyes,41,35,1,0,4,0,0,0,14,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,5,0,0,1,0,0,2,1,1,1,0,0
FR_47118,Hautesvignes,122,79,1,1,3,0,0,0,3,0,1,0,1,0,4,5,0,0,9,0,0,0,0,0,4,0,24,0,0,0,0,1,13,7,2,0,0,0
FR_70284,Hautevelle,218,136,9,5,3,0,0,0,27,0,2,0,3,0,1,2,0,0,2,0,0,3,2,6,5,0,38,0,0,0,0,1,8,14,5,0,0,0
FR_02375,Hautevesnes,101,63,0,1,6,0,0,0,7,0,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0,25,0,0,0,0,2,5,6,1,0,0,0
FR_02376,Hauteville,118,64,3,1,7,0,0,0,8,0,0,0,0,0,3,1,0,0,0,0,0,2,0,1,1,0,28,0,0,0,0,2,4,0,3,0,0,0
FR_08219,Hauteville,88,53,1,1,0,0,0,0,14,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,1,8,3,0,0,0,0
FR_51286,Hauteville,210,108,5,1,3,0,0,0,10,0,0,0,0,0,2,2,0,0,7,0,0,0,1,0,0,0,45,0,0,0,0,2,14,12,4,0,0,0
FR_62418,Hauteville,241,156,11,4,6,0,0,0,27,0,0,0,2,0,2,6,0,0,4,0,0,5,4,0,4,0,47,0,0,1,0,0,15,13,5,0,0,0
FR_73133,Hauteville,301,172,1,3,12,0,0,0,27,0,1,0,4,0,2,12,0,0,4,0,0,1,4,4,4,0,48,0,0,1,0,3,14,23,4,0,0,0
FR_50232,Hauteville-la-Guichard,337,182,4,3,9,0,0,0,47,0,0,0,2,0,2,11,0,0,15,0,0,1,3,0,3,0,34,0,0,0,0,2,12,29,5,0,0,0
FR_21315,Hauteville-lès-Dijon,981,574,5,10,28,0,0,0,177,0,1,0,13,0,14,32,0,0,18,0,0,1,5,3,9,0,89,0,0,1,0,0,73,80,14,1,0,0
FR_74141,Hauteville-sur-Fier,787,405,3,2,18,0,0,0,78,0,5,0,16,0,11,29,0,0,17,0,0,3,4,4,8,0,88,0,0,0,0,1,33,74,11,0,0,0
FR_50231,Hauteville-sur-Mer,642,373,10,7,19,0,0,0,97,0,1,0,2,0,7,13,0,0,11,0,0,0,12,2,15,0,90,0,0,0,0,3,48,29,5,2,0,0
FR_02377,Haution,105,72,2,2,0,0,0,0,11,0,0,0,0,0,4,2,0,0,12,0,0,0,0,0,0,0,22,0,0,0,0,1,10,4,2,0,0,0
FR_59291,Hautmont,9586,3741,89,84,330,0,0,1,395,0,52,0,41,0,44,114,2,0,121,1,0,35,121,45,88,0,1685,0,0,0,0,22,167,181,111,3,0,9
FR_76348,Hautot-Saint-Sulpice,506,293,13,6,20,0,0,0,43,0,2,0,3,0,6,7,0,0,10,0,0,3,5,2,8,0,84,0,0,1,0,2,28,36,12,2,0,0
