gisco_id,name,registered,turnout,invalid,blank,LO,LCR,EXG,PCF,PS,LÉ,PR,ECO,CPNT,DIV,LR,RPF,MPF,RN,MNR,PRG,REG,DVG,UDF,DVD,EXD,DL
FR_18274,Verdigny,235,192,5,0,1,0,0,0,0,11,1,0,5,1,149,0,0,10,4,0,0,0,0,5,0,0
FR_18275,Vereaux,117,83,0,0,7,0,0,0,30,0,1,0,0,1,17,0,0,18,2,0,0,0,7,0,0,0
FR_18276,Vernais,142,91,1,0,1,0,0,0,26,0,5,0,1,0,30,0,0,16,1,0,0,0,10,0,0,0
FR_18277,Verneuil,35,30,0,0,2,0,0,0,9,0,0,0,0,1,15,0,0,0,0,0,0,0,3,0,0,0
FR_18278,Vesdun,510,354,17,0,7,0,0,0,100,0,7,0,13,0,89,0,0,49,1,0,0,0,71,0,0,0
FR_18279,Vierzon,19493,11842,265,0,310,114,0,4485,0,0,73,0,157,0,2823,0,156,1128,116,2126,0,89,0,0,0,0
FR_18280,Vignoux-sous-les-Aix,529,343,8,0,5,0,0,0,0,107,18,4,6,5,117,0,0,45,7,0,0,0,0,21,0,0
FR_18281,Vignoux-sur-Barangeon,1356,878,27,0,20,5,0,327,0,0,11,0,24,0,253,0,23,92,8,78,0,10,0,0,0,0
FR_18282,Villabon,377,252,9,0,9,0,0,0,79,0,12,0,11,0,66,0,0,32,2,0,0,0,32,0,0,0
FR_18283,Villecelin,86,58,2,0,0,0,0,0,16,0,1,0,3,0,18,0,0,13,1,0,0,0,4,0,0,0
FR_18284,Villegenon,179,117,1,0,2,0,0,0,0,16,2,1,3,2,49,0,0,27,1,0,0,0,0,13,0,0
