gisco_id,name,registered,turnout,invalid,blank,EXG,PCF,LFI,PS,ECO,DIV,MoDem,LR,RN,DLF,DVG,RE,PRG,UDI,EXD,DVD,REG
FR_77056,Burcy,116,55,0,0,0,0,7,0,2,0,0,22,15,0,0,9,0,0,0,0,0
FR_77060,Buthiers,556,301,3,6,5,7,22,0,36,1,0,73,66,3,0,78,0,0,0,0,1
FR_77071,Chaintreaux,715,344,4,5,3,6,34,0,15,0,0,100,73,6,0,98,0,0,0,0,0
FR_77088,La Chapelle-la-Reine,1658,714,14,6,0,12,71,0,27,6,0,129,193,26,0,230,0,0,0,0,0
FR_77099,Château-Landon,2151,975,3,17,20,13,114,0,46,9,0,240,214,15,0,283,0,0,0,0,1
FR_77102,Châtenoy,114,66,0,2,0,2,6,0,3,1,0,16,12,5,0,19,0,0,0,0,0
FR_77110,Chenou,221,121,2,3,0,4,8,0,2,1,0,54,32,0,0,15,0,0,0,0,0
FR_77112,Chevrainvilliers,177,89,0,0,1,0,6,0,4,0,0,33,16,1,0,27,0,0,0,0,1
FR_77115,Chevry-en-Sereine,375,227,0,1,2,6,19,0,18,1,0,54,54,11,0,61,0,0,0,0,0
FR_77156,Darvault,599,311,1,6,3,4,20,0,11,1,0,122,59,4,0,79,0,0,0,0,1
FR_77158,Diant,184,107,1,1,0,2,8,0,8,1,0,32,20,6,0,28,0,0,0,0,0
FR_77168,Égreville,1514,741,3,11,8,9,61,0,40,4,0,255,149,12,0,188,0,0,0,0,1
FR_77178,Faÿ-lès-Nemours,352,201,0,4,3,5,15,0,11,1,0,51,39,7,0,65,0,0,0,0,0
FR_77184,Flagy,516,286,1,4,3,6,44,0,21,4,0,57,54,14,0,76,0,0,0,0,2
FR_77186,Fontainebleau,10224,5063,16,58,31,48,311,0,305,53,0,1625,484,65,0,2061,0,0,0,0,6
FR_77198,Fromont,154,86,1,1,1,0,7,0,6,0,0,37,9,0,0,24,0,0,0,0,0
FR_77200,Garentreville,82,50,0,1,0,0,3,0,1,1,0,20,10,0,0,14,0,0,0,0,0
FR_77202,La Genevraye,547,240,1,1,3,2,22,0,14,4,0,57,34,5,0,97,0,0,0,0,0
FR_77207,Gironville,133,60,0,1,1,0,3,0,3,1,0,12,11,2,0,26,0,0,0,0,0
FR_77216,Grez-sur-Loing,1012,507,0,7,1,7,38,0,33,4,0,129,77,16,0,195,0,0,0,0,0
FR_77220,Guercheville,212,139,1,1,2,1,5,0,4,0,0,55,29,3,0,38,0,0,0,0,0
FR_77226,Héricy,1930,1034,4,15,7,14,94,0,84,6,0,270,131,33,0,375,0,0,0,0,1
FR_77230,Ichy,123,58,0,3,0,0,6,0,2,1,0,28,5,0,0,13,0,0,0,0,0
FR_77244,Larchant,643,345,1,5,1,1,35,0,24,6,0,105,37,5,0,125,0,0,0,0,0
FR_77261,Lorrez-le-Bocage-Préaux,899,463,2,2,10,14,51,0,27,2,0,110,113,5,0,124,0,0,0,0,3
FR_77267,La Madeleine-sur-Loing,254,140,0,2,2,0,13,0,5,3,0,29,31,5,0,50,0,0,0,0,0
FR_77271,Maisoncelles-en-Gâtinais,92,44,0,0,1,0,4,0,1,0,0,13,16,2,0,7,0,0,0,0,0
FR_77297,Mondreville,293,155,0,5,2,0,10,0,7,0,0,54,32,1,0,44,0,0,0,0,0
FR_77302,Montcourt-Fromonville,1593,808,2,5,3,16,87,0,37,4,0,204,132,15,0,299,0,0,0,0,4
FR_77313,Montmachoux,195,125,0,1,1,4,10,0,10,0,0,40,23,2,0,34,0,0,0,0,0
FR_77328,Nanteau-sur-Essonne,344,208,0,1,0,2,11,0,12,0,0,86,48,2,0,46,0,0,0,0,0
FR_77329,Nanteau-sur-Lunain,435,227,3,3,1,3,14,0,10,1,0,78,48,5,0,61,0,0,0,0,0
FR_77333,Nemours,7052,3066,15,41,38,72,335,0,137,20,0,1108,423,86,0,785,0,0,0,0,6
FR_77338,Noisy-Rudignon,413,184,0,4,2,5,12,0,10,8,0,37,56,6,0,43,0,0,0,0,1
FR_77339,Noisy-sur-École,1564,844,3,6,7,11,70,0,59,8,0,230,107,24,0,319,0,0,0,0,0
FR_77340,Nonville,496,272,6,0,3,8,26,0,16,1,0,78,44,5,0,83,0,0,0,0,2
FR_77342,Obsonville,99,46,0,0,0,0,3,0,1,0,0,18,16,0,0,8,0,0,0,0,0
FR_77348,Ormesson,196,120,0,1,1,0,14,0,5,1,0,27,23,3,0,44,0,0,0,0,1
FR_77353,Paley,372,204,1,0,0,5,18,0,13,1,0,69,28,6,0,63,0,0,0,0,0
FR_77370,Poligny,575,304,0,0,2,12,23,0,17,1,0,95,46,12,0,96,0,0,0,0,0
FR_77386,Recloses,581,323,2,0,2,4,42,0,10,2,0,88,27,9,0,136,0,0,0,0,1
FR_77387,Remauville,352,160,4,3,2,1,10,0,8,1,0,61,27,3,0,40,0,0,0,0,0
FR_77395,Rumont,102,56,0,0,0,0,6,0,0,0,0,26,12,0,0,12,0,0,0,0,0
FR_77399,Saint-Ange-le-Viel,183,98,0,3,1,3,11,0,2,2,0,29,16,3,0,28,0,0,0,0,0
FR_77431,Saint-Pierre-lès-Nemours,4072,1987,4,23,27,44,213,0,97,15,0,629,294,51,0,588,0,0,0,0,2
FR_77441,Samois-sur-Seine,1644,913,2,9,10,11,76,0,59,6,0,203,73,9,0,453,0,0,0,0,2
FR_77442,Samoreau,1802,969,0,13,9,19,116,0,59,4,0,230,123,13,0,379,0,0,0,0,4
FR_77458,Souppes-sur-Loing,3465,1411,9,21,26,22,153,0,70,8,0,331,295,20,0,453,0,0,0,0,3
FR_77465,Thoury-Férottes,520,266,2,4,4,10,30,0,12,1,0,87,51,7,0,58,0,0,0,0,0
FR_77471,Tousson,318,167,0,1,1,1,21,0,9,1,0,45,30,3,0,55,0,0,0,0,0
FR_77473,Treuzy-Levelay,350,178,0,1,3,1,12,0,4,0,0,69,48,1,0,39,0,0,0,0,0
FR_77477,Ury,642,352,2,3,1,3,28,0,18,3,0,129,47,6,0,111,0,0,0,0,1
FR_77485,Le Vaudoué,643,344,1,2,2,2,36,0,25,1,0,60,55,6,0,153,0,0,0,0,1
FR_77489,Vaux-sur-Lunain,141,71,0,4,1,0,8,0,6,1,0,26,11,1,0,13,0,0,0,0,0
FR_77500,Villebéon,369,212,0,3,2,7,19,0,9,2,0,64,47,8,0,50,0,0,0,0,1
FR_77504,Villemaréchal,637,354,5,2,1,12,33,0,28,3,0,77,80,11,0,102,0,0,0,0,0
FR_77520,Villiers-sous-Grez,609,331,0,2,1,3,33,0,34,0,0,92,39,3,0,124,0,0,0,0,0
FR_77531,Voulx,1269,581,7,8,11,16,73,0,24,4,0,129,163,6,0,138,0,0,0,0,2
