gisco_id,name,registered,turnout,invalid,blank,NUPES,LR,ENS,RN,DVD,DVG,REG,DVC,UDI,DSV,DXG,DIV
FR_81041,Broze,99,69,0,2,19,0,33,0,0,0,0,0,0,0,0,0
FR_81043,Busque,608,344,5,10,76,0,116,0,0,0,0,0,0,0,0,0
FR_81045,Les Cabannes,297,168,1,4,61,0,60,0,0,0,0,0,0,0,0,0
FR_81046,Cadalen,1145,705,9,24,235,0,267,0,0,0,0,0,0,0,0,0
FR_81048,Cagnac-les-Mines,1984,1095,11,15,402,0,310,0,0,0,0,0,0,0,0,0
FR_81051,Cahuzac-sur-Vère,902,561,2,12,195,0,244,0,0,0,0,0,0,0,0,0
FR_81056,Campagnac,118,72,2,2,26,0,22,0,0,0,0,0,0,0,0,0
FR_81060,Carmaux,7109,3682,57,77,1459,0,1037,0,0,0,0,0,0,0,0,0
FR_81061,Castanet,170,122,1,2,25,0,75,0,0,0,0,0,0,0,0,0
FR_81063,Castelnau-de-Lévis,1342,780,5,14,241,0,310,0,0,0,0,0,0,0,0,0
FR_81064,Castelnau-de-Montmiral,849,518,6,16,179,0,177,0,0,0,0,0,0,0,0,0
FR_81067,Cestayrols,423,261,0,7,98,0,113,0,0,0,0,0,0,0,0,0
FR_81068,Combefa,161,103,1,5,33,0,26,0,0,0,0,0,0,0,0,0
FR_81069,Cordes-sur-Ciel,623,411,0,7,154,0,167,0,0,0,0,0,0,0,0,0
FR_81070,Coufouleux,2295,1353,11,30,557,0,473,0,0,0,0,0,0,0,0,0
FR_81072,Crespin,100,76,2,3,28,0,29,0,0,0,0,0,0,0,0,0
FR_81073,Crespinet,146,101,4,4,36,0,27,0,0,0,0,0,0,0,0,0
FR_81080,Donnazac,67,49,2,0,12,0,23,0,0,0,0,0,0,0,0,0
FR_81087,Fayssac,296,190,2,5,69,0,73,0,0,0,0,0,0,0,0,0
FR_81090,Fénols,186,129,1,5,42,0,40,0,0,0,0,0,0,0,0,0
FR_81093,Florentin,586,346,6,11,122,0,128,0,0,0,0,0,0,0,0,0
FR_81095,Frausseilles,80,65,1,1,17,0,19,0,0,0,0,0,0,0,0,0
FR_81099,Gaillac,10792,5862,42,90,2286,0,2043,0,0,0,0,0,0,0,0,0
FR_81101,Le Garric,1124,640,11,17,202,0,208,0,0,0,0,0,0,0,0,0
FR_81105,Graulhet,9210,4336,47,58,1458,0,1228,0,0,0,0,0,0,0,0,0
FR_81106,Grazac,492,308,1,6,133,0,96,0,0,0,0,0,0,0,0,0
FR_81108,Itzac,139,101,1,2,40,0,38,0,0,0,0,0,0,0,0,0
FR_81110,Jouqueviel,93,57,0,2,21,0,19,0,0,0,0,0,0,0,0,0
FR_81111,Labarthe-Bleys,65,45,0,1,15,0,20,0,0,0,0,0,0,0,0,0
FR_81112,Labastide-de-Lévis,808,499,6,1,154,0,211,0,0,0,0,0,0,0,0,0
FR_81114,Labastide-Gabausse,435,268,1,2,82,0,78,0,0,0,0,0,0,0,0,0
FR_81117,Labessière-Candeil,598,332,3,8,85,0,116,0,0,0,0,0,0,0,0,0
