gisco_id,name,registered,turnout,invalid,blank,EXG,FG,PRG,LÉ,ECO,LR,DVD,RN,PS,PRV,DVG,MoDem,EXD,NC (2007),AC,DIV,REG
FR_76157,Canteleu,9064,5041,125,0,102,355,0,176,0,0,0,896,2784,0,0,0,0,603,0,0,0
FR_76158,Canville-les-Deux-Églises,242,151,2,0,0,6,0,5,0,41,0,19,78,0,0,0,0,0,0,0,0
FR_76159,Cany-Barville,2309,1496,40,0,26,64,0,24,0,489,0,131,722,0,0,0,0,0,0,0,0
FR_76160,Carville-la-Folletière,266,154,6,0,1,5,0,2,0,25,2,21,89,0,1,0,0,2,0,0,0
FR_76161,Carville-Pot-de-Fer,90,53,1,0,0,0,0,1,0,30,0,2,19,0,0,0,0,0,0,0,0
FR_76162,Le Catelier,181,128,0,0,0,2,0,2,0,47,0,19,58,0,0,0,0,0,0,0,0
FR_76163,Catenay,553,372,5,0,5,20,6,132,0,126,2,56,0,0,0,20,0,0,0,0,0
FR_76164,Caudebec-en-Caux,1544,953,8,0,7,35,0,28,0,179,10,91,577,0,3,0,0,15,0,0,0
FR_76165,Caudebec-lès-Elbeuf,6592,3413,68,0,81,267,0,85,0,0,0,698,1669,0,0,0,0,545,0,0,0
FR_76166,Le Caule-Sainte-Beuve,352,228,3,0,0,10,0,4,0,127,3,31,46,0,0,4,0,0,0,0,0
FR_76167,Cauville,1060,685,11,0,1,42,0,19,0,309,0,97,186,0,17,0,0,0,0,3,0
FR_76168,Les Cent-Acres,43,35,1,0,0,0,0,2,0,9,0,4,19,0,0,0,0,0,0,0,0
FR_76169,La Cerlangue,994,599,9,0,11,39,0,6,0,186,0,109,230,0,0,9,0,0,0,0,0
FR_76170,La Chapelle-du-Bourgay,115,69,0,0,4,8,0,3,0,23,0,13,18,0,0,0,0,0,0,0,0
FR_76171,La Chapelle-Saint-Ouen,79,49,0,0,1,0,0,11,0,17,0,20,0,0,0,0,0,0,0,0,0
FR_76172,La Chapelle-sur-Dun,181,126,1,0,0,1,0,4,0,49,0,18,53,0,0,0,0,0,0,0,0
FR_76173,La Chaussée,359,206,0,0,1,12,0,4,0,79,0,34,76,0,0,0,0,0,0,0,0
FR_76174,Cideville,235,162,0,0,5,7,0,3,0,72,0,19,56,0,0,0,0,0,0,0,0
FR_76175,Clais,192,123,2,0,0,9,0,1,0,54,0,15,29,0,0,13,0,0,0,0,0
FR_76176,Clasville,214,141,2,0,1,9,0,2,0,49,0,18,60,0,0,0,0,0,0,0,0
FR_76177,Claville-Motteville,206,142,3,0,1,5,0,6,0,66,0,24,37,0,0,0,0,0,0,0,0
FR_76178,Cléon,3217,1693,30,0,31,155,0,20,0,0,0,270,998,0,0,0,0,189,0,0,0
FR_76179,Clères,1023,625,12,0,3,36,0,23,0,238,0,91,222,0,0,0,0,0,0,0,0
FR_76180,Cleuville,106,88,2,0,0,1,0,3,0,52,0,5,25,0,0,0,0,0,0,0,0
FR_76181,Cléville,132,84,2,0,0,9,0,1,0,35,0,9,28,0,0,0,0,0,0,0,0
FR_76182,Cliponville,213,157,4,0,0,3,0,2,0,84,0,8,55,0,0,1,0,0,0,0,0
FR_76183,Colleville,599,367,4,0,2,25,0,17,0,122,0,48,141,0,0,8,0,0,0,0,0
FR_76184,Colmesnil-Manneville,119,87,4,0,0,14,0,0,0,29,0,7,32,0,0,1,0,0,0,0,0
FR_76185,Compainville,138,91,1,0,0,3,0,5,0,36,0,9,34,0,0,3,0,0,0,0,0
FR_76186,Conteville,394,220,1,0,1,11,0,3,0,111,1,41,47,0,0,4,0,0,0,0,0
FR_76187,Contremoulins,182,112,1,0,0,2,0,1,0,48,0,13,41,0,0,6,0,0,0,0,0
FR_76188,Cottévrard,311,185,3,0,7,7,0,4,0,67,0,36,61,0,0,0,0,0,0,0,0
FR_76189,Crasville-la-Mallet,124,85,3,0,1,4,0,1,0,40,0,7,29,0,0,0,0,0,0,0,0
