gisco_id,name,registered,turnout,invalid,blank,ENS,RN,NFP,UXD,LR,DVD,DVG,HOR,DVC,REG,UDI,EXD,DIV,ECO,DSV,LFI,PS
FR_48193,Vebron,223,169,1,2,0,30,111,0,0,25,0,0,0,0,0,0,0,0,0,0,0
FR_48194,Vialas,428,341,3,9,0,59,243,0,0,27,0,0,0,0,0,0,0,0,0,0,0
FR_48198,Villefort,489,342,2,10,0,132,138,0,0,60,0,0,0,0,0,0,0,0,0,0,0
FR_49002,Allonnes,2007,1369,17,54,0,649,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0
FR_49003,Tuffalun,1262,918,14,37,560,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49007,Angers,93562,62424,395,1214,27259,11523,22033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49008,Angrie,698,495,2,8,200,187,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49009,Antoigné,347,224,0,8,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49010,Armaillé,227,178,0,10,77,64,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49011,Artannes-sur-Thouet,351,255,4,12,131,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49012,Aubigné-sur-Layon,260,168,1,4,91,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49015,Avrillé,11330,8518,45,138,3941,1785,2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49017,Baracé,411,295,1,20,0,114,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0
FR_49018,Baugé,8185,5844,83,266,0,2349,0,0,3146,0,0,0,0,0,0,0,0,0,0,0,0
FR_49020,Beaucouzé,4562,3487,39,170,2458,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49021,Beaufort-en-Anjou,5369,3770,82,168,0,1385,0,0,2135,0,0,0,0,0,0,0,0,0,0,0,0
FR_49022,Beaulieu-sur-Layon,1122,822,10,23,527,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49023,Beaupréau,17794,12078,173,485,7322,4098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49026,Bécon-les-Granits,2067,1478,9,27,575,552,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49027,Bégrolles-en-Mauges,1551,1090,14,48,606,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49028,Béhuard,122,105,0,8,86,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49029,Blaison-Saint-Sulpice,1124,872,7,13,359,197,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49030,Blou,729,491,5,21,0,215,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
FR_49035,Bouchemaine,5576,4221,51,176,3044,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49036,Bouillé-Ménard,498,341,3,8,118,138,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49038,Bourg-lÉvêque,185,150,1,4,62,60,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49041,Brain-sur-Allonnes,1531,980,18,23,0,451,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0
FR_49045,La Breille-les-Pins,415,291,2,8,0,146,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0
FR_49048,Briollay,2402,1792,4,32,644,490,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49050,Brissac Loire Aubance,8769,6497,62,263,3795,1967,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49053,Brossay,251,165,3,7,67,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49054,Candé,1881,1319,9,29,614,471,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49055,Cantenay-Épinard,1943,1474,12,34,666,349,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49056,Carbay,191,137,3,3,50,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49057,Cernusson,259,192,1,6,123,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49058,Les Cerqueux,580,390,6,20,194,0,1,169,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49060,Bellevigne-les-Châteaux,2612,1749,16,67,869,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49061,Challain-la-Potherie,604,426,1,13,186,168,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49063,Chalonnes-sur-Loire,5383,3963,36,134,1983,1053,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49064,Chambellay,311,219,0,7,83,88,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49067,Chenillé-Champteussé,261,180,3,3,82,54,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49068,Champtocé-sur-Loire,1341,929,17,33,521,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49069,Orée d'Anjou,12810,8962,192,421,4883,3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49070,Chanteloup-les-Bois,575,380,7,21,228,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49076,La Chapelle-Saint-Laud,599,413,4,32,0,157,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0
FR_49080,Les Hauts-d'Anjou,6348,4151,30,92,1488,1726,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49082,Chaudefonds-sur-Layon,778,601,9,10,265,159,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49086,Terranjou,2966,2095,23,105,1240,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49089,Chazé-sur-Argos,763,548,6,9,261,167,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49090,Cheffes,727,509,8,7,163,154,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49092,Chemillé-en-Anjou,16499,11369,100,316,5930,3743,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49099,Cholet,37161,23850,345,981,15336,0,57,7131,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49100,Cizay-la-Madeleine,345,268,5,12,123,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49102,Cléré-sur-Layon,235,164,1,3,89,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49107,Cornillé-les-Caves,384,286,5,18,0,91,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0
FR_49109,Coron,1116,802,8,23,481,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
