gisco_id,registered,turnout,blank,invalid,A,B,C,F,J,K,N,O,V
DK_495,5063,2436,57,7,706,102,253,130,199,9,105,182,686
DK_497,6768,3574,43,8,1196,202,488,258,299,16,142,210,712
DK_499,3977,1917,24,6,597,86,285,110,171,15,56,129,438
DK_501,4914,2309,33,4,798,86,235,96,223,13,97,209,515
DK_503,7189,3222,48,5,1050,86,328,106,285,18,121,270,905
DK_505,2650,1138,17,2,341,25,110,31,94,21,32,66,399
DK_507,4591,2111,39,5,839,69,225,89,186,17,66,174,402
DK_509,7025,3257,42,5,1058,122,302,153,246,85,89,254,901
DK_511,3625,1747,17,10,575,37,164,66,150,48,43,138,499
DK_513,5440,2616,35,6,964,88,320,95,245,39,62,229,533
DK_515,23708,11071,153,23,3945,462,1235,705,1076,223,338,747,2164
DK_517,2146,998,19,3,361,33,85,39,76,9,39,47,287
DK_519,4406,1984,21,3,628,75,175,62,194,7,59,137,623
DK_521,5026,2204,30,6,553,68,183,74,172,102,53,159,804
DK_523,10577,4574,63,8,1947,108,416,187,339,36,153,379,938
DK_525,6932,3367,50,4,982,87,328,99,256,133,73,248,1107
DK_527,8061,4053,70,8,1160,142,310,125,333,56,117,246,1486
DK_529,8466,3847,47,6,1407,101,370,119,333,83,117,259,1005
DK_531,5447,2360,34,5,743,67,201,69,196,33,86,180,746
DK_533,3809,1879,17,2,643,80,181,67,156,16,60,153,504
DK_535,4820,2353,31,5,739,82,338,108,185,17,55,173,620
DK_537,22385,10278,108,37,3819,453,1114,524,839,94,437,863,1990
DK_539,7237,3077,29,6,935,76,249,79,276,81,86,183,1077
DK_541,9165,4401,82,10,1505,178,478,268,415,48,165,232,1020
DK_543,12555,5955,75,11,2266,134,502,223,392,82,168,531,1571
DK_545,16689,7562,82,16,2663,327,790,437,876,76,264,457,1574
DK_551,6316,3042,38,2,1207,105,278,73,179,107,60,159,834
DK_553,4692,2311,37,4,621,112,141,88,169,42,81,156,860
DK_555,3173,1531,19,0,553,55,162,49,133,7,45,114,394
DK_557,9725,4300,81,14,1649,171,334,160,313,89,140,243,1106
DK_559,4781,2105,35,3,868,54,172,55,150,14,54,105,595
DK_561,61249,27546,289,60,12434,832,2154,1325,2345,276,1299,1734,4798
DK_563,2444,1449,22,4,458,57,166,126,174,6,97,94,245
DK_565,12877,5474,44,4,2186,140,309,120,391,183,109,391,1597
DK_567,5983,2944,44,6,800,89,222,81,200,61,51,182,1208
DK_569,5021,2362,33,2,764,79,246,66,171,28,59,159,755
DK_571,13460,6476,109,14,2138,260,435,510,612,62,286,377,1673
DK_573,14956,6800,85,18,2376,205,584,241,541,77,154,355,2164
DK_575,12351,5935,70,2,2318,230,464,229,507,60,132,390,1533
DK_577,8190,3946,58,6,1170,105,316,92,226,175,104,231,1463
DK_601,6440,3319,46,11,945,180,248,158,350,44,107,289,941
DK_603,8330,4016,35,3,1465,141,359,173,380,167,120,276,897
DK_605,11006,5598,76,5,1705,212,507,241,451,78,145,413,1765
DK_607,36710,15705,190,25,6261,566,1519,868,1319,212,613,1242,2890
DK_609,7341,3822,63,4,1105,214,326,194,457,23,125,250,1061
DK_611,10272,4768,63,18,1263,190,342,138,367,124,87,414,1762
DK_613,11968,5540,90,5,1761,208,407,149,492,320,135,414,1559
DK_615,43185,18487,213,38,6355,1191,1829,780,2504,135,531,1337,3574
DK_617,4041,2134,18,6,675,103,166,214,163,37,73,101,578
DK_619,11631,6035,81,8,1692,258,602,260,634,45,150,455,1850
DK_621,46992,20889,240,27,7156,1013,2225,1788,1621,282,605,1491,4441
DK_623,3892,1886,19,5,629,67,211,92,151,46,45,108,513
DK_625,5326,2409,39,5,724,80,173,96,208,54,54,251,725
DK_627,9099,5534,139,12,1672,191,342,238,495,99,106,577,1663
DK_629,5381,2322,33,2,875,64,281,70,154,56,58,152,577
DK_631,41801,19845,308,45,7108,1013,2056,1203,1729,294,575,1357,4157
DK_651,4904,2447,32,5,539,66,212,69,139,221,57,172,935
DK_653,6433,3646,117,7,1136,103,260,91,304,250,94,313,971
DK_655,6928,3375,54,10,939,126,301,112,221,239,74,180,1119
DK_657,44053,20340,214,51,6858,818,1991,758,1240,988,560,1207,5655
DK_659,3872,1515,25,3,388,39,167,55,118,109,33,116,462
DK_661,30612,14711,193,22,5139,841,1224,793,899,479,488,805,3828
DK_663,16713,7506,101,16,2514,241,768,230,403,385,175,556,2117
DK_665,13528,6342,57,9,1670,296,500,367,335,231,223,333,2321
DK_667,12901,6681,100,9,1833,320,498,312,588,242,230,319,2230
DK_669,9594,4779,55,12,1243,172,466,122,233,565,124,241,1546
DK_671,14316,7058,78,9,2420,299,704,373,528,161,237,381,1868
DK_673,3488,1161,13,2,376,31,99,39,80,89,30,72,330
DK_675,2753,1318,10,1,404,63,170,62,84,52,46,73,353
DK_677,7018,3706,42,3,941,129,230,107,196,344,79,196,1439
DK_679,5153,2231,23,6,615,78,164,113,122,30,109,143,828
DK_681,8794,4355,47,3,1030,131,315,131,228,460,95,256,1659
DK_683,5899,2869,39,11,726,132,235,123,173,177,97,193,963
DK_685,4984,2373,26,4,700,76,168,62,127,179,63,141,827
DK_701,11503,5026,57,5,1338,288,593,402,594,34,218,395,1102
DK_703,7786,3734,48,8,1259,172,377,200,404,53,124,269,820
DK_705,5773,2797,38,4,773,155,238,172,222,96,99,185,815
DK_707,14212,5403,70,15,2043,177,521,284,491,44,204,521,1033
DK_709,8551,3909,55,5,1324,196,384,286,305,29,123,267,935
DK_711,7986,3859,54,4,1219,234,404,244,339,28,161,274,898
DK_713,8348,4378,42,5,1397,263,455,380,449,55,161,262,909
DK_715,6219,2840,36,6,948,129,302,171,301,14,92,203,638
DK_717,6121,2822,30,4,988,136,234,170,293,26,105,198,638
DK_719,6216,2573,46,3,765,103,275,133,284,68,117,204,575
DK_721,5733,2363,40,2,763,104,215,139,257,12,114,176,541
DK_723,6357,2772,40,0,965,89,192,119,239,33,120,213,762
DK_725,5776,2576,37,8,689,105,215,166,299,35,124,198,700
DK_727,15463,7660,92,14,2473,469,771,656,751,48,318,431,1637
DK_729,6263,2784,32,4,991,113,259,104,221,29,104,232,695
DK_731,47620,18750,209,26,7608,762,1796,1039,1843,261,951,1434,2821
DK_733,7480,3294,27,8,1028,179,360,233,328,24,156,234,717
DK_735,6089,2387,25,2,779,94,222,124,258,36,90,170,587
DK_737,7837,4431,51,9,1185,345,354,468,566,34,269,239,911
DK_739,5191,2558,34,1,756,153,237,191,297,21,113,164,591
DK_741,3296,1515,14,5,382,135,152,110,235,9,89,98,286
DK_743,40554,19313,284,30,5847,1141,2168,1830,1567,256,843,1318,4029
DK_745,15956,7599,112,17,2272,429,865,531,866,62,245,457,1743
DK_747,6211,2651,22,7,807,105,266,107,228,18,104,229,758
DK_749,5004,2364,30,1,656,120,194,180,274,20,88,157,644
DK_751,219412,110616,1389,163,35236,10076,10813,13159,11343,1366,5831,5722,15518
DK_761,10226,4316,49,9,1302,172,437,183,335,102,113,298,1316
DK_763,5850,2566,39,4,743,165,194,128,204,17,117,180,775
DK_765,4200,1637,20,3,501,57,177,88,169,24,57,115,426
DK_767,4997,2209,19,9,717,102,180,77,198,17,68,136,686
DK_769,5030,2282,39,12,747,65,195,76,199,48,61,220,620
DK_771,10269,4900,86,9,1330,216,356,160,427,174,147,382,1613
DK_773,17206,7644,115,12,2634,277,607,353,576,132,261,523,2154
