gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,B.E.,PCP-PEV,CDS-PP,PAN,A,L,PPM.PPV/CDC,NC,IL,PCTP/MRPP,PNR,PDR,PURP,PTP,MAS
PT_090625,Gouveia,3212,1101,41,43,433,266,88,63,52,38,21,12,7,6,7,5,2,6,8,2,1
PT_090624,Figueiró da Serra e Freixo da Serra,402,132,3,13,45,52,4,3,3,6,0,1,0,0,0,0,0,1,0,1,0
PT_090623,Aldeias e Mangualde da Serra,452,176,1,10,68,55,12,5,7,11,1,1,2,0,0,0,1,1,0,0,1
PT_090621,Vila Nova De Tazem,1621,504,9,29,101,237,29,5,58,17,7,0,3,0,2,2,1,0,1,3,0
PT_090620,Vila Franca Da Serra,257,107,11,4,56,22,6,1,3,2,0,0,0,0,0,0,0,1,1,0,0
PT_090619,Vila Cortês Da Serra,249,87,4,7,36,29,5,1,1,0,1,0,0,0,0,1,0,1,0,1,0
PT_090617,São Paio,808,178,9,10,90,42,11,4,1,3,0,1,3,0,0,1,2,0,1,0,0
PT_090614,Ribamondego,286,83,1,0,19,43,8,1,4,2,3,0,0,1,0,0,0,0,0,1,0
PT_090613,Paços Da Serra,548,194,4,16,65,69,14,2,11,3,2,2,3,0,0,0,0,1,2,0,0
PT_090612,Nespereira,700,277,10,21,111,63,28,10,14,3,7,3,2,1,0,2,0,1,0,1,0
PT_090605,Folgosinho,504,109,7,7,51,26,6,3,1,3,3,1,1,0,0,0,0,0,0,0,0
PT_090603,Cativelos,779,200,1,8,91,59,10,6,12,4,2,4,1,0,2,0,0,0,0,0,0
PT_090602,Arcozelo,595,180,7,14,80,42,16,5,7,2,0,0,2,1,0,2,1,1,0,0,0
PT_090519,Sobral Pichorro e Fuinhas,296,117,4,5,43,32,5,2,13,1,1,2,2,0,0,2,0,0,5,0,0
PT_090518,"Juncais, Vila Ruiva e Vila Soeiro do Chão",677,222,13,11,76,77,3,2,22,4,2,1,3,1,0,3,1,0,1,1,1
PT_090517,Cortiçô e Vila Chã,172,101,0,5,54,27,2,2,2,3,2,1,1,1,0,1,0,0,0,0,0
