gisco_id,name,registered,turnout,invalid,blank,PPD/PSD.CDS-PP,PS,B.E.,PDA,PCP-PEV,PCTP/MRPP,MD,POUS,PND,PPM,P.N.R.,MPT,P.H.
PT_041102,Angueira,253,59,2,1,14,35,0,0,5,0,0,0,1,0,1,0,0
PT_041103,Argozelo,986,249,17,10,94,115,0,0,3,0,2,0,4,3,1,0,0
PT_041104,Avelanoso,256,69,0,0,34,30,1,0,1,1,0,0,2,0,0,0,0
PT_041105,Caçarelhos,324,117,4,4,70,32,0,0,0,4,0,0,0,2,0,1,0
PT_041106,Campo De Víboras,265,83,0,2,53,21,0,0,2,0,1,0,3,1,0,0,0
PT_041107,Carção,604,165,9,6,75,63,3,0,0,0,0,1,3,2,1,0,2
PT_041108,Matela,423,99,1,2,58,28,1,1,0,0,0,0,3,1,2,2,0
PT_041109,Pinelo,334,110,2,1,57,45,2,0,0,1,1,0,0,0,1,0,0
PT_041110,Santulhão,656,137,9,1,56,49,1,0,5,3,4,0,2,3,1,1,2
PT_041111,Uva,248,61,2,5,25,26,0,0,1,0,0,0,0,0,0,1,1
PT_041112,Vale De Frades,375,98,0,0,61,34,0,0,0,1,1,0,1,0,0,0,0
PT_041113,Vilar Seco,224,83,5,8,39,28,0,1,0,0,1,0,0,1,0,0,0
PT_041114,Vimioso,1030,355,6,5,127,175,12,0,15,1,1,0,1,1,3,4,4
PT_041201,Agrochão,382,103,4,2,41,43,1,0,8,0,0,1,3,0,0,0,0
PT_041202,Alvaredos,123,56,5,1,39,3,0,1,0,1,0,0,4,2,0,0,0
PT_041203,Candedo,465,110,4,2,46,44,1,3,5,0,0,0,0,2,1,0,2
PT_041204,Celas,453,59,0,1,28,20,1,0,3,2,0,0,2,0,0,1,1
PT_041205,Curopos,400,98,2,1,42,46,0,0,2,0,0,0,1,0,3,0,1
PT_041206,Edral,294,68,4,0,13,47,0,0,2,1,1,0,0,0,0,0,0
PT_041207,Edrosa,223,67,0,0,36,27,2,0,0,0,0,0,1,0,0,1,0
PT_041208,Ervedosa,658,137,1,0,63,64,3,0,0,0,0,0,2,0,0,1,3
PT_041209,Fresulfe,115,35,0,1,9,22,1,0,0,0,0,0,2,0,0,0,0
PT_041210,Mofreita,76,40,0,2,14,23,0,0,1,0,0,0,0,0,0,0,0
PT_041211,Moimenta,194,94,0,1,32,57,1,0,1,0,0,0,1,0,0,0,1
PT_041212,Montouto,185,37,0,0,12,23,0,0,0,0,0,0,0,0,0,0,2
PT_041213,Nunes,208,80,1,1,26,42,1,0,2,0,1,0,3,1,0,1,1
PT_041214,Ousilhão,201,45,2,6,10,17,2,0,4,0,0,0,2,1,1,0,0
PT_041215,Paçó,294,62,2,2,34,23,0,0,0,0,0,0,1,0,0,0,0
PT_041216,Penhas Juntas,356,75,0,0,43,23,2,0,1,0,3,0,1,0,0,0,2
PT_041217,Pinheiro Novo,145,42,2,1,5,29,0,0,2,1,0,1,0,0,0,1,0
PT_041218,Quirás,307,60,0,0,18,39,0,0,0,2,0,0,1,0,0,0,0
PT_041219,Rebordelo,771,191,1,2,92,83,0,0,4,0,0,3,1,0,1,1,3
PT_041220,Santa Cruz,91,34,0,0,18,11,1,0,1,3,0,0,0,0,0,0,0
PT_041221,Santalha,412,108,0,0,67,35,2,0,1,1,0,0,0,0,0,0,2
PT_041222,São Jomil,94,25,1,0,5,16,0,0,0,1,1,0,0,1,0,0,0
PT_041223,Sobreiro De Baixo,404,93,0,0,42,45,1,0,0,0,0,0,1,1,0,1,2
