gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD.CDS-PP.PPM,CH,IL,BE,PCP-PEV,L,ADN,PAN,Volt,E,ND,RIR,MAS,MPT,NC,PTP
PT_160747,Rebordões (Souto),1055,393,3,7,53,231,37,24,9,6,3,9,1,1,5,2,0,1,1,0,0
PT_160746,Serdedelo,441,170,0,4,39,86,20,8,3,2,0,4,1,1,0,0,1,0,0,1,0
PT_160745,Seara,608,331,2,5,71,157,40,29,3,2,7,6,2,3,0,0,2,0,1,1,0
PT_160744,Rebordões (Santa Maria),960,389,2,12,77,193,35,25,12,6,11,10,0,2,0,1,0,2,0,0,1
PT_160743,Santa Cruz Do Lima,413,173,0,0,49,90,11,7,3,0,4,6,1,1,0,1,0,0,0,0,0
PT_160742,Santa Comba,529,268,0,2,79,95,25,30,12,8,6,5,1,1,1,1,0,1,0,0,1
PT_160740,Sá,347,184,2,6,45,87,13,13,5,4,2,4,2,0,0,0,0,1,0,0,0
PT_160739,Ribeira,1726,756,10,6,286,254,54,63,22,19,20,11,3,3,2,1,1,1,0,0,0
PT_160737,Refóios Do Lima,2093,725,4,6,130,389,66,44,17,12,15,18,7,1,0,4,1,5,2,2,2
PT_160734,Poiares,726,358,1,5,76,187,38,20,6,3,6,14,0,1,0,1,0,0,0,0,0
PT_160729,Labruja,382,231,3,3,42,121,22,19,0,1,2,11,0,2,0,2,1,1,1,0,0
PT_160728,Gondufe,369,125,0,0,23,74,6,11,1,0,2,7,0,0,0,1,0,0,0,0,0
PT_160727,Gemieira,586,195,2,3,48,77,21,23,5,2,3,3,3,3,0,0,0,0,1,0,1
PT_160726,Gandra,1016,443,2,5,90,227,42,38,7,9,12,3,2,0,3,3,0,0,0,0,0
PT_160724,Friastelas,562,225,3,5,26,123,30,7,3,1,6,15,0,0,1,1,2,0,2,0,0
PT_160721,Fontão,1052,453,2,7,102,221,35,45,10,3,8,17,2,0,0,0,0,1,0,0,0
PT_160719,Feitosa,1673,671,1,12,176,246,66,74,26,19,21,14,6,1,1,2,0,3,1,2,0
PT_160718,Facha,1301,621,4,16,151,290,55,37,18,16,10,10,5,1,1,2,0,2,1,1,1
PT_160717,Estorãos,422,235,2,3,73,101,15,17,4,5,7,3,1,1,0,2,0,1,0,0,0
PT_160716,Correlhã,2534,1151,11,10,264,578,93,98,20,13,16,29,6,3,2,3,1,3,0,1,0
PT_160714,Calvelo,628,294,2,8,77,118,23,33,4,3,10,11,2,0,2,0,0,0,1,0,0
PT_160713,Calheiros,893,404,0,3,87,194,47,34,16,8,4,6,1,0,1,0,0,2,1,0,0
PT_160710,Brandara,433,169,4,1,38,82,25,12,3,1,1,1,0,0,0,0,0,1,0,0,0
PT_160709,Boalhosa,206,62,1,1,6,42,4,2,1,0,1,4,0,0,0,0,0,0,0,0,0
PT_160708,Bertiandos,369,225,4,8,44,124,16,10,7,2,4,4,2,0,0,0,0,0,0,0,0
PT_160707,Beiral Do Lima,634,250,2,2,34,151,27,7,2,0,4,15,1,0,0,1,1,2,0,0,1
PT_160704,Arcozelo,3221,1280,17,22,369,463,126,95,37,64,32,29,7,3,6,5,1,0,0,3,1
PT_160703,São Pedro d'Arcos,607,271,4,11,77,105,17,30,6,3,8,6,0,0,0,1,1,2,0,0,0
PT_160701,Anais,1014,497,3,8,81,268,65,31,9,0,6,19,0,0,0,2,1,1,1,1,1
PT_160630,Vila Chã (São João Baptista e Santiago),686,180,1,2,69,71,15,7,2,2,2,4,1,0,3,0,0,0,1,0,0
PT_160629,Touvedo (São Lourenço e Salvador),469,173,0,4,59,79,17,7,2,0,0,2,1,0,1,0,0,0,0,1,0
PT_160628,"Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães",4536,1693,10,22,692,533,102,133,54,47,53,25,8,3,1,5,1,0,1,2,1
PT_160627,"Entre Ambos-os-Rios, Ermida e Germil",664,285,4,1,90,111,31,17,3,11,6,4,4,0,1,0,1,1,0,0,0
PT_160626,"Crasto, Ruivos e Grovelas",878,310,1,5,109,124,25,20,0,7,4,10,4,0,0,0,0,1,0,0,0
