gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,FDP,DIE LINKE,GRÜNE,CSU,NPD,REP,FAMILIE,Die Tierschutzpartei,PBC,MLPD,BüSo,BP,PSG,Volksabstimmung,ZENTRUM,ADM,CM,DKP,DVU,DIE VIOLETTEN,FWD,ödp,PIRATEN,RRP,RENTNER
DE_01051057,Kaiser-Wilhelm-Koog,270,175,7,0,43,68,37,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_01051058,Karolinenkoog,102,68,1,0,13,25,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_01051060,Kleve,366,246,9,0,64,89,30,16,24,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
DE_01051061,Krempel,483,315,8,0,109,92,36,39,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
DE_01051062,Kronprinzenkoog,688,434,11,0,132,153,66,32,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
DE_01051063,Krumstedt,423,284,7,0,51,124,45,31,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2
DE_01051064,Kuden,494,335,16,0,69,114,59,28,34,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1
DE_01051065,Lehe,910,554,14,0,155,172,110,58,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2
DE_01051067,Lieth,347,220,7,0,47,75,35,22,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1
DE_01051068,Linden,679,463,15,0,98,170,97,28,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,8
DE_01051069,Lohe-Rickelshof,1690,1163,18,0,296,405,213,76,116,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,14
DE_01051071,Lunden,1390,720,30,0,245,223,77,65,46,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,10
DE_01051072,Marne,4746,2777,77,0,725,946,520,222,153,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,60,0,41
DE_01051073,Marnerdeich,319,185,1,0,50,53,34,26,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
DE_01051074,Meldorf,5905,3518,92,0,948,1031,603,323,391,0,28,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,67,0,29
DE_01051075,Neuenkirchen,809,558,14,0,156,163,117,58,34,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3
DE_01051076,Neufeld,527,358,10,0,88,140,60,23,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2
DE_01051077,Neufelderkoog,105,82,1,0,8,43,23,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_01051078,Nindorf,924,631,18,0,145,201,117,66,58,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,11
DE_01051079,Norddeich,346,216,4,0,71,68,42,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
