gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,FDP,DIE LINKE,GRÜNE,CSU,NPD,REP,FAMILIE,Die Tierschutzpartei,PBC,MLPD,BüSo,BP,Volksabstimmung,ZENTRUM,ADM,DKP,DIE VIOLETTEN,ödp,PIRATEN,RRP,Freie Union,Übrige
DE_01051074,Meldorf,5905,3518,88,0,1162,1229,408,317,271,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
DE_01051075,Neuenkirchen,809,558,22,0,165,186,91,47,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DE_01051076,Neufeld,527,358,11,0,106,162,40,11,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051077,Neufelderkoog,105,82,2,0,7,51,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051078,Nindorf,924,631,23,0,173,241,80,57,50,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051079,Norddeich,346,216,6,0,85,75,27,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051080,Norderheistedt,104,81,2,0,11,36,12,13,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051081,Norderwöhrden,225,152,8,0,28,71,18,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051082,Nordhastedt,2117,1446,48,0,385,596,193,85,127,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051083,Odderade,259,193,6,0,51,96,17,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051084,Oesterdeichstrich,208,130,4,0,35,59,17,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051085,Offenbüttel,240,158,4,0,17,104,17,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051086,Osterrade,364,255,5,0,52,112,29,28,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051087,Ostrohe,790,524,9,0,156,204,72,27,47,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051088,Pahlen,926,617,23,0,152,268,106,30,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051089,Quickborn,167,118,3,0,24,57,12,5,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051090,Ramhusen,122,66,1,0,15,37,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051092,Rehm-Flehde-Bargen,444,284,10,0,97,92,46,19,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051093,Reinsbüttel,330,222,4,0,67,84,30,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051096,Sankt Annen,260,166,3,0,45,73,22,9,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051097,Sankt Michaelisdonn,2891,1738,52,0,492,710,249,113,98,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
DE_01051098,Sarzbüttel,581,381,7,0,124,138,46,35,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051099,Schafstedt,1092,738,19,0,157,355,112,34,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051100,Schalkholz,491,324,10,0,44,159,53,26,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
DE_01051102,Schlichting,197,137,5,0,28,59,21,10,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DE_01051103,Schmedeswurth,173,116,4,0,25,57,18,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051104,Schrum,71,54,0,0,12,34,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051105,Schülp,360,254,7,0,68,108,32,21,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051107,Stelle-Wittenwurth,389,210,8,0,59,87,29,11,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051108,Strübbel,81,69,3,0,20,30,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051109,Süderdeich,376,230,5,0,66,86,34,19,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051110,Süderhastedt,666,464,17,0,90,239,60,19,29,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DE_01051113,Wöhrden,1078,723,21,0,200,284,105,59,46,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051114,Tellingstedt,2030,1393,47,0,306,612,207,104,108,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01051117,Tielenhemme,135,102,3,0,18,47,17,10,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051118,Trennewurth,226,155,6,0,46,50,28,9,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
