gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,FDP,DIE LINKE,GRÜNE,CSU,PIRATEN,NPD,Tierschutzpartei,REP,ÖDP,FAMILIE,Bündnis 21/RRP,RENTNER,BP,PBC,BüSo,DIE VIOLETTEN,MLPD,Volksabstimmung,PSG,AfD,BIG,pro Deutschland,DIE RECHTE,DIE FRAUEN,FREIE WÄHLER,Partei der Nichtwähler,PARTEI DER VERNUNFT,Die PARTEI
DE_08327038,Neuhausen ob Eck,2884,1789,30,0,854,358,131,100,113,0,30,41,13,11,5,0,0,6,0,3,0,0,0,4,0,64,2,3,0,0,20,0,1,0
DE_08327040,Reichenbach am Heuberg,346,208,6,0,123,27,12,8,9,0,2,10,3,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
DE_08327041,Renquishausen,585,420,7,0,246,42,44,15,20,0,6,4,2,0,3,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,8,0,1,0
DE_08327046,Spaichingen,8994,4926,62,0,2493,889,330,234,357,0,87,50,31,2,23,0,0,9,0,3,3,0,1,8,0,259,3,0,0,0,77,0,5,0
DE_08327048,Talheim,941,609,9,0,291,148,31,24,30,0,8,9,2,5,3,0,0,1,0,2,0,0,0,4,0,30,1,0,0,0,8,0,3,0
DE_08327049,Trossingen,10859,5586,85,0,2761,1001,498,237,335,0,127,68,37,9,10,0,0,16,0,50,0,0,2,13,0,272,1,7,0,0,52,0,5,0
DE_08327050,Tuttlingen,22435,12253,217,0,5645,2598,675,657,1073,0,255,166,71,28,34,0,0,25,0,24,3,0,2,17,0,626,16,8,0,0,100,0,13,0
DE_08327051,Wehingen,2331,1278,26,0,730,192,64,40,74,0,27,22,7,3,7,0,0,1,0,1,0,0,0,1,0,73,0,0,0,0,8,0,2,0
DE_08327054,Wurmlingen,2956,1700,27,0,886,315,87,69,140,0,27,20,8,2,4,0,0,4,0,3,0,0,0,1,0,90,0,1,0,0,15,0,1,0
DE_08327055,Seitingen-Oberflacht,1708,1036,16,0,541,183,58,56,72,0,20,18,6,3,1,0,0,3,0,2,0,0,0,2,0,37,1,1,0,0,16,0,0,0
DE_08327056,Rietheim-Weilheim,2022,1178,15,0,602,202,83,51,80,0,28,17,5,2,5,0,0,9,0,0,0,0,0,2,0,44,1,0,0,0,32,0,0,0
DE_08327057,Emmingen-Liptingen,3448,1988,53,0,927,347,158,73,141,0,38,44,13,8,12,0,0,4,0,3,0,0,1,8,0,131,0,3,0,0,22,0,2,0
DE_08327999,Briefwahl für mehrere Gemeinden,0,13996,111,0,7209,2183,1135,447,1289,0,219,124,129,40,75,0,0,61,0,47,2,0,4,55,0,676,1,4,0,0,172,0,13,0
DE_08335001,Aach,1676,939,12,0,413,185,63,44,89,0,25,16,10,0,2,0,0,2,0,1,0,0,0,1,0,64,0,4,0,0,7,0,1,0
DE_08335002,Allensbach,5549,3124,34,0,1444,654,177,114,415,0,64,10,26,2,9,0,0,5,0,1,0,0,2,2,0,147,0,0,0,0,17,0,1,0
DE_08335015,Büsingen am Hochrhein,770,371,4,0,186,48,35,16,36,0,7,3,6,0,1,0,0,1,0,3,0,0,0,1,0,23,0,0,0,0,1,0,0,0
DE_08335021,Eigeltingen,2791,1695,24,0,894,255,138,58,147,0,31,11,14,6,7,0,0,1,0,10,1,0,1,10,0,76,0,1,0,0,8,0,2,0
DE_08335022,Engen,7631,4446,74,0,2162,829,315,193,375,0,77,62,37,12,22,0,0,10,0,9,0,0,1,14,0,220,1,2,0,0,27,0,4,0
DE_08335025,Gaienhofen,2515,1446,13,0,673,253,134,61,162,0,32,6,12,3,3,0,0,4,0,3,2,0,0,2,0,77,0,0,0,0,5,0,1,0
DE_08335026,Gailingen am Hochrhein,2053,1179,22,0,540,189,85,69,127,0,18,11,11,2,3,0,0,7,0,3,0,0,0,4,0,80,0,1,0,0,7,0,0,0
