gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Ε.Δ.Ε.Κ.-Σ.Κ.,ΔΗ.ΚΟ.,Α.Κ.Ε.Λ.,Κ.Ο.Σ.Π.,ΕΥΡΩ.ΚΟ.,Ματσάκης,Κ.Ε.Κ.,Ε.ΛΑ.Μ.,Κυριακού,Ευστρατίου,Μιχαήλ,Κωνσταντίνου [Κωνσταντίνου Μάριος]
CY_5210,Kolossi,2807,1558,21,8,591,90,115,638,13,43,10,10,19,0,0,0,0
CY_5211,Ερήμη,1034,633,8,5,254,24,66,236,10,18,4,3,4,1,0,0,0
CY_5212,Επισκοπή (Λεμεσού),2438,1459,20,17,560,195,111,473,13,45,12,3,7,1,1,1,0
CY_5213,Kantou,347,211,4,0,48,19,25,106,0,5,2,0,1,0,1,0,0
CY_5214,Σωτήρα (Λεμεσού),80,70,4,2,27,1,12,23,1,0,0,0,0,0,0,0,0
CY_5220,Πραστιό (Αυδήμου),192,146,2,0,54,43,11,29,3,4,0,0,0,0,0,0,0
CY_5221,Paramali,140,103,1,1,55,8,11,21,0,5,0,0,0,0,0,0,1
CY_5222,Αυδήμου,497,279,4,1,142,37,27,55,2,6,3,1,0,0,1,0,0
CY_5224,Agios Thomas,76,50,2,0,17,3,5,16,1,5,0,0,0,1,0,0,0
CY_5225,Alektora,92,63,2,0,14,17,11,15,0,1,0,2,0,0,0,1,0
CY_5226,Ανώγυρα,202,138,2,0,34,9,31,53,7,1,1,0,0,0,0,0,0
CY_5227,Pissouri,801,578,7,4,189,54,58,193,35,30,2,3,1,0,2,0,0
CY_5300,Souni-Zanakia,331,199,3,0,89,14,21,50,8,9,5,0,0,0,0,0,0
CY_5302,Alassa,219,136,2,1,61,8,26,26,1,3,1,6,0,0,0,1,0
CY_5304,Πάνω Κιβίδες,514,296,3,2,179,13,53,31,5,9,1,0,0,0,0,0,0
CY_5305,Άγιος Αμβρόσιος (Λεμεσού),302,210,3,3,62,34,30,19,46,11,2,0,0,0,0,0,0
CY_5306,Agios Therapon,232,170,1,1,124,5,22,15,1,0,1,0,0,0,0,0,0
CY_5307,Λόφου,87,52,1,1,26,7,4,9,2,2,0,0,0,0,0,0,0
CY_5308,Πάχνα,972,590,5,2,297,50,117,80,3,28,2,0,3,0,3,0,0
CY_5310,Άγιος Γεώργιος (Λεμεσού),124,68,2,1,19,16,11,14,1,2,0,2,0,0,0,0,0
CY_5311,Doros,138,117,0,0,8,5,4,7,0,7,2,82,1,0,1,0,0
CY_5312,Laneia,203,149,1,3,42,15,25,32,9,11,1,10,0,0,0,0,0
CY_5313,Silikou,174,120,2,2,35,5,16,54,2,1,2,1,0,0,0,0,0
CY_5314,Monagri,192,127,2,3,40,24,15,9,1,7,1,24,0,0,1,0,0
CY_5315,Τριμήκληνη,337,216,2,1,60,20,48,62,0,17,1,5,0,0,0,0,0
CY_5316,Agios Mamas,237,148,1,0,66,21,31,20,0,6,2,1,0,0,0,0,0
CY_5317,Kouka,57,47,1,0,7,2,5,30,0,0,0,2,0,0,0,0,0
CY_5318,Μονιάτης,347,199,1,0,106,15,28,28,0,14,0,5,0,0,2,0,0
CY_5320,Dora,249,136,9,0,66,3,27,23,0,2,0,0,0,0,5,1,0
CY_5322,Άρσος (Λεμεσού),295,238,3,1,85,12,29,96,2,6,0,0,0,0,4,0,0
CY_5324,Malia,96,54,0,0,21,2,7,20,0,4,0,0,0,0,0,0,0
CY_5325,Βάσα (Κοιλανίου),196,132,3,1,49,4,12,50,2,9,1,0,1,0,0,0,0
CY_5326,Βουνί,191,119,4,0,52,6,36,19,0,1,0,1,0,0,0,0,0
CY_5327,Pera Pedi,128,93,1,1,42,20,4,21,1,3,0,0,0,0,0,0,0
CY_5328,Μανδριά (Λεμεσού),116,84,2,1,22,5,11,37,0,2,2,2,0,0,0,0,0
CY_5329,Potamiou,85,61,1,0,24,5,18,8,0,1,1,0,3,0,0,0,0
CY_5330,Omodos,315,219,4,1,51,22,82,20,5,14,0,1,19,0,0,0,0
CY_5331,Koilani,429,274,2,5,70,33,51,100,0,8,4,0,1,0,0,0,0
CY_5340,'Αγιος Δημήτριος,63,31,0,0,19,6,1,5,0,0,0,0,0,0,0,0,0
CY_5341,Παλαιόμυλος,47,38,0,0,4,6,2,22,0,3,0,0,1,0,0,0,0
CY_5342,Prodromos,150,86,1,2,30,6,23,12,2,9,1,0,0,0,0,0,0
CY_5343,Kaminaria,88,66,1,4,25,2,14,15,1,3,0,1,0,0,0,0,0
