gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,ΔΗ.ΣΥ.,Παναγιώτου,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Βολτ,ΔΗ.ΠΑ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ο.Σ.Π.,Κ.Ε.Κ.Κ.,Κ.Ζ.Κ.,Κ.Ε.Δ.,Ζερβίδης,ΝΙΚΗ
CY_5013,Germasogeia,7372,4872,97,371,860,1382,906,385,335,167,81,129,59,23,19,43,10,5
CY_5020,Pano Polemidia,3366,2338,49,163,645,469,416,159,181,48,33,112,7,38,5,10,3,0
CY_5021,'Υψωνας,7408,5474,140,442,664,1464,1439,395,445,102,92,146,44,57,13,15,7,9
CY_5022,Kato Polemidia,15850,11072,260,941,2197,2253,2458,751,827,163,173,737,91,110,32,40,16,23
CY_5100,Palodeia,1025,789,23,66,107,167,190,64,92,25,14,21,7,6,3,2,0,2
CY_5101,Παραμύθα,560,507,18,49,26,77,133,37,102,8,9,13,5,20,2,2,4,2
CY_5102,Spitali,201,117,3,1,8,53,13,13,15,2,3,4,0,1,0,1,0,0
CY_5103,Φασούλα Λεμεσού,665,587,10,65,83,141,131,38,62,9,5,15,13,6,5,2,2,0
CY_5104,Μαθικολώνη,210,197,1,28,19,45,57,8,28,3,0,3,1,0,1,2,1,0
CY_5105,Gerasa,135,80,1,0,9,22,16,13,12,0,0,6,0,1,0,0,0,0
CY_5106,Apsiou,318,297,8,27,102,39,64,11,21,2,1,7,3,7,4,0,0,1
CY_5107,Apesia,383,269,0,16,13,86,66,27,44,3,6,4,1,0,1,1,0,1
CY_5108,Κορφή,243,223,3,20,19,92,35,16,20,1,1,10,1,3,0,1,0,1
CY_5109,Λιμνάτης,300,169,6,0,26,41,17,29,34,1,0,11,2,0,0,2,0,0
CY_5110,Καπηλειό,71,59,1,4,11,16,5,6,1,0,2,11,2,0,0,0,0,0
CY_5120,Mouttagiaka,1938,1384,23,111,312,255,383,77,103,23,20,28,6,8,4,18,4,9
CY_5121,Αρμενοχώρι,191,160,5,26,56,13,38,3,6,3,0,2,0,8,0,0,0,0
CY_5122,Φοινικάρια,382,319,9,41,35,49,82,16,28,15,4,5,10,8,4,5,7,1
CY_5123,Akrounta,371,292,9,31,41,46,61,46,23,9,1,7,12,4,1,0,1,0
CY_5124,'Αγιος Τύχων,1764,1227,25,118,118,328,239,115,154,23,27,35,23,7,3,8,3,1
CY_5125,Παρεκκλησιά,1626,1297,31,128,185,277,345,56,155,27,22,18,21,14,6,6,3,3
CY_5126,Pentakomo,519,458,12,31,64,105,116,42,54,6,0,18,1,3,1,2,3,0
CY_5127,Monagroulli,539,448,7,26,113,103,96,18,45,8,1,7,5,10,2,6,0,1
CY_5128,Μονή,414,310,3,18,79,43,65,21,29,2,2,10,32,2,2,2,0,0
CY_5129,Πύργος Λεμεσού,1621,1355,39,141,195,298,266,78,231,15,15,28,19,15,9,4,2,0
CY_5130,Asgata,375,337,4,22,98,53,51,27,55,4,0,10,0,11,0,2,0,0
CY_5131,Βάσα Κελλακίου,64,33,0,0,4,3,2,1,20,1,0,2,0,0,0,0,0,0
CY_5132,Sanida,87,79,0,8,9,12,13,4,6,0,3,19,0,1,1,3,0,0
CY_5133,Πραστιό Κελλακίου,93,83,3,10,28,4,23,7,5,0,1,0,0,1,0,0,0,1
CY_5136,Kellaki,348,311,8,25,79,39,81,23,22,10,0,9,3,6,3,3,0,0
CY_5138,Eptagoneia,343,269,7,24,47,63,37,22,32,4,5,6,9,8,3,1,1,0
