gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,Ε.ΛΑ.Μ.,ΔΗ.ΚΟ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ε.Κ.Κ.,Π.Λ.,Α2020,Κ.Ο.Σ.Π.,ΔΗ.ΠΑ.,Α.Γ.,Σπάρος,Αλληλεγγύη,Πουργουρίδης,Χριστοδούλου,Κ.Ζ.Κ.,Α.Γ.Κ.,Π.Σ.,Χριστού,Θεμιστοκλέους,Μαρδαπήττας,Χρυσάνθου
CY_5011,Mesa Geitonia,9620,5931,124,34,1377,1345,332,782,291,135,50,101,226,470,149,4,219,125,6,77,74,10,0,0,0,0
CY_5012,Agios Athanasios,8686,5304,115,28,1296,1420,353,599,290,99,41,72,199,249,156,1,129,62,6,90,98,0,1,0,0,0
CY_5013,Germasogeia,6496,4049,73,20,1174,802,239,480,155,76,38,78,168,304,107,1,97,67,0,58,110,2,0,0,0,0
CY_5020,Pano Polemidia,3355,2121,29,12,478,834,108,137,96,105,9,23,41,96,44,0,44,1,0,15,49,0,0,0,0,0
CY_5021,'Υψωνας,6757,4446,120,28,1758,670,338,444,133,145,33,83,119,170,126,1,120,77,4,46,25,4,2,0,0,0
CY_5022,Kato Polemidia,14630,9218,211,58,2271,2551,556,985,489,364,81,125,205,446,277,0,280,107,6,86,112,2,6,0,0,0
CY_5100,Palodeia,996,656,14,4,178,117,43,58,43,32,9,5,37,26,26,0,26,15,3,9,11,0,0,0,0,0
CY_5101,Παραμύθα,309,220,10,1,56,19,29,45,3,15,0,4,1,16,3,0,14,3,0,1,0,0,0,0,0,0
CY_5102,Spitali,192,138,3,1,78,7,20,11,1,4,1,2,2,3,2,0,1,0,0,1,1,0,0,0,0,0
CY_5103,Φασούλα Λεμεσού,463,314,7,0,119,61,21,27,11,6,3,5,13,15,11,1,1,4,0,5,2,2,0,0,0,0
CY_5104,Μαθικολώνη,115,85,5,1,24,6,10,7,4,3,1,2,3,5,1,0,3,8,0,2,0,0,0,0,0,0
CY_5105,Gerasa,129,96,3,0,27,8,19,24,4,1,1,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0
CY_5106,Apsiou,257,190,3,0,26,93,4,19,8,16,0,1,0,8,2,0,2,3,0,5,0,0,0,0,0,0
CY_5107,Apesia,330,240,4,0,97,18,30,42,4,12,2,3,0,13,5,0,6,2,0,2,0,0,0,0,0,0
CY_5108,Κορφή,239,165,2,3,61,17,12,22,6,13,2,1,3,5,3,0,10,3,1,1,0,0,0,0,0,0
CY_5109,Λιμνάτης,286,236,5,0,57,34,20,44,11,4,10,1,2,16,1,0,28,2,0,1,0,0,0,0,0,0
CY_5120,Mouttagiaka,2514,1492,23,8,366,434,98,96,76,68,29,32,47,66,48,0,44,10,0,23,20,2,2,0,0,0
CY_5122,Φοινικάρια,248,137,4,1,45,21,8,7,5,16,0,0,8,4,3,0,5,3,0,7,0,0,0,0,0,0
CY_5123,Akrounta,307,197,8,0,30,28,12,50,16,6,3,6,10,6,6,0,11,2,0,2,1,0,0,0,0,0
CY_5124,'Αγιος Τύχων,1981,1114,14,2,371,167,49,136,40,45,3,32,42,67,38,0,31,19,0,11,46,1,0,0,0,0
CY_5125,Παρεκκλησιά,1095,681,25,5,178,149,52,73,18,42,4,7,32,41,14,1,8,19,0,9,4,0,0,0,0,0
CY_5126,Pentakomo,385,247,9,5,69,60,25,29,6,5,4,1,4,8,7,0,13,1,0,1,0,0,0,0,0,0
CY_5127,Monagroulli,384,257,0,2,79,85,15,18,2,9,5,2,2,11,10,0,6,6,1,3,1,0,0,0,0,0
CY_5128,Μονή,335,232,3,2,47,71,14,10,7,10,0,2,21,17,9,0,15,2,0,0,2,0,0,0,0,0
CY_5129,Πύργος Λεμεσού,1228,818,22,4,303,156,66,74,25,30,13,12,21,33,12,0,26,12,1,4,4,0,0,0,0,0
CY_5130,Asgata,308,250,1,0,48,90,24,32,6,10,3,1,7,7,8,0,9,1,0,3,0,0,0,0,0,0
CY_5131,Βάσα Κελλακίου,66,51,0,0,8,15,7,12,5,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0
CY_5133,Πραστιό Κελλακίου,86,62,3,2,5,31,0,6,7,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
CY_5136,Kellaki,322,220,7,2,47,70,9,18,13,8,2,7,1,15,9,0,3,2,0,4,3,0,0,0,0,0
CY_5138,Eptagoneia,302,213,4,0,92,53,8,16,5,11,1,3,6,3,4,0,5,0,0,2,0,0,0,0,0,0
CY_5140,Dierona,221,164,3,0,39,82,11,3,2,4,1,0,4,10,1,0,3,0,1,0,0,0,0,0,0,0
CY_5141,Arakapas,322,251,4,1,99,48,31,21,15,11,5,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0
CY_5142,'Αγιος Παύλος,134,102,1,0,35,19,1,8,18,3,0,5,0,5,3,0,1,2,0,1,0,0,0,0,0,0
CY_5143,Agios Konstantinos,189,141,0,2,72,9,5,26,3,5,1,2,1,7,4,0,2,1,0,1,0,0,0,0,0,0
CY_5144,Συκόπετρα,130,96,0,0,6,22,6,12,36,4,0,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0
CY_5145,Λουβαράς,336,232,6,1,43,100,10,13,12,11,1,0,10,10,6,0,4,4,0,1,0,0,0,0,0,0
CY_5146,Καλό Χωριό Λεμεσού,364,269,2,1,82,72,16,24,10,8,3,1,5,22,7,0,10,4,0,2,0,0,0,0,0,0
CY_5147,Ζωοπηγή,167,111,1,0,28,7,12,19,19,3,1,2,0,9,2,0,2,2,0,4,0,0,0,0,0,0
CY_5200,Ακρωτήρι,680,471,8,1,228,55,20,63,24,12,2,2,11,21,10,0,6,2,1,4,1,0,0,0,0,0
CY_5201,Ασώματος Λεμεσού,305,210,5,0,57,52,14,34,6,10,1,8,2,6,2,0,4,2,1,5,1,0,0,0,0,0
CY_5203,Τραχώνι Λεμεσού,3137,1899,48,11,524,464,142,169,105,89,12,41,39,91,48,0,43,37,1,15,19,1,0,0,0,0
CY_5210,Kolossi,3603,2191,73,19,638,493,143,172,101,102,23,19,60,98,51,0,122,23,0,21,32,1,0,0,0,0
CY_5211,Ερήμη,1124,835,5,4,214,146,28,184,21,27,8,11,9,27,84,0,45,16,0,6,0,0,0,0,0,0
CY_5212,Επισκοπή Λεμεσού,3019,1877,39,16,642,446,93,165,114,89,14,16,25,65,33,0,62,9,4,18,23,3,0,0,0,1
CY_5213,Kantou,545,295,7,1,87,95,13,17,18,19,1,3,8,7,8,0,2,0,0,2,7,0,0,0,0,0
