gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Αλληλεγγύη,Π.Λ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Σ.Π.,Κ.Ο.Σ.Π.,Ο.Α.Δ.,Κ.Ζ.Κ.,Κ.Κ.Σ.,Σταύρου [Σταύρου Λουκάς],Ευστρατίου,Θεοδούλου,Ο.Σ.Α.,Χριστοφόρου [Χριστοφόρου Γεώργιος],Αγγέλη
CY_3111,Αχνα,1600,1137,34,6,488,195,182,87,45,2,45,31,12,0,3,7,0,0,0,0,0,0
CY_3114,Αχερίτου,1686,1171,52,6,411,436,89,28,31,4,62,12,25,1,9,5,0,0,0,0,0,0
CY_4000,Λάρνακα,33888,21821,513,235,6647,5806,3152,628,954,216,921,1434,824,35,307,146,0,0,3,0,0,0
CY_4010,Aradippou,10384,7290,146,94,2339,2332,842,199,319,113,281,311,180,15,67,52,0,0,0,0,0,0
CY_4011,Λιβάδια Λάρνακας,4176,2879,43,26,717,1273,254,62,85,18,112,162,81,4,27,15,0,0,0,0,0,0
CY_4014,Δρομολαξιά-Μενεού,5422,3663,96,39,1049,1457,366,82,132,32,104,115,135,4,37,15,0,0,0,0,0,0
CY_4100,Kellia,271,219,7,4,56,64,15,7,2,0,1,56,6,0,1,0,0,0,0,0,0,0
CY_4101,Troulloi,927,769,12,4,308,42,315,20,16,5,14,9,23,0,0,1,0,0,0,0,0,0
CY_4102,Bορόκληνη(Ορόκληνη),2170,1468,53,17,556,401,118,49,53,17,48,70,54,5,18,9,0,0,0,0,0,0
CY_4103,Αβδελλερό,120,72,2,1,13,14,18,12,1,3,4,2,1,0,1,0,0,0,0,0,0,0
CY_4104,Πύλα,1128,750,19,5,232,223,76,12,79,9,35,27,11,2,7,13,0,0,0,0,0,0
CY_4105,Ξυλοτύμβου,2763,1971,46,27,697,444,235,78,149,26,105,97,37,3,9,18,0,0,0,0,0,0
CY_4106,Ormideia,3418,2397,56,12,674,849,211,52,285,58,41,103,34,0,14,8,0,0,0,0,0,0
CY_4107,Ξυλοφάγου,4006,2660,117,40,1001,579,223,140,333,26,63,62,36,3,21,16,0,0,0,0,0,0
CY_4110,Kiti,2457,1668,34,20,330,855,146,21,56,7,56,84,37,2,14,6,0,0,0,0,0,0
CY_4111,Περιβόλια Λάρνακας,1516,1118,28,6,188,678,76,16,34,4,21,35,22,2,4,4,0,0,0,0,0,0
CY_4112,Τερσεφάνου,826,616,3,2,147,303,78,22,12,7,11,13,8,0,3,7,0,0,0,0,0,0
CY_4120,Mazotos,554,424,7,4,126,114,45,10,20,25,5,63,1,0,3,1,0,0,0,0,0,0
CY_4121,Alaminos,274,194,4,0,79,43,32,13,1,4,6,8,2,0,1,1,0,0,0,0,0,0
CY_4122,Αναφωτίδα,553,398,9,6,196,83,41,5,3,2,14,34,2,0,1,2,0,0,0,0,0,0
CY_4124,Κιβισίλι,168,138,3,1,87,16,11,7,3,0,3,1,2,0,0,4,0,0,0,0,0,0
CY_4125,Alethriko,727,482,13,4,154,149,58,13,22,6,13,29,14,1,2,4,0,0,0,0,0,0
CY_4126,Κλαυδιά,422,337,13,3,208,33,39,9,11,5,2,11,2,0,1,0,0,0,0,0,0,0
CY_4127,Αγγλισίδες,863,579,20,7,214,107,89,31,18,6,32,26,19,1,3,6,0,0,0,0,0,0
CY_4202,Athienou,3675,2742,50,32,690,620,445,86,126,19,479,59,107,3,16,10,0,0,0,0,0,0
CY_4210,Καλό Χωριό Λάρνακας,1222,824,18,15,297,267,64,9,28,8,57,33,18,1,3,6,0,0,0,0,0,0
CY_4211,Agia Anna,136,85,3,2,21,9,26,0,8,1,4,5,4,1,1,0,0,0,0,0,0,0
CY_4212,Μοσφιλωτή,932,657,17,5,217,222,73,28,16,9,21,14,18,0,13,4,0,0,0,0,0,0
CY_4213,Ψευδάς,1082,815,16,10,170,391,51,15,11,5,80,31,23,0,5,6,0,0,0,0,0,1
CY_4214,Πυργά (τα) Λάρνακας,524,357,6,6,70,155,57,10,13,2,9,11,10,0,6,2,0,0,0,0,0,0
CY_4215,Kornos,1526,1002,21,9,201,346,37,44,60,6,170,49,30,1,17,11,0,0,0,0,0,0
CY_4300,Ζύγι,810,540,13,4,205,118,63,21,56,2,18,20,12,0,2,4,0,0,0,1,1,0
CY_4301,Mari,120,98,0,0,74,7,2,3,8,0,2,0,2,0,0,0,0,0,0,0,0,0
CY_4302,Καλαβασός,522,331,6,4,68,104,48,22,15,1,29,17,9,0,8,0,0,0,0,0,0,0
CY_4303,Τόχνη,221,159,0,0,52,10,57,5,3,0,12,3,12,0,3,2,0,0,0,0,0,0
CY_4304,Χοιροκoιτία,372,257,3,4,73,31,81,21,20,0,9,7,3,0,2,3,0,0,0,0,0,0
CY_4305,Psematismenos,123,90,2,0,45,3,17,2,4,0,8,0,6,0,0,3,0,0,0,0,0,0
CY_4306,Maroni,372,261,1,0,121,9,70,15,14,0,15,4,7,1,1,3,0,0,0,0,0,0
CY_4307,Άγιος Θεόδωρος Λάρνακας,495,389,5,4,244,16,36,18,30,6,15,9,2,2,2,0,0,0,0,0,0,0
CY_4308,Skarinou,156,110,2,0,36,18,20,7,5,0,7,4,3,1,1,6,0,0,0,0,0,0
CY_4309,Κοφίνου,1198,809,24,4,278,264,68,41,39,4,35,22,5,0,2,22,0,0,0,0,1,0
CY_4310,Κάτω Λεύκαρα,144,113,2,1,11,12,22,0,4,0,58,2,1,0,0,0,0,0,0,0,0,0
CY_4311,Πάνω Λεύκαρα,931,682,10,11,148,113,70,8,13,2,263,13,26,1,3,1,0,0,0,0,0,0
CY_4312,Κάτω Δρυς,113,81,0,0,51,0,18,1,3,0,1,2,3,0,2,0,0,0,0,0,0,0
CY_4313,Βάβλα,116,80,1,2,42,2,7,2,1,0,8,6,3,0,5,1,0,0,0,0,0,0
CY_4315,Ora,126,101,2,0,47,6,25,6,5,2,6,2,0,0,0,0,0,0,0,0,0,0
CY_4316,Μελίνη,78,61,3,0,5,44,3,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0
CY_4317,Odou,138,95,4,2,44,26,6,2,0,1,2,4,3,0,0,1,0,0,0,0,0,0
CY_4318,'Αγιοι Βαβατσινιάς,158,101,2,1,38,18,23,3,0,0,4,10,2,0,0,0,0,0,0,0,0,0
CY_4319,Βαβατσινιά,95,68,0,0,32,6,17,0,3,0,9,0,1,0,0,0,0,0,0,0,0,0
CY_5000,Λεμεσός,63745,40499,812,337,11609,9678,6510,1122,2618,171,1732,3166,1775,121,658,144,26,0,2,1,3,14
CY_5011,Mesa Geitonia,9396,5981,105,55,1574,1636,910,145,442,17,324,375,259,11,110,14,3,0,0,0,1,0
CY_5012,Agios Athanasios,8458,5471,114,49,1539,1596,672,173,352,20,218,385,225,14,91,12,4,0,1,0,5,1
CY_5013,Germasogeia,5946,3697,79,25,1209,890,505,90,263,22,124,266,149,7,58,7,3,0,0,0,0,0
CY_5020,Pano Polemidia,3463,2339,47,23,610,956,258,43,88,8,80,105,83,7,25,6,0,0,0,0,0,0
CY_5021,'Υψωνας,5714,3742,67,44,1449,702,429,124,256,17,127,306,130,14,54,18,5,0,0,0,0,0
CY_5022,Kato Polemidia,13812,8866,229,92,2542,2759,1145,264,504,51,332,489,245,42,106,54,3,0,0,0,2,7
CY_5100,Palodeia,857,561,5,2,148,123,64,24,86,1,26,38,31,0,7,6,0,0,0,0,0,0
CY_5101,Παραμύθα,285,194,3,0,67,21,55,8,15,0,4,12,4,0,3,2,0,0,0,0,0,0
CY_5102,Spitali,191,133,3,1,82,11,15,9,5,2,1,3,0,0,1,0,0,0,0,0,0,0
CY_5103,Φασούλα Λεμεσού,386,257,6,3,76,69,32,8,24,0,3,20,14,0,2,0,0,0,0,0,0,0
CY_5104,Μαθικολώνη,102,79,0,0,23,10,15,3,5,3,7,4,4,0,4,1,0,0,0,0,0,0
CY_5105,Gerasa,132,105,1,0,34,17,17,28,3,0,2,1,1,0,1,0,0,0,0,0,0,0
CY_5106,Apsiou,209,167,5,4,29,95,15,3,3,0,3,5,0,0,3,2,0,0,0,0,0,0
CY_5107,Apesia,307,233,2,3,121,21,43,6,10,0,8,14,2,0,1,1,1,0,0,0,0,0
CY_5108,Κορφή,240,173,3,3,80,15,24,1,22,0,7,10,5,0,1,2,0,0,0,0,0,0
CY_5109,Λιμνάτης,284,226,8,3,69,31,68,11,12,0,11,5,8,0,0,0,0,0,0,0,0,0
CY_5120,Mouttagiaka,2223,1346,46,9,369,464,105,50,64,14,49,90,56,2,20,6,0,0,1,0,1,0
CY_5122,Φοινικάρια,225,123,4,1,46,24,5,6,14,1,1,14,3,0,4,0,0,0,0,0,0,0
CY_5123,Akrounta,303,186,4,2,42,35,58,7,8,0,12,10,2,1,5,0,0,0,0,0,0,0
CY_5124,'Αγιος Τύχων,1859,1069,22,4,383,181,130,49,118,1,40,71,53,5,10,2,0,0,0,0,0,0
CY_5125,Παρεκκλησιά,1038,656,9,12,208,127,103,20,37,1,28,35,57,7,11,0,1,0,0,0,0,0
CY_5126,Pentakomo,389,260,5,1,88,72,27,10,12,0,18,17,6,0,4,0,0,0,0,0,0,0
CY_5127,Monagroulli,356,244,4,2,75,91,18,6,23,3,9,6,4,1,2,0,0,0,0,0,0,0
CY_5128,Μονή,308,220,4,1,47,66,8,4,45,2,25,9,7,0,2,0,0,0,0,0,0,0
CY_5129,Πύργος Λεμεσού,1081,770,10,7,284,174,95,46,64,2,23,26,23,2,14,0,0,0,0,0,0,0
CY_5130,Asgata,300,229,1,2,68,80,35,10,9,3,4,9,5,1,2,0,0,0,0,0,0,0
CY_5131,Βάσα Κελλακίου,59,45,0,0,15,11,2,3,5,0,4,3,2,0,0,0,0,0,0,0,0,0
CY_5133,Πραστιό Κελλακίου,84,75,1,1,7,45,7,1,1,0,8,2,2,0,0,0,0,0,0,0,0,0
CY_5136,Kellaki,302,220,3,4,49,82,22,5,9,0,15,19,9,0,3,0,0,0,0,0,0,0
CY_5138,Eptagoneia,310,206,3,4,99,60,14,0,15,1,1,3,5,1,0,0,0,0,0,0,0,0
CY_5140,Dierona,230,177,1,0,38,86,13,7,11,0,5,6,4,1,4,1,0,0,0,0,0,0
CY_5141,Arakapas,292,231,5,3,84,66,29,10,9,9,7,7,1,1,0,0,0,0,0,0,0,0
CY_5142,'Αγιος Παύλος,143,103,2,0,39,26,9,7,9,0,7,4,0,0,0,0,0,0,0,0,0,0
CY_5143,Agios Konstantinos,187,131,6,3,69,10,29,1,5,1,0,4,0,2,0,0,1,0,0,0,0,0
CY_5144,Συκόπετρα,115,74,4,1,12,18,11,2,1,0,18,1,4,0,2,0,0,0,0,0,0,0
CY_5145,Λουβαράς,334,233,5,2,45,107,13,7,30,0,6,10,3,3,2,0,0,0,0,0,0,0
CY_5146,Καλό Χωριό Λεμεσού,381,295,9,0,123,78,26,7,24,3,13,5,5,0,2,0,0,0,0,0,0,0
CY_5147,Ζωοπηγή,179,144,6,2,32,14,36,18,10,2,10,10,3,0,1,0,0,0,0,0,0,0
CY_5200,Ακρωτήρι,636,472,11,3,206,59,64,20,25,0,32,28,21,1,1,1,0,0,0,0,0,0
CY_5201,Ασώματος Λεμεσού,221,146,4,0,47,35,20,6,8,1,5,13,4,1,2,0,0,0,0,0,0,0
CY_5203,Τραχώνι Λεμεσού,3013,1882,42,13,592,544,201,93,118,5,96,98,52,4,12,12,0,0,0,0,0,0
CY_5210,Kolossi,3286,2113,52,26,654,545,216,187,119,3,65,141,77,5,15,2,2,0,1,0,0,3
CY_5211,Ερήμη,991,762,11,9,211,177,189,54,29,3,21,34,15,3,4,2,0,0,0,0,0,0
CY_5212,Επισκοπή Λεμεσού,2985,2021,55,10,860,514,192,51,66,15,116,81,41,1,16,1,0,0,1,0,0,1
CY_5213,Kantou,514,304,6,1,96,104,26,16,11,1,16,13,10,0,3,1,0,0,0,0,0,0
CY_5214,Σωτήρα Λεμεσού,138,107,5,0,32,27,28,4,0,0,4,3,2,0,2,0,0,0,0,0,0,0
CY_5220,Πραστιό Αυδήμου,259,175,4,0,57,30,15,9,7,7,24,15,6,0,1,0,0,0,0,0,0,0
CY_5222,Αυδήμου,474,323,10,2,189,49,21,12,6,0,6,19,6,0,2,1,0,0,0,0,0,0
CY_5226,Ανώγυρα,168,135,1,2,39,45,28,1,6,1,5,4,0,0,0,3,0,0,0,0,0,0
CY_5227,Pissouri,749,557,5,4,165,141,86,47,38,5,24,26,9,2,3,1,1,0,0,0,0,0
CY_5300,Souni-Zanakia,384,276,11,0,95,34,62,7,15,0,5,23,19,2,2,1,0,0,0,0,0,0
CY_5302,Alassa,205,146,5,3,68,15,14,2,7,2,3,22,2,0,1,1,1,0,0,0,0,0
CY_5304,Πάνω Κιβίδες,576,469,3,5,167,33,208,12,13,5,6,6,9,0,1,0,1,0,0,0,0,0
CY_5305,Άγιος Αμβρόσιος Λεμεσού,334,279,5,2,91,8,38,43,12,1,56,18,5,0,0,0,0,0,0,0,0,0
CY_5306,Agios Therapon,212,169,3,0,118,7,29,1,5,0,4,0,1,1,0,0,0,0,0,0,0,0
CY_5307,Λόφου,134,108,1,1,49,14,14,5,4,2,11,3,2,0,2,0,0,0,0,0,0,0
CY_5308,Πάχνα,934,749,15,4,368,61,181,21,34,0,23,28,9,1,3,0,1,0,0,0,0,0
CY_5310,Άγιος Γεώργιος Λεμεσού,148,116,6,0,17,31,18,7,12,0,13,10,2,0,0,0,0,0,0,0,0,0
CY_5311,Doros,142,112,5,0,39,8,9,3,36,0,4,6,1,1,0,0,0,0,0,0,0,0
CY_5312,Laneia,156,117,1,0,61,12,15,3,6,2,4,4,7,0,1,1,0,0,0,0,0,0
CY_5313,Silikou,133,90,0,1,31,29,6,0,9,0,7,4,2,0,1,0,0,0,0,0,0,0
CY_5314,Monagri,195,142,5,1,33,14,20,14,10,0,5,37,3,0,0,0,0,0,0,0,0,0
CY_5315,Τριμήκληνη,951,589,5,6,211,97,77,25,37,3,24,48,47,5,2,2,0,0,0,0,0,0
CY_5316,Agios Mamas,246,186,4,2,57,10,26,1,44,1,24,15,1,1,0,0,0,0,0,0,0,0
CY_5317,Kouka,65,57,2,0,17,14,7,1,3,2,1,4,4,0,2,0,0,0,0,0,0,0
CY_5318,Μονιάτης,345,224,2,1,116,12,32,8,19,0,8,16,2,3,4,1,0,0,0,0,0,0
CY_5320,Dora,213,159,4,1,68,8,33,24,11,1,0,3,6,0,0,0,0,0,0,0,0,0
CY_5322,Άρσος Λεμεσού,281,223,5,1,74,77,30,6,5,1,6,9,9,0,0,0,0,0,0,0,0,0
CY_5324,Malia,72,55,1,1,10,16,8,7,2,0,3,4,1,2,0,0,0,0,0,0,0,0
CY_5325,Βάσα Κοιλανίου,205,153,4,0,64,44,18,4,9,0,4,2,3,0,1,0,0,0,0,0,0,0
CY_5326,Βουνί,205,149,6,0,36,18,28,4,16,0,4,7,23,0,6,1,0,0,0,0,0,0
CY_5327,Pera Pedi,151,113,2,0,56,21,21,1,4,0,0,3,4,0,0,1,0,0,0,0,0,0
CY_5328,Μανδριά Λεμεσού,107,76,2,0,17,26,13,2,7,0,4,3,2,0,0,0,0,0,0,0,0,0
