gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,Ε.ΛΑ.Μ.,ΔΗ.ΣΥ.,Ε.Δ.Ε.Κ.-Σ.Κ.,ΔΗ.ΠΑ.,ΔΗ.ΚΟ.,Ε.Α.Κ.,Κ.Γ.,Κ.Ο.Σ.Π.-Σ.Π.,Κ.Ζ.Κ.,Παρασκευά,Ο.Α.Δ.,Αριστείδου,Μαρδαπήττας,Σ.Κ.Κ.
CY_5355,Αμίαντος,284,192,1,0,52,20,74,3,13,22,2,1,4,0,0,0,0,0,0
CY_1231,Anageia,1099,572,7,4,217,67,134,32,22,53,1,7,18,4,4,0,1,0,1
CY_1222,Analiontas,292,151,2,1,41,17,39,29,5,7,0,1,3,2,4,0,0,0,0
CY_6107,Anarita,397,217,5,0,40,25,33,47,33,25,0,4,4,0,0,0,0,0,1
CY_4122,Αναφωτίδα,588,337,5,4,58,25,185,12,6,35,0,2,2,0,2,1,0,0,0
CY_5226,Ανώγυρα,225,137,2,4,42,5,27,8,25,18,1,1,3,1,0,0,0,0,0
CY_5107,Apesia,363,184,1,1,19,29,94,6,4,20,6,0,3,0,0,0,1,0,0
CY_1202,Απλίκι,103,58,0,1,30,3,5,11,1,7,0,0,0,0,0,0,0,0,0
CY_4010,Aradippou,10958,5517,103,44,1811,422,1850,454,131,425,8,47,140,57,15,4,3,2,1
CY_5141,Arakapas,327,203,1,2,48,42,77,15,0,14,0,0,2,1,1,0,0,0,0
CY_6363,Argaka,706,449,8,4,78,24,101,166,10,55,1,0,0,2,0,0,0,0,0
CY_1210,Arediou,1021,577,3,3,189,50,155,50,19,63,1,4,29,6,2,0,1,0,2
CY_5121,Αρμενοχώρι,161,77,2,0,48,6,7,2,1,7,0,1,2,1,0,0,0,0,0
CY_6111,Armou,293,150,6,2,40,27,15,22,2,25,1,0,9,1,0,0,0,0,0
CY_5322,Άρσος Λεμεσού,290,189,0,0,59,7,71,12,3,24,1,0,9,2,1,0,0,0,0
CY_6200,Πάνω Aρχιμανδρίτα,83,36,3,0,2,6,13,3,1,8,0,0,0,0,0,0,0,0,0
CY_5130,Asgata,341,201,6,1,87,14,43,19,3,16,1,2,5,4,0,0,0,0,0
CY_1301,Askas,200,105,1,0,11,13,44,16,3,11,0,0,5,0,1,0,0,0,0
CY_6231,Asprogia,112,53,1,0,7,19,15,4,0,3,0,0,3,1,0,0,0,0,0
CY_1362,Αστρομερίτης,13205,1570,37,6,738,70,230,102,65,200,1,67,34,3,5,2,0,7,3
CY_5201,Ασώματος Λεμεσού,389,181,5,1,57,12,53,15,7,18,3,3,5,2,0,0,0,0,0
CY_3110,Αυγόρου,3537,1981,63,45,511,220,801,74,50,147,6,7,30,11,5,6,2,1,2
CY_5222,Αυδήμου,509,240,9,0,40,26,137,4,4,16,0,2,2,0,0,0,0,0,0
CY_6014,Αχέλεια,113,60,1,1,4,7,12,10,1,21,0,0,2,1,0,0,0,0,0
CY_3114,Αχερίτου,6341,1062,40,10,467,85,225,42,14,83,1,50,37,3,0,1,0,3,1
CY_3111,Αχνα,1739,862,31,1,151,138,364,68,16,73,2,2,12,2,2,0,0,0,0
CY_5106,Apsiou,241,142,1,0,77,2,22,14,7,13,2,0,3,1,0,0,0,0,0
CY_4319,Βαβατσινιά,110,69,0,0,7,1,32,8,10,9,0,1,0,1,0,0,0,0,0
CY_4313,Βάβλα,134,68,0,0,5,3,33,8,0,13,0,0,4,0,0,0,1,1,0
CY_5131,Βάσα Κελλακίου,67,33,0,0,11,9,3,5,1,3,0,0,0,1,0,0,0,0,0
CY_5325,Βάσα Κοιλανίου,262,135,1,0,44,8,49,6,2,14,0,5,6,0,0,0,0,0,0
CY_CYZZBE,Citizens of Cyprus living in Belgium,253,220,4,0,75,1,43,29,11,17,0,9,27,3,1,0,0,0,0
CY_5326,Βουνί,265,142,3,2,20,8,48,12,6,26,0,4,8,1,1,1,1,1,0
CY_1323,Βυζακιά,410,188,3,0,52,25,66,12,10,16,0,0,3,0,1,0,0,0,0
CY_1406,Galata,625,347,12,1,55,28,51,41,24,125,0,2,6,0,1,1,0,0,0
CY_6224,Galataria,221,99,1,0,3,19,4,11,3,51,0,4,3,0,0,0,0,0,0
CY_1425,Gerakies,191,107,0,0,9,4,15,62,2,12,0,1,1,1,0,0,0,0,0
CY_5105,Gerasa,138,84,3,0,9,15,33,7,1,15,0,1,0,0,0,0,0,0,0
CY_1024,Geri,5551,2624,35,14,932,218,692,197,77,247,4,39,108,17,25,11,1,5,2
CY_5013,Germasogeia,6660,3016,46,24,714,206,995,294,165,369,8,45,101,32,12,3,1,0,1
CY_6010,Γεροσκήπου,4799,2184,34,15,557,242,411,411,56,354,4,22,55,6,11,2,1,2,1
CY_6331,Giolou,647,361,7,2,67,43,91,93,11,33,4,2,7,1,0,0,0,0,0
CY_6345,Goudi,129,78,0,0,9,3,9,47,2,8,0,0,0,0,0,0,0,0,0
CY_1204,Γούρρη,328,172,1,0,59,14,31,15,23,21,0,3,4,1,0,0,0,0,0
CY_6364,Gialia,151,96,3,0,21,3,11,48,0,7,0,0,3,0,0,0,0,0,0
CY_1107,Dali,6617,3493,70,32,1297,212,847,291,159,310,0,53,158,24,22,7,0,10,1
CY_1242,Deneia,374,163,7,0,24,24,39,24,25,13,0,0,4,0,3,0,0,0,0
CY_3102,Δερύνεια,13932,3046,78,26,1772,118,507,107,36,132,1,190,38,18,4,5,3,8,3
CY_5140,Dierona,229,141,3,0,61,14,36,4,8,8,0,0,4,0,1,1,0,1,0
CY_5320,Dora,222,125,2,0,5,39,41,3,13,18,1,0,2,1,0,0,0,0,0
CY_4014,Δρομολαξιά-Μενεού,5302,2687,54,25,1137,159,785,113,64,231,0,28,56,22,7,2,1,3,0
CY_6353,Drouseia,309,200,2,1,10,14,85,45,6,35,0,0,1,0,1,0,0,0,0
CY_6308,Δρύμου,106,63,0,2,8,9,21,11,1,9,0,0,1,0,0,0,0,1,0
CY_6303,Θρίνια (Δρίνια),59,28,0,0,9,3,3,5,0,5,0,0,2,0,0,0,1,0,0
CY_5364,Δύμες,187,120,2,2,22,5,41,10,3,32,0,0,2,0,1,0,0,0,0
CY_5311,Doros,149,95,1,0,4,6,29,12,2,28,3,3,6,1,0,0,0,0,0
CY_1011,Έγκωμη Λευκωσίας,16626,5482,86,34,752,371,1736,588,332,993,4,145,318,55,40,22,5,1,0
CY_CYZZEL,Citizens of Cyprus living in Greece,3765,2384,31,19,902,153,703,292,41,164,0,17,31,17,3,3,2,3,3
CY_6022,Έμπα,2808,1331,26,5,166,247,387,175,45,236,3,13,19,3,3,1,2,0,0
CY_1228,Episkopeio,409,209,6,4,22,22,101,8,6,28,0,0,8,2,1,1,0,0,0
CY_5212,Επισκοπή Λεμεσού,2624,1288,21,14,337,103,452,111,45,159,3,3,21,6,5,4,2,2,0
CY_6112,Επισκοπή Πάφου,180,112,2,1,35,19,20,15,3,16,0,1,0,0,0,0,0,0,0
CY_5138,Eptagoneia,333,152,2,0,52,5,61,7,4,13,0,2,1,2,3,0,0,0,0
CY_1230,Ergates,1380,741,10,4,155,89,244,78,11,114,1,6,16,5,4,3,0,0,1
CY_5211,Ερήμη,1284,628,16,1,203,45,165,37,29,101,5,2,15,2,3,1,2,0,1
CY_1411,Ευρύχου,722,441,10,2,89,34,104,100,24,65,0,0,3,3,5,0,0,2,0
CY_4300,Ζύγι,480,281,9,1,61,39,81,18,30,27,0,1,6,5,1,2,0,0,0
CY_5147,Ζωοπηγή,179,108,4,0,6,22,27,17,5,25,0,0,1,1,0,0,0,0,0
CY_CYZZGB,Citizens of Cyprus living in United Kingdom,2117,1233,39,7,667,29,253,78,28,77,2,18,26,4,2,1,1,1,0
CY_6330,Theletra,142,84,1,0,5,7,5,26,24,16,0,0,0,0,0,0,0,0,0
CY_6352,Ineia,322,151,2,2,14,10,59,16,11,35,0,1,1,0,0,0,0,0,0
CY_6132,Kathikas,308,152,5,1,24,17,39,23,6,35,0,0,2,0,0,0,0,0,0
CY_1404,Kakopetria,1084,697,7,4,141,146,167,143,27,45,0,3,8,0,0,5,0,1,0
CY_4302,Καλαβασός,620,325,9,3,95,35,70,47,5,50,0,6,2,2,0,0,0,1,0
CY_1408,Kaliana,258,158,2,2,25,13,34,38,1,39,0,0,2,0,0,0,1,0,1
CY_6124,Kallepeia,237,164,4,1,69,7,24,29,1,25,0,1,2,0,0,0,0,1,0
CY_4210,Καλό Χωριό Λάρνακας,1247,650,15,8,224,41,208,36,11,76,0,8,16,7,0,0,0,0,0
CY_5146,Καλό Χωριό Λεμεσού,403,221,2,2,68,11,85,17,7,17,1,3,4,2,1,1,0,0,0
CY_1207,Καλό Χωριό Ορεινής,518,289,0,1,137,21,55,23,5,29,0,3,12,3,0,0,0,0,0
CY_1424,Καλοπαναγιώτης,323,178,3,0,49,8,39,20,5,42,0,1,9,0,2,0,0,0,0
CY_5343,Kaminaria,133,50,2,1,2,0,19,20,0,5,0,0,0,0,0,1,0,0,0
CY_1200,Kampi,134,65,2,1,16,2,12,23,1,5,0,0,0,1,1,0,1,0,0
CY_1223,Kampia,401,248,6,4,93,20,79,8,2,26,1,0,8,0,0,0,0,0,1
CY_1427,Kampos,340,149,1,0,50,6,27,38,6,19,0,0,2,0,0,0,0,0,0
CY_1403,Καννάβια,264,193,3,5,34,54,29,13,23,28,0,1,0,2,0,1,0,0,0
CY_6302,Κανναβιού,208,109,2,1,11,23,26,20,1,22,0,1,2,0,0,0,0,0,0
CY_5213,Kantou,307,154,8,0,63,7,35,11,2,25,0,0,2,0,0,1,0,0,0
CY_1220,Kapedes,447,238,6,2,28,29,102,37,3,25,0,1,3,1,0,1,0,0,0
CY_1416,Κατύδατα,190,129,4,1,28,11,29,29,7,10,0,1,7,1,1,0,0,0,0
CY_6334,Kato Akourdaleia,78,44,0,0,9,2,4,22,0,3,0,0,4,0,0,0,0,0,0
CY_1233,Κάτω Δευτερά,1260,660,7,8,187,51,161,48,25,124,0,9,27,5,6,1,0,0,1
CY_4312,Κάτω Δρυς,139,81,0,0,2,10,58,0,0,10,0,0,0,1,0,0,0,0,0
CY_4310,Κάτω Λεύκαρα,146,83,1,0,26,4,23,18,0,10,0,0,1,0,0,0,0,0,0
CY_1326,Κάτω Μονή,294,152,2,1,45,8,25,20,19,21,1,4,3,1,2,0,0,0,0
CY_5362,Κάτω Μύλος,107,61,2,0,1,7,22,4,1,22,0,0,2,0,0,0,0,0,0
CY_5350,Κάτω Πλάτρες (Toρνάρηδες),173,113,3,2,34,11,18,13,2,27,0,0,1,2,0,0,0,0,0
CY_5022,Kato Polemidia,14307,6511,141,44,2129,451,1795,702,193,750,24,50,132,48,29,9,7,4,3
CY_1457,Κάτω Πύργος,4409,743,13,4,138,63,247,145,48,68,1,2,11,1,0,0,1,0,1
CY_6213,Kedares,47,29,1,0,7,2,7,0,2,9,1,0,0,0,0,0,0,0,0
CY_5136,Kellaki,348,171,6,1,60,14,49,16,0,19,2,1,1,0,1,0,1,0,0
