gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Α.ΔΗ.Κ.,Ε.ΔΗ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Ν.Ο.,Κ.Ο.Σ.Π.,Ευστρατίου,Τσαγγαρίδης,Παυλίδης,Γιασεμίδης,Αριστείδης
CY_4122,Anafotida,431,399,6,3,248,77,48,0,2,3,0,12,0,0,0,0,0
CY_4124,Kivisili,216,209,9,5,122,42,15,3,2,5,5,1,0,0,0,0,0
CY_4125,Alethriko,490,445,6,13,160,178,70,3,4,8,3,0,0,0,0,0,0
CY_4126,Klavdia,471,440,14,5,242,63,90,2,13,2,6,3,0,0,0,0,0
CY_4127,Anglisides,702,655,17,10,239,172,100,6,3,31,76,1,0,0,0,0,0
CY_4202,Athienou,3145,2939,33,32,977,861,530,41,24,191,219,31,0,0,0,0,0
CY_4210,Kalo Chorio Larnakas,1102,1051,29,21,363,400,137,7,10,44,23,17,0,0,0,0,0
CY_4211,Agia Anna,125,115,3,5,30,51,4,0,0,20,2,0,0,0,0,0,0
CY_4212,Mosfiloti,748,696,13,9,284,273,79,1,13,6,13,5,0,0,0,0,0
CY_4213,Psevdas,595,574,5,7,138,312,36,6,2,61,3,4,0,0,0,0,0
CY_4214,Pyrga Larnakas,352,338,4,6,73,169,35,4,3,17,19,8,0,0,0,0,0
CY_4215,Kornos,1190,1106,13,6,304,527,48,17,16,152,17,6,0,0,0,0,0
CY_4300,Zygi,387,363,11,3,139,117,48,14,3,8,16,4,0,0,0,0,0
CY_4301,Mari,180,176,7,3,123,16,15,1,3,5,1,2,0,0,0,0,0
CY_4302,Kalavasos,559,527,6,9,142,250,90,15,1,12,1,1,0,0,0,0,0
CY_4303,Tochni,217,204,8,2,88,22,60,1,1,11,8,3,0,0,0,0,0
CY_4304,Choirokoitia,308,284,1,5,116,32,98,20,2,2,5,3,0,0,0,0,0
CY_4305,Psematismenos,109,98,3,0,60,15,15,0,0,1,3,1,0,0,0,0,0
CY_4306,Maroni,323,301,5,6,88,19,168,0,0,13,2,0,0,0,0,0,0
CY_4307,Agios Theodoros Larnakas,464,435,4,2,327,28,45,2,2,18,6,1,0,0,0,0,0
CY_4308,Skarinou,136,121,3,2,42,17,27,0,3,21,4,2,0,0,0,0,0
CY_4309,Kofinou,1043,969,19,19,388,353,115,11,10,38,11,5,0,0,0,0,0
CY_4310,Kato Lefkara,120,95,1,0,20,37,7,4,4,20,0,2,0,0,0,0,0
CY_4311,Pano Lefkara,858,733,8,9,139,145,79,2,13,327,8,3,0,0,0,0,0
CY_4312,Kato Drys,83,78,0,1,53,6,12,0,2,4,0,0,0,0,0,0,0
CY_4313,Vavla,721,660,13,14,258,223,76,9,4,26,28,9,0,0,0,0,0
CY_4315,Ora,130,109,0,1,58,8,29,4,3,6,0,0,0,0,0,0,0
CY_4316,Melini,78,72,4,1,12,51,3,1,0,0,0,0,0,0,0,0,0
CY_4317,Odou,132,118,2,1,47,48,12,1,1,1,1,4,0,0,0,0,0
CY_4318,Agioi Vavatsinias,177,155,6,2,49,31,42,2,3,13,7,0,0,0,0,0,0
CY_4319,Vavatsinia,109,85,5,1,39,10,23,0,0,6,0,1,0,0,0,0,0
CY_5001,Lemesos,63090,57975,1459,1118,16916,19803,9325,2213,1291,3145,1505,1103,0,3,94,0,0
CY_5011,Mesa Geitonia,7923,7324,193,128,1904,2891,1035,214,95,555,144,156,0,0,9,0,0
CY_5012,Agios Athanasios,5868,5417,158,85,1578,2176,639,157,71,326,151,75,0,0,1,0,0
CY_5013,Germasogeia,4035,3710,102,92,1118,1350,500,122,122,144,88,63,0,0,9,0,0
CY_5020,Pano Polemidia,3305,3158,74,50,860,1577,289,75,29,118,65,21,0,0,0,0,0
CY_5021,Ypsonas,3318,3115,72,61,1272,828,376,105,47,172,115,61,0,1,5,0,0
CY_5022,Kato Polemidia,10532,9898,246,180,3001,3924,1294,310,110,465,203,156,0,2,7,0,0
CY_5100,Palodeia,305,289,8,1,99,103,38,13,3,12,6,6,0,0,0,0,0
CY_5101,Paramytha,153,140,5,2,42,26,49,7,1,4,2,2,0,0,0,0,0
CY_5102,Spitali,156,155,3,1,98,11,32,0,5,2,1,2,0,0,0,0,0
CY_5103,Fasoula Lemesou,257,241,7,3,92,101,17,2,0,8,9,2,0,0,0,0,0
CY_5104,Mathikoloni,72,71,0,2,22,14,21,4,0,4,2,2,0,0,0,0,0
CY_5105,Gerasa,97,92,0,0,35,18,27,3,0,4,4,1,0,0,0,0,0
CY_5106,Apsiou,185,179,7,3,13,104,29,9,1,8,0,5,0,0,0,0,0
CY_5107,Apesia,216,215,8,3,120,7,42,19,3,3,8,2,0,0,0,0,0
CY_5108,Korfi,132,131,4,5,74,8,22,0,1,14,2,1,0,0,0,0,0
CY_5109,Limnatis,267,253,11,3,88,52,61,15,2,8,13,0,0,0,0,0,0
CY_5120,Mouttagiaka,1199,1160,17,16,363,548,101,28,8,45,16,18,0,0,0,0,0
CY_5121,Armenochori,50,44,0,2,4,31,1,3,0,0,3,0,0,0,0,0,0
CY_5122,Foinikaria,92,84,0,0,31,34,7,6,4,0,1,1,0,0,0,0,0
CY_5123,Akrounta,228,212,9,6,66,37,59,3,1,25,5,1,0,0,0,0,0
CY_5124,Agios Tychon,767,698,13,15,301,159,100,40,25,16,17,12,0,0,0,0,0
CY_5125,Parekklisia,665,643,17,20,249,202,88,14,7,28,6,12,0,0,0,0,0
CY_5126,Pentakomo,319,288,5,3,139,59,29,10,4,25,9,5,0,0,0,0,0
CY_5127,Monagroulli,311,279,6,4,90,120,29,6,4,16,3,1,0,0,0,0,0
CY_5128,Moni,1159,1114,31,20,377,389,145,36,15,63,27,10,0,1,0,0,0
CY_5129,Pyrgos,738,713,15,9,361,182,67,16,9,32,13,4,0,0,5,0,0
CY_5130,Asgata,231,221,3,0,55,93,32,3,11,15,5,3,0,0,1,0,0
CY_5131,Vasa Kellakiou,50,50,3,0,13,19,10,1,0,2,2,0,0,0,0,0,0
CY_5133,Prastio Kellakiou,74,71,0,0,8,49,11,1,0,1,1,0,0,0,0,0,0
CY_5136,Kellaki,232,221,4,7,51,98,40,11,3,6,0,1,0,0,0,0,0
CY_5138,Eptagoneia,266,237,3,6,113,70,29,13,0,1,1,1,0,0,0,0,0
CY_5140,Dierona,226,230,11,2,67,102,8,3,11,12,10,4,0,0,0,0,0
CY_5141,Arakapas,276,264,5,1,121,96,23,5,0,13,0,0,0,0,0,0,0
CY_5142,Agios Pavlos,172,168,9,4,53,48,13,6,4,23,5,3,0,0,0,0,0
CY_5143,Agios Konstantinos,179,171,12,6,88,17,23,1,4,12,5,2,0,0,1,0,0
