gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Α.ΔΗ.Κ.,Ε.ΔΗ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Ν.Ο.,Κ.Ο.Σ.Π.,Ευστρατίου,Τσαγγαρίδης,Παυλίδης,Γιασεμίδης,Αριστείδης
CY_6301,Agios Dimitrianos,169,157,11,4,67,13,32,6,3,16,1,1,2,0,0,0,1
CY_6302,Kannaviou - Melamiou,143,133,2,1,42,25,28,8,1,17,3,3,3,0,0,0,0
CY_6303,Thrinia,69,66,2,4,10,15,19,0,0,14,1,0,1,0,0,0,0
CY_6305,Kritou Marottou,61,55,6,1,6,10,20,1,1,9,0,1,0,0,0,0,0
CY_6306,Fyti,135,109,2,5,18,33,25,1,4,18,1,1,1,0,0,0,0
CY_6307,Lasa,91,81,2,2,28,19,14,2,5,7,0,0,2,0,0,0,0
CY_6308,Drymou,99,93,2,2,33,19,22,2,2,11,0,0,0,0,0,0,0
CY_6310,Simou,168,162,0,2,46,34,16,5,3,47,6,0,3,0,0,0,0
CY_6315,Filousa Chrysochous,58,54,0,4,19,10,14,1,1,4,1,0,0,0,0,0,0
CY_6320,Lysos,159,141,2,5,31,24,53,3,5,11,2,3,1,0,0,0,1
CY_6321,Peristerona Pafou,207,188,4,4,68,30,32,3,4,36,7,0,0,0,0,0,0
CY_6330,Theletra,164,157,1,0,52,39,31,1,2,24,3,0,4,0,0,0,0
CY_6331,Giolou,559,518,10,17,157,122,77,6,8,109,6,5,1,0,0,0,0
CY_6333,Miliou,54,48,0,0,10,19,12,2,2,3,0,0,0,0,0,0,0
CY_6334,Kato Akourdaleia,77,75,2,3,17,20,22,0,1,9,0,1,0,0,0,0,0
CY_6336,Kritou Tera,125,109,8,1,17,19,42,5,5,10,1,1,0,0,0,0,0
CY_6337,Skoulli,110,106,13,2,22,13,22,2,5,26,0,0,1,0,0,0,0
CY_6341,Chrysochou,106,103,1,2,12,34,24,13,1,14,1,1,0,0,0,0,0
CY_6343,Polis,1206,1082,23,18,283,331,203,14,13,167,15,13,2,0,0,0,0
CY_6344,Neo Chorio Pafou,273,243,3,3,64,61,53,0,2,44,10,2,1,0,0,0,0
CY_6345,Goudi,138,116,3,3,17,20,19,3,0,51,0,0,0,0,0,0,0
CY_6351,Pano Arodes,139,110,4,2,28,36,27,2,1,9,1,0,0,0,0,0,0
CY_6352,Ineia,349,314,12,8,58,30,129,19,9,37,5,5,2,0,0,0,0
CY_6353,Drouseia,342,293,10,2,49,18,142,33,5,31,3,0,0,0,0,0,0
CY_6361,Kynousa,60,54,0,1,15,11,4,1,0,20,1,0,1,0,0,0,0
CY_6363,Argaka,527,463,0,9,143,106,77,2,8,111,4,1,2,0,0,0,0
CY_6364,Gialia,71,68,0,0,14,22,10,5,0,17,0,0,0,0,0,0,0
CY_6365,Agia Marina Chrysochous,551,503,2,2,158,194,41,1,9,94,1,1,0,0,0,0,0
CY_6367,Pomos,461,427,7,0,90,141,66,4,15,94,8,1,1,0,0,0,0
CY_6368,Steni,112,95,0,1,48,9,22,0,4,11,0,0,0,0,0,0,0
