gisco_id,name,registered,turnout,invalid,blank,PD,PRM,PNL,PSD,UDMR,PC,PNT-CD,P.Romilor,P.Verde,PIN,PNG-CD,PLD,PAS,TOKES
RO_007350,Bocicoiu Mare,3621,747,35,0,91,50,198,101,61,94,19,3,1,24,34,24,5,7
RO_040324,Bocsa,2727,1469,44,0,135,26,580,113,434,4,18,3,1,9,6,21,4,71
RO_010195,Bocsig,2865,881,35,0,333,59,48,156,3,33,28,7,1,12,65,86,7,8
RO_040606,Bod,3408,1213,54,0,197,32,428,198,90,6,9,3,5,16,100,37,9,29
RO_021607,Bodesti,4092,1430,111,0,350,61,124,487,4,15,5,9,3,30,25,168,21,17
RO_063893,Bodoc,1959,938,53,0,40,10,13,46,375,2,3,4,4,8,1,3,16,360
RO_015824,Bogata,1596,426,27,0,86,21,6,103,103,4,2,18,2,11,3,10,6,24
RO_014584,Bogati,3979,1098,39,0,432,70,92,255,1,12,7,2,6,19,51,109,2,1
RO_056035,Bogda,371,207,8,0,58,8,45,61,2,7,8,0,0,1,2,6,1,0
RO_007403,Bogdan Voda,2718,599,33,0,120,31,45,230,0,14,41,2,3,6,48,19,2,5
RO_052127,Bogdana,2276,928,64,0,165,35,60,389,2,67,11,13,2,8,44,62,4,2
RO_062595,Bogdana,1322,658,50,0,68,32,233,168,4,12,3,1,2,9,28,41,2,5
RO_037130,Bogdand,2521,1044,50,0,76,15,190,131,354,1,12,4,1,2,6,23,9,170
RO_021560,Bogdanesti,2255,476,29,0,125,47,41,144,3,29,4,2,1,8,9,25,4,5
RO_047054,Bogdanesti,3074,809,74,0,163,39,60,296,5,15,7,6,3,11,30,90,1,9
RO_062693,Bogdanesti,2465,1028,54,0,230,48,228,286,1,61,17,5,2,14,53,10,9,10
RO_062791,Bogdanita,1190,527,34,0,66,60,101,147,2,9,3,1,1,1,63,20,12,7
RO_075260,Boghesti,1380,514,31,0,68,23,62,181,2,4,2,0,0,13,82,33,7,6
RO_125178,Boghicea,1919,707,40,0,118,23,159,242,1,10,7,17,1,3,5,65,9,7
RO_080037,Boghiş,1471,944,34,0,40,4,13,31,717,10,4,24,2,0,8,1,3,53
RO_027506,Boianu Mare,1089,759,13,0,55,15,482,152,4,11,1,0,1,2,3,14,0,6
RO_068755,Boisoara,1285,415,19,0,82,26,50,120,3,50,2,13,2,7,7,31,2,1
RO_046021,Boiţa,1375,405,23,0,83,9,53,121,1,5,3,2,1,13,9,74,5,3
RO_007430,Boiu Mare,965,482,8,0,62,28,247,75,0,6,14,1,1,5,14,14,1,6
RO_079077,Bolbosi,2504,819,74,0,166,65,123,288,4,5,9,13,4,14,36,10,6,2
RO_032379,Boldesti-Gradistea,1568,565,45,0,134,36,43,196,3,5,4,13,4,11,22,43,3,3
RO_045361,Boldu,1998,1160,32,0,183,14,31,825,0,12,3,11,1,12,13,21,2,0
RO_056106,Boldur,1942,677,22,0,199,30,181,98,6,31,27,3,1,18,18,34,4,5
RO_001163,Bolintin-Deal,5037,943,27,0,250,9,288,135,0,1,21,13,1,12,41,141,2,2
RO_075368,Bolotesti,3808,1442,92,0,300,40,106,661,1,24,9,13,2,20,113,35,15,11
RO_051546,Bolvasnita,1234,330,11,0,157,7,77,26,3,6,14,0,0,4,8,16,0,1
RO_056210,Bontida,3719,796,39,0,219,35,57,122,84,14,10,19,6,5,121,21,9,35
RO_079784,Borăneşti,1452,658,73,0,130,20,40,59,7,23,11,24,2,12,223,10,20,4
RO_079157,Borăscu,2779,931,63,0,276,30,65,381,5,7,6,22,2,9,32,28,2,3
RO_021652,Borca,5137,1434,74,0,253,128,288,367,0,10,4,19,2,22,57,194,4,12
RO_092961,Borcea,7140,1693,76,0,357,92,176,404,5,401,20,14,6,24,66,32,12,8
RO_042913,Bordei Verde,2361,1009,78,0,104,41,77,322,7,187,5,20,5,12,38,102,6,5
RO_075439,Bordesti,1494,803,24,0,146,14,474,81,1,10,0,1,2,10,15,14,4,7
RO_092989,Bordusani,4137,984,70,0,189,68,92,332,0,15,8,63,3,7,61,71,4,1
RO_021732,Borlesti,7318,1473,98,0,342,80,118,380,2,14,9,11,4,31,27,328,12,17
RO_047072,Boroaia,3832,1402,65,0,226,44,72,798,3,6,18,10,0,15,43,97,3,2
RO_027560,Borod,3200,1234,32,0,725,60,79,167,9,32,24,3,1,13,54,21,9,5
RO_063937,Borosneu Mare,2371,951,73,0,54,29,17,78,304,11,2,4,1,1,4,3,11,359
RO_027631,Bors,3031,1240,59,0,57,11,12,24,811,2,1,3,1,7,6,7,4,235
RO_056265,Borsa,1291,366,32,0,108,23,56,90,14,0,0,2,1,7,3,18,4,8
RO_047134,Bosanci,5188,1086,90,0,276,29,132,241,2,18,26,12,3,25,55,171,1,5
ROZZBA,Bosnia and Herzegovina,0,54,3,0,22,1,4,10,0,1,0,1,2,5,2,3,0,0
RO_088449,Bosorod,1687,748,33,0,234,32,54,274,11,19,6,3,2,7,38,24,9,2
RO_014673,Boteni,2208,884,48,0,151,25,192,297,0,26,3,7,2,5,49,74,4,1
RO_014726,Botesti,1028,631,13,0,99,10,72,368,2,4,25,3,1,4,12,15,2,1
RO_021796,Boteşti,3989,1278,80,0,393,82,156,246,3,5,15,4,2,27,53,194,8,10
RO_062871,Botesti,1822,730,36,0,176,62,112,273,1,8,2,4,0,11,13,8,17,7
RO_037185,Botiz,2854,724,36,0,282,10,37,82,146,0,11,2,1,4,19,28,4,62
RO_007485,Botiza,2186,984,16,0,100,38,76,617,0,2,1,1,0,3,76,49,2,3
RO_052172,Botoroaga,4870,2243,89,0,214,32,1051,434,4,65,7,62,4,16,64,192,3,6
RO_047161,Botoşana,2046,866,10,0,21,15,67,135,1,1,2,1,0,7,2,591,7,6
RO_070968,Botosesti-Paia,738,508,35,0,118,7,65,109,2,95,19,7,0,7,10,29,1,4
RO_021876,Bozieni,2284,832,76,0,138,39,54,457,1,3,9,3,0,4,18,15,7,8
RO_045389,Bozioru,984,452,21,0,115,18,171,64,1,4,6,4,0,16,17,11,1,3
RO_051573,Bozovici,2717,1095,27,0,652,30,153,95,3,18,9,5,4,10,61,23,4,1
RO_070986,Brabova,1363,629,36,0,91,17,37,350,0,22,5,11,2,7,23,24,4,0
RO_045496,Bradeanu,2221,1295,80,0,803,35,63,212,2,10,3,11,2,16,26,24,6,2
RO_044376,Bradeni,1164,708,28,0,98,23,96,405,1,5,4,18,1,3,3,17,2,4
RO_071055,Bradesti,3513,994,35,0,369,51,134,229,2,24,7,2,3,10,93,32,1,2
RO_083151,Brădeşti,1371,830,22,0,14,2,5,11,353,2,2,4,1,2,2,0,8,402
RO_013276,Bradu,4675,1291,49,0,429,59,57,236,7,198,10,12,4,23,50,150,3,4
RO_014753,Bradulet,1661,553,12,0,177,31,34,150,0,5,12,5,2,6,65,34,9,11
RO_064041,Bradut,3570,2167,102,0,61,31,13,88,550,6,4,76,1,3,7,5,17,1203
RO_036373,Braesti,1731,650,34,0,174,39,97,198,4,32,5,4,2,8,25,21,2,5
