gisco_id,name,registered,turnout,invalid,blank,PARTIDUL DEMOCRAT LIBERAL,PARTIDUL MIŞCAREA POPULARĂ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANŢA ELECTORALĂ PSD-UNPR-PC,PARTIDUL NAŢIONAL LIBERAL,PARTIDUL ROMÂNIA MARE,ALIANŢA NAŢIONALĂ A AGRICULTORILOR,PARTIDUL DREPTĂŢII SOCIALE,PARTIDUL NOUA REPUBLICĂ,PARTIDUL VERDE,FORŢA CIVICĂ,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ALTERNATIVA SOCIALISTĂ,PARTIDUL NAŢIONAL ŢĂRĂNESC CREŞTIN DEMOCRAT,PARTIDUL POPORULUI - DAN DIACONESCU,UNGUREANU GEORGIANA-CORINA,FILIP CONSTANTIN-TITIAN,LIGA DĂNUŢ,PUREA PAUL,CAPSALI PERICLE-IULIAN,COSTEA PETER,DIACONU MIRCEA,DĂEANU VALENTIN-EUGEN
RO_118469,Nadeş,2202,501,46,0,40,27,53,62,181,14,8,3,0,0,11,12,0,0,17,0,0,0,0,18,1,8,0
RO_118511,Neaua,1106,614,9,0,9,3,535,16,14,2,6,1,2,0,11,2,1,0,0,2,0,0,0,0,0,1,0
RO_118575,Ogra,1851,702,21,0,44,12,181,78,294,32,3,2,2,1,3,0,1,3,13,2,0,1,0,2,0,6,1
RO_118637,Papiu Ilarian,717,239,2,0,18,4,131,30,22,3,1,3,0,0,0,5,0,0,16,0,0,0,0,3,1,0,0
RO_118691,Pănet,4962,1497,66,0,32,10,1231,70,13,23,14,2,2,1,9,5,0,1,3,0,2,2,0,0,6,5,0
RO_118753,Păsăreni,1482,569,13,0,14,1,495,8,9,8,1,1,0,1,3,3,1,1,1,2,0,0,0,2,1,4,0
RO_118799,Petelea,2133,536,47,0,76,17,8,139,123,52,3,4,0,0,11,1,2,2,36,0,0,1,0,2,1,11,0
RO_118824,Pogăceaua,1478,243,8,0,66,15,4,67,24,20,2,1,1,2,1,0,0,0,17,1,1,2,1,0,0,10,0
RO_118931,Răstoliţa,1479,394,26,0,38,43,33,102,45,13,3,1,0,1,27,3,0,4,16,0,0,0,0,5,4,30,0
RO_118995,Râciu,2840,865,55,0,293,24,8,151,141,52,26,2,2,1,7,4,1,2,35,3,2,2,4,10,7,32,1
RO_119153,Ruşii-Munţi,1794,902,52,0,73,35,5,491,106,33,12,0,1,0,15,1,0,3,18,0,2,1,1,9,2,39,3
RO_119206,Saschiz,1746,430,44,0,110,32,3,134,37,7,10,1,1,1,9,3,4,4,12,4,0,0,1,1,0,12,0
RO_119242,Oraş Sărmaşu,5679,1879,86,0,180,51,343,367,646,41,35,0,3,0,9,3,2,10,41,2,1,4,1,3,4,46,1
RO_119331,Oraş Sângeorgiu de Pădure,4354,1458,52,0,45,9,1106,126,31,18,9,1,2,3,12,7,0,1,10,2,0,2,2,4,0,15,1
RO_119386,Sânger,1916,561,22,0,34,6,5,85,341,12,11,1,0,0,3,4,0,5,21,0,0,0,0,0,5,6,0
RO_119466,Sânpaul,3241,1474,62,0,48,42,847,325,75,26,5,5,0,0,10,2,0,4,6,1,2,1,1,1,4,7,0
RO_119527,Sânpetru de Câmpie,2297,633,34,0,106,30,24,257,60,30,21,2,1,3,12,5,1,3,19,0,0,2,4,4,8,7,0
RO_119590,Solovăstru,2348,655,44,0,89,26,4,211,141,33,2,4,0,0,12,4,1,16,34,5,1,3,2,2,6,15,0
RO_119625,Stânceni,1225,474,22,0,17,12,45,189,105,25,9,3,0,0,13,3,1,0,7,0,0,3,0,6,2,10,2
RO_119661,Suplac,1883,814,22,0,122,19,390,148,30,30,5,1,1,0,7,3,0,0,10,0,0,0,2,5,9,10,0
RO_119723,Suseni,1904,701,42,0,147,15,175,154,108,11,3,1,1,1,19,2,1,0,9,1,0,0,1,1,0,8,1
RO_119750,Şăulia,1569,669,50,0,60,21,5,370,58,11,14,1,2,0,4,0,0,5,35,1,1,0,3,4,6,18,0
RO_119803,Şincai,1236,486,17,0,72,7,138,153,54,16,8,0,0,0,5,2,0,3,2,3,1,2,0,0,0,3,0
RO_119858,Tăureni,752,351,14,0,14,3,1,218,64,5,7,6,1,0,0,2,0,0,5,0,1,0,1,0,0,9,0
RO_119894,Oraş Ungheni,5701,2465,147,0,187,44,121,532,1147,72,15,1,4,1,15,20,2,11,30,2,1,4,4,14,4,87,0
RO_119974,Valea Largă,2578,684,21,0,113,9,4,82,396,4,8,1,2,0,3,0,0,2,27,0,0,1,0,0,1,10,0
RO_120076,Vărgata,1537,717,19,0,6,3,647,13,8,5,2,1,2,0,3,0,0,1,1,0,1,1,0,2,0,2,0
RO_120138,Vătava,1602,804,42,0,75,32,3,205,273,46,17,4,1,3,10,1,0,2,60,1,1,0,2,1,0,25,0
RO_120174,Veţca,622,288,10,0,6,0,246,5,4,3,0,1,1,1,2,0,0,0,0,0,0,0,1,7,1,0,0
RO_120218,Viişoara,1305,304,14,0,57,38,5,85,45,13,1,4,2,0,6,5,1,0,22,0,0,1,1,0,0,3,1
RO_120254,Vânători,3123,743,70,0,78,31,127,275,40,18,27,2,1,1,18,5,1,2,21,2,3,1,3,3,0,14,0
