gisco_id,name,registered,turnout,invalid,blank,PP,PUSL,ADU,Şoşoacă,RS,Ştefănuţă,REPER,AUR,PDU,UDMR,PAD,PRM,S.O.S. RO,PSD-PNL,Pîrvănescu,Gheorghe
RO_106407,Recea,5996,3986,143,0,36,59,323,41,27,110,151,675,83,169,27,24,128,1860,22,108
RO_106461,Oraş Tăuţii-Măgherăuş,8015,4392,192,0,29,87,413,46,18,117,191,592,112,448,32,31,185,1759,16,122
RO_106559,Municipiul Sighetu Marmaţiei,34877,13384,564,0,78,76,704,108,61,321,302,2419,241,1563,47,90,688,5779,70,272
RO_106620,Sarasău,2332,1255,73,0,12,7,49,21,7,23,12,174,17,14,6,13,97,694,6,30
RO_106648,Vadu Izei,2414,1386,59,0,3,9,36,16,3,33,18,298,13,5,3,8,50,806,6,19
RO_106684,Oraş Baia Sprie,14025,6492,245,0,36,197,529,53,35,170,274,1024,137,797,69,35,263,2401,45,165
RO_106746,Oraş Borşa,23207,9595,450,0,137,123,303,169,24,145,93,1972,108,161,31,47,987,4641,27,154
RO_106782,Oraş Cavnic,4088,2313,75,0,10,11,230,28,14,33,50,411,26,122,13,15,106,1126,7,36
RO_106817,Oraş Târgu Lăpuş,10372,5825,222,0,29,47,177,47,19,101,127,1114,76,538,27,36,174,2968,12,110
RO_106979,Oraş Vişeu de Sus,14489,6234,355,0,32,149,190,60,15,50,84,625,66,151,10,32,367,3921,17,97
RO_107001,Ardusat,2251,1318,69,0,10,5,59,25,1,13,15,264,19,10,7,10,55,734,4,18
RO_107047,Ariniş,887,701,34,0,6,3,26,7,1,8,14,113,13,76,5,15,24,349,2,5
RO_107083,Asuaju de Sus,982,893,56,0,13,3,105,6,2,9,12,71,17,13,0,2,38,530,3,13
RO_107118,Băiţa de sub Codru,1446,1238,73,0,9,6,87,10,1,3,9,159,12,14,19,15,47,753,2,19
RO_107154,Băiuţ,1810,1003,64,0,8,3,58,6,6,19,12,94,22,208,3,5,41,442,3,9
RO_107190,Băseşti,1053,819,77,0,5,8,72,9,2,6,17,172,9,7,4,1,25,399,2,4
RO_107234,Bicaz,780,633,43,0,2,0,34,1,1,2,4,156,5,8,4,1,14,342,0,4
RO_107270,Bistra,3256,1801,232,0,12,55,23,30,3,14,15,232,23,12,6,17,70,1017,7,33
RO_107314,Bârsana,3776,2066,107,0,7,10,52,20,4,29,15,225,11,11,4,7,69,1450,6,29
RO_107350,Bocicoiu Mare,3732,1959,104,0,7,7,58,25,9,32,24,781,26,72,10,9,105,642,10,38
RO_107403,Bogdan Vodă,2405,1376,154,0,4,10,29,7,1,28,24,206,10,4,4,4,32,842,2,14
RO_107430,Boiu Mare,937,763,37,0,1,9,21,8,0,9,14,118,15,24,2,4,16,474,2,8
RO_107485,Botiza,2031,1304,50,0,5,95,39,0,0,25,0,201,2,0,0,3,37,835,3,9
RO_107519,Budeşti,2368,1557,125,0,10,12,51,24,1,12,17,217,13,7,2,13,94,940,6,13
RO_107546,Călineşti,2572,1627,79,0,6,33,73,14,3,13,19,250,14,12,1,5,39,1030,9,27
RO_107582,Cerneşti,2914,1997,97,0,18,20,595,25,3,21,38,317,33,33,3,10,102,613,7,41
RO_107662,Cicârlău,3700,1920,101,0,32,5,84,30,8,27,51,340,51,27,10,23,98,990,9,34
RO_107715,Câmpulung la Tisa,2010,1195,69,0,3,1,5,9,2,5,4,63,6,672,1,1,37,301,5,11
RO_107733,Copalnic-Mănăştur,4652,2904,157,0,14,27,219,30,6,31,46,398,36,34,9,7,132,1686,12,47
RO_107868,Coroieni,1725,1299,182,0,1,3,132,5,2,14,14,131,20,21,1,10,35,715,4,9
RO_107920,Cupşeni,2723,1840,71,0,18,5,134,5,0,17,20,204,14,24,3,7,22,1267,6,23
RO_107975,Deseşti,1898,1501,88,0,7,57,99,9,1,6,19,229,9,22,3,14,59,814,4,29
RO_108017,Oraş Dragomiresti,2507,1436,96,0,15,7,44,14,3,24,27,202,20,11,9,7,53,869,1,34
RO_108035,Dumbrăviţa,3686,2393,100,0,17,11,178,17,13,40,50,330,35,22,20,15,81,1393,12,57
