gisco_id,name,registered,turnout,invalid,blank,EKD,Kesk,ER,EIP,VL,Isamaa,VEE,KE,ERL,SDE,EER,Burmeister,Luus [Koit Luus],Hallik,Kodu,Kambla,Ivinskaja,Stepanova
EE_0619,Põlva vald,0,0,0,0,13,441,507,9,1,175,1,1,246,323,119,0,0,0,0,0,0,0
EE_0707,Räpina vald,0,0,0,0,35,657,791,10,0,204,1,48,313,332,108,0,0,0,0,0,0,0
EE_0856,Valgjärve,0,0,0,0,3,105,267,1,0,61,0,0,117,93,22,0,0,0,0,0,0,0
EE_0872,Vastse-Kuuste,0,0,0,0,8,119,200,2,2,60,0,0,28,82,44,0,0,0,0,0,0,0
EE_0879,Veriora,0,0,0,0,15,116,185,2,0,38,0,0,296,63,29,0,0,0,0,0,0,0
EE_0934,Värska,0,0,0,0,2,158,165,3,0,44,1,0,110,183,23,0,0,0,0,0,0,0
EE_0240,Juuru,0,0,0,0,12,131,231,6,1,132,1,0,46,82,57,0,0,0,0,0,0,0
EE_0260,Järvakandi,0,0,0,0,31,177,182,2,0,167,1,2,34,92,34,2,0,0,0,0,0,0
EE_0277,Kaiu,0,0,0,0,19,57,172,2,0,74,0,0,358,60,40,2,0,0,0,0,0,0
EE_0292,Kehtna,0,0,0,0,47,426,707,4,0,382,1,1,227,307,200,3,0,0,0,0,0,0
EE_0317,Kohila vald,0,0,0,0,83,464,903,7,3,575,5,6,127,210,355,4,0,0,0,0,0,0
EE_0375,Käru,0,0,0,0,4,40,138,0,0,57,0,0,30,22,39,0,0,0,0,0,0,0
EE_0504,Märjamaa vald,0,0,0,0,52,732,1237,12,2,384,1,0,166,247,319,8,0,0,0,0,0,0
EE_0654,Raikküla,0,0,0,0,7,136,283,2,0,127,0,0,67,67,69,1,0,0,0,0,0,0
EE_MA10,Rapla maakond,28614,16838,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0669,Rapla vald,0,0,0,0,57,778,1851,5,4,848,1,4,137,403,431,4,0,0,0,0,0,0
EE_0884,Vigala,0,0,0,0,10,173,172,12,0,124,0,0,104,47,56,2,0,0,0,0,0,0
EE_0270,Kaarma,0,0,0,0,86,400,681,4,0,222,3,1,158,128,113,0,0,0,0,0,0,0
EE_0301,Kihelkonna,0,0,0,0,13,129,148,0,1,43,0,0,37,35,14,0,0,0,0,0,0,0
EE_0349,Kuressaare,0,0,0,0,432,1392,2517,25,9,979,2,3,298,422,367,0,0,0,0,0,0,0
EE_0373,Kärla,0,0,0,0,18,169,229,0,1,68,0,0,100,24,32,0,0,0,0,0,0,0
EE_0386,Laimjala,0,0,0,0,9,63,76,1,0,42,1,0,163,19,17,0,0,0,0,0,0,0
EE_0403,Leisi,0,0,0,0,48,260,262,2,1,87,0,0,116,78,55,0,0,0,0,0,0,0
EE_0440,Lümanda,0,0,0,0,4,93,153,2,1,63,0,1,44,28,25,0,0,0,0,0,0,0
EE_0478,Muhu,0,0,0,0,21,213,352,3,0,125,1,0,54,104,87,0,0,0,0,0,0,0
