gisco_id,name,registered,turnout,invalid,blank,EER,Isamaa,SDE,ER,Kesk,VEE,EIP,ERL,EKD,Helme [Martin Helme],Aasa,Eenpalu,Poolamets,Ibragimov,Helme [Mart Helme],Ergma,Ivinskaja,Meesak,Tšižikov,Vihmar,Rämmel,Ellik,Teesalu,Õun,Veges,Põlluaas,Nurmik,Trapido,Reinberg,Paddar,Hiob,Kunnas,Sisask,Tammeraid,Siir,Luus [Koit Luus],Hirv,Koitla,Soosaar,Merirand,Derbnev
EE_0868,Vasalemma,0,0,0,0,23,63,101,166,174,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0890,Viimsi,0,0,0,0,231,1470,821,2305,643,29,15,37,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0175,Emmaste,0,0,0,0,11,38,307,97,41,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA02,Hiiu maakond,8491,3591,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0368,Käina,0,0,0,0,31,87,206,287,81,0,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0371,Kärdla,0,0,0,0,43,221,369,512,158,0,2,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0392,Kõrgessaare,0,0,0,0,11,45,109,155,56,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0639,Pühalepa,0,0,0,0,30,98,147,186,88,0,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0122,Alajõe,0,0,0,0,10,7,9,7,134,4,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0154,Aseri,0,0,0,0,9,54,130,126,169,5,2,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0164,Avinurme,0,0,0,0,18,102,92,258,65,0,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA03,Ida-Viru maakond,67563,33104,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0224,Iisaku,0,0,0,0,13,104,85,132,42,0,3,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0229,Illuka,0,0,0,0,8,57,44,73,88,4,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0251,Jõhvi,0,0,0,0,39,396,419,658,1664,104,8,94,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0309,Kiviõli,0,0,0,0,37,281,140,234,1044,48,2,39,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0320,Kohtla,0,0,0,0,10,46,147,76,146,4,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0322,Kohtla-Järve,0,0,0,0,81,469,790,598,5192,232,14,144,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0323,Kohtla-Nõmme,0,0,0,0,7,62,53,147,89,1,1,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0420,Lohusuu,0,0,0,0,3,25,45,72,82,9,1,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0438,Lüganuse,0,0,0,0,8,111,117,130,70,1,4,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0449,Maidla,0,0,0,0,13,162,29,46,41,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0498,Mäetaguse,0,0,0,0,18,74,91,136,63,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0511,Narva,0,0,0,0,190,541,1067,298,7489,728,7,169,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0513,Narva-Jõesuu,0,0,0,0,11,110,73,30,322,34,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0645,Püssi,0,0,0,0,10,96,74,74,132,7,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0735,Sillamäe,0,0,0,0,39,34,159,61,1534,120,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0751,Sonda,0,0,0,0,3,90,41,79,100,2,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0802,Toila,0,0,0,0,29,218,158,270,149,3,0,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0815,Tudulinna,0,0,0,0,6,31,23,60,27,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0851,Vaivara,0,0,0,0,18,27,60,27,161,17,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0129,Albu,0,0,0,0,16,174,114,90,41,1,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0134,Ambla,0,0,0,0,24,156,225,223,77,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0234,Imavere,0,0,0,0,7,98,94,71,44,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA04,Järva maakond,27479,12186,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0257,Järva-Jaani,0,0,0,0,12,132,157,175,61,0,2,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0288,Kareda,0,0,0,0,3,53,90,71,31,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0314,Koeru,0,0,0,0,13,140,219,213,95,1,4,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0325,Koigi,0,0,0,0,3,36,110,111,64,1,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0566,Paide linn,0,0,0,0,47,776,1057,791,579,3,8,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0565,Paide vald,0,0,0,0,4,146,153,112,73,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0684,Roosna-Alliku,0,0,0,0,8,89,114,116,95,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0835,Türi,0,0,0,0,73,823,1129,805,505,3,9,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0937,Väätsa,0,0,0,0,7,65,225,122,44,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0249,Jõgeva linn,0,0,0,0,42,628,273,548,519,2,26,178,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA05,Jõgeva maakond,27834,13644,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0248,Jõgeva vald,0,0,0,0,67,629,260,399,344,1,18,173,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0657,Kasepää,0,0,0,0,1,130,20,40,200,5,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0485,Mustvee,0,0,0,0,2,226,56,39,215,12,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0573,Pajusi,0,0,0,0,12,121,92,116,82,0,4,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0576,Pala,0,0,0,0,4,160,49,83,41,0,1,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0578,Palamuse,0,0,0,0,20,246,157,129,135,0,10,155,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0611,Puurmani,0,0,0,0,13,199,73,184,76,0,7,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0617,Põltsamaa linn,0,0,0,0,43,624,299,490,412,0,20,139,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0616,Põltsamaa vald,0,0,0,0,32,373,201,333,301,1,5,211,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0713,Saare,0,0,0,0,16,94,236,82,54,0,8,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0773,Tabivere,0,0,0,0,24,196,123,171,124,0,3,155,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0810,Torma,0,0,0,0,18,194,167,152,102,1,25,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
