gisco_id,name,registered,turnout,invalid,blank,Parempoolsed,EER,Isamaa,SDE,EKRE,E200,ER,Kesk,Mõttus,VL,Stalnuhhin,Radvilavičius,Kookmaa [Vello Kookmaa],Kookmaa [Alar Kookmaa],Svjatušenko,Laiapea,Paulus,Kalde,Nurmberg
EE_0446,Maardu,6956,3589,39,0,36,98,129,221,260,212,641,1497,0,448,0,5,1,2,0,0,0,0,0
EE_0478,Muhu,1745,1251,6,0,40,18,84,153,207,273,376,94,0,0,0,0,0,0,0,0,0,0,0
EE_0480,Mulgi,5879,3701,29,0,180,12,429,317,955,405,790,575,0,0,0,0,0,0,0,9,0,0,0
EE_0486,Mustvee,4178,2557,40,0,71,10,343,221,491,227,542,355,0,257,0,0,0,0,0,0,0,0,0
EE_0502,Märjamaa,5900,3891,27,0,110,21,394,247,976,537,1043,476,0,2,0,56,1,1,0,0,0,0,0
EE_0511,Narva,19533,9377,85,0,35,46,43,407,277,711,443,3121,0,1484,2725,0,0,0,0,0,0,0,0
EE_0515,Narva-Jõesuu linn,2150,1090,22,0,8,6,19,29,65,315,77,252,0,131,166,0,0,0,0,0,0,0,0
EE_0528,Nõo,3310,2336,17,0,67,43,327,180,460,375,727,137,0,3,0,0,0,0,0,0,0,0,0
EE_0557,Otepää,5105,3435,19,0,119,41,365,220,707,554,1073,332,5,0,0,0,0,0,0,0,0,0,0
EE_0567,Paide,7843,5267,28,0,100,49,647,607,1163,515,1554,592,0,0,0,0,0,0,0,12,0,0,0
EE_0586,Peipsiääre,4209,2433,32,0,61,22,374,146,432,280,559,300,0,227,0,0,0,0,0,0,0,0,0
EE_0615,Põhja-Sakala,6193,3987,23,0,45,32,514,475,983,418,895,586,0,0,0,0,0,0,0,16,0,0,0
EE_0618,Põltsamaa,7418,4799,22,0,101,36,793,236,1040,540,1305,724,0,2,0,0,0,0,0,0,0,0,0
EE_0622,Põlva,10635,7076,43,0,111,63,675,658,1791,1029,1560,1122,24,0,0,0,0,0,0,0,0,0,0
EE_0624,Pärnu,36911,25775,144,0,504,213,2432,1721,6256,3298,8213,2754,0,240,0,0,0,0,0,0,0,0,0
EE_0638,Põhja-Pärnumaa,6240,3781,35,0,86,31,404,292,1029,517,933,448,0,6,0,0,0,0,0,0,0,0,0
EE_0651,Raasiku,3781,2784,7,0,76,17,288,218,432,419,1084,211,0,11,0,21,0,0,0,0,0,0,0
EE_0653,Rae,14167,10911,30,0,345,59,779,691,1131,1710,5192,818,0,93,0,59,1,3,0,0,0,0,0
EE_0661,Rakvere vald,4219,2660,12,0,103,15,344,284,543,229,810,301,0,17,0,0,0,0,0,0,2,0,0
EE_0663,Rakvere linn,10794,7627,35,0,250,28,1049,600,1448,598,2530,990,0,89,0,0,0,0,0,0,4,6,0
EE_0668,Rapla,10068,7215,33,0,220,40,648,488,1606,871,2425,787,0,12,0,82,1,2,0,0,0,0,0
EE_0689,Ruhnu,136,84,0,0,5,3,13,13,7,22,11,10,0,0,0,0,0,0,0,0,0,0,0
EE_0698,Rõuge,4263,2818,16,0,61,38,238,467,847,335,506,306,4,0,0,0,0,0,0,0,0,0,0
EE_0708,Räpina,4925,3148,36,0,61,35,275,320,945,304,700,469,3,0,0,0,0,0,0,0,0,0,0
EE_0712,Saarde,3582,2175,9,0,33,14,182,135,708,248,483,363,0,0,0,0,0,0,0,0,0,0,0
EE_0714,Saaremaa,25170,17122,63,0,340,125,1511,2376,3494,2861,4696,1656,0,0,0,0,0,0,0,0,0,0,0
EE_0719,Saku,8015,6301,12,0,230,39,518,468,800,878,2896,406,0,15,0,38,0,1,0,0,0,0,0
EE_0725,Saue,17571,13416,37,0,804,67,1056,915,1756,1913,5793,909,0,65,0,93,3,5,0,0,0,0,0
EE_0732,Setomaa,2615,1551,8,0,64,16,117,293,430,173,268,181,1,0,0,0,0,0,0,0,0,0,0
EE_0736,Sillamäe linn,3399,1629,10,0,4,8,7,38,53,95,53,722,0,390,249,0,0,0,0,0,0,0,0
EE_0784,Tallinn,266232,179434,892,0,3519,1884,10199,16147,17210,24054,56415,42574,0,6397,0,0,0,0,68,0,0,0,75
EE_0792,Tapa,7064,4081,31,0,76,26,602,239,774,394,1214,644,0,67,0,0,0,0,0,0,8,6,0
EE_0793,Tartu linn,66768,47766,179,0,945,785,4099,4664,6819,8850,17131,3528,0,766,0,0,0,0,0,0,0,0,0
EE_0796,Tartu vald,9215,6154,19,0,152,71,487,826,1115,1096,2048,301,0,39,0,0,0,0,0,0,0,0,0
EE_0803,Toila,3074,2042,9,0,40,14,144,215,306,230,698,210,0,116,60,0,0,0,0,0,0,0,0
EE_0809,Tori,9132,5577,23,0,120,27,694,304,1549,697,1420,714,0,29,0,0,0,0,0,0,0,0,0
EE_0824,Tõrva,4755,3228,20,0,103,28,223,336,728,266,1118,394,12,0,0,0,0,0,0,0,0,0,0
EE_0834,Türi,8438,5493,44,0,132,36,492,730,1269,416,1904,453,0,0,0,0,0,0,0,17,0,0,0
EE_0855,Valga,9689,5512,57,0,144,62,427,408,1249,420,1343,1374,28,0,0,0,0,0,0,0,0,0,0
EE_0890,Viimsi,14777,11242,24,0,311,83,787,737,1107,1633,5256,1113,0,127,0,59,3,2,0,0,0,0,0
EE_0897,Viljandi linn,12696,9007,42,0,120,73,1058,1564,1661,1150,2697,619,0,0,0,0,0,0,0,23,0,0,0
EE_0899,Viljandi vald,10745,6474,38,0,112,46,896,779,1633,782,1680,480,0,0,0,0,0,0,0,28,0,0,0
EE_0901,Vinni,5206,3383,34,0,144,17,428,272,807,223,903,536,0,14,0,0,0,0,0,0,4,1,0
EE_0903,Viru-Nigula,3677,2284,16,0,47,17,372,104,406,182,589,334,0,209,0,0,0,0,0,0,7,1,0
EE_0907,Vormsi,395,273,2,0,15,1,22,33,58,44,68,30,0,0,0,0,0,0,0,0,0,0,0
EE_0917,Võru,8397,5420,38,0,118,76,408,829,1515,624,1250,550,12,0,0,0,0,0,0,0,0,0,0
EE_0919,Võru linn,8767,6264,54,0,108,61,457,1378,1817,663,1201,519,6,0,0,0,0,0,0,0,0,0,0
EE_0928,Väike-Maarja,4414,2762,23,0,65,18,320,158,636,250,825,460,0,3,0,0,0,0,0,0,1,3,0
EE_EEYY97,Väljaspoolt ringkonda hääled,0,7138,396,0,292,170,1274,1351,2874,1526,3723,2458,1,311,42,9,1,0,3,2,0,0,2
EE_EEZZ99,välisriigid,84918,16354,0,0,156,171,462,993,2345,1129,3106,503,1,166,11,11,0,0,0,1,0,0,2
