gisco_id,name,registered,turnout,invalid,blank,SDE,Kesk,Isamaalit,ERP,ERL,VL,EDP,ER,EPE,VEE,Helme [Martin Helme],Bõstrov,Strandberg,Tann
EE_0192,Halliste,0,0,0,0,189,55,15,25,41,0,0,11,1,0,4,1,6,0
EE_0195,Hanila,0,0,0,0,118,65,41,16,22,1,0,27,2,0,4,1,6,0
EE_MA01,Harju maakond,80809,22780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0198,Harku,0,0,0,0,655,114,226,95,38,2,13,299,11,2,7,14,44,1
EE_0203,Helme,0,0,0,0,142,74,14,43,77,1,4,25,0,0,2,0,2,0
EE_MA02,Hiiu maakond,8432,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0208,Hummuli,0,0,0,0,43,22,7,11,54,0,5,21,0,0,0,0,4,0
EE_0213,Häädemeeste,0,0,0,0,255,89,48,27,26,1,8,55,4,2,0,0,12,0
EE_MA03,Ida-Viru maakond,65863,15620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0224,Iisaku,0,0,0,0,86,42,27,8,34,1,5,32,3,1,0,0,2,0
EE_0229,Illuka,0,0,0,0,57,36,12,12,87,0,2,16,2,2,4,6,2,0
EE_0234,Imavere,0,0,0,0,60,22,18,21,17,0,3,37,2,0,1,0,3,0
EE_0240,Juuru,0,0,0,0,103,44,33,17,10,1,0,25,4,0,0,0,2,0
EE_MA04,Järva maakond,29734,7036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0257,Järva-Jaani,0,0,0,0,119,67,31,36,49,0,3,27,5,0,2,0,7,0
EE_0260,Järvakandi,0,0,0,0,112,58,25,41,23,0,1,28,2,2,1,2,5,0
EE_0245,Jõelähtme,0,0,0,0,421,121,92,58,34,1,11,175,8,3,6,6,20,2
EE_0249,Jõgeva linn,0,0,0,0,447,213,117,90,240,1,16,147,10,1,10,2,12,0
EE_MA05,Jõgeva maakond,28693,8173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0248,Jõgeva vald,0,0,0,0,346,161,91,60,399,10,4,94,4,2,12,0,22,0
EE_0253,Jõhvi linn,0,0,0,0,425,552,140,80,97,13,6,123,19,5,3,93,13,2
EE_0252,Jõhvi vald,0,0,0,0,64,65,12,15,13,0,7,24,2,0,0,1,4,1
EE_0270,Kaarma,0,0,0,0,237,123,54,36,35,8,5,89,4,1,6,0,13,0
EE_0271,Kabala,0,0,0,0,75,34,16,13,14,0,1,16,6,0,2,0,5,0
EE_0273,Kadrina,0,0,0,0,421,122,135,83,26,3,11,79,1,1,15,1,9,0
EE_0276,Kaisma,0,0,0,0,34,17,13,10,12,0,0,9,1,0,2,0,3,0
EE_0277,Kaiu,0,0,0,0,100,27,12,15,103,4,2,19,2,2,1,0,4,0
EE_0279,Kallaste,0,0,0,0,22,28,4,29,16,0,0,2,4,3,0,38,0,0
EE_0282,Kambja,0,0,0,0,182,72,35,32,262,1,9,51,0,0,7,0,14,0
EE_0285,Kanepi,0,0,0,0,181,103,37,36,72,0,3,53,2,0,0,0,3,0
EE_0288,Kareda,0,0,0,0,69,16,9,11,5,0,1,19,0,0,0,0,5,0
EE_0600,Karksi,0,0,0,0,421,140,56,78,31,2,9,34,4,0,5,1,19,0
EE_0289,Karula,0,0,0,0,71,31,10,16,159,2,1,18,0,1,0,2,5,0
EE_0657,Kasepää,0,0,0,0,39,26,7,4,122,1,0,12,2,0,0,42,0,0
EE_0292,Kehtna,0,0,0,0,344,129,72,74,110,3,2,88,8,1,5,2,31,0
EE_0296,Keila linn,0,0,0,0,882,258,227,126,52,8,21,314,13,2,12,25,47,0
EE_0295,Keila vald,0,0,0,0,258,62,45,54,95,1,4,73,2,5,4,6,20,1
EE_0297,Kernu,0,0,0,0,140,55,34,21,32,0,3,50,4,0,1,0,9,0
EE_0301,Kihelkonna,0,0,0,0,42,66,15,5,20,0,5,28,2,0,12,0,2,0
EE_0303,Kihnu,0,0,0,0,41,17,11,13,6,1,1,12,1,0,1,0,1,0
EE_0304,Kiili,0,0,0,0,222,48,63,54,18,0,8,66,2,0,10,0,18,1
EE_0306,Kilingi-Nõmme,0,0,0,0,192,118,46,32,36,4,3,29,4,0,1,0,13,0
EE_0309,Kiviõli,0,0,0,0,258,290,76,73,32,5,19,84,7,13,3,71,0,0
EE_0314,Koeru,0,0,0,0,154,72,30,57,43,1,3,37,4,0,5,0,2,2
EE_0317,Kohila vald,0,0,0,0,408,143,99,91,104,4,9,105,10,1,12,10,26,0
EE_0320,Kohtla,0,0,0,0,74,40,19,8,55,0,3,23,1,1,1,7,3,0
EE_0322,Kohtla-Järve,0,0,0,0,644,1224,185,183,321,18,16,142,38,36,7,344,19,8
EE_0323,Kohtla-Nõmme,0,0,0,0,105,44,37,25,13,0,1,26,3,0,3,1,1,0
EE_0325,Koigi,0,0,0,0,65,46,8,18,34,2,1,27,0,0,2,0,5,0
EE_0328,Kolga-Jaani,0,0,0,0,113,76,44,12,22,5,9,15,3,1,3,0,8,0
EE_0331,Konguta,0,0,0,0,82,31,14,12,87,0,3,10,1,1,1,0,3,0
EE_0334,Koonga,0,0,0,0,107,51,10,16,74,0,2,17,0,0,2,1,4,0
EE_0337,Kose,0,0,0,0,454,155,85,49,114,2,8,119,9,0,5,0,20,2
EE_0342,Kullamaa,0,0,0,0,87,28,19,5,78,6,0,22,1,0,2,0,4,1
EE_0345,Kunda,0,0,0,0,190,112,57,43,18,1,6,36,6,1,1,22,5,0
EE_0349,Kuressaare,0,0,0,0,1007,505,221,102,112,21,38,379,23,2,24,3,28,0
EE_0352,Kuusalu,0,0,0,0,401,101,104,78,36,3,10,95,4,0,8,0,35,0
EE_0368,Käina,0,0,0,0,169,56,27,25,12,0,2,53,1,0,2,0,5,0
EE_0371,Kärdla,0,0,0,0,310,96,92,45,25,3,7,116,7,1,5,0,13,1
EE_0373,Kärla,0,0,0,0,73,63,26,8,46,1,1,18,3,0,0,0,4,0
EE_0375,Käru,0,0,0,0,72,22,11,16,20,2,3,13,6,1,1,0,2,0
EE_0354,Kõlleste,0,0,0,0,59,16,13,4,44,0,0,22,1,0,6,0,8,0
EE_0357,Kõo,0,0,0,0,94,32,30,12,29,0,1,11,0,0,5,0,5,0
EE_0360,Kõpu,0,0,0,0,64,14,6,7,18,2,3,4,2,0,1,0,2,0
EE_0392,Kõrgessaare,0,0,0,0,96,38,17,23,9,0,1,17,0,1,0,0,8,1
EE_0363,Kõue,0,0,0,0,88,46,15,13,30,0,3,27,0,0,6,0,8,0
EE_0381,Laekvere,0,0,0,0,104,51,15,49,61,0,1,23,3,0,4,0,2,0
EE_0383,Laeva,0,0,0,0,62,25,8,8,46,0,2,9,0,0,0,0,1,0
EE_0385,Laheda,0,0,0,0,93,37,9,17,34,3,1,6,2,0,1,0,7,0
EE_0386,Laimjala,0,0,0,0,50,24,7,5,25,1,3,17,0,0,3,0,1,0
EE_0389,Lasva,0,0,0,0,96,36,17,24,71,0,1,8,1,0,0,0,8,0
EE_0395,Lavassaare,0,0,0,0,30,34,8,3,13,0,2,8,1,3,1,6,5,0
EE_0400,Lehtse,0,0,0,0,112,67,33,23,10,2,6,21,4,0,3,0,5,0
EE_0403,Leisi,0,0,0,0,128,62,16,15,47,1,0,33,2,2,3,0,9,0
EE_0411,Lihula,0,0,0,0,154,68,64,29,38,1,12,36,4,0,1,0,13,0
EE_0420,Lohusuu,0,0,0,0,42,42,8,40,55,0,4,9,1,0,1,1,0,1
EE_0424,Loksa linn,0,0,0,0,121,93,22,59,16,1,3,22,6,3,4,19,2,0
EE_0423,Loksa vald,0,0,0,0,175,45,51,28,11,0,4,43,1,0,4,0,8,0
EE_0432,Luunja,0,0,0,0,175,47,37,22,112,1,3,39,1,1,0,1,7,0
EE_MA07,Lääne maakond,20927,5075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA06,Lääne-Viru maakond,48307,11029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0437,Lüganuse,0,0,0,0,66,45,27,27,33,4,0,27,1,1,5,0,0,0
EE_0440,Lümanda,0,0,0,0,70,38,9,8,26,0,0,19,1,2,1,0,7,0
EE_0446,Maardu,0,0,0,0,252,266,70,64,57,3,13,82,15,15,4,625,11,0
EE_0449,Maidla,0,0,0,0,68,20,33,21,8,0,4,2,3,0,0,0,6,0
EE_0452,Martna,0,0,0,0,51,30,5,9,38,0,1,2,2,0,7,0,2,0
EE_0454,Meeksi,0,0,0,0,27,23,2,8,38,1,0,12,2,2,2,8,1,0
EE_0460,Meremäe,0,0,0,0,77,14,10,49,93,0,1,7,1,0,1,1,2,0
EE_0465,Mikitamäe,0,0,0,0,41,36,16,16,16,0,2,12,4,0,0,3,1,0
EE_0468,Misso,0,0,0,0,57,25,8,36,49,0,1,11,0,0,0,0,2,1
EE_0473,Mooste,0,0,0,0,72,32,18,18,88,1,2,27,7,0,1,0,5,0
EE_0478,Muhu,0,0,0,0,159,82,31,34,12,1,2,36,2,0,2,0,7,1
EE_0483,Mustjala,0,0,0,0,35,30,6,2,33,1,2,6,0,0,1,0,2,0
EE_0485,Mustvee,0,0,0,0,57,30,7,13,79,2,1,27,0,0,0,35,1,0
EE_0498,Mäetaguse,0,0,0,0,120,44,26,21,12,2,0,22,2,0,0,0,5,1
EE_0501,Mäksa,0,0,0,0,100,35,22,15,35,0,0,22,0,0,3,2,4,0
EE_0504,Märjamaa vald,0,0,0,0,554,210,100,100,111,3,10,104,13,1,5,1,31,3
EE_0490,Mõisaküla,0,0,0,0,111,62,20,15,7,2,0,2,1,1,0,0,1,0
EE_0493,Mõniste,0,0,0,0,61,35,15,11,76,2,2,3,1,0,0,0,2,0
EE_0511,Narva,0,0,0,0,233,2104,97,528,211,140,8,174,37,65,1,838,4,2
EE_0513,Narva-Jõesuu,0,0,0,0,31,102,9,42,25,6,0,16,1,11,1,43,1,0
EE_0518,Nissi,0,0,0,0,249,96,52,45,32,2,8,39,2,0,7,0,19,0
EE_0520,Noarootsi,0,0,0,0,64,34,16,19,4,1,3,23,3,0,0,1,1,0
EE_0528,Nõo,0,0,0,0,358,93,73,48,120,2,8,98,3,0,7,0,23,1
EE_0531,Nõva,0,0,0,0,59,20,12,5,22,0,1,12,0,0,2,0,5,0
EE_0537,Oisu,0,0,0,0,109,35,14,19,6,0,2,20,2,1,5,0,4,0
EE_0545,Olustvere,0,0,0,0,138,39,19,20,21,1,5,21,0,1,1,0,3,1
EE_0547,Orava,0,0,0,0,47,56,12,8,82,2,0,23,0,1,0,0,3,0
EE_0550,Orissaare,0,0,0,0,154,65,36,30,70,3,2,45,0,0,1,1,8,0
EE_0552,Oru,0,0,0,0,71,24,13,41,5,1,2,23,1,1,0,0,9,1
EE_0636,Otepää,0,0,0,0,286,140,64,55,74,1,16,152,10,0,6,0,18,0
EE_0562,Padise,0,0,0,0,140,48,33,17,4,2,2,51,2,1,3,1,6,0
EE_0566,Paide linn,0,0,0,0,705,339,183,164,49,5,14,331,22,3,14,18,37,2
EE_0565,Paide vald,0,0,0,0,101,46,21,37,16,2,1,42,2,0,3,1,5,0
EE_0568,Paikuse,0,0,0,0,274,79,69,31,53,3,5,94,2,4,3,3,15,0
EE_0570,Paistu,0,0,0,0,122,34,31,10,34,0,1,16,0,0,2,1,1,0
EE_0573,Pajusi,0,0,0,0,82,31,19,19,53,0,2,29,1,3,1,0,2,0
EE_0576,Pala,0,0,0,0,82,13,16,9,128,1,5,30,0,0,1,0,2,0
EE_0578,Palamuse,0,0,0,0,190,39,21,21,320,1,2,15,1,0,3,0,9,0
EE_0580,Paldiski,0,0,0,0,85,69,16,24,15,1,5,38,0,6,2,46,2,0
EE_0582,Palupera,0,0,0,0,76,34,20,18,51,0,5,20,3,0,0,0,3,0
EE_0587,Peipsiääre,0,0,0,0,12,26,1,6,122,0,0,4,2,5,1,28,0,0
EE_0592,Pihtla,0,0,0,0,116,39,16,13,31,2,1,23,1,0,4,0,5,0
EE_0595,Piirissaare,0,0,0,0,1,2,1,0,17,0,0,2,0,0,0,1,0,0
EE_0605,Puhja,0,0,0,0,171,55,47,34,61,0,4,30,1,0,2,2,16,0
EE_0608,Puka,0,0,0,0,124,59,18,17,21,4,1,41,3,0,0,0,7,0
EE_0611,Puurmani,0,0,0,0,105,39,23,36,130,2,5,25,1,0,1,0,9,1
EE_0625,Pärnu,0,0,0,0,3443,1543,1096,492,323,32,119,927,53,21,59,163,134,3
EE_MA08,Pärnu maakond,67704,16844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0629,Pärsti,0,0,0,0,372,78,42,24,21,3,2,58,5,1,1,0,12,0
EE_0613,Põdrala,0,0,0,0,55,38,5,9,36,1,1,19,0,0,0,0,5,0
EE_0617,Põltsamaa linn,0,0,0,0,446,260,89,105,216,2,13,95,9,0,8,0,18,0
EE_0616,Põltsamaa vald,0,0,0,0,208,126,29,49,279,4,5,54,4,1,8,0,16,0
EE_0620,Põlva linn,0,0,0,0,441,260,94,61,131,8,13,153,5,2,19,7,27,1
EE_MA09,Põlva maakond,25424,5952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0619,Põlva vald,0,0,0,0,293,107,51,49,62,6,8,90,5,0,13,0,20,1
EE_0634,Pöide,0,0,0,0,72,40,6,5,15,2,3,9,2,0,2,0,3,0
EE_0639,Pühalepa,0,0,0,0,117,24,27,7,23,0,4,39,1,0,2,0,4,0
EE_0645,Püssi,0,0,0,0,69,45,19,16,12,0,1,16,2,2,0,7,3,1
EE_0651,Raasiku,0,0,0,0,374,114,66,43,26,2,10,115,4,0,5,2,19,0
EE_0653,Rae,0,0,0,0,625,157,158,113,42,3,11,240,5,0,14,5,33,1
EE_0654,Raikküla,0,0,0,0,134,55,36,27,22,4,4,27,1,2,1,0,18,0
EE_0660,Rakke,0,0,0,0,114,43,14,47,323,2,6,16,3,0,3,0,4,0
EE_0663,Rakvere linn,0,0,0,0,1266,535,377,252,130,14,20,318,6,9,20,16,50,3
EE_0662,Rakvere vald,0,0,0,0,108,55,26,28,22,2,5,23,0,0,2,0,3,0
EE_0666,Rannu,0,0,0,0,149,43,14,24,121,2,1,23,0,1,1,0,14,0
EE_MA10,Rapla maakond,28179,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0669,Rapla vald,0,0,0,0,787,246,213,139,90,11,20,249,16,5,10,6,59,3
EE_0674,Ridala,0,0,0,0,181,60,45,22,25,4,3,57,1,2,8,7,14,0
EE_0680,Risti,0,0,0,0,107,39,23,22,21,0,1,23,1,0,1,2,4,0
EE_0684,Roosna-Alliku,0,0,0,0,70,48,21,16,7,0,4,28,1,1,0,0,3,0
EE_0689,Ruhnu,0,0,0,0,12,3,3,1,1,0,0,0,0,0,0,0,3,0
EE_0702,Rägavere,0,0,0,0,58,35,14,6,13,0,2,6,1,0,3,0,2,0
EE_0707,Räpina vald,0,0,0,0,379,185,58,79,101,5,13,109,9,6,14,26,25,0
EE_0694,Rõngu,0,0,0,0,206,85,30,27,79,2,8,60,6,0,1,2,15,1
EE_0697,Rõuge,0,0,0,0,190,71,28,18,122,5,8,66,0,0,2,0,16,0
EE_0711,Saarde,0,0,0,0,153,48,38,24,38,0,4,41,4,0,0,0,11,0
EE_MA11,Saare maakond,28830,6053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0713,Saare,0,0,0,0,87,33,20,16,154,4,0,10,4,0,1,0,4,0
EE_0715,Saarepeedi,0,0,0,0,97,27,34,6,9,0,2,14,0,1,1,0,3,0
EE_0716,Saksi,0,0,0,0,104,26,8,5,31,1,2,23,0,0,1,0,2,1
EE_0718,Saku,0,0,0,0,795,133,198,105,41,11,22,276,11,1,12,2,57,1
EE_0721,Salme,0,0,0,0,87,47,22,19,44,1,5,22,2,0,0,0,2,1
EE_0724,Sangaste,0,0,0,0,103,49,29,14,36,1,9,14,4,0,3,0,7,1
EE_0728,Saue linn,0,0,0,0,614,129,175,73,31,1,47,320,8,1,12,8,44,0
EE_0727,Saue vald,0,0,0,0,694,134,184,98,82,4,19,323,5,2,5,4,49,1
EE_0730,Sauga,0,0,0,0,142,80,37,27,33,5,5,50,4,0,7,1,5,0
EE_0735,Sillamäe,0,0,0,0,39,333,22,76,89,4,2,38,9,14,3,198,5,1
EE_0741,Sindi,0,0,0,0,262,136,68,48,31,3,7,54,5,10,10,12,8,1
EE_0751,Sonda,0,0,0,0,87,59,20,14,11,1,5,17,4,1,3,12,6,1
EE_0756,Surju,0,0,0,0,65,18,6,10,139,1,0,15,0,0,0,0,4,0
EE_0760,Suure-Jaani linn,0,0,0,0,121,55,19,13,17,0,2,35,3,0,1,0,11,0
EE_0759,Suure-Jaani vald,0,0,0,0,214,72,41,16,30,4,9,43,4,0,2,1,12,0
EE_0767,Sõmerpalu,0,0,0,0,140,30,26,27,29,2,5,43,1,0,0,0,6,0
EE_0770,Sõmeru,0,0,0,0,239,65,53,43,17,0,4,41,5,3,8,0,16,0
EE_0773,Tabivere,0,0,0,0,119,50,26,24,218,2,9,34,3,2,1,0,4,0
EE_0776,Taebla,0,0,0,0,201,72,65,35,24,2,4,51,6,0,3,2,10,1
EE_0779,Taheva,0,0,0,0,42,46,7,13,81,2,1,12,0,0,0,0,2,0
EE_0848,Tahkuranna,0,0,0,0,144,54,29,14,22,1,2,45,3,0,2,3,6,0
EE_0782,Tali,0,0,0,0,49,26,3,12,19,0,1,12,1,0,2,0,1,0
EE_0784,Tallinn,233586,72736,0,0,25703,13787,9041,4258,1762,273,1187,10440,314,343,426,2858,1890,50
EE_0788,Tamsalu linn,0,0,0,0,164,77,45,41,22,2,10,43,5,1,2,0,2,0
EE_0787,Tamsalu vald,0,0,0,0,104,65,20,21,80,3,7,23,2,0,2,0,5,0
EE_0791,Tapa,0,0,0,0,296,161,92,42,26,2,6,57,9,1,4,8,12,0
EE_0795,Tartu linn,70993,20140,0,0,7773,1995,2836,1413,1124,90,210,3186,93,59,123,182,832,8
EE_MA12,Tartu maakond,36420,9847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0794,Tartu vald,0,0,0,0,315,90,76,70,212,3,3,96,4,2,5,0,23,0
EE_0797,Tarvastu,0,0,0,0,325,112,54,52,57,1,7,49,5,0,1,0,13,0
EE_0802,Toila,0,0,0,0,220,50,62,32,19,1,14,52,6,3,2,4,2,1
EE_0805,Tootsi,0,0,0,0,80,87,15,10,13,1,3,9,8,0,2,0,2,0
EE_0807,Torgu,0,0,0,0,29,18,5,2,5,0,0,8,0,0,0,0,1,0
EE_0808,Tori,0,0,0,0,187,92,40,26,75,2,9,52,4,0,9,1,10,0
EE_0810,Torma,0,0,0,0,135,71,18,22,345,2,1,36,2,0,3,0,13,0
EE_0815,Tudulinna,0,0,0,0,44,28,13,8,56,0,0,6,0,0,0,0,2,1
EE_0831,Tähtvere,0,0,0,0,176,72,52,37,236,2,8,75,1,0,2,1,16,0
EE_0820,Tõlliste,0,0,0,0,111,89,17,29,32,0,2,27,2,3,5,0,1,0
EE_0823,Tõrva,0,0,0,0,282,119,58,86,136,2,4,89,1,0,9,0,15,0
EE_0826,Tõstamaa,0,0,0,0,173,56,23,31,33,0,5,27,1,0,5,0,5,0
EE_0837,Türi linn,0,0,0,0,478,256,148,86,45,3,21,177,11,2,5,3,33,0
EE_0836,Türi vald,0,0,0,0,174,68,41,40,20,5,1,57,4,1,2,0,11,0
EE_0843,Urvaste,0,0,0,0,75,33,18,44,36,1,2,16,1,0,0,0,3,1
EE_0851,Vaivara,0,0,0,0,23,76,6,14,49,5,2,11,0,3,1,0,4,1
EE_0854,Valga,0,0,0,0,636,450,103,180,451,26,37,187,13,11,11,75,21,1
EE_MA13,Valga maakond,25066,6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0856,Valgjärve,0,0,0,0,107,46,26,16,115,1,5,37,0,0,3,0,9,0
EE_0858,Valjala,0,0,0,0,58,44,26,8,36,0,2,14,1,0,0,0,5,0
EE_0861,Vara,0,0,0,0,169,67,25,31,80,0,1,22,5,0,1,11,7,0
EE_0863,Varbla,0,0,0,0,94,74,21,15,42,1,0,20,2,0,4,0,2,0
EE_0865,Varstu,0,0,0,0,41,26,14,36,11,1,2,14,2,0,0,0,3,0
EE_0868,Vasalemma,0,0,0,0,132,91,30,16,19,1,6,43,4,11,0,24,4,0
EE_0870,Vastemõisa,0,0,0,0,68,23,8,12,34,1,2,12,1,0,1,0,4,0
EE_0872,Vastse-Kuuste,0,0,0,0,73,36,17,4,25,0,5,27,1,0,2,0,6,0
EE_0874,Vastseliina,0,0,0,0,147,42,25,41,97,1,4,35,1,1,4,0,4,0
EE_0879,Veriora,0,0,0,0,103,31,12,14,66,0,5,17,2,0,1,0,4,0
EE_0884,Vigala,0,0,0,0,109,56,23,23,84,6,12,22,1,0,1,0,11,0
EE_0887,Vihula,0,0,0,0,182,76,53,26,16,1,7,51,3,2,5,0,17,0
EE_0890,Viimsi,0,0,0,0,1047,196,441,175,67,1,16,649,6,2,15,6,86,2
EE_0892,Viiratsi,0,0,0,0,313,84,77,40,69,3,7,62,3,2,4,9,12,0
EE_0897,Viljandi linn,0,0,0,0,2036,564,558,201,176,18,44,455,21,6,19,24,92,5
EE_MA14,Viljandi maakond,44191,10989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0900,Vinni,0,0,0,0,410,200,103,65,165,9,8,74,0,0,14,0,23,0
EE_0902,Viru-Nigula,0,0,0,0,79,44,25,8,7,1,6,18,1,2,4,0,4,0
EE_0907,Vormsi,0,0,0,0,9,9,7,0,4,0,1,8,2,0,1,0,4,0
EE_0927,Väike-Maarja,0,0,0,0,271,156,60,70,127,0,7,54,2,2,6,0,10,1
EE_0930,Vändra,0,0,0,0,153,74,34,34,81,3,0,25,3,1,3,0,8,0
EE_0931,Vändra (alev),0,0,0,0,239,94,38,32,37,0,3,40,8,0,4,0,6,1
EE_0934,Värska,0,0,0,0,97,54,20,20,125,2,2,25,1,0,1,2,3,0
EE_0937,Väätsa,0,0,0,0,91,46,17,24,17,0,4,30,0,0,0,0,3,0
EE_0912,Võhma,0,0,0,0,149,83,35,13,70,0,3,23,3,0,2,0,6,0
EE_0915,Võnnu,0,0,0,0,79,25,13,10,33,1,3,11,0,0,4,2,3,0
EE_0919,Võru linn,0,0,0,0,1001,478,271,195,299,10,45,267,10,5,27,32,42,0
EE_MA15,Võru maakond,30651,7211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0918,Võru vald,0,0,0,0,360,83,70,55,174,4,11,64,2,0,5,0,11,0
EE_0943,Õru,0,0,0,0,32,23,5,4,16,0,0,4,1,0,0,0,1,0
EE_0949,Ülenurme,0,0,0,0,421,79,76,67,105,4,9,160,3,1,2,0,25,0
EE_EEYY98,Eesti (invalid votes),0,0,2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
