gisco_id,name,registered,turnout,invalid,blank,RÜE,EKRE,ER,Isamaa,EER,VL,EVA,Kesk,SDE,EIP,Hirv,Vackermann,Porroson,Ranne,Pähklemäe,Reinson,Leetna,Ibragimov,Koit,Ivinskaja,Karusoo
EE_0383,Laeva,637,369,4,0,1,30,108,47,2,0,31,84,62,0,0,0,0,0,0,0,0,0,0,0,0
EE_0385,Laheda,969,565,1,0,4,32,80,28,2,0,37,99,279,2,0,0,1,0,0,0,0,0,0,0,0
EE_0386,Laimjala,591,331,1,0,0,26,88,61,4,0,45,36,70,0,0,0,0,0,0,0,0,0,0,0,0
EE_0389,Lasva,1337,778,8,0,4,62,149,73,11,0,49,171,249,1,0,0,0,1,0,0,0,0,0,0,0
EE_0403,Leisi,1685,939,12,0,3,78,284,143,19,1,92,164,139,4,0,0,0,0,0,0,0,0,0,0,0
EE_0411,Lihula,1942,1057,11,0,2,144,276,110,48,0,94,107,263,2,0,0,0,0,0,0,0,0,0,0,0
EE_0420,Lohusuu,571,332,5,0,2,35,104,35,1,0,20,98,31,1,0,0,0,0,0,0,0,0,0,0,0
EE_0424,Loksa linn,1114,626,5,0,3,29,109,97,5,5,59,270,42,1,1,0,0,0,0,0,0,0,0,0,0
EE_0432,Luunja,2874,1789,6,0,10,161,641,272,23,1,145,236,287,7,0,0,0,0,0,0,0,0,0,0,0
EE_0436,Lääne-Nigula,3273,2036,11,0,5,352,565,264,33,1,207,208,376,14,0,0,0,0,0,0,0,0,0,0,0
EE_0433,Lääne-Saare,5641,3274,11,0,7,295,1069,551,62,1,460,441,366,11,0,0,0,0,0,0,0,0,0,0,0
EE_0438,Lüganuse,2272,1319,12,0,21,132,384,289,4,0,65,214,198,0,0,0,0,0,0,0,0,0,0,0,0
EE_0446,Maardu,6593,3600,48,0,8,112,455,197,16,278,199,2060,224,2,0,1,0,0,0,0,0,0,0,0,0
EE_0452,Martna,684,353,2,0,0,103,78,58,7,0,28,41,36,0,0,0,0,0,0,0,0,0,0,0,0
EE_0454,Meeksi,540,278,5,0,2,25,50,30,2,0,13,79,71,1,0,0,0,0,0,0,0,0,0,0,0
EE_0460,Meremäe,945,504,4,0,3,66,90,85,6,0,24,64,159,2,0,0,0,1,0,0,0,0,0,0,0
EE_0465,Mikitamäe,852,496,20,0,3,30,49,110,1,1,10,129,143,0,0,0,0,0,0,0,0,0,0,0,0
EE_0468,Misso,591,380,5,0,0,56,61,54,2,0,32,66,102,1,0,0,1,0,0,0,0,0,0,0,0
EE_0473,Mooste,1180,599,2,0,3,47,180,86,1,2,55,113,105,2,0,0,0,3,0,0,0,0,0,0,0
EE_0478,Muhu,1657,989,7,0,0,107,290,172,27,0,127,116,143,0,0,0,0,0,0,0,0,0,0,0,0
EE_0483,Mustjala,580,298,2,0,1,25,74,57,5,0,43,62,28,1,0,0,0,0,0,0,0,0,0,0,0
EE_0485,Mustvee,1145,690,16,0,2,47,75,107,1,11,14,365,47,5,0,0,0,0,0,0,0,0,0,0,0
EE_0498,Mäetaguse,1056,534,3,0,1,49,157,100,3,0,33,92,95,1,0,0,0,0,0,0,0,0,0,0,0
EE_0501,Mäksa,1351,806,3,0,2,86,271,80,5,1,51,156,147,4,0,0,0,0,0,0,0,0,0,0,0
EE_0504,Märjamaa vald,5373,3244,11,0,9,340,994,507,38,3,460,464,402,8,6,2,0,0,0,0,0,0,0,0,0
EE_0490,Mõisaküla,720,414,3,0,2,24,105,89,1,0,29,115,44,0,0,0,0,0,0,0,0,0,2,0,0
EE_0493,Mõniste,733,412,1,0,0,53,72,47,2,0,29,85,123,0,0,0,0,0,0,0,0,0,0,0,0
EE_0511,Narva,20992,10659,117,0,15,24,277,179,19,6,194,8182,1634,12,0,0,0,0,0,0,0,0,0,0,0
EE_0513,Narva-Jõesuu,1269,661,10,0,6,10,52,40,0,1,8,431,100,3,0,0,0,0,0,0,0,0,0,0,0
EE_0518,Nissi,2235,1381,11,0,1,129,426,250,7,2,134,228,173,3,1,16,0,0,0,0,0,0,0,0,0
