gisco_id,name,registered,turnout,invalid,blank,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,"ПАТРИОТИЧЕН ФРОНТ – НФСБ, БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ",ВЪЗРАЖДАНЕ,НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,БСДД – Български Съюз за Директна Демокрация,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ПП ГЛАС НАРОДЕН,Движение за права и свободи – ДПС,ПП ПРАВОТО,ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,БНО,ВОЛЯ,ПП ИМА ТАКЪВ НАРОД,Продължаваме Промяната,Партия МИР,ПП БЛАГОДЕНСТВИЕ – ОБЕДИНЕНИЕ – ГРАДИВНОСТ,Български национален съюз – НД,ПРЯКА ДЕМОКРАЦИЯ,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,ГЕРБ-СДС,БСП ЗА БЪЛГАРИЯ,БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ,Партия на ЗЕЛЕНИТЕ,БРИГАДА,ИК за Петър Константинов Низамов - независим-Петър Константинов Низамов,Давид Леон Леви - независим-Давид Леон Леви
BG_BGZZPT,Portugal,115,513,12,8,3,0,46,0,0,0,0,0,2,1,0,1,0,0,109,158,2,1,1,0,65,8,70,24,0,2,0,0,0
BG_BGZZKR,South Korea,14,29,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,7,0,2,3,0,1,0,0,0
BG_BGZZMK,North Macedonia,217,709,51,7,5,3,14,3,7,8,3,5,6,2,2,136,48,1,21,68,2,0,3,1,57,17,207,23,0,9,0,0,0
BG_BGZZZA,South Africa,117,376,4,1,2,0,93,0,0,0,2,1,0,3,0,5,0,0,37,106,1,0,1,1,39,9,54,16,0,1,0,0,0
BG_BGZZRO,Romania,36,177,2,1,1,0,4,0,0,1,1,0,2,0,0,1,0,0,13,72,0,0,0,0,28,4,35,12,0,0,0,0,0
BG_BGZZRU,Russia,186,524,18,6,22,0,51,0,0,2,2,0,0,4,0,7,0,1,92,139,3,0,0,1,39,19,37,81,0,0,0,0,0
BG_BGZZSA,Saudi Arabia,0,23,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,3,0,0,0,0,0,0
BG_BGZZUS,United States,2811,11729,110,73,19,9,1176,16,6,15,20,54,27,15,8,37,6,3,1258,5548,9,7,0,6,1471,125,1365,332,2,11,1,0,0
BG_BGZZSG,Singapore,73,107,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,0,32,1,5,1,0,0,0,0,0
BG_BGZZSK,Slovakia,50,157,0,3,1,0,10,1,0,1,0,0,0,0,0,1,0,0,16,53,0,0,0,0,32,6,21,11,0,1,0,0,0
BG_BGZZSI,Slovenia,31,113,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,9,42,0,2,0,0,20,1,18,10,1,1,0,0,0
BG_BGZZRS,Serbia,219,821,51,12,2,7,70,1,4,3,6,2,5,3,1,14,3,1,65,116,0,1,0,0,88,12,314,28,0,12,0,0,0
BG_BGZZTN,Tunisia,3,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,3,0,3,1,0,0,0,0,0
BG_BGZZTR,Turkey,21161,90799,2414,117,16,30,67,103,75,50,75,42,126,85256,26,26,21,24,149,336,17,41,4,8,202,42,1338,164,9,19,9,0,0
BG_BGZZUA,Ukraine,54,115,0,2,1,0,9,0,0,0,0,0,0,1,0,5,0,0,12,46,0,0,0,0,15,0,18,6,0,0,0,0,0
BG_BGZZHU,Hungary,25,252,2,3,0,0,15,0,1,0,1,2,0,0,0,4,0,0,19,93,1,0,0,0,54,5,44,7,0,1,0,0,0
BG_BGZZFI,Finland,198,502,5,6,2,0,57,0,0,0,1,2,3,15,0,5,1,0,93,167,1,0,0,0,57,11,63,10,1,2,0,0,0
BG_BGZZFR,France,904,4437,31,64,11,10,350,13,7,10,5,20,11,145,6,28,3,4,608,1463,8,6,2,2,850,91,488,189,1,9,0,0,0
BG_BGZZHR,Croatia,18,78,2,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,8,22,0,0,0,0,27,0,9,4,0,0,0,0,0
BG_BGZZME,Montenegro,8,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0
BG_BGZZCZ,Czech Republic,714,1454,9,41,1,5,265,1,6,9,8,10,8,13,2,15,1,4,271,464,4,0,0,1,215,46,196,73,2,2,0,0,0
BG_BGZZCH,Switzerland,654,2661,29,21,8,2,252,7,0,3,5,7,2,16,0,12,0,2,272,1043,2,1,0,3,505,43,320,102,0,4,0,0,0
BG_BGZZSE,Sweden,304,1013,7,11,3,1,87,1,3,3,1,4,5,51,1,3,0,1,125,337,0,0,0,2,191,29,108,36,1,2,0,0,0
BG_BGZZJP,Japan,84,106,1,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,5,35,0,0,0,0,36,3,13,4,0,0,0,0,0
