gisco_id,name,registered,turnout,invalid,blank,ПП ДОСТ,ПП ГЛАС НАРОДЕН,Социалистическа партия Български път,ПП ВЕЛИЧИЕ,Булгари,МОЯ СТРАНА БЪЛГАРИЯ,ПП ИМА ТАКЪВ НАРОД,ДПС-Ново начало,БРИГАДА,Партия на ЗЕЛЕНИТЕ,ПРАВОТО,ВЪЗРАЖДАНЕ,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСДД – ДИРЕКТНА ДЕМОКРАЦИЯ,СИНЯ БЪЛГАРИЯ,ПП МЕЧ,ГЕРБ-СДС,АТАКА,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ПРЯКА ДЕМОКРАЦИЯ,"КП СВОБОДНИ ИЗБИРАТЕЛИ (РБ, ССД и ЗС)",БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,КОЙ,КП РУСОФИЛИ ЗА БЪЛГАРИЯ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,БЪЛГАРСКИ ВЪЗХОД,БСП – ОБЕДИНЕНА ЛЕВИЦА,ЧАВДАР ИВАНОВ ПОПОВ - независим кандидат-ЧАВДАР ИВАНОВ ПОПОВ
BG_PDV23,Първомай,22009,6359,134,184,7,19,6,285,3,11,427,469,0,4,5,1078,566,6,3,79,393,1291,9,12,11,10,1,3,18,504,49,772,0
BG_SZR12,Казанлък,64174,24152,514,804,23,49,28,1083,13,31,1748,2972,5,30,17,3917,586,16,9,124,1130,6498,26,34,65,39,21,23,117,2088,85,2057,0
BG_VAR13,Долни чифлик,15984,6429,300,95,2,9,4,265,1,6,142,1309,6,3,6,449,167,4,2,12,130,2860,7,5,33,2,2,4,12,172,6,413,0
BG_PER51,Трън,3152,1254,39,52,0,7,0,28,0,2,115,50,3,2,4,126,8,1,2,4,53,510,2,0,10,0,0,2,4,71,2,157,0
BG_VRC20,Козлодуй,15936,6786,152,247,0,11,0,260,3,9,439,1020,7,14,11,1033,170,1,1,161,465,1960,6,5,10,17,2,3,32,347,27,373,0
BG_HKV32,Тополовград,7936,3263,76,68,8,16,5,87,2,1,579,561,2,3,5,380,11,4,3,4,140,825,5,3,5,0,0,2,3,191,5,269,0
BG_LOV33,Тетевен,16865,6690,191,130,2,12,10,122,5,4,284,679,4,7,0,547,296,2,4,19,258,3080,19,3,8,6,8,5,9,435,12,529,0
BG_PVN11,Долни Дъбник,11595,2882,97,70,2,10,0,80,2,1,196,341,1,3,2,379,201,1,5,13,118,484,6,3,0,11,1,4,8,183,3,628,29
BG_VAR05,Бяла,2558,961,38,22,1,3,0,135,4,0,53,51,0,0,2,183,29,1,0,4,34,285,1,0,2,0,0,0,3,28,7,75,0
BG_VTR32,Сухиндол,1930,800,17,22,0,1,0,21,0,2,29,276,1,0,0,79,12,1,1,1,33,125,0,2,5,0,1,0,4,30,1,136,0
BG_SML18,Неделино,5119,2141,51,16,2,5,0,23,0,2,48,823,2,0,4,149,89,1,0,3,47,507,0,7,2,0,2,1,3,229,2,123,0
BG_DOB29,Шабла,3686,1287,23,37,0,4,3,43,0,2,99,54,0,2,3,257,5,0,1,3,78,391,2,3,4,5,1,3,4,124,9,127,0
BG_KNL31,Невестино,1528,724,21,18,0,1,0,7,0,1,46,67,0,1,2,109,1,0,0,2,19,174,2,1,1,2,2,1,2,59,3,182,0
BG_VAR06,Варна,298097,117075,1493,3835,113,365,48,7199,53,109,10475,5681,47,255,98,19395,1799,92,68,1280,4728,31503,181,109,631,63,45,65,436,19937,471,6500,0
BG_SFO16,Драгоман,3949,1645,28,57,0,4,0,40,1,13,92,65,0,2,2,195,28,0,3,8,87,695,0,0,3,33,2,2,5,129,14,137,0
BG_SHU21,Никола Козлево,6994,3030,91,26,1,0,1,22,0,2,10,2143,2,1,2,42,428,2,0,6,27,82,1,2,0,2,1,2,0,77,2,55,0
BG_KRZ08,Джебел,24118,6744,94,32,21,2,0,9,1,0,53,5530,3,1,0,61,324,0,2,3,18,370,1,1,0,1,2,0,1,137,0,77,0
BG_LOV02,Априлци,2331,982,13,31,0,1,0,42,2,0,50,8,1,1,1,171,9,0,0,2,45,406,0,1,0,0,1,0,6,93,8,90,0
BG_BGS27,Приморско,5283,2373,54,80,1,6,1,66,1,1,108,207,2,4,1,278,79,3,2,13,82,1106,1,3,2,0,0,0,8,162,10,92,0
BG_RAZ17,Лозница,10300,3922,118,73,7,1,0,32,1,0,76,705,2,1,0,126,1622,3,0,5,56,466,1,7,1,0,1,3,10,506,6,93,0
BG_RSE05,Ветово,12194,4748,161,71,31,4,0,65,1,1,72,2682,4,1,3,222,916,7,4,2,60,214,3,0,5,1,2,2,7,75,8,124,0
BG_SZR22,Мъглиж,9679,3557,123,36,5,9,3,69,2,5,126,804,2,5,2,265,84,1,0,9,178,1456,9,4,5,3,1,3,7,159,5,178,0
BG_MON14,Георги Дамяново,1779,1047,29,33,0,3,0,24,0,1,48,51,1,0,0,130,9,1,0,4,36,503,6,1,2,0,0,0,6,64,12,83,0
BG_SFO34,Правец,6102,2661,74,102,0,5,0,63,8,4,193,406,3,8,4,280,5,7,2,18,124,592,4,2,4,3,3,6,8,211,23,498,0
BG_VID30,Ново село,2075,1158,25,24,0,0,0,20,1,0,41,196,2,0,0,102,5,2,1,5,49,382,1,0,0,4,1,5,6,198,7,81,0
BG_SZR36,Чирпан,17109,6423,263,125,9,6,7,331,1,5,274,1369,3,4,3,754,49,8,4,12,377,1905,11,11,22,1,3,4,39,357,13,453,0
BG_BGS08,Камено,9731,2543,119,67,2,14,2,92,1,5,140,235,2,2,5,338,75,6,1,14,133,850,6,0,12,0,2,1,21,168,8,222,0
BG_BLG40,Сандански,34698,12699,254,350,0,30,0,760,10,8,729,1251,8,29,11,1466,76,9,7,111,865,3649,20,15,36,7,6,5,29,1809,22,1137,0
BG_SHU22,Нови пазар,16803,4627,132,123,5,12,9,182,1,11,244,1022,0,2,4,446,488,5,2,6,203,631,5,5,10,3,6,2,6,381,13,668,0
BG_VRC28,Мизия,5397,2316,61,67,0,6,0,60,1,3,124,398,1,0,0,257,12,0,2,7,129,887,3,4,5,4,2,1,11,169,8,94,0
BG_SLS15,Кайнарджа,4291,1655,60,25,0,1,0,16,0,4,50,101,1,3,1,86,345,0,3,3,20,713,3,1,1,119,6,2,0,24,1,66,0
BG_VID25,Макреш,1014,588,14,12,0,0,0,5,0,0,16,74,0,0,0,54,2,0,0,3,20,122,0,0,0,1,0,0,0,64,1,200,0
BG_GAB12,Дряново,7491,2574,58,82,0,10,0,151,1,6,198,75,1,4,5,395,49,3,0,12,123,499,11,4,4,3,1,2,13,259,11,594,0
BG_VTR06,Горна Оряховица,38496,12427,185,474,0,37,0,1004,9,18,1048,763,5,27,12,2103,195,10,8,67,553,3016,22,12,73,5,10,7,53,1342,50,1319,0
BG_VID37,Чупрене,1392,857,36,21,0,1,0,3,0,1,25,238,0,1,2,61,1,0,1,4,11,331,1,1,0,1,0,1,1,46,3,66,0
BG_SHU19,Каспичан,6678,1925,51,57,3,3,4,72,4,3,84,56,0,0,2,297,153,2,0,4,93,563,3,7,3,2,0,3,7,232,5,212,0
BG_VTR26,Полски Тръмбеш,10993,3475,81,67,0,14,0,183,3,4,239,636,1,1,3,375,232,7,8,7,210,646,12,4,6,19,1,2,10,184,5,515,0
BG_MON12,Вършец,6140,2771,82,73,2,2,0,44,3,9,136,544,1,2,0,273,58,4,2,10,104,909,3,7,4,0,1,6,9,275,15,193,0
BG_BGS21,Созопол,10844,4763,114,136,3,7,7,122,4,5,208,379,1,2,3,472,54,5,4,25,153,1383,5,7,12,3,2,11,17,348,14,1257,0
BG_KNL50,Трекляно,445,294,4,9,0,1,0,5,0,1,15,14,0,0,0,40,2,1,1,0,4,60,0,0,2,1,0,0,1,17,3,113,0
BG_VRC31,Оряхово,8310,3138,76,79,0,6,0,96,6,6,125,669,1,2,4,412,4,2,5,23,182,960,2,1,6,1,0,3,7,161,12,287,0
BG_BLG28,Кресна,4316,2156,40,43,0,4,0,37,1,1,53,141,0,2,4,114,3,1,2,28,70,1185,2,3,0,6,0,1,1,209,3,202,0
BG_HKV28,Свиленград,18411,9131,252,215,5,23,16,268,5,7,522,1053,4,16,4,1052,83,5,4,38,408,3964,11,10,21,5,4,7,27,565,20,517,0
BG_VID22,Кула,3227,1409,47,50,0,4,0,18,0,3,82,108,0,0,2,104,22,2,1,10,45,676,3,0,1,0,1,0,2,138,3,87,0
BG_LOV36,Угърчин,4729,1991,80,43,3,2,1,26,1,1,83,125,0,1,0,139,77,1,1,6,67,1019,2,3,3,2,0,3,5,94,5,198,0
BG_TGV23,Опака,5620,2718,69,70,5,1,0,25,1,0,45,866,2,0,0,58,1234,1,1,4,39,159,2,1,0,1,1,1,0,48,1,83,0
BG_PDV33,Съединение,7777,2487,69,75,1,10,1,84,2,4,189,88,1,2,3,392,19,0,3,6,246,633,6,4,9,8,4,2,9,176,37,404,0
BG_BLG49,Струмяни,3984,2163,69,21,0,1,0,36,1,0,36,1063,1,1,1,133,6,3,2,104,69,369,1,1,4,2,0,1,1,116,3,118,0
BG_VTR14,Златарица,3494,1355,50,44,0,2,0,45,2,3,48,487,0,1,2,97,124,2,2,2,42,161,1,0,0,0,2,2,3,56,2,175,0
BG_LOV17,Летница,4058,1193,36,25,2,1,0,36,2,1,46,107,0,3,0,95,59,1,1,3,30,575,2,0,5,0,0,1,1,47,2,112,0
BG_SZR37,Гурково,4170,1688,86,32,1,3,6,53,1,1,59,388,1,5,1,155,165,1,3,3,91,366,3,3,4,8,3,2,1,73,2,168,0
BG_PDV42,Куклен,6317,1950,37,53,68,8,2,52,1,1,90,138,1,2,4,203,342,1,0,16,82,408,5,0,0,12,1,3,7,183,8,222,0
BG_SFO25,Костенец,9989,4039,84,148,0,7,0,108,1,2,182,384,1,5,8,706,10,4,1,19,172,1582,7,5,7,4,4,2,21,336,11,218,0
BG_VAR14,Девня,7609,2914,106,56,0,5,4,128,2,2,173,54,0,2,4,241,57,1,5,2,136,1622,1,7,9,2,3,4,10,131,5,142,0
BG_VTR20,Лясковец,10636,3627,77,136,0,13,0,248,3,2,248,216,0,8,1,656,23,4,0,19,195,1161,5,3,7,4,0,1,25,304,13,255,0
BG_MON24,Лом,23159,8072,367,154,6,20,0,134,4,15,348,2661,2,9,10,908,4,3,2,84,405,1824,8,11,12,5,1,6,28,513,29,501,0
