gisco_id,name,registered,turnout,invalid,blank,ПП ДОСТ,ПП ГЛАС НАРОДЕН,Социалистическа партия Български път,ПП ВЕЛИЧИЕ,Булгари,МОЯ СТРАНА БЪЛГАРИЯ,ПП ИМА ТАКЪВ НАРОД,ДПС-Ново начало,БРИГАДА,Партия на ЗЕЛЕНИТЕ,ПРАВОТО,ВЪЗРАЖДАНЕ,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСДД – ДИРЕКТНА ДЕМОКРАЦИЯ,СИНЯ БЪЛГАРИЯ,ПП МЕЧ,ГЕРБ-СДС,АТАКА,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ПРЯКА ДЕМОКРАЦИЯ,"КП СВОБОДНИ ИЗБИРАТЕЛИ (РБ, ССД и ЗС)",БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,КОЙ,КП РУСОФИЛИ ЗА БЪЛГАРИЯ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,БЪЛГАРСКИ ВЪЗХОД,БСП – ОБЕДИНЕНА ЛЕВИЦА,ЧАВДАР ИВАНОВ ПОПОВ - независим кандидат-ЧАВДАР ИВАНОВ ПОПОВ
BG_BGZZPL,Poland,48,266,4,8,1,1,0,9,0,1,23,2,0,2,0,34,1,0,2,5,7,26,0,0,0,0,0,0,0,128,3,9,0
BG_BGZZSE,Sweden,69,665,11,16,0,3,1,68,0,0,31,33,0,3,0,93,54,0,0,6,32,61,1,0,1,1,0,5,2,227,0,16,0
BG_BGZZCY,Cyprus,98,1503,53,27,2,2,2,190,1,2,142,20,0,2,0,360,51,0,0,15,126,228,3,6,11,2,2,1,15,192,4,44,0
BG_BGZZQA,Qatar,6,61,2,1,0,0,0,1,0,0,6,0,0,0,0,6,0,0,0,0,3,13,0,0,0,0,1,0,0,27,0,1,0
BG_BGZZIE,Ireland,167,677,3,27,0,4,0,97,0,0,70,2,0,1,0,135,1,1,2,6,22,67,0,1,9,1,0,0,4,212,1,11,0
BG_BGZZAL,Albania,174,329,19,145,4,1,0,4,0,1,5,2,3,0,0,1,2,0,0,1,2,95,0,1,0,2,0,0,0,11,5,25,0
BG_BGZZAM,Armenia,11,49,1,2,0,1,0,2,0,0,2,1,0,0,0,13,0,0,0,2,1,6,0,0,0,0,0,0,0,16,1,1,0
BG_BGZZHR,Croatia,24,82,1,3,0,0,0,3,0,0,4,0,0,0,1,11,0,0,0,3,3,7,0,0,0,0,0,0,0,44,0,2,0
BG_BGZZEG,Egypt,1,38,0,1,0,0,0,1,0,0,2,0,0,0,0,9,0,0,0,1,2,5,0,0,0,0,0,0,0,14,0,3,0
BG_BGZZMD,Moldova,15,523,39,1,1,4,8,30,0,3,9,0,0,3,2,311,2,1,2,1,2,44,0,0,0,1,0,0,1,31,1,26,0
BG_BGZZZA,South Africa,53,282,3,5,0,1,0,52,0,0,15,0,0,0,0,112,5,0,0,2,2,30,2,1,2,0,0,2,0,40,0,8,0
BG_BGZZDK,Denmark,128,1425,26,54,4,7,0,106,1,2,135,73,0,11,2,194,64,2,0,27,71,112,0,1,4,1,1,0,5,501,2,19,0
BG_BGZZKW,Kuwait,9,67,3,3,0,0,0,2,0,0,3,1,0,0,0,14,1,0,0,2,1,11,1,0,2,0,0,0,0,22,0,1,0
BG_BGZZPT,Portugal,46,347,8,5,2,0,0,31,0,0,39,2,0,1,0,66,3,0,0,3,25,36,0,1,0,0,1,0,1,112,0,11,0
BG_BGZZSI,Slovenia,29,102,2,2,0,0,0,14,0,0,3,0,0,1,0,14,1,0,0,1,6,12,0,0,0,0,0,0,2,40,2,2,0
BG_BGZZLU,Luxembourg,286,635,3,16,2,1,0,15,0,0,25,0,0,4,0,57,4,0,0,16,10,81,2,1,5,3,0,1,1,358,1,29,0
BG_BGZZBY,Belarus,13,34,0,0,0,0,0,4,0,0,3,0,0,0,0,10,0,0,0,2,0,7,0,0,0,0,0,0,0,4,0,4,0
BG_BGZZRU,Russia,52,258,11,9,0,1,0,18,0,1,5,0,1,0,0,135,4,0,0,1,2,19,1,0,3,0,0,0,7,17,1,22,0
BG_BGZZNZ,New Zealand,19,84,0,2,0,0,0,15,0,0,2,0,0,0,0,19,0,0,0,0,2,11,0,0,0,0,0,0,1,27,5,0,0
BG_BGZZCN,China,24,107,1,7,1,0,0,5,2,0,6,1,0,1,0,17,0,0,0,1,2,12,0,0,1,0,0,2,1,37,0,10,0
BG_BGZZME,Montenegro,3,16,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0
BG_BGZZCZ,Czech Republic,103,762,8,18,1,4,2,113,4,1,65,0,0,3,1,207,8,1,1,4,29,65,2,2,1,1,0,1,4,191,1,24,0
BG_BGZZXK,Kosovo,81,121,0,4,0,0,0,5,0,0,18,3,0,0,0,25,2,0,0,3,11,29,0,0,2,1,0,0,0,12,1,5,0
BG_BGZZMA,Morocco,4,33,0,1,0,0,0,4,0,0,2,0,0,0,0,3,0,0,0,1,0,9,0,0,0,0,0,1,0,10,0,2,0
BG_BGZZFI,Finland,67,405,9,20,0,3,0,54,0,1,31,5,0,2,1,66,9,0,0,5,30,46,1,0,1,1,0,1,4,112,0,3,0
BG_BGZZIS,Iceland,9,101,2,6,0,0,0,14,0,0,15,0,0,0,0,15,0,0,0,0,3,7,0,0,0,0,0,0,1,35,2,1,0
BG_BGZZSA,Saudi Arabia,6,21,0,2,0,0,0,1,0,0,1,0,0,0,0,3,2,1,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0
BG_BGZZBA,Bosnia and Herzegovina,18,30,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,10,0,0,1,0,0,0,0,7,0,4,0
BG_BGZZKR,South Korea,6,32,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,19,0,1,0
BG_BGZZSG,Singapore,18,76,1,3,0,0,0,3,0,0,1,0,0,0,0,6,0,1,0,1,1,3,0,0,0,0,0,0,0,54,0,2,0
BG_BGZZGE,Georgia,14,39,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,6,0,0,0,0,0,0,0,22,2,3,0
BG_BGZZJP,Japan,18,98,0,5,0,0,0,2,0,1,3,3,0,3,0,11,0,0,0,2,1,17,0,0,0,0,0,0,0,47,0,3,0
BG_BGZZTN,Tunisia,4,22,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,2,0
