gisco_id,name,registered,turnout,invalid,blank,Движение за права и свободи – ДПС,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БНО,ПП Национално движение Единство,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,Коалиция Справедлива България,ПРЯКА ДЕМОКРАЦИЯ,НФСБ,Продължаваме Промяната,МИР,КОД /Консервативно Обединение на Десницата/,БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,ПП КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ,ВЪЗРАЖДАНЕ,БЪЛГАРСКИ ВЪЗХОД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,ПП ИЗПРАВИ СЕ БЪЛГАРИЯ,ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,ПРАВОТО,НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ГЕРБ-СДС,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,БСП ЗА БЪЛГАРИЯ,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ИК за издигане на Цветан Христов Атанасов като независим кандидат-Цветан Христов Атанасов,Луна Йорданова Йорданова-Луна Йорданова Йорданова
BG_MON04,Бойчиновци,6954,2681,12,43,967,10,1,0,101,11,2,3,301,3,1,5,12,230,45,5,16,6,91,3,0,6,520,38,5,4,235,5,0,0
BG_SZR27,Раднево,15442,5315,30,230,221,7,4,11,22,22,4,9,1141,4,4,16,14,765,258,4,43,17,289,16,2,11,1157,180,17,29,768,20,0,0
BG_BGS06,Средец,10905,3547,47,103,107,8,4,6,22,16,4,16,637,11,2,0,7,343,181,3,15,16,108,4,5,8,1224,91,11,10,530,8,0,0
BG_MON36,Чипровци,3032,1717,20,62,51,3,1,0,13,3,3,4,330,1,1,3,3,136,44,0,12,7,43,2,1,3,741,58,9,8,149,6,0,0
BG_RAZ14,Исперих,26015,9042,15,175,4346,43,10,26,16,9,10,10,465,4,8,9,13,241,88,3,24,10,116,11,8,10,2633,357,10,10,353,9,0,0
BG_GAB35,Трявна,9762,3248,10,98,32,5,1,7,30,13,6,6,800,6,4,3,5,492,151,3,40,19,140,5,3,4,803,174,8,13,350,17,0,0
BG_PDV15,Лъки,2236,720,10,22,68,4,0,2,3,1,1,0,157,2,0,0,0,59,34,0,7,1,26,1,2,0,213,15,4,0,87,1,0,0
BG_HKV17,Любимец,7747,3471,30,76,17,11,0,5,15,9,4,3,524,7,1,5,8,224,214,3,17,11,123,3,7,5,1706,70,11,4,350,8,0,0
BG_RAZ16,Кубрат,18600,6086,37,119,3346,34,6,18,14,9,7,5,545,8,7,6,13,219,88,5,21,8,119,3,0,4,791,268,16,4,363,3,0,0
BG_PDV37,Хисаря,10132,3661,31,104,124,14,1,7,25,25,8,7,752,9,6,2,5,513,206,6,37,25,113,9,0,5,811,144,15,14,637,6,0,0
