gisco_id,name,registered,turnout,invalid,blank,Движение за права и свободи – ДПС,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БНО,ПП Национално движение Единство,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,Коалиция Справедлива България,ПРЯКА ДЕМОКРАЦИЯ,НФСБ,Продължаваме Промяната,МИР,КОД /Консервативно Обединение на Десницата/,БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,ПП КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ,ВЪЗРАЖДАНЕ,БЪЛГАРСКИ ВЪЗХОД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,ПП ИЗПРАВИ СЕ БЪЛГАРИЯ,ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,ПРАВОТО,НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ГЕРБ-СДС,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,БСП ЗА БЪЛГАРИЯ,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ИК за издигане на Цветан Христов Атанасов като независим кандидат-Цветан Христов Атанасов,Луна Йорданова Йорданова-Луна Йорданова Йорданова
BG_BGZZRS,Serbia,117,980,55,14,8,3,0,2,16,5,0,4,253,2,2,0,0,99,17,2,15,4,13,2,0,3,285,153,2,3,16,2,0,0
BG_BGZZTN,Tunisia,4,22,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,9,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
BG_BGZZTR,Turkey,26434,57366,1333,113,51905,354,100,57,96,41,79,47,763,66,43,61,36,178,136,84,48,46,136,12,23,22,1416,343,29,28,198,21,0,0
BG_BGZZHU,Hungary,32,263,2,5,0,0,0,1,4,1,0,0,100,1,2,0,1,41,11,0,2,1,8,0,0,0,19,54,0,0,7,3,0,0
BG_BGZZFI,Finland,157,480,10,19,16,0,0,0,0,2,1,0,119,0,3,0,0,98,15,0,2,4,35,3,1,1,65,71,0,1,11,3,0,0
BG_BGZZFR,France,850,4012,41,99,119,5,0,4,12,14,5,1,1268,4,14,1,2,651,147,3,30,16,207,10,0,6,417,786,0,10,127,13,0,0
BG_BGZZHR,Croatia,27,80,0,5,0,0,0,0,1,0,0,0,22,0,0,0,0,9,8,0,1,0,1,1,0,0,9,17,0,0,6,0,0,0
BG_BGZZME,Montenegro,7,28,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,1,0,0,0,10,8,0,0,1,0,0,0
BG_BGZZCZ,Czech Republic,226,1056,9,18,3,1,0,1,4,4,4,0,275,0,3,0,2,294,14,0,11,3,66,2,0,2,118,184,2,3,31,2,0,0
BG_BGZZCH,Switzerland,504,2477,28,72,9,1,0,5,8,8,2,0,878,4,4,2,6,435,80,0,17,16,91,5,1,6,233,493,1,3,65,4,0,0
BG_BGZZSE,Sweden,170,885,7,8,42,0,0,3,2,4,4,0,295,3,0,0,1,149,14,1,4,4,40,5,0,1,88,175,11,2,20,2,0,0
BG_BGZZJP,Japan,77,117,0,5,0,0,0,0,0,0,0,0,35,0,0,0,0,16,2,0,1,0,3,0,0,0,11,41,0,0,3,0,0,0
