gisco_id,name,registered,turnout,invalid,blank,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,"НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ, КОЙ, БРСП, НАЦИЯ/",ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ)
BG_KRZ08,Джебел,23262,6129,105,29,29,5,3,3,0,2,2,7,0,0,71,14,69,0,4,0,5,1,2,1,356,3,104,10,2,4,5289,4,3,1,1
BG_LOV02,Априлци,2328,902,11,37,45,0,7,2,0,1,3,9,0,0,182,24,86,0,8,0,0,2,1,8,345,1,60,39,10,2,11,8,0,0,0
BG_BGS27,Приморско,4878,1962,59,72,97,7,123,5,0,1,13,23,12,0,265,50,152,2,22,2,0,6,5,8,756,3,75,64,3,3,117,5,8,1,3
BG_RAZ17,Лозница,10175,3888,149,58,79,4,3,0,2,0,3,4,1,0,122,57,406,2,2,4,9,4,4,7,549,1,95,26,5,2,2286,2,1,0,1
BG_RSE05,Ветово,11935,3974,141,47,60,2,11,0,2,1,19,12,4,0,187,54,76,2,4,3,10,13,4,4,172,8,120,51,25,7,2928,5,0,1,1
BG_SZR22,Мъглиж,9596,3105,190,44,99,5,15,7,2,2,15,22,4,4,237,162,151,7,3,3,2,3,10,11,1024,19,161,68,13,6,732,79,1,1,3
BG_MON14,Георги Дамяново,1797,1041,44,35,43,1,0,1,1,1,1,20,2,1,130,23,73,3,11,2,2,0,2,4,463,2,102,17,2,0,54,0,0,0,1
BG_SFO34,Правец,6073,2385,125,87,137,3,27,12,8,5,21,20,6,0,250,72,211,1,18,2,4,10,7,5,458,5,491,56,9,9,314,3,4,0,5
BG_VID30,Ново село,2005,967,38,26,34,2,3,1,2,1,2,6,4,0,91,25,109,0,3,1,1,25,4,3,269,2,66,14,4,1,227,1,0,0,2
BG_SZR36,Чирпан,16786,5651,283,97,233,13,33,76,9,5,36,52,2,3,713,247,389,7,13,2,8,22,16,6,1330,7,406,261,69,15,1271,10,4,1,12
BG_BGS08,Камено,9706,2100,100,54,127,7,17,8,2,2,12,19,5,0,345,97,144,6,37,3,2,6,9,12,643,5,170,110,13,4,129,7,2,1,2
BG_BLG40,Сандански,34812,11646,455,275,548,28,156,20,22,0,135,157,32,5,1175,608,1474,20,35,14,6,29,14,22,2950,4,690,394,1801,22,528,12,9,0,6
BG_SHU22,Нови пазар,16044,4515,198,108,223,12,11,10,7,5,23,26,8,0,410,146,302,7,17,5,12,8,6,3,545,9,685,113,11,10,1574,10,2,4,5
BG_VRC28,Мизия,5393,1907,88,72,97,4,12,4,12,1,22,12,4,0,204,71,190,2,4,0,4,9,5,7,545,2,170,47,25,3,273,5,0,2,11
BG_SLS15,Кайнарджа,4231,1368,102,32,32,2,4,0,0,1,7,6,2,1,77,11,42,1,5,1,3,5,5,6,674,3,80,4,3,0,254,2,1,1,1
BG_VID25,Макреш,982,529,22,15,19,4,1,0,0,4,4,0,1,0,50,15,39,0,1,0,0,24,1,3,137,0,121,7,5,1,54,0,1,0,0
BG_GAB12,Дряново,7482,2157,49,71,145,6,25,8,2,6,19,40,2,1,368,57,227,2,7,0,1,15,9,3,453,1,438,118,15,4,55,2,5,1,2
BG_VTR06,Горна Оряховица,39102,11321,280,346,822,43,78,26,9,9,104,152,30,8,1973,312,1189,15,63,11,15,103,37,29,2891,15,1010,745,186,66,691,38,8,6,11
BG_VID37,Чупрене,1330,708,47,19,18,2,4,1,1,0,3,6,0,0,49,6,46,0,2,0,3,4,0,0,154,0,72,6,4,0,259,0,0,0,2
BG_SHU19,Каспичан,6701,1936,124,66,80,3,10,6,5,2,5,13,1,1,255,50,152,3,6,3,5,10,2,4,601,4,231,49,5,1,228,7,1,0,3
BG_VTR26,Полски Тръмбеш,11016,3423,154,59,166,11,11,3,7,6,14,21,5,1,351,93,179,2,13,1,4,14,4,5,535,3,766,96,16,2,863,6,3,4,5
BG_MON12,Вършец,6135,2376,71,62,116,6,21,6,1,3,11,9,4,2,241,50,269,2,6,3,5,8,2,6,785,7,173,35,14,1,445,5,3,2,2
BG_BGS21,Созопол,10834,3787,145,125,220,8,46,15,5,1,23,39,17,1,535,128,326,9,40,3,2,9,8,6,805,1,979,127,33,3,100,9,7,1,11
BG_KNL50,Трекляно,468,309,13,6,13,2,2,1,0,1,1,3,0,0,40,5,20,0,0,0,0,1,0,0,64,0,116,3,5,1,11,1,0,0,0
BG_VRC31,Оряхово,9026,2705,82,72,117,6,20,4,13,6,44,26,5,1,336,117,124,6,8,1,5,6,0,5,795,2,280,67,12,4,533,4,3,1,0
BG_BLG28,Кресна,4283,1735,67,30,50,1,9,1,4,3,24,32,5,2,135,39,199,0,8,43,2,4,2,1,843,4,121,28,16,1,55,4,0,1,1
BG_HKV28,Свиленград,18458,8240,304,142,387,31,39,16,33,8,49,50,17,10,936,236,493,11,23,9,5,22,13,20,4136,6,473,292,21,9,379,58,3,2,7
BG_VID22,Кула,3281,1436,68,47,65,5,6,1,0,2,3,4,4,1,83,16,88,1,4,0,1,67,0,3,658,0,70,35,75,2,121,2,4,0,0
