gisco_id,name,registered,turnout,invalid,blank,"ПП ""Нова Алтернатива""","ПП ""Демократическа Партия""","ПП ""Национален Фронт за Спасение на България""","КП ""Коалиция за България""","КП ""Център - Свобода и Достойнство""","ПП ""Национал-Демократична Партия""","КП ""Гражданска Листа - Модерна България""","КП ""Съюз на Демократичните Сили""","ПП ""Либерален Алианс""","ПП ""Християн-Социален Съюз""","ПП ""Атака""","ПП ""ГЕРБ""","ПП ""Ред, Законност и Справедливост""","ПП ""ВМРО - Българско Национално Движение""","ПП ""Демократична Гражданска Инициатива""","ПП ""Християндемократическа Партия на България""","ПП ""Средна Европейска Класа""","ПП ""Национално Патриотично Обединение""","ПП ""Лидер""","ПП ""Зелените""","КП ""Демократи за Силна България и Български Демократически Форум (ДСБ, БДФ)""","ПП ""Социалдемократическа Партия""","ПП ""Другата България""","ПП ""Българската Левица""","ПП ""Кауза България""","ПП ""Движение България на Гражданите""","ПП ""Демократична Алтернатива за Национално Обединение""","КП ""Българска Пролет""","КП ""Горда България""","ПП ""Глас Народен""","ПП ""Български Земеделски Народен Съюз""","ПП ""Движение за Права и Свободи""","ПП ""Национално Движение Единство""","ПП ""Партия на Българските Жени""","ПП ""Единна Народна Партия""","ПП ""Съюз на Комунистите в България""",Инициативен Комитет Жоро Петров НиЧев
BG_67708,Смядово,5985,2906,97,0,11,0,150,724,97,2,5,27,2,5,108,1016,61,16,5,1,0,0,1,2,16,0,0,0,0,90,0,3,5,6,3,432,3,2,3,13,0
BG_69660,Стралджа,10745,6220,209,0,22,0,241,2892,92,14,16,27,2,6,417,1379,363,28,0,11,2,6,23,4,90,0,1,8,4,78,2,2,11,19,18,204,6,0,6,17,0
BG_14711,Генерал Тошево,14377,7059,226,0,19,10,402,2636,115,9,19,60,28,0,490,1668,149,133,15,3,2,6,8,0,96,0,6,15,4,174,2,14,25,36,29,635,0,11,14,0,0
BG_DOB15,Добрич-селска,20689,9535,311,0,19,11,396,3298,379,11,28,76,33,0,392,2179,147,81,17,16,5,3,12,0,56,0,6,16,7,111,4,14,61,21,26,1751,0,12,36,0,0
BG_65231,Самоков,33177,19923,541,0,97,17,783,5373,98,7,48,145,32,14,1344,5897,241,581,48,12,32,16,1901,77,353,16,12,17,7,452,5,159,50,155,72,1210,16,47,23,52,0
BG_07702,Бяла Слатина,22577,12392,313,0,25,6,360,3322,409,6,37,92,42,9,759,3927,89,94,32,7,1,2,308,23,105,4,6,20,4,256,2,4,48,42,25,1946,11,9,13,34,0
BG_72271,Тервел,19291,8242,256,0,11,1,241,1820,891,10,25,33,10,0,224,1294,107,89,4,3,0,2,1,0,31,0,2,4,3,56,0,5,23,8,10,3040,0,12,26,0,0
BG_HKV19,Минерални бани,6077,4031,162,0,3,1,135,384,153,4,3,12,4,4,73,422,16,11,0,2,4,1,23,5,15,0,1,4,0,48,3,2,12,6,10,2487,4,5,10,2,0
BG_68080,Сопот,9427,4741,136,0,113,6,195,1635,15,3,25,142,4,1,548,1227,55,85,24,2,3,3,36,25,39,0,1,8,7,166,0,4,11,37,8,139,0,15,15,8,0
BG_73496,Тутракан,15654,8193,224,0,11,0,609,1977,257,9,19,58,17,3,226,1871,73,74,16,6,0,4,13,8,65,0,0,24,1,115,4,11,11,17,0,2445,7,6,12,0,0
BG_00504,Антон,1315,698,22,0,3,1,45,206,15,1,4,13,1,0,65,220,21,14,1,0,0,0,4,13,20,0,0,2,1,12,0,1,1,4,0,5,0,1,0,2,0
BG_00518,Антоново,5718,3617,98,0,3,0,48,515,331,7,6,7,2,0,83,459,9,5,1,0,1,0,33,4,31,0,0,1,1,26,0,1,5,3,6,1902,0,9,11,9,0
BG_16314,Горна Малина,4914,2982,94,0,51,5,95,924,27,3,7,42,3,6,268,933,27,45,6,2,2,4,52,9,33,0,4,5,5,84,0,3,5,22,5,192,4,8,2,5,0
BG_18280,Гълъбово,11627,7068,205,0,13,5,379,2097,20,6,24,69,8,5,386,1351,66,52,22,9,4,7,1898,15,47,0,3,11,3,71,4,7,56,20,35,146,1,8,2,13,0
BG_57649,Попово,27450,12870,337,0,17,0,845,4153,721,15,36,54,10,3,667,2713,424,171,43,0,6,0,153,27,121,0,7,16,4,402,3,13,21,73,19,1730,0,15,14,37,0
BG_10447,Велико Търново,76564,41702,807,0,228,56,1256,12411,213,26,157,453,76,17,3402,13406,739,1529,172,32,26,20,318,313,1214,0,21,81,17,1542,29,38,508,1039,58,1181,7,132,91,87,0
BG_24565,Дългопол,13033,7235,256,0,4,2,221,1825,106,4,7,60,22,0,380,1382,23,14,7,7,0,3,3,1,152,0,1,5,0,131,2,3,7,7,7,2445,16,6,12,20,94
