gisco_id,name,registered,turnout,invalid,blank,"Ред, законност и справедливост","ПП ""ЛИДЕР""",ГЕРБ,"ДПС ""Движение за права и свободи""",Партия АТАКА,КОАЛИЦИЯ ЗА БЪЛГАРИЯ,"СЪЮЗ НА ПАТРИОТИЧНИТЕ СИЛИ ""ЗАЩИТА""",НДСВ,Българска лява коалиция,Партия на либералната алтернатива и мира,ПП ЗЕЛЕНИТЕ,Политическо движение „Социалдемократи“,Другата България,Обединение на българските патриоти,Национално движение за спасение на Отечеството,БНС – НД,Синята коалиция,„За Родината“: ДГИ – Новите лидери
BG_VRC3154020,Оряхово,11567,6576,254,0,170,766,2108,533,535,1395,12,590,13,0,6,12,3,0,2,1,170,6
BG_BLG2814492,Кресна,5154,3345,79,0,402,273,1407,24,182,398,5,210,2,0,11,2,0,0,2,1,341,6
BG_HKV2865677,Свиленград,20941,12787,380,0,608,295,5047,758,1927,2447,16,575,18,0,48,4,7,11,4,11,614,17
BG_VID2240525,Кула,4759,2728,90,0,80,111,799,40,182,1152,8,103,5,0,2,4,1,0,1,0,150,0
BG_LOV3675054,Угърчин,5510,3724,173,0,217,100,1025,540,308,1030,11,40,9,0,3,3,2,2,2,4,249,6
BG_TGV2353552,Опака,6525,4786,112,0,81,6,411,3477,250,373,1,35,4,0,2,3,1,0,1,1,25,3
BG_PDV3370528,Съединение,9200,5899,159,0,259,126,2464,211,842,1375,3,102,23,0,6,4,2,4,4,5,296,14
BG_VTR1430962,Златарица,4075,2410,81,0,268,92,725,513,168,388,2,78,6,0,1,3,1,10,0,1,69,4
BG_LOV1743476,Летница,4467,2342,91,0,63,23,670,482,259,637,6,22,2,0,1,3,1,1,2,1,75,3
BG_SZR3718157,Гурково,4400,2438,139,0,84,83,733,354,278,561,4,70,2,0,1,13,1,3,1,2,106,3
BG_PDV4240467,Куклен,6281,3978,105,0,122,54,1275,1274,194,611,3,71,5,0,3,4,2,3,0,2,246,4
BG_SFO2538916,Костенец,12147,7127,187,0,713,204,3052,92,922,1413,8,160,4,0,29,28,6,4,3,4,278,20
BG_VAR1420482,Девня,7781,4836,131,0,196,105,1559,275,803,1470,4,60,5,0,4,1,3,4,3,3,198,12
BG_VTR2044793,Лясковец,12666,7930,173,0,646,258,3764,211,1074,1227,16,158,10,0,16,10,6,22,0,1,318,20
BG_MON2444238,Лом,28104,13863,437,0,379,985,5449,498,817,3053,14,1386,95,0,22,9,8,7,13,7,649,35
BG_SFO5922006,Долна баня,4077,2955,116,0,101,102,1889,71,175,376,2,34,1,0,3,2,4,0,2,2,71,4
BG_VRC3262997,Роман,6148,4237,115,0,144,488,1515,158,263,1191,7,206,9,0,3,5,1,0,0,0,123,9
BG_PVN2355782,Искър,6732,3683,183,0,351,126,883,465,517,892,16,69,9,0,2,6,1,2,1,4,153,3
BG_MON3887299,Якимово,3925,2384,71,0,38,339,762,136,103,719,3,104,5,0,1,0,0,4,1,1,94,3
BG_PAZ2462004,Ракитово,12860,7166,229,0,138,703,1959,2161,514,1022,0,154,23,0,5,15,1,0,2,1,233,6
BG_SHU2358222,Велики Преслав,13376,8151,195,0,162,221,2408,1929,1495,1271,17,148,2,0,4,4,4,0,3,2,276,10
BG_HKV2947278,Симеоновград,7886,4547,138,0,259,419,1688,144,620,1012,5,85,4,0,2,9,0,10,1,3,144,4
BG_SFO5556407,Пирдоп,7638,5064,149,0,247,217,1871,277,1017,918,4,88,3,0,14,8,17,2,2,1,220,9
BG_PER2237513,Ковачевци,1904,1560,25,0,58,61,647,42,58,530,2,38,1,1,0,3,0,0,1,0,93,0
BG_SZR3851648,Николаево,3713,2266,126,0,65,77,614,448,208,535,2,101,9,0,5,3,1,1,0,3,65,3
BG_RAZ3677308,Цар Калоян,6542,4154,99,0,33,14,452,2652,432,300,2,57,2,0,1,2,0,0,0,0,104,4
BG_SFO4731044,Златица,5176,3343,70,0,95,179,1150,179,739,652,2,47,2,1,9,14,76,0,3,1,121,3
BG_PDV4151980,Стамболийски,18684,10741,268,0,383,242,5054,429,1052,2079,9,311,9,0,28,5,6,13,3,5,821,24
BG_PAZ2156277,Пещера,18823,11637,386,0,323,217,3842,1773,1405,2576,0,540,20,0,36,14,6,0,8,7,452,32
BG_SFO2438558,Копривщица,1972,1591,52,0,139,77,530,28,244,389,1,33,0,0,2,1,2,0,0,1,78,14
BG_PDV3939921,Кричим,7330,4334,153,0,114,38,1299,1278,565,618,1,95,6,0,4,1,3,1,2,0,154,2
BG_70648,Сърница,4124,3268,9,0,1,2,244,2883,8,86,0,8,0,0,0,0,0,0,0,2,24,1
BG_KNL4165365,Сапарева баня,7066,4439,180,0,305,266,1679,8,218,825,3,510,9,129,7,11,6,0,2,2,248,31
BG_KNL3862671,Рила,2730,1781,91,0,74,99,614,24,241,477,5,35,5,33,10,2,3,0,0,0,64,4
BG_PDV4055909,Перущица,4386,2865,62,0,75,42,1101,266,224,790,1,24,3,0,2,1,2,1,2,3,261,5
BG_PDV2256784,Пловдив,311382,186943,4506,0,10753,5440,88944,9385,11549,31785,171,5359,281,0,1043,197,174,144,0,221,16425,566
BG_DOB2872624,Добрич,91570,52394,1135,0,1790,1629,25147,3051,6751,8783,53,1015,28,0,166,67,22,0,66,47,2551,93
BG_SFO5780011,Чавдар,1103,687,21,0,37,21,197,4,122,212,4,5,4,0,2,3,5,0,0,0,50,0
BG_SFO5880323,Челопеч,1305,874,23,0,49,60,316,40,159,163,2,22,2,0,3,8,4,0,0,0,21,2
BG_JAM2687374,Ямбол,73110,40736,784,0,2744,1389,17339,1591,5162,7668,63,1572,158,0,187,52,32,40,16,25,1802,112
BG_BGZZAU,Australia,201,201,0,0,4,0,67,1,26,15,0,11,1,0,5,2,0,0,0,0,69,0
BG_BGZZAT,Austria,1339,1339,6,0,41,19,494,64,106,134,4,73,7,0,53,5,7,0,0,1,322,3
BG_BGZZAL,Albania,91,91,1,0,4,4,45,0,3,19,1,0,1,0,0,2,1,0,0,0,8,2
BG_BGZZDZ,Algeria,32,32,2,0,1,0,12,0,0,3,0,1,1,0,5,3,0,0,0,2,2,0
BG_BGZZAF,Afghanistan,390,390,3,0,9,1,207,6,44,44,0,61,0,0,1,1,1,1,0,0,8,3
BG_BGZZBE,Belgium,3179,3179,26,0,49,13,721,1518,120,168,1,72,10,1,58,5,11,2,0,2,400,2
BG_BGZZGB,United Kingdom,7362,7362,69,0,178,82,4582,189,703,345,2,175,24,11,81,16,21,1,0,9,863,6
BG_BGZZGR,Greece,3399,3399,20,0,88,42,2108,17,581,201,2,68,10,2,30,11,26,5,6,5,173,4
BG_BGZZDK,Denmark,655,655,2,0,5,6,179,301,31,26,0,15,1,0,12,0,2,0,0,1,74,0
BG_BGZZIL,Israel,240,240,0,0,23,5,101,2,3,30,0,9,4,0,3,3,4,0,0,0,53,0
BG_BGZZIR,Iran,42,42,0,0,1,0,23,0,1,8,2,3,0,0,1,0,0,0,0,0,3,0
BG_BGZZIE,Ireland,443,443,4,0,8,12,263,0,44,15,0,10,0,0,15,0,3,0,0,0,68,1
BG_BGZZES,Spain,13152,13152,77,0,263,150,8690,727,1892,415,10,173,12,2,69,10,77,7,6,7,555,10
BG_BGZZIT,Italy,2324,2324,37,0,44,337,1100,22,269,150,7,60,15,4,14,6,11,1,1,0,236,10
BG_BGZZKZ,Kazakhstan,21,21,2,0,0,0,3,0,1,7,0,1,2,0,0,0,0,0,0,0,2,3
BG_BGZZCA,Canada,1991,1991,9,0,48,14,986,11,157,79,4,47,8,1,24,3,15,2,1,8,570,4
BG_BGZZCY,Cyprus,4094,4094,97,0,113,78,2545,376,460,165,2,63,5,0,14,13,11,2,1,4,139,6
BG_BGZZCN,China,70,70,1,0,2,0,19,0,5,21,3,8,2,0,3,1,1,0,0,0,4,0
BG_BGZZKR,South Korea,26,26,2,0,2,0,7,0,0,6,0,3,0,0,1,0,0,0,0,0,5,0
BG_BGZZXK,Kosovo,53,53,0,0,4,0,34,1,3,5,0,2,0,0,1,0,0,0,0,0,3,0
BG_BGZZKW,Kuwait,123,123,0,0,5,2,42,3,1,22,0,7,2,0,3,0,3,0,0,0,33,0
BG_BGZZLY,Libya,161,161,0,0,9,3,97,6,5,23,0,5,1,1,1,0,1,0,0,0,9,0
BG_BGZZLB,Lebanon,42,42,1,0,3,0,24,1,3,5,0,0,0,0,0,0,0,0,0,1,4,0
BG_BGZZLT,Lithuania,38,38,0,0,1,1,17,3,0,8,0,1,0,0,1,0,0,0,0,0,6,0
BG_BGZZLU,Luxembourg,320,320,2,0,8,5,95,0,12,30,0,30,0,0,18,2,4,0,0,1,113,0
BG_BGZZMT,Malta,334,334,0,0,17,7,227,1,26,15,0,5,0,0,2,1,0,0,0,1,31,1
BG_BGZZMA,Morocco,111,111,0,0,2,0,48,0,9,7,0,14,2,0,3,1,2,0,0,0,23,0
BG_BGZZMD,Moldova,353,353,2,0,11,11,129,4,12,72,4,1,2,1,2,15,76,3,1,0,6,1
BG_BGZZNG,Nigeria,38,38,1,0,3,1,12,0,2,4,0,1,0,1,0,0,0,0,0,1,12,0
BG_BGZZNL,Netherlands,2569,2569,29,0,21,48,613,1396,88,77,0,42,7,1,28,4,0,0,1,1,209,4
BG_BGZZNO,Norway,168,168,3,0,2,1,66,34,19,7,0,4,0,0,0,0,1,0,0,0,31,0
BG_BGZZAE,United Arab Emirates,148,148,0,0,3,1,87,0,11,10,0,5,0,0,5,0,0,0,0,0,25,1
BG_BGZZPL,Poland,145,145,0,0,7,3,58,0,7,18,0,13,1,0,9,0,0,0,0,0,29,0
BG_BGZZPT,Portugal,287,287,0,0,5,2,188,0,31,27,0,7,0,0,1,0,2,0,0,0,23,1
BG_BGZZMK,North Macedonia,279,279,4,0,43,5,110,2,12,49,1,4,2,0,10,3,2,1,0,2,28,1
BG_BGZZZA,South Africa,161,161,6,0,1,0,78,1,13,12,0,13,1,0,3,0,2,2,0,0,29,0
BG_BGZZRO,Romania,175,175,2,0,4,0,72,2,14,38,1,17,0,0,1,0,1,0,0,0,23,0
BG_BGZZRU,Russia,523,523,20,0,19,8,151,8,54,143,4,27,10,0,9,8,4,1,2,1,53,1
BG_BGZZUS,United States,7011,7011,59,0,198,62,3809,28,437,314,7,131,21,3,109,19,21,4,3,6,1778,2
BG_BGZZSY,Syria,62,62,1,0,2,2,25,0,4,17,0,5,0,0,0,0,0,1,0,0,4,1
BG_BGZZSK,Slovakia,138,138,6,0,5,0,49,1,11,15,0,9,2,0,3,5,0,0,0,0,32,0
BG_BGZZSI,Slovenia,106,106,0,0,2,4,28,0,10,16,0,5,1,0,4,0,0,0,0,1,35,0
BG_BGZZRS,Serbia,312,312,8,0,9,21,103,4,50,34,1,5,2,0,10,1,1,0,0,0,61,2
BG_BGZZTH,Thailand,17,17,1,0,1,0,8,0,1,1,0,1,0,0,2,0,2,0,0,0,0,0
BG_BGZZTN,Tunisia,28,28,0,0,0,0,17,0,0,3,0,1,0,0,3,0,0,0,0,0,4,0
BG_BGZZTR,Turkey,91539,91539,2093,0,63,65,301,88238,151,189,24,120,32,18,23,54,20,23,12,17,77,19
BG_BGZZUA,Ukraine,190,190,0,0,11,4,74,2,14,39,0,13,3,0,4,2,6,0,0,1,16,1
BG_BGZZHU,Hungary,221,221,0,0,8,2,76,2,30,24,0,19,0,1,11,0,1,0,0,0,47,0
BG_BGZZFI,Finland,107,107,0,0,2,1,39,5,8,18,1,6,1,0,2,1,3,0,1,0,17,2
BG_BGZZDE,Germany,6066,6066,34,0,139,69,2521,318,352,371,6,242,24,4,283,11,38,0,1,6,1639,8
BG_BGZZFR,France,3064,3064,25,0,52,33,1143,493,199,211,1,108,18,1,114,12,17,4,1,0,625,7
BG_BGZZHR,Croatia,42,42,1,0,0,0,12,0,2,9,0,8,0,0,3,0,0,0,0,0,7,0
BG_BGZZCZ,Czech Republic,797,797,3,0,12,11,408,21,112,48,1,21,3,1,18,3,1,0,0,2,129,3
BG_BGZZCL,Chile,31,31,0,0,1,0,2,0,1,14,0,0,0,0,1,0,0,0,0,0,12,0
BG_BGZZCH,Switzerland,709,709,2,0,18,12,242,3,57,74,1,26,6,0,40,0,5,2,0,3,215,3
BG_BGZZSE,Sweden,283,283,0,0,5,3,68,108,9,18,0,10,1,0,2,1,2,0,0,0,56,0
BG_BGZZJP,Japan,87,87,0,0,0,1,36,0,5,15,0,5,0,0,4,0,0,0,0,0,21,0
BG_BGZZNZ,New Zealand,79,79,0,0,1,1,35,0,6,10,0,4,0,0,1,0,0,0,0,0,21,0
