gisco_id,name,registered,turnout,invalid,blank,"Ред, законност и справедливост","ПП ""ЛИДЕР""",ГЕРБ,"ДПС ""Движение за права и свободи""",Партия АТАКА,КОАЛИЦИЯ ЗА БЪЛГАРИЯ,"СЪЮЗ НА ПАТРИОТИЧНИТЕ СИЛИ ""ЗАЩИТА""",НДСВ,Българска лява коалиция,Партия на либералната алтернатива и мира,ПП ЗЕЛЕНИТЕ,Политическо движение „Социалдемократи“,Другата България,Обединение на българските патриоти,Национално движение за спасение на Отечеството,БНС – НД,Синята коалиция,„За Родината“: ДГИ – Новите лидери
BG_VTR2255052,Павликени,23723,14607,442,0,839,665,5266,1909,1761,2854,21,134,38,0,20,48,11,20,0,8,527,44
BG_PAZ0302837,Батак,5937,4509,65,0,140,25,1369,1773,467,483,0,54,3,0,8,3,1,0,1,0,113,4
BG_RSE0305611,Борово,6244,3922,139,0,160,31,1277,832,595,750,6,69,3,0,2,0,2,0,0,2,49,5
BG_SFO4365869,Своге,19506,12466,364,0,348,173,5168,2528,970,1865,13,142,60,1,37,5,2,1,7,15,746,21
BG_LOV3887014,Ябланица,4833,3187,123,0,143,86,1225,250,259,727,2,63,8,0,9,6,1,1,1,4,269,10
BG_VRC2139846,Криводол,9182,6423,277,0,100,345,1423,476,539,2396,7,698,24,0,3,2,0,0,1,2,111,19
BG_SLS0715031,Главиница,11420,7387,221,0,75,59,1075,4729,423,668,0,64,2,0,1,10,3,0,3,0,51,3
BG_SZR2353576,Опан,2929,2120,62,0,128,165,598,3,146,894,1,41,6,0,1,3,0,6,1,5,58,2
BG_PVN2456722,Плевен,131735,76670,1379,0,3928,3718,34204,2466,9211,12529,218,1400,341,0,275,55,61,29,61,54,6561,180
BG_PDV1235523,Калояново,10504,7123,202,0,334,118,2305,425,549,1857,4,97,28,0,8,3,3,4,2,3,1168,13
BG_SML0920465,Девин,12564,7790,180,0,123,201,1900,3083,224,1617,5,228,15,0,13,3,5,0,10,2,172,9
BG_SHU2252009,Нови пазар,17774,10316,354,0,172,179,3002,2619,1363,2143,12,195,25,0,10,2,0,0,2,1,223,14
BG_LOV1944327,Луковит,15655,9143,367,0,322,295,2992,1544,686,1875,12,647,7,0,13,6,4,2,7,7,350,7
BG_SFO2638978,Костинброд,13988,8838,206,0,273,186,4316,485,698,1941,16,139,11,2,53,3,4,2,4,9,476,14
BG_MON2948489,Монтана,52855,30756,575,0,1036,2851,12782,334,2877,5943,53,1140,146,0,117,72,49,38,12,56,2425,250
BG_PDV2687240,Родопи,28697,18153,417,0,666,549,7628,1777,2310,3292,15,264,35,0,29,13,6,13,4,19,1094,22
BG_DOB1735064,Каварна,14256,8251,282,0,392,235,2603,547,1488,1919,35,253,12,0,15,13,7,0,7,7,421,15
BG_BGS0617974,Средец,13017,7973,305,0,548,285,2209,182,2035,1696,8,352,13,0,13,10,12,6,1,8,281,9
BG_PVN0303366,Белене,9769,6029,187,0,186,389,2150,220,885,1528,25,111,17,0,8,3,4,4,1,3,300,8
BG_MON0405236,Бойчиновци,8523,4899,185,0,154,771,1593,277,412,1122,5,115,20,0,4,45,3,3,1,3,173,13
BG_SZR2761460,Раднево,18796,11557,398,0,412,330,4955,126,1692,2773,8,120,28,0,23,15,4,7,7,10,623,26
BG_MON3681390,Чипровци,3992,2538,90,0,81,374,727,18,396,554,13,54,13,0,23,0,25,4,2,1,160,3
BG_RAZ1432874,Исперих,26493,16027,429,0,168,50,2314,11092,801,851,13,148,9,0,8,2,8,0,0,0,128,6
BG_GAB3573403,Трявна,12004,7412,175,0,272,198,3765,91,1087,1173,6,189,19,0,24,7,2,0,3,5,376,20
BG_PDV1544478,Лъки,2965,1624,34,0,52,27,634,190,147,437,0,51,2,0,0,0,0,1,1,0,46,2
BG_HKV1744570,Любимец,8946,5919,144,0,187,74,1894,286,917,1486,6,713,10,0,4,26,4,3,3,4,148,10
BG_RAZ1640422,Кубрат,20625,12139,367,0,117,116,2469,7197,580,920,7,125,13,0,12,7,3,0,0,0,202,4
BG_PDV3777270,Хисаря,12639,7521,216,0,362,114,2984,186,962,2005,14,143,30,0,12,14,9,6,4,2,427,31
BG_VAR0810865,Ветрино,5376,3766,113,0,58,66,864,934,626,981,5,58,6,0,10,5,1,1,1,2,34,1
BG_VID0103616,Белоградчик,6639,3728,134,0,133,31,1590,118,179,986,5,352,7,0,22,0,3,0,2,1,165,0
BG_PDV2562075,Раковски,23301,11600,241,0,486,261,5850,531,1056,2573,10,197,27,0,12,6,6,25,4,7,284,24
BG_SHU3083510,Шумен,94180,56354,1166,0,1762,1124,25710,7244,5451,9839,113,1688,57,0,142,33,41,0,26,46,1735,177
BG_TGV2253535,Омуртаг,24599,15225,406,0,204,93,1307,11326,575,1023,15,158,3,0,9,2,3,0,2,1,94,4
BG_VID3363255,Ружинци,4190,2706,104,0,49,18,614,1215,145,441,3,20,32,0,2,2,2,0,0,7,52,0
BG_HKV1132024,Ивайловград,7416,4430,99,0,218,26,1844,597,356,1051,4,99,11,0,3,1,1,3,0,5,109,3
BG_VAR0403719,Белослав,9103,6135,169,0,143,79,2337,584,1099,1074,3,102,5,0,15,5,1,5,1,4,504,5
BG_RSE3778361,Ценово,5997,3867,140,0,190,46,1123,428,716,783,6,285,11,0,3,5,2,0,0,2,122,5
BG_PDV1787669,Марица,25234,16256,410,0,692,204,6937,1687,1506,3172,12,392,28,0,26,15,6,6,5,10,1106,42
BG_SFO5648324,Мирково,1994,1407,41,0,58,44,373,91,222,352,5,22,3,0,6,4,2,3,1,0,171,9
BG_PER1930778,Земен,2805,1837,47,0,73,94,553,28,117,554,9,48,6,2,4,8,7,0,1,0,283,3
BG_SFO1623409,Драгоман,5063,3465,95,0,242,286,1230,145,220,1060,8,24,6,1,15,3,1,0,1,18,102,8
BG_BGS2370247,Сунгурларе,11574,7558,258,0,224,75,1365,3132,1029,1146,5,175,14,0,5,4,3,4,3,6,103,7
BG_SLV2067338,Сливен,116839,65680,1842,0,2544,2108,28268,2682,6077,15571,118,2771,119,0,241,68,31,64,16,58,2842,260
BG_BGS1863224,Руен,26695,19782,484,0,122,210,776,17145,373,474,3,37,2,0,3,6,1,4,1,3,135,3
BG_HKV3377181,Харманли,24182,14139,361,0,396,302,4892,1565,2427,3332,14,271,21,0,22,3,11,5,5,23,468,21
BG_RSE0407603,Бяла,13994,8235,247,0,795,110,2702,779,1479,1299,6,452,6,0,11,11,6,0,0,6,315,11
BG_PAZ3269835,Стрелча,4786,3203,76,0,146,151,1157,248,304,791,0,123,49,0,7,3,2,0,1,3,122,20
BG_BGS1246663,Малко Търново,3477,2424,88,0,49,88,824,142,431,562,1,121,13,0,8,5,0,2,1,1,66,22
BG_SLV2472165,Твърдица,12208,6849,300,0,159,573,2003,755,638,1757,6,431,6,0,9,3,1,9,4,5,181,9
BG_VAR2458503,Провадия,21420,13565,422,0,317,889,4163,2419,1914,2939,13,165,16,0,15,5,5,3,2,3,257,18
BG_SFO1727303,Елин Пелин,19053,11628,297,0,558,752,4983,477,1342,2301,13,223,17,2,52,4,9,2,5,10,510,71
BG_PER3255871,Перник,89646,54792,1046,0,5501,5654,22198,385,3407,10805,94,1391,170,16,306,51,45,0,53,0,3455,215
BG_RAZ2965276,Самуил,8925,5207,112,0,13,35,337,4329,31,160,4,27,4,0,3,1,1,0,0,0,147,3
BG_BLG4265440,Сатовча,15009,8960,133,0,57,105,1209,6543,73,499,4,247,2,0,2,0,2,0,0,1,82,1
BG_SML3880371,Чепеларе,7169,4232,90,0,273,135,1566,233,436,1003,5,166,9,0,14,8,3,0,1,3,265,22
BG_VRC2747714,Мездра,20429,12467,311,0,450,257,5064,219,1352,3643,22,384,24,0,34,10,12,0,4,3,640,38
BG_SFO2032901,Ихтиман,14972,9353,262,0,488,179,3467,327,637,3362,16,197,15,0,32,8,4,3,11,2,324,19
BG_HKV0921052,Димитровград,54872,31579,627,0,1525,2342,15052,764,3183,5951,23,595,34,0,91,24,33,18,5,31,1175,106
BG_DOB2983017,Шабла,5129,3243,93,0,111,127,1074,115,545,895,6,97,2,0,13,3,3,0,2,4,145,8
BG_SFO0705815,Ботевград,30128,18912,409,0,986,452,7552,695,2939,3790,23,585,22,5,96,111,12,17,11,9,1136,62
BG_RSE1332095,Иваново,9246,5891,174,0,212,33,1837,946,852,1509,2,154,8,0,9,3,7,0,0,2,134,9
BG_SFO0677400,Божурище,6007,3833,66,0,204,78,1901,83,201,833,3,92,17,0,19,2,0,2,2,9,306,15
BG_SHU1012766,Върбица,10550,5665,217,0,87,64,673,3672,145,542,7,188,3,0,1,0,2,0,0,1,57,6
BG_SLS1024030,Дулово,29052,19684,434,0,105,64,2327,15030,675,774,0,186,8,0,10,6,6,0,4,0,49,6
BG_SFO1827632,Етрополе,11802,8519,172,0,234,248,4905,145,951,1493,7,114,11,0,28,5,8,2,3,2,175,16
BG_VID0305195,Бойница,1352,835,27,0,18,18,167,49,29,270,3,222,3,0,1,0,0,0,1,1,26,0
BG_JAM0305284,Болярово,3762,2750,78,0,69,6,693,13,277,1455,7,89,11,0,1,9,0,1,0,1,35,5
BG_SML2763207,Рудозем,9319,6207,146,0,71,159,2658,2099,59,624,0,162,8,0,7,3,1,0,4,1,184,21
BG_PAZ1443369,Лесичово,4720,3090,108,0,132,105,885,329,258,1044,0,83,5,0,4,13,1,0,0,1,109,13
BG_SML0505462,Борино,3589,2560,24,0,5,7,432,1558,42,408,1,37,0,0,0,2,1,0,0,0,39,4
BG_SML1646045,Мадан,11628,7299,168,0,54,134,2128,2350,81,1884,2,365,6,0,11,2,1,0,2,2,98,11
BG_PVN2757772,Пордим,5721,3695,142,0,141,222,1070,401,560,829,5,31,18,0,5,4,2,1,2,2,252,8
BG_HKV1846084,Маджарово,2668,1404,39,0,335,1,289,448,91,147,1,15,0,0,0,1,0,0,0,2,35,0
BG_JAM0727382,Елхово,15863,9064,287,0,514,402,3837,177,821,2213,14,193,18,0,12,175,6,5,3,4,343,40
BG_VRC0505548,Борован,5139,3564,115,0,84,16,1009,419,299,1384,3,145,7,0,2,2,1,0,0,6,66,6
BG_SZR2249494,Мъглиж,10072,5108,276,0,369,228,1766,292,566,870,6,538,11,0,6,14,2,2,5,5,149,3
BG_SHU0710642,Венец,9192,5232,161,0,2,17,157,4525,13,306,1,49,0,0,1,0,0,0,0,0,0,0
BG_SLS3266665,Ситово,5661,3916,157,0,41,14,766,1839,249,625,0,185,4,0,1,5,0,0,6,0,23,1
BG_VRC3577102,Хайредин,4977,3244,92,0,70,165,741,405,251,1009,2,293,9,0,1,1,1,0,0,3,192,9
BG_MON1112543,Вълчедръм,8989,5245,180,0,106,404,1511,401,464,1335,4,328,33,0,3,14,5,3,1,5,443,5
BG_PER5173273,Трън,4612,3261,54,0,187,79,1459,140,165,956,3,121,9,0,2,7,2,0,0,0,75,2
BG_PAZ2966264,Септември,23272,14772,386,0,756,859,5050,2253,1312,3075,0,141,89,0,19,8,10,0,7,7,743,57
BG_VAR0912574,Вълчи дол,9562,6247,207,0,212,85,1830,1317,979,1194,4,264,8,0,4,5,3,2,0,1,121,11
BG_SFO0915309,Годеч,5031,3028,74,0,69,412,1192,88,269,728,6,40,7,2,5,0,0,1,0,0,115,20
BG_SHU1836079,Каолиново,14972,8668,230,0,17,69,623,6799,104,685,0,34,0,0,3,0,1,0,0,0,102,1
BG_VID1517645,Грамада,2092,1374,37,0,45,4,419,90,61,374,2,305,4,0,2,5,1,0,0,1,24,0
BG_BGS0407079,Бургас,184111,120157,1926,0,3479,3499,54346,3178,26368,15335,129,2594,153,0,634,122,224,79,25,130,7600,336
BG_SZR0406183,Братя Даскалови,7407,5111,177,0,169,94,1109,405,525,2296,10,143,4,0,4,25,1,1,3,1,138,6
BG_PAZ0606207,Брацигово,8748,5908,172,0,140,82,2550,466,1001,1155,0,105,11,0,4,21,2,0,1,3,174,21
BG_BLG4466460,Симитли,13148,8600,241,0,871,618,2686,301,382,2952,13,157,4,0,26,10,4,0,4,3,323,5
BG_PVN3937376,Кнежа,13089,7201,222,0,424,494,1903,999,1146,1363,24,102,12,0,17,10,2,5,2,6,457,13
BG_PVN0818099,Гулянци,12731,7523,216,0,341,437,2379,417,1613,1512,17,160,23,0,12,4,2,5,33,5,334,13
BG_PVN3780501,Червен бряг,28032,16279,475,0,927,1468,5638,1042,1557,3852,43,290,28,0,30,44,10,8,9,8,819,31
BG_RAZ1130065,Завет,11303,7006,139,0,78,32,574,5668,170,204,1,58,3,0,7,2,0,0,0,0,70,0
BG_MON0706570,Брусарци,4753,2837,81,0,67,49,1015,77,190,1065,8,205,6,0,1,1,2,0,0,3,60,7
BG_PDV2359080,Първомай,25769,15123,361,0,544,154,6034,1330,1908,3731,9,172,15,0,23,7,2,13,8,5,772,35
BG_SZR1235167,Казанлък,71921,42888,814,0,1990,1280,18970,3028,5527,7138,36,1890,63,0,124,72,18,21,30,11,1820,56
BG_VAR1321912,Долни чифлик,18878,11998,401,0,264,461,3065,2992,2287,2036,4,177,12,0,12,2,3,3,2,4,259,14
BG_VRC2037798,Козлодуй,18299,11002,330,0,264,2070,3657,697,802,1715,26,926,19,0,18,4,2,0,9,3,440,20
BG_HKV3272761,Тополовград,11475,7125,320,0,383,375,2113,110,1276,1197,12,1001,9,0,16,13,2,2,5,1,282,8
BG_LOV3372343,Тетевен,19334,12084,415,0,1299,102,4624,1467,1094,1939,21,279,21,0,15,44,1,4,4,43,660,52
BG_PVN1122407,Долни Дъбник,12513,6743,292,0,195,217,2161,766,728,1298,9,89,13,0,9,3,3,5,3,13,930,9
BG_VAR0507598,Бяла,2912,2069,76,0,45,23,802,231,370,350,4,60,10,0,2,1,1,2,1,0,90,1
BG_VTR3270295,Сухиндол,2424,1574,26,0,100,27,475,253,125,498,5,15,1,0,1,1,2,0,0,3,40,2
BG_SML1851319,Неделино,6785,3976,91,0,150,702,919,387,331,1035,1,215,19,0,1,4,2,0,0,4,110,5
BG_KNL3151216,Невестино,2860,1886,84,0,94,183,542,35,105,677,5,62,8,7,0,2,6,0,0,0,74,2
BG_VAR0610135,Варна,300343,191938,3497,0,5488,5907,94513,9302,23955,26405,205,6737,224,0,1346,195,83,134,63,228,13169,487
BG_SHU2151651,Никола Козлево,6293,4337,110,0,27,87,365,2818,89,804,1,9,1,0,2,1,0,0,0,1,19,3
BG_KRZ0820746,Джебел,15764,5845,159,0,34,7,513,4589,88,326,1,89,1,0,1,4,1,0,1,1,28,2
