gisco_id,name,registered,turnout,invalid,blank,Движение 21,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД,ПП НОВОТО ВРЕМЕ,ОБЕДИНЕНА БЪЛГАРИЯ,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС",ПП Нова България,ПП ГЕРБ,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,АТАКА,НДСВ,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА,Коалиция АБВ – (Алтернатива за българско възраждане),ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА АЛТЕРНАТИВА,КП ДЕСНИТЕ,ДПС – Движение за права и свободи,ПП Глас Народен,ПАРТИЯ НА ЗЕЛЕНИТЕ,НОВА СИЛА,БСП лява България,ЗЕЛЕНИТЕ,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО,РЕПУБЛИКА БГ,Инициативен Комитет Никола Николов Вапцаров,Ик Октай Хасанов Енимехмедов,Господин Тончев Тонев
BG_14492,Кресна,4906,2962,357,0,5,5,3,1,6,2,168,3,941,21,98,3,120,95,5,5,4,19,8,9,3,897,6,155,18,5,0,0
BG_65677,Свиленград,20192,10479,696,0,97,41,31,20,54,26,645,25,2950,6,494,15,720,321,26,40,14,882,38,30,24,2029,70,1119,67,0,0,16
BG_40525,Кула,4134,2035,93,0,4,8,4,1,6,8,127,4,697,1,77,3,170,48,6,0,2,70,11,1,7,603,4,63,17,0,0,0
BG_75054,Угърчин,5319,3022,270,0,16,5,1,0,9,8,176,10,512,2,118,11,136,85,4,4,6,750,5,4,9,751,4,93,33,0,0,0
BG_53552,Опака,6232,3750,139,0,3,7,0,0,3,1,96,9,375,3,39,3,41,41,2,3,4,2628,5,0,8,262,0,75,3,0,0,0
BG_70528,Съединение,8730,4466,482,0,23,16,12,12,15,10,152,15,1561,209,12,250,156,8,9,3,122,32,7,5,829,12,498,16,0,0,0,0
BG_BLG49,Струмяни,4831,2304,310,0,8,6,4,3,15,0,173,7,718,6,119,18,134,74,4,4,1,134,4,1,3,348,0,163,43,4,0,0
BG_30962,Златарица,3851,2048,150,0,2,3,2,1,3,3,50,3,267,4,89,2,121,77,9,3,3,540,5,2,2,263,1,416,27,0,0,0
BG_43476,Летница,4340,1933,128,0,5,6,1,0,7,4,53,6,418,2,117,5,115,84,4,3,2,599,8,2,0,259,2,96,7,0,0,0
BG_18157,Гурково,4297,2383,322,0,16,9,6,1,3,3,121,6,405,2,63,6,345,40,3,11,6,460,5,2,2,412,2,119,13,0,0,0
BG_40467,Куклен,6276,3024,366,0,12,3,1,7,4,3,200,17,744,98,7,133,90,1,4,2,759,18,8,8,370,9,159,1,0,0,0,0
BG_38916,Костенец,11445,5989,374,0,48,22,11,9,26,12,367,27,1789,11,226,13,678,199,13,17,4,242,47,14,12,1242,32,498,56,0,0,0
BG_20482,Девня,7916,3801,500,0,17,16,5,19,8,11,151,10,1057,6,115,4,284,349,12,10,2,349,14,10,11,490,12,326,13,0,0,0
BG_44793,Лясковец,12041,6172,347,0,53,23,13,15,18,16,289,24,1962,11,347,14,407,291,11,19,36,312,46,26,8,1246,31,513,94,0,0,0
BG_44238,Лом,26919,11600,904,0,82,46,23,6,36,25,799,25,3640,15,799,23,1526,384,33,16,34,672,85,21,18,1984,32,329,43,0,0,0
BG_22006,Долна баня,3963,2886,293,0,6,7,2,1,8,7,74,4,1832,7,84,4,110,41,9,7,0,98,10,4,4,216,3,50,5,0,0,0
BG_62997,Роман,5249,3585,240,0,11,8,6,1,5,3,130,6,948,2,97,6,278,209,9,2,2,431,8,6,6,968,8,180,15,0,0,0
BG_55782,Искър,6385,2707,291,0,11,13,11,1,6,1,131,9,430,3,237,6,207,198,7,4,8,366,3,5,2,603,3,148,3,0,0,0
BG_87299,Якимово,3614,1804,131,0,12,11,2,1,4,2,174,3,555,5,96,1,132,51,3,2,3,143,4,3,6,417,4,35,4,0,0,0
BG_62004,Ракитово,13020,5199,525,0,12,16,3,4,10,5,208,9,1117,8,164,5,509,80,3,3,7,1586,9,8,8,696,8,191,5,0,0,0
BG_58222,Велики Преслав,13053,5560,313,0,25,27,11,7,17,12,323,12,1347,8,178,11,308,126,7,12,4,1149,15,4,11,985,8,632,8,0,0,0
BG_47278,Симеоновград,7408,4121,379,0,13,9,5,2,7,4,719,3,1222,4,199,2,464,82,5,1,14,226,5,2,2,577,6,161,5,0,0,3
BG_56407,Пирдоп,7343,3952,207,0,24,9,4,6,17,5,282,20,1398,10,145,5,141,126,3,6,2,314,6,8,5,769,24,393,23,0,0,0
BG_37513,Ковачевци,1451,1037,55,0,7,2,0,1,1,4,76,3,261,1,48,5,39,144,1,0,1,20,1,0,2,333,1,27,4,0,0,0
BG_51648,Николаево,3738,2278,275,0,2,9,2,2,6,3,76,6,359,3,93,11,123,23,5,3,5,781,3,6,4,347,2,117,12,0,0,0
BG_77308,Цар Калоян,6624,3032,137,0,3,3,4,1,9,0,157,4,288,3,76,0,48,12,2,2,5,1925,3,1,0,236,1,105,7,0,0,0
BG_31044,Златица,5051,2788,157,0,6,16,4,4,8,1,122,8,871,5,105,6,127,49,5,2,0,59,9,5,8,957,19,221,14,0,0,0
BG_51980,Стамболийски,18602,8449,884,0,35,22,4,9,27,13,687,25,2851,398,21,624,305,7,16,9,134,123,18,11,1610,38,462,116,0,0,0,0
BG_56277,Пещера,18854,8578,937,0,43,43,15,49,23,11,592,25,2126,11,414,44,380,162,17,39,11,1232,38,18,20,1755,26,503,44,0,0,0
BG_38558,Копривщица,2097,1239,90,0,6,11,1,2,3,3,108,9,302,2,69,0,124,39,2,6,1,21,9,5,3,294,4,83,42,0,0,0
BG_39921,Кричим,7271,2999,296,0,15,5,2,3,8,4,115,14,764,75,33,177,93,2,1,2,624,13,4,1,476,10,247,15,0,0,0,0
BG_70648,Сърница,4257,2293,120,0,0,0,0,0,2,3,88,2,576,0,2,1,14,5,0,2,4,1410,2,0,0,57,0,5,0,0,0,0
BG_65365,Сапарева баня,6754,3322,176,0,13,17,8,9,5,6,149,11,1227,298,10,436,120,11,38,2,13,17,2,5,625,7,93,24,0,0,0,0
BG_62671,Рила,2764,1220,101,0,5,2,1,1,2,2,38,2,414,71,4,87,42,8,2,1,17,9,2,6,292,2,89,20,0,0,0,0
BG_55909,Перущица,4304,2190,191,0,14,3,1,4,7,2,144,10,765,113,1,144,51,2,6,5,90,4,6,5,491,7,122,2,0,0,0,0
BG_56784,Пловдив,308797,154257,9811,0,2047,298,279,199,514,196,13763,679,61249,202,5652,299,8242,5707,359,727,381,5820,2491,370,243,19786,1202,12992,749,0,0,0
BG_72624,Добрич,89355,40357,1790,0,516,118,70,47,127,74,2784,145,14739,69,1859,195,2534,1959,113,78,78,3159,529,75,67,4857,241,3772,363,0,0,0
BG_80011,Чавдар,1088,561,56,0,2,1,1,0,4,2,36,2,107,0,22,2,24,14,0,0,0,18,6,0,0,201,5,53,5,0,0,0
BG_80323,Челопеч,1268,884,45,0,3,1,4,0,3,1,26,1,277,0,37,2,26,14,1,0,0,12,1,1,1,380,4,42,2,0,0,0
BG_87374,Ямбол,70612,32945,1229,0,407,57,48,46,97,42,1884,129,11585,55,2429,67,2190,1444,60,219,109,2413,258,66,69,5550,126,2167,199,0,0,0
BG_BGZZAU,Australia,313,313,5,0,0,1,0,0,6,1,87,1,128,1,14,2,5,7,2,0,2,0,2,2,0,11,16,20,0,0,0,0
BG_BGZZAT,Austria,2781,2781,83,0,30,7,0,3,9,7,752,32,1002,9,86,4,32,87,8,3,11,174,75,29,6,129,93,97,13,0,0,0
BG_BGZZAL,Albania,109,109,13,0,0,0,0,0,2,3,6,0,50,1,2,0,0,2,0,0,0,0,2,1,1,15,0,11,0,0,0,0
BG_BGZZAR,Argentina,33,33,3,0,0,0,1,0,0,0,7,0,8,0,0,0,0,1,0,0,0,0,1,1,0,10,0,1,0,0,0,0
BG_BGZZAF,Afghanistan,307,307,3,0,0,3,0,2,2,0,9,0,26,0,2,0,8,12,3,173,0,5,2,0,0,48,1,8,0,0,0,0
BG_BGZZBE,Belgium,2940,2940,75,0,34,7,6,4,7,4,715,10,886,2,43,6,49,118,15,5,6,536,39,21,2,140,93,111,4,0,0,0
BG_BGZZBA,Bosnia and Herzegovina,43,43,1,0,2,0,0,0,0,0,10,0,12,0,0,0,1,1,0,1,0,0,1,0,0,6,2,6,0,0,0,0
BG_BGZZBR,Brazil,27,27,0,0,1,0,0,0,0,0,7,0,12,0,1,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0
BG_BGZZGB,United Kingdom,14102,14102,489,0,112,35,34,27,94,12,2712,120,6942,38,338,35,232,472,29,40,34,121,386,92,29,452,313,850,64,0,0,0
BG_BGZZGE,Georgia,42,42,0,0,1,0,0,0,0,1,10,0,9,0,5,0,0,5,0,3,0,0,0,0,0,2,1,5,0,0,0,0
