gisco_id,name,registered,turnout,invalid,blank,Движение 21,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД,ПП НОВОТО ВРЕМЕ,ОБЕДИНЕНА БЪЛГАРИЯ,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС",ПП Нова България,ПП ГЕРБ,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,АТАКА,НДСВ,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА,Коалиция АБВ – (Алтернатива за българско възраждане),ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА АЛТЕРНАТИВА,КП ДЕСНИТЕ,ДПС – Движение за права и свободи,ПП Глас Народен,ПАРТИЯ НА ЗЕЛЕНИТЕ,НОВА СИЛА,БСП лява България,ЗЕЛЕНИТЕ,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО,РЕПУБЛИКА БГ,Инициативен Комитет Никола Николов Вапцаров,Ик Октай Хасанов Енимехмедов,Господин Тончев Тонев
BG_77058,Хаджидимово,8624,4968,413,0,11,8,5,8,8,12,157,8,1258,3,110,36,272,77,3,1,6,1565,3,3,2,772,3,211,0,13,0,0
BG_43952,Ловеч,48168,24640,1059,0,369,55,38,33,76,38,1637,76,7912,73,1371,34,1391,1327,54,86,21,1779,198,63,65,4604,110,1564,607,0,0,0
BG_40097,Крушари,5708,2352,151,0,4,2,0,1,1,1,57,7,246,2,90,3,74,20,3,3,12,1423,4,6,1,152,1,86,2,0,0,0
BG_39030,Котел,19776,7051,572,0,14,19,10,8,13,10,159,18,1817,10,269,6,331,156,14,37,11,2709,17,4,4,485,4,341,13,0,0,0
BG_87338,Якоруда,9110,5010,488,0,17,7,6,1,6,0,100,4,447,11,40,1,40,85,2,3,7,3474,4,2,0,148,3,111,0,3,0,0
BG_00084,Аврен,4849,4589,614,0,19,17,6,7,9,10,233,10,1725,5,89,15,263,174,6,1,6,712,14,5,9,439,5,188,8,0,0,0
BG_39970,Крумовград,33801,11247,511,0,5,10,2,2,10,9,166,33,1224,9,65,12,126,67,11,14,26,8092,28,6,10,600,9,118,82,0,0,0
BG_65927,Севлиево,33901,16653,733,0,187,56,17,11,50,28,686,54,5612,34,659,35,747,626,33,30,14,2164,113,47,3284,61,1236,136,0,0,0,0
BG_36926,Кирково,34445,13021,875,0,3,4,5,6,4,9,262,15,1868,5,24,12,148,103,19,9,24,8653,12,3,3,736,3,85,131,0,0,0
BG_04279,Благоевград,86825,34439,1833,0,543,113,67,59,189,36,3329,108,13641,42,1622,92,1682,1745,126,89,92,300,431,252,58,4896,174,2258,487,175,0,0
BG_00151,Айтос,28314,13038,1292,0,59,31,12,20,22,9,684,25,2663,15,313,14,601,324,19,13,10,4690,49,13,15,1230,15,869,6,0,25,0
BG_03592,Белово,8220,4268,348,0,30,16,8,7,14,13,184,17,1566,7,364,14,298,84,10,9,3,51,30,7,5,948,18,207,10,0,0,0
BG_10971,Видин,63802,24519,1166,0,223,62,34,33,60,39,1953,82,7708,44,1504,59,1766,853,61,163,61,1380,163,52,52,5385,77,1159,380,0,0,0
BG_00182,Аксаково,15565,8325,1029,0,88,24,7,15,20,11,490,34,2960,18,372,18,502,248,5,23,15,720,67,12,15,978,26,605,23,0,0,0
BG_31111,Златоград,11536,5771,388,0,10,42,2,7,7,7,153,14,2544,2,68,11,284,75,5,7,4,301,13,3,8,1472,9,322,13,0,0,0
BG_73626,Търговище,57673,29959,1118,0,214,73,27,12,80,45,1565,71,6809,16,873,70,1382,811,37,49,45,10210,121,36,48,4541,58,1466,182,0,0,0
BG_67372,Сливница,7943,3899,241,0,23,11,2,5,10,6,316,13,1208,10,254,8,374,203,9,17,2,151,30,8,12,686,17,226,57,0,0,0
BG_65766,Свищов,32255,16360,1033,0,143,45,54,22,60,35,2720,57,3526,30,877,15,923,674,44,32,44,1460,156,30,30,2587,68,1279,416,0,0,0
BG_00415,Алфатар,2830,1494,80,0,6,1,2,0,2,1,49,17,374,1,68,10,59,19,3,10,2,330,3,3,4,308,1,133,8,0,0,0
BG_55155,Пазарджик,105958,48729,3983,0,518,138,122,42,191,94,3132,163,15064,65,3260,100,2967,2187,87,124,61,5455,384,83,72,7626,189,2201,421,0,0,0
BG_57491,Поморие,22903,11802,1200,0,94,26,12,22,32,16,594,39,3330,8,181,19,802,315,24,30,11,2345,43,20,9,955,25,1621,11,0,18,0
BG_55021,Павел баня,13998,7398,873,0,19,17,3,1,15,6,171,19,1333,4,215,8,330,141,6,23,13,2649,37,5,3,1013,10,470,14,0,0,0
BG_77195,Хасково,93604,47977,2803,0,387,99,41,31,183,59,7064,120,12947,42,1490,46,2695,1105,88,102,145,9536,329,69,77,5036,103,3205,101,0,0,74
BG_67708,Смядово,5900,2614,182,0,2,5,2,3,8,6,57,6,952,6,101,8,154,104,5,6,6,439,6,0,3,371,2,174,6,0,0,0
BG_69660,Стралджа,10662,5952,380,0,18,16,7,6,16,4,178,14,1264,8,535,16,273,161,13,6,13,605,6,9,10,2087,13,286,8,0,0,0
BG_SOF46,Столична,1116711,566403,30036,0,11121,1306,1241,662,2012,998,97191,2458,200014,940,24569,1450,15295,25855,1373,2155,1355,6516,12743,1880,1082,79878,7774,34318,2176,0,0,0
BG_14711,Генерал Тошево,14211,6524,439,0,46,34,10,6,15,15,205,29,1511,11,405,27,400,218,43,8,10,1088,30,12,8,1377,13,546,18,0,0,0
BG_DOB15,Добрич-селска,21398,9956,714,0,25,63,8,8,17,21,299,23,1715,14,322,34,400,223,10,15,21,3228,21,18,12,2202,18,503,22,0,0,0
BG_65231,Самоков,32691,18776,1312,0,121,52,26,27,69,26,1195,25,6123,25,443,41,2472,470,28,41,13,1449,115,41,32,3393,79,1083,75,0,0,0
BG_07702,Бяла Слатина,22544,12606,740,0,41,31,22,6,30,20,245,17,3290,7,539,11,1003,380,29,13,60,3042,38,27,20,2422,26,513,34,0,0,0
BG_72271,Тервел,21178,9052,476,0,17,18,5,2,9,7,412,23,1186,12,177,13,277,168,11,6,15,4688,6,6,9,1145,8,346,10,0,0,0
BG_HKV19,Минерални бани,6543,4298,210,0,9,3,2,0,1,4,120,5,476,0,75,1,71,23,1,1,5,2934,8,3,6,192,2,144,1,0,0,1
BG_68080,Сопот,9425,4637,276,0,51,12,7,11,27,12,333,17,1130,273,21,310,167,9,41,5,127,38,13,7,1302,29,404,15,0,0,0,0
BG_73496,Тутракан,15588,8423,356,0,41,20,9,3,12,12,208,20,2106,7,144,23,366,194,5,27,10,2763,17,11,8,1176,28,823,34,0,0,0
BG_00504,Антон,1332,668,63,0,3,1,1,1,3,1,68,9,180,1,52,3,37,13,2,5,0,37,1,2,1,123,7,50,4,0,0,0
BG_00518,Антоново,5905,3814,119,0,1,4,3,2,1,3,103,6,599,3,47,3,56,46,4,2,4,2339,11,3,4,385,1,65,0,0,0,0
BG_16314,Горна Малина,4841,2909,208,0,12,5,1,2,6,2,111,6,858,6,122,15,379,106,9,15,4,288,15,4,4,558,9,140,24,0,0,0
BG_18280,Гълъбово,11426,6634,597,0,124,34,10,4,35,16,167,32,1301,18,308,10,1133,132,9,12,14,594,43,19,23,1483,15,494,7,0,0,0
BG_57649,Попово,27191,12492,454,0,87,46,11,6,35,20,440,23,2965,10,462,28,775,1397,26,16,18,2452,58,20,13,1704,21,1334,71,0,0,0
BG_10447,Велико Търново,75592,39850,1567,0,655,111,48,34,167,56,2752,139,13501,52,2064,68,1887,2521,54,209,483,2040,917,83,75,6156,227,3473,511,0,0,0
BG_67653,Смолян,36938,18450,782,0,222,62,37,20,54,33,919,80,6299,27,573,44,1425,709,46,99,22,1606,138,31,35,3356,112,1197,522,0,0,0
BG_00607,Ардино,23817,8364,297,0,2,10,2,1,2,11,95,11,830,2,29,4,55,19,17,14,4,6590,12,5,5,296,7,22,22,0,0,0
BG_24565,Дългопол,13154,7367,1052,0,10,10,6,19,5,8,300,6,1180,3,236,30,367,112,9,2,6,2761,13,3,11,964,6,243,5,0,0,0
BG_14218,Габрово,61141,30095,923,0,579,113,26,43,106,67,1937,111,13133,47,2078,80,1724,1161,64,63,150,476,453,99,4494,118,1783,267,0,0,0,0
BG_68850,Стара Загора,146158,76446,5054,0,1116,213,103,88,294,114,5903,617,27085,88,3853,135,4309,3593,160,359,158,3171,892,206,221,12371,403,5761,179,0,0,0
BG_21097,Димово,5653,3128,166,0,5,8,4,4,8,9,141,9,854,3,134,7,313,63,5,12,6,418,1,4,13,792,6,86,57,0,0,0
BG_00702,Асеновград,60596,32698,3144,0,148,79,27,24,86,40,1595,170,9879,1174,81,1655,1101,31,134,27,6833,254,43,33,4476,111,1473,80,0,0,0,0
BG_51809,Нова Загора,34252,14021,814,0,139,65,27,11,40,30,533,59,4876,24,1049,33,845,429,42,62,27,839,71,22,33,2448,34,1415,54,0,0,0
BG_69633,Стражица,11579,6143,566,0,27,17,5,26,11,8,114,12,1783,6,237,12,288,143,7,5,25,1640,47,5,8,839,6,284,22,0,0,0
BG_51723,Никопол,9283,5148,549,0,16,18,4,3,13,7,96,11,965,9,191,95,177,484,13,4,6,1220,8,4,5,882,20,341,7,0,0,0
BG_JAM25,Тунджа,20123,11503,709,0,63,49,23,18,35,16,350,18,3037,9,848,27,781,314,25,26,13,485,33,21,21,3420,27,1069,66,0,0,0
BG_43236,Левски,19019,8945,741,0,47,33,12,8,28,18,513,20,2103,26,571,22,698,340,30,9,19,1163,31,9,16,1705,21,728,34,0,0,0
BG_36525,Карнобат,23043,10108,1075,0,76,41,19,11,25,23,386,56,2549,18,395,18,632,387,22,11,6,925,52,19,21,2354,19,945,13,0,10,0
BG_47593,Медковец,3238,1772,110,0,7,11,1,2,2,10,131,3,351,3,101,4,147,74,6,6,19,101,13,3,5,588,4,55,15,0,0,0
BG_48996,Момчилград,30621,10112,458,0,7,13,2,3,3,10,79,24,951,12,41,6,57,31,9,13,15,7998,21,8,2,261,4,53,31,0,0,0
BG_65139,Садово,12379,5505,740,0,16,10,15,7,40,11,155,18,1525,195,14,374,107,14,22,1,269,25,8,7,1584,10,329,9,0,0,0,0
BG_44402,Баните,4455,2581,128,0,3,4,1,3,6,7,57,13,792,3,85,1,297,30,2,8,0,414,4,4,2,650,2,61,4,0,0,0
BG_48619,Царево,8000,4712,393,0,24,10,6,6,9,16,216,15,2082,5,58,21,167,186,10,8,1,74,34,6,6,644,9,694,6,0,6,0
BG_10450,Велинград,32174,15921,1305,0,95,30,24,9,43,13,595,42,5494,14,579,16,582,366,24,14,7,3577,92,15,20,2231,28,672,34,0,0,0
BG_66425,Силистра,52586,26052,906,0,417,78,46,28,96,37,1150,66,8532,30,1007,65,1495,1592,44,243,40,2379,157,41,47,4582,126,2512,336,0,0,0
BG_06361,Брезово,5966,3255,360,0,7,19,4,3,9,5,131,11,757,125,9,198,167,8,7,3,27,7,4,4,1171,6,205,8,0,0,0,0
BG_04501,Бобов дол,8023,4245,197,0,17,20,10,2,12,8,93,15,1016,250,10,1408,159,6,19,2,56,12,10,3,780,11,98,31,0,0,0,0
BG_06286,Брезник,5963,3026,147,0,18,5,9,4,5,0,181,5,897,5,151,11,216,224,5,24,8,49,18,9,3,685,9,149,189,0,0,0
BG_67444,Сливо поле,10869,4873,306,0,26,16,5,3,10,5,149,10,1055,10,113,3,141,72,14,1,6,2029,13,7,5,644,11,215,4,0,0,0
BG_03504,Белица,8092,5501,686,0,18,6,13,3,2,3,76,5,644,2,27,6,104,86,2,14,4,3309,7,1,1,391,1,88,1,1,0,0
BG_41112,Кюстендил,66661,27915,1086,0,252,84,52,37,130,48,1502,80,9173,1756,34,2452,1252,58,46,79,310,300,64,72,7218,106,1479,245,0,0,0,0
BG_04532,Бобошево,2540,1417,98,0,7,2,0,1,10,1,31,3,356,153,2,232,25,4,8,0,29,8,14,2,308,3,61,59,0,0,0,0
BG_22215,Долна Митрополия,17759,8205,700,0,35,28,10,7,20,11,348,20,1991,10,461,19,704,298,17,18,8,756,47,7,20,1866,14,759,31,0,0,0
BG_61577,Радомир,18101,9069,412,0,45,41,16,18,23,21,509,30,3280,22,482,19,872,548,16,50,24,257,95,19,11,1407,28,489,335,0,0,0
BG_14516,Хитрино,10168,4676,258,0,2,3,3,0,3,3,123,5,370,5,29,4,30,11,3,4,5,3545,8,2,2,212,2,40,4,0,0,0
BG_81236,Черноочене,12946,6359,172,0,4,1,0,0,0,1,34,8,364,2,31,2,9,8,2,5,4,5594,4,2,2,98,2,8,2,0,0,0
BG_73198,Троян,29726,15117,620,0,212,53,19,27,48,17,943,51,5289,19,871,79,772,571,30,148,14,1022,108,31,27,2650,59,1397,40,0,0,0
BG_68789,Дупница,43401,19888,893,0,118,78,41,20,67,43,1052,81,7044,1302,38,2500,590,56,159,10,297,206,106,44,4109,87,684,263,0,0,0,0
BG_18366,Гърмен,13288,7301,606,0,12,34,10,2,4,7,194,9,1992,7,75,4,103,109,4,3,5,3585,4,1,2,385,4,125,7,8,0,0
BG_06224,Брегово,4959,3039,171,0,7,11,5,0,3,1,76,8,754,3,155,7,85,71,8,8,0,32,4,7,5,1556,7,51,4,0,0,0
BG_68727,Стамболово,11628,4230,285,0,7,1,2,0,5,1,258,7,332,3,47,3,42,33,0,0,4,2897,6,2,3,202,1,88,0,0,0,1
BG_61710,Разград,54076,21358,936,0,205,49,22,8,44,15,1649,64,5698,17,815,38,865,559,25,44,17,5227,111,32,25,3206,30,1448,209,0,0,0
BG_02508,Балчик,18401,8720,573,0,69,25,15,8,28,10,324,22,2043,18,385,17,1142,348,22,18,22,1690,37,6,13,1134,31,700,20,0,0,0
BG_03928,Берковица,17308,8450,563,0,66,26,23,7,50,20,468,40,2201,19,482,17,855,1306,18,11,10,409,69,18,18,1316,37,373,28,0,0,0
BG_20184,Две могили,8679,4173,279,0,17,21,4,2,14,9,334,8,689,4,210,5,184,191,9,16,4,1347,10,1,5,477,6,317,10,0,0,0
BG_12259,Враца,71212,32544,1481,0,310,111,52,40,247,61,2270,103,9161,28,2223,93,3383,2235,48,107,54,1697,344,64,80,5260,147,2756,189,0,0,0
BG_17395,Гоце Делчев,28722,15597,1208,0,62,28,28,7,23,35,686,30,4457,11,532,12,507,477,19,21,35,4068,30,13,14,2644,29,535,32,54,0,0
BG_70175,Суворово,6382,3595,462,0,13,12,1,1,11,6,206,9,1110,2,145,7,99,84,2,2,5,742,15,3,4,411,6,229,8,0,0,0
BG_02676,Банско,11079,7130,596,0,52,25,19,11,14,10,435,24,3093,13,147,8,446,260,12,14,4,365,29,9,9,1009,17,467,5,37,0,0
BG_61813,Разлог,18468,10277,872,0,67,40,23,8,25,10,948,24,3934,11,371,18,1033,273,20,31,16,65,37,15,24,1446,18,893,34,21,0,0
BG_51500,Несебър,19319,10092,797,0,97,38,18,17,36,12,693,71,3517,12,168,38,270,271,18,14,9,398,59,18,17,1669,40,1734,46,0,15,0
BG_55302,Панагюрище,22994,10510,826,0,73,40,11,10,35,24,707,25,4085,11,546,33,632,396,33,19,5,99,96,31,18,2037,48,609,61,0,0,0
BG_36498,Карлово,47269,24390,2286,0,246,74,74,61,127,35,1377,60,5641,1050,43,1767,695,35,282,23,1507,162,51,49,6186,87,2411,61,0,0,0,0
BG_39116,Кочериново,3681,1850,100,0,7,13,5,2,8,5,51,5,568,88,5,228,78,6,2,2,59,5,4,8,460,3,82,56,0,0,0,0
BG_23025,Доспат,8143,4894,179,0,2,3,0,1,3,10,107,4,2349,2,35,5,104,15,4,4,2,1562,6,0,1,470,2,18,6,0,0,0
BG_63427,Русе,154548,70552,3232,0,1228,254,116,78,332,142,6364,236,23465,113,4171,158,4419,2807,247,222,92,3875,1068,216,151,9100,445,7632,389,0,0,0
BG_56126,Петрич,54843,21799,1810,0,106,73,99,36,58,35,2238,98,7989,27,878,59,1585,1368,31,25,17,629,154,20,28,2911,30,1197,252,47,0,0
BG_55052,Павликени,22113,10920,706,0,91,36,18,7,32,26,377,44,2600,6,571,24,770,387,33,16,45,1654,44,27,26,2498,30,828,24,0,0,0
BG_02837,Батак,5716,3422,228,0,12,6,0,5,12,5,216,5,719,1,85,8,119,69,8,10,2,1379,16,0,1,372,3,133,8,0,0,0
BG_05611,Борово,5698,2888,272,0,10,7,3,2,13,6,86,12,767,5,107,5,179,63,10,1,3,506,8,5,7,589,7,210,5,0,0,0
BG_65869,Своге,18530,9048,544,0,40,38,29,11,37,19,843,34,2890,20,630,26,669,417,18,24,9,566,74,18,16,1478,32,467,99,0,0,0
BG_87014,Ябланица,4918,2887,193,0,18,5,1,0,5,5,217,14,503,4,103,5,165,146,22,5,9,718,11,6,8,523,8,187,6,0,0,0
BG_39846,Криводол,8228,5055,364,0,23,19,9,3,6,4,133,8,807,2,219,13,504,171,10,7,10,1205,20,11,10,1210,8,270,9,0,0,0
BG_40909,Кърджали,96238,34493,1939,0,142,41,20,12,66,25,971,114,6080,22,568,47,736,465,37,37,48,18390,77,27,8,2741,56,1406,418,0,0,0
BG_15031,Главиница,11649,6245,406,0,6,4,5,2,7,5,1116,10,801,5,65,9,84,48,8,11,11,3031,11,1,5,432,2,159,1,0,0,0
BG_53576,Опан,2440,1569,192,0,4,6,2,2,2,1,32,2,304,2,67,5,78,22,0,3,7,55,5,3,1,696,1,76,1,0,0,0
BG_27190,Елена,8665,4573,285,0,29,17,1,4,10,10,141,11,1461,10,167,10,214,249,9,7,50,701,27,5,11,770,14,310,50,0,0,0
BG_56722,Плевен,126451,62312,3238,0,911,163,101,62,229,104,5233,234,18734,130,3592,243,4774,3805,120,273,128,3661,752,110,109,8854,307,6142,303,0,0,0
BG_35523,Калояново,9852,5006,533,0,14,15,6,4,10,6,507,14,1615,143,12,325,91,12,17,4,374,15,7,2,944,15,303,18,0,0,0,0
BG_20465,Девин,11812,6171,280,0,37,19,5,8,6,5,125,12,1815,6,462,16,211,75,8,1,4,1430,18,2,10,1340,7,186,83,0,0,0
BG_44327,Луковит,15441,7645,541,0,48,27,8,4,22,10,319,32,1703,7,391,18,418,184,18,15,17,2123,31,21,15,1190,34,438,11,0,0,0
BG_38978,Костинброд,13986,7862,389,0,56,15,13,5,20,20,623,30,2930,12,386,13,345,390,21,20,13,654,91,34,10,1264,70,412,26,0,0,0
BG_48489,Монтана,50169,25000,1026,0,367,80,29,19,86,93,2953,77,5530,46,2174,70,3879,1122,63,54,139,1470,491,45,58,3668,85,1184,192,0,0,0
BG_PDV26,Родопи,28117,13938,1229,0,85,24,19,18,38,24,697,60,5227,565,19,866,675,9,26,15,1224,126,15,21,1892,42,954,68,0,0,0,0
BG_35064,Каварна,13617,5697,316,0,83,28,17,13,18,8,319,36,1366,7,410,25,600,318,11,5,9,404,52,7,11,922,36,667,9,0,0,0
BG_03366,Белене,9192,4849,358,0,37,13,8,8,10,11,189,8,732,3,420,32,568,281,8,61,2,121,26,3,14,1519,17,360,40,0,0,0
BG_05236,Бойчиновци,7831,4506,316,0,9,19,9,2,13,6,532,8,1025,4,210,11,756,168,9,4,10,672,15,2,3,541,1,151,10,0,0,0
BG_61460,Раднево,17492,9632,678,0,78,34,23,11,58,30,490,49,2128,18,540,11,792,371,23,12,30,653,55,24,21,2583,33,865,22,0,0,0
BG_17974,Средец,12156,5917,698,0,36,11,17,4,11,15,180,21,1787,8,217,19,402,184,16,17,7,175,22,6,6,854,14,1157,16,0,17,0
BG_81390,Чипровци,3532,2110,152,0,16,7,4,1,3,5,124,6,670,2,188,3,376,16,7,2,2,107,13,6,3,292,8,77,20,0,0,0
BG_32874,Исперих,27100,14034,851,0,31,17,4,1,8,7,374,52,1492,8,81,11,206,99,14,24,14,9439,15,8,6,732,12,495,33,0,0,0
BG_73403,Трявна,11148,5389,172,0,289,19,7,7,16,16,367,19,1765,8,501,11,439,161,17,9,13,86,48,15,775,61,529,39,0,0,0,0
BG_44478,Лъки,2680,1216,139,0,0,1,3,4,2,2,96,6,221,20,8,172,14,2,0,7,149,7,3,3,297,1,59,0,0,0,0,0
BG_44570,Любимец,8474,5258,462,0,17,19,6,2,16,16,150,13,2537,8,152,7,306,66,13,9,6,137,19,5,3,863,19,389,9,0,0,9
BG_40422,Кубрат,20153,9078,496,0,34,18,4,5,7,8,441,17,1258,11,82,8,228,189,10,4,14,5161,28,4,6,714,11,282,38,0,0,0
BG_77270,Хисаря,11574,5739,565,0,45,19,9,2,18,12,212,11,1915,204,11,411,191,16,25,2,129,97,24,18,1139,21,581,62,0,0,0,0
BG_10865,Ветрино,5064,2948,353,0,11,7,2,8,2,3,116,5,632,1,102,9,108,70,2,1,3,731,4,5,3,552,1,216,1,0,0,0
BG_03616,Белоградчик,6082,2661,120,0,28,10,2,2,14,5,108,4,652,2,141,6,469,122,8,6,6,87,16,7,7,678,8,131,22,0,0,0
BG_62075,Раковски,23501,9075,1154,0,32,19,11,34,26,6,235,29,4214,233,60,603,139,17,12,8,207,40,14,10,1415,30,459,68,0,0,0,0
BG_83510,Шумен,92031,42593,1820,0,393,149,71,34,163,47,2841,107,14485,50,2030,68,2091,2050,70,167,107,4870,472,63,60,6215,167,3730,272,0,0,0
BG_53535,Омуртаг,25657,13222,628,0,11,11,4,3,6,5,1174,21,1189,9,90,22,253,158,8,8,19,8611,17,10,8,662,6,284,5,0,0,0
BG_63255,Ружинци,3641,1824,126,0,2,6,2,5,5,3,49,5,426,2,63,4,147,24,8,0,3,153,5,5,5,722,1,48,5,0,0,0
BG_32024,Ивайловград,7112,3637,219,0,17,7,3,4,7,7,219,15,1188,6,83,5,173,107,5,5,19,514,11,2,9,691,4,310,4,0,0,3
BG_03719,Белослав,9520,4345,428,0,46,13,9,16,16,6,315,15,1224,6,68,24,252,123,2,16,2,301,29,13,12,706,26,651,26,0,0,0
BG_78361,Ценово,5389,2768,258,0,20,15,4,4,6,7,103,2,603,3,120,14,330,101,5,4,6,213,8,3,5,565,7,344,18,0,0,0
BG_PDV17,Марица,25726,12827,1448,0,72,28,20,28,30,22,498,41,4392,447,25,1012,310,19,47,18,1010,64,15,25,2226,36,930,64,0,0,0,0
BG_48324,Мирково,2044,1040,94,0,3,5,3,3,1,4,72,3,268,4,43,2,43,24,4,2,1,58,4,2,2,289,4,92,10,0,0,0
BG_30778,Земен,2374,1443,73,0,11,7,3,1,4,2,248,1,353,2,71,6,85,124,9,8,1,20,11,2,2,321,2,51,25,0,0,0
BG_23409,Драгоман,4594,2648,230,0,11,12,0,3,8,4,131,8,896,3,126,8,318,59,8,7,3,61,16,4,2,572,8,118,32,0,0,0
BG_70247,Сунгурларе,11051,5797,783,0,15,14,3,3,8,2,90,10,904,4,155,22,393,150,9,7,16,2112,4,6,5,616,8,406,3,0,49,0
BG_67338,Сливен,113544,51426,3734,0,507,177,74,29,141,82,3282,170,17667,71,2659,139,2968,2263,105,513,177,3378,419,103,93,8638,156,3583,298,0,0,0
BG_63224,Руен,28231,16921,1571,0,8,24,3,27,2,4,347,15,607,6,37,9,95,45,7,15,12,13465,47,6,6,378,1,166,4,0,14,0
BG_77181,Харманли,23315,11856,905,0,72,38,32,18,44,10,995,32,3248,22,522,24,814,245,15,43,15,1342,45,10,27,2233,26,1041,10,0,0,28
BG_07603,Бяла,12911,5924,424,0,99,22,7,4,18,9,495,21,1663,13,322,14,355,277,13,10,11,590,38,11,6,832,16,627,27,0,0,0
BG_69835,Стрелча,4486,2442,197,0,7,7,4,1,5,9,85,8,635,5,182,13,130,81,2,5,4,303,10,2,3,478,4,149,113,0,0,0
BG_46663,Малко Търново,3043,1710,206,0,12,6,1,6,5,3,57,3,465,1,31,3,92,105,10,3,2,53,5,3,3,303,2,327,0,0,3,0
BG_72165,Твърдица,12094,4971,499,0,20,21,9,4,12,16,198,14,1461,6,292,11,337,105,7,25,9,718,17,9,4,905,10,250,12,0,0,0
BG_58503,Провадия,20334,9735,1158,0,60,33,19,16,30,24,523,19,1949,11,481,23,559,541,14,8,6,1696,45,5,15,1714,18,753,15,0,0,0
BG_27303,Елин Пелин,18511,9053,560,0,88,49,10,13,47,10,662,107,3047,40,713,19,636,339,17,56,20,264,72,19,16,1436,58,709,46,0,0,0
BG_55871,Перник,86427,42217,1592,0,512,107,56,51,147,81,3939,291,14305,72,2579,64,4234,4026,122,234,118,572,428,115,86,5835,292,2076,283,0,0,0
BG_65276,Самуил,8971,4408,200,0,1,4,1,1,2,1,57,9,342,3,12,1,12,14,10,0,9,3637,4,0,1,70,0,16,1,0,0,0
BG_65440,Сатовча,15330,7904,557,0,3,5,3,3,2,3,121,17,1806,1,39,1,407,78,5,3,10,4413,3,2,4,401,4,6,5,2,0,0
BG_80371,Чепеларе,6651,3298,130,0,26,7,8,1,6,4,164,8,1085,1,346,16,345,90,5,6,10,194,13,15,5,531,8,250,24,0,0,0
BG_47714,Мездра,19338,10490,572,0,52,22,10,11,45,12,381,18,2255,12,696,17,848,1671,14,12,10,831,63,15,14,2273,34,551,51,0,0,0
BG_32901,Ихтиман,14718,8318,777,0,40,32,16,8,24,14,507,27,2678,5,278,32,708,280,24,20,15,961,48,17,10,1275,39,384,99,0,0,0
BG_21052,Димитровград,51962,25249,1655,0,215,175,45,16,70,30,5091,60,7270,34,1119,31,1855,681,41,43,42,1323,202,41,31,3117,157,1706,53,0,0,146
BG_05815,Ботевград,29022,14092,806,0,155,76,28,24,71,34,987,65,4539,31,816,36,1168,915,50,44,15,297,150,39,24,2424,88,1162,48,0,0,0
BG_32095,Иваново,8541,4479,331,0,35,14,3,4,12,10,115,4,1299,2,261,10,260,139,11,8,1,582,18,5,4,894,13,442,2,0,0,0
BG_SFO06,Божурище,6045,3227,174,0,31,8,7,5,10,5,286,14,1269,6,152,5,151,198,18,23,8,62,49,8,6,494,35,194,9,0,0,0
BG_12766,Върбица,11099,5447,337,0,0,8,1,5,2,14,131,7,646,2,24,2,24,12,1,10,6,3772,5,1,7,367,2,53,8,0,0,0
BG_24030,Дулово,30304,16691,809,0,17,16,4,3,3,9,498,46,3399,9,73,21,98,96,13,4,15,10401,33,9,8,766,10,318,13,0,0,0
BG_27632,Етрополе,11115,5381,374,0,55,17,12,6,18,15,281,25,1334,23,256,24,461,388,18,19,6,31,29,16,9,1500,35,416,13,0,0,0
BG_05195,Бойница,999,552,22,0,1,2,0,2,1,1,16,1,175,1,27,2,98,12,1,1,0,18,0,0,1,163,0,5,2,0,0,0
BG_05284,Болярово,3244,2236,106,0,6,13,1,1,5,7,33,4,388,1,114,14,101,92,4,4,2,23,0,8,9,1140,3,149,8,0,0,0
BG_63207,Рудозем,9073,4724,261,0,15,18,4,6,11,4,299,15,936,4,64,3,263,45,4,11,5,2270,8,8,5,364,16,65,20,0,0,0
BG_43369,Лесичово,4516,2212,241,0,7,4,1,2,1,6,122,6,588,3,98,10,106,63,3,2,0,203,6,2,7,624,4,98,5,0,0,0
BG_05462,Борино,3517,2154,75,0,6,1,0,1,2,0,39,4,678,2,15,12,39,9,1,1,3,1017,3,2,0,225,3,6,10,0,0,0
BG_46045,Мадан,11211,6225,243,0,9,10,5,2,31,6,136,8,1064,3,54,7,502,112,3,9,5,3201,8,6,6,602,44,99,50,0,0,0
BG_57772,Пордим,5365,2763,210,0,10,8,2,5,4,7,133,6,559,5,131,5,169,248,5,1,3,344,8,2,3,559,3,324,9,0,0,0
BG_46084,Маджарово,2878,1256,74,0,1,2,0,0,1,1,30,3,309,2,18,4,69,5,4,0,1,577,0,2,0,106,1,46,0,0,0,0
BG_27382,Елхово,14533,7076,355,0,53,23,11,11,19,16,244,18,2373,9,584,25,588,232,11,52,6,197,23,7,13,1637,20,532,17,0,0,0
