gisco_id,name,registered,turnout,invalid,blank,ФСБСБ,ДНБ,КзБ,Гранит,КнЕ,НДСВ,КДБ,ДСБ,НКДЖБ,Евророма,КнР,БНС,НВ,Атака,ФАГО,ОППБ,ДПС,БХК,ОДС,НЗПНП,ПСД,РК,Петко Илиев Пенев,Радослав Николов Коев,Неделчо Михайлов Димов,Стефчо Иванов Събчев,Илия Замфиров Илиев - Независим,Любомир Христов Василев,Ивайло Манчев Петров,Жоро Петров Ничев,Георги Николаев Мумджиев,Веселина Минчева Бозукова,Асен Фиданов Чаушев,Илия Кирилов Велчев - Независим,Юлий Григоров Абаджиев - Независим
BG_VTR0410447,Велико Търново,77384,44489,833,0,217,257,13755,55,54,9775,62,3094,135,104,1038,2632,1633,4712,139,148,1457,212,3867,16,30,16,0,0,0,248,0,0,0,0,0,0,0,0,0
BG_VTR0616359,Горна Оряховица,45949,25158,606,0,95,74,7745,29,18,5594,44,1199,134,214,578,1587,863,3460,72,95,782,101,1456,10,18,12,0,0,0,372,0,0,0,0,0,0,0,0,0
BG_VTR1327190,Елена,8835,5541,138,0,9,69,2036,10,9,1060,19,312,9,194,366,216,100,107,9,13,530,35,212,3,3,6,0,0,0,76,0,0,0,0,0,0,0,0,0
BG_VTR1430962,Златарица,4023,2351,88,0,7,19,784,6,4,494,7,84,24,77,138,180,32,86,5,5,204,3,75,1,3,1,0,0,0,24,0,0,0,0,0,0,0,0,0
BG_VTR2044793,Лясковец,12914,7049,199,0,15,31,2189,14,11,1764,10,331,32,73,210,337,251,990,9,43,98,24,357,4,4,4,0,0,0,49,0,0,0,0,0,0,0,0,0
BG_VTR2255052,Павликени,24515,14931,545,0,23,195,5239,20,18,2340,30,519,49,155,855,838,266,1931,27,68,789,131,828,5,7,6,0,0,0,47,0,0,0,0,0,0,0,0,0
BG_VTR2657354,Полски Тръмбеш,14520,8724,284,0,22,25,3175,18,3,1317,7,486,22,97,470,360,135,1110,13,48,587,116,377,3,4,4,0,0,0,41,0,0,0,0,0,0,0,0,0
BG_VTR2865766,Свищов,35936,20877,644,0,82,119,7168,29,19,3292,70,809,76,132,558,826,517,2197,72,100,1242,99,2697,13,13,2,0,0,0,101,0,0,0,0,0,0,0,0,0
BG_VTR3169633,Стражица,11909,7243,292,0,18,36,2468,17,7,1634,12,284,32,320,451,330,92,587,4,26,287,8,304,4,1,2,0,0,0,27,0,0,0,0,0,0,0,0,0
BG_VTR3270295,Сухиндол,2505,1607,68,0,0,5,646,2,2,251,4,129,2,10,113,51,17,92,1,13,145,1,53,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BG_VID0103616,Белоградчик,6903,4004,172,0,12,7,1524,5,4,616,15,130,7,18,18,199,126,174,96,22,505,9,340,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID0305195,Бойница,1369,1047,60,0,2,2,502,3,5,227,1,17,2,4,6,33,16,8,19,5,97,12,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID0606224,Брегово,5886,4533,187,0,6,17,2470,12,5,908,5,51,7,7,15,112,97,50,35,3,125,2,409,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID0910971,Видин,68078,35442,733,0,62,65,12470,56,26,6867,63,1624,43,124,253,1865,896,2007,281,73,4971,107,2769,23,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID1517645,Грамада,2161,1398,62,0,6,3,609,3,2,164,4,42,1,32,50,90,24,40,35,3,192,1,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID1621097,Димово,6698,4356,198,0,5,5,1978,9,5,481,18,61,8,80,129,150,41,80,105,17,710,9,258,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID2240525,Кула,5150,3011,137,0,3,2,1391,6,5,454,8,443,9,28,27,71,43,72,72,13,79,2,140,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
