gisco_id,name,registered,turnout,invalid,blank,M11,SKP,PP,KaL,PS,KA,KD,SR,Vas,VIHR,SFP,Kesk.,Kok,SDP,Ilmarinen
FI_694,Riihimäki,23336,8519,68,0,19,30,59,38,1225,19,734,6,849,657,73,1054,2196,1489,3
FI_781,Sysmä,3616,1255,8,0,4,3,3,27,191,3,71,0,56,31,5,418,291,144,0
FI_834,Tammela,5147,2024,20,0,2,14,6,4,264,8,93,0,208,86,11,676,422,209,1
FI_981,Ypäjä,2099,734,9,0,1,6,3,0,92,2,29,0,67,38,4,282,147,54,0
FI_020,Akaa,13555,4488,33,0,32,16,20,10,712,11,282,4,508,338,26,676,1043,774,3
FI_108,Hämeenkyrö,8423,2915,8,0,9,11,7,6,426,4,180,6,241,142,13,1063,544,253,2
FI_143,Ikaalinen,6057,2269,10,0,3,12,12,6,363,2,160,2,139,99,8,786,431,234,2
FI_177,Juupajoki,1669,560,4,0,1,2,1,2,100,1,29,0,34,39,4,174,89,79,1
FI_211,Kangasala,23470,9223,55,0,39,21,48,35,1323,8,726,7,661,927,60,1551,2604,1155,3
FI_250,Kihniö,1794,622,2,0,0,6,1,1,137,1,94,1,15,11,0,234,71,48,0
FI_418,Lempäälä,16128,6239,33,0,23,22,36,18,861,8,509,5,488,659,46,1007,1799,720,5
FI_508,Mänttä-Vilppula,9360,2825,19,0,9,10,11,9,424,8,196,7,270,148,14,567,554,578,1
FI_536,Nokia,25456,9368,61,0,44,101,58,69,1579,17,498,14,1316,888,57,1160,2122,1383,1
FI_562,Orivesi,7907,3056,23,0,9,5,10,12,480,8,233,3,212,217,20,735,683,405,1
FI_581,Parkano,5730,1815,7,0,3,5,7,7,374,3,127,1,95,56,11,594,308,217,0
FI_604,Pirkkala,13908,6177,25,0,12,16,40,22,815,12,375,3,413,731,46,769,2053,843,2
FI_619,Punkalaidun,2658,1069,6,0,5,0,3,3,158,1,25,9,62,31,6,379,305,75,1
FI_635,Pälkäne,5509,2077,19,0,6,8,5,18,320,7,120,9,144,129,11,469,584,228,0
FI_702,Ruovesi,4126,1531,13,0,4,18,5,5,215,6,64,1,170,55,7,452,342,174,0
FI_790,Sastamala,20788,7730,46,0,24,23,34,23,1094,12,683,9,549,298,18,1582,2396,938,1
FI_837,Tampere,185491,76948,372,0,274,438,1099,316,9482,111,4290,73,8824,12362,860,7667,20982,9775,23
FI_887,Urjala,4264,1394,11,0,9,9,5,8,209,2,40,1,74,44,10,472,305,195,0
FI_908,Valkeakoski,17249,5820,40,0,9,40,34,19,884,12,322,7,657,387,49,816,1417,1125,2
FI_922,Vesilahti,3227,1265,11,0,5,4,8,7,197,3,60,0,69,121,8,345,314,113,0
FI_936,Virrat,6203,2276,13,0,6,13,3,9,356,7,167,1,136,78,8,854,305,320,0
FI_980,Ylöjärvi,23762,8850,47,0,26,43,36,22,1526,12,560,9,792,816,55,1587,2151,1168,0
FI_075,Hamina,17363,5530,41,0,10,11,23,23,1076,12,305,5,299,306,65,1211,1328,815,0
FI_142,Iitti,5902,2111,21,0,9,6,9,9,364,5,125,3,111,99,15,597,452,285,1
FI_153,Imatra,24032,7235,57,0,35,30,45,30,1343,27,425,8,544,464,37,1033,1510,1647,0
FI_285,Kotka,44948,15226,115,0,45,74,70,51,3215,36,813,8,1532,1082,211,1364,3798,2808,4
FI_286,Kouvola,72551,23223,172,0,75,67,124,86,4574,50,2014,16,1222,1255,177,5062,5014,3302,13
FI_405,Lappeenranta,59444,19182,125,0,57,70,158,56,2766,36,1168,14,896,1691,159,4456,4665,2863,2
FI_416,Lemi,2463,886,7,0,1,3,3,8,140,1,68,1,27,41,3,380,149,54,0
FI_441,Luumäki,4152,1553,14,0,2,2,5,2,195,1,118,3,38,66,15,611,346,134,1
FI_489,Miehikkälä,1792,670,5,0,2,1,1,1,73,2,43,1,17,10,5,374,95,40,0
FI_580,Parikkala,4908,1742,7,0,3,3,2,5,243,4,172,3,53,67,17,813,209,141,0
FI_624,Pyhtää,4347,1528,18,0,1,9,8,2,262,1,67,1,98,86,93,257,363,262,0
FI_689,Rautjärvi,3218,961,7,0,2,3,3,4,119,4,69,4,44,30,8,377,102,185,0
FI_700,Ruokolahti,4620,1670,17,0,2,4,5,5,249,1,126,1,76,67,9,589,272,247,0
FI_739,Savitaipale,3252,1189,14,0,2,3,5,2,164,2,110,3,24,47,5,483,222,103,0
FI_831,Taipalsaari,3794,1446,11,0,6,2,7,2,221,6,95,0,42,112,7,453,320,161,1
FI_935,Virolahti,2805,1025,5,0,4,2,2,0,159,3,35,0,25,24,6,479,165,116,0
FI_046,Enonkoski,1309,485,1,0,0,3,0,5,42,0,49,0,9,17,1,226,30,102,0
FI_090,Heinävesi,3186,1136,6,0,4,3,6,4,131,0,81,2,58,53,5,437,155,190,1
