gisco_id,name,registered,turnout,invalid,blank,VIHR,KTP,SKP,Vas,Kok,SDP,M11,PS,SFP,PP,KD,KA,Kesk.,SSP,STP,SR,Helminen,Korhonen,Laajola,Lönnroth,Marttunen,Nikoskinen,Salminen,YS,Alliansen,ÅS,Valjakka,Kotajärvi,Simonen,Toivanen,Niskanen
FI_202,Kaarina,23862,17777,87,0,1253,1,40,1679,5256,3745,64,3164,607,91,496,0,1166,8,7,104,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
FI_322,Kemiönsaari,6676,4127,29,0,149,1,5,320,187,702,5,284,2103,13,45,0,258,2,3,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_284,Koski Tl,1985,1419,7,0,33,0,5,67,285,129,6,310,7,4,18,0,547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_304,Kustavi,771,564,2,0,32,0,0,17,183,85,1,97,15,2,8,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_400,Laitila,6814,4255,22,0,82,0,9,202,668,681,5,1102,20,12,143,0,1300,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_423,Lieto,12166,9108,52,0,531,1,14,724,2536,1572,46,1891,104,36,263,0,1282,2,1,44,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
FI_430,Loimaa,13959,9487,64,0,322,0,92,1142,1813,947,26,1867,35,43,138,0,2945,5,13,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FI_445,Länsi-Turunmaa,13396,8687,34,0,424,2,18,497,925,1145,31,794,4296,39,128,0,315,3,4,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FI_480,Marttila,1649,1186,6,0,26,0,4,48,247,89,2,358,9,1,18,0,374,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_481,Masku,6917,5125,20,0,270,2,7,372,1278,999,28,1211,79,38,103,0,689,3,2,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FI_503,Mynämäki,6405,4373,20,0,152,1,6,502,707,762,14,1026,26,18,147,0,968,3,2,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
FI_529,Naantali,15106,11043,69,0,650,3,23,737,3654,2268,33,1983,252,51,337,0,918,4,9,48,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FI_538,Nousiainen,3645,2679,18,0,106,0,9,223,552,429,13,683,23,13,63,0,518,2,2,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
FI_561,Oripää,1100,781,9,0,13,0,0,72,117,80,1,128,2,0,11,0,337,3,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
FI_577,Paimio,8137,5769,38,0,381,1,25,435,1243,1100,32,1029,63,43,152,0,1193,5,2,21,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
FI_631,Pyhäranta,1825,1260,9,0,45,0,5,39,205,285,3,386,3,5,44,0,226,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_636,Pöytyä,6650,4615,25,0,115,0,10,318,866,523,12,1094,33,15,135,0,1451,0,1,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_680,Raisio,19327,13315,77,0,652,2,26,1693,2916,3209,59,2865,210,74,653,0,745,7,6,87,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
FI_704,Rusko,4298,3242,15,0,186,0,12,244,844,555,11,791,44,12,65,0,444,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_734,Salo,43328,28951,175,0,1434,36,40,1307,7011,7665,186,5527,308,136,739,0,4268,11,10,92,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
FI_738,Sauvo,2422,1758,9,0,77,0,5,107,337,226,9,307,37,13,29,0,592,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_761,Somero,7622,5278,29,0,120,1,9,268,797,839,9,823,30,9,132,0,2195,1,4,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_833,Taivassalo,1463,1029,7,0,36,0,2,55,247,129,0,224,14,1,29,0,270,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_838,Tarvasjoki,1483,1102,4,0,37,0,1,57,299,117,2,246,8,6,23,0,298,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_853,Turku,150945,102008,399,0,11592,25,430,12901,24089,19762,714,16125,5935,943,3174,0,4766,85,82,917,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
FI_895,Uusikaupunki,13379,8764,46,0,199,2,65,706,1712,2322,19,2052,56,39,367,0,1138,2,6,31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FI_918,Vehmaa,1961,1384,9,0,36,1,5,106,243,243,2,311,4,1,33,0,382,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_050,Eura,10131,6970,43,0,142,15,3,848,757,2280,4,1124,0,0,176,0,1577,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_051,Eurajoki,4698,3284,19,0,43,0,2,170,357,863,5,632,0,0,91,0,1100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_079,Harjavalta,6283,3992,32,0,90,4,1,787,622,1072,6,845,0,0,138,0,391,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_099,Honkajoki,1582,1031,6,0,6,1,0,58,43,35,1,369,0,0,17,0,493,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_102,Huittinen,8722,5731,36,0,191,1,5,411,1032,791,10,1704,0,0,176,0,1371,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_181,Jämijärvi,1668,1108,6,0,12,1,0,53,64,129,0,364,0,0,55,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_214,Kankaanpää,10064,6680,40,0,159,2,4,511,784,704,3,2477,0,0,295,0,1694,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_230,Karvia,2244,1490,12,0,13,1,2,38,145,137,0,369,0,0,42,0,730,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_254,Kiikoinen,1042,705,2,0,16,1,1,27,116,49,0,157,0,0,43,0,291,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_271,Kokemäki,6602,4485,31,0,103,5,4,507,670,893,4,993,0,0,115,0,1158,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
