gisco_id,name,registered,turnout,invalid,blank,Kesk.,SDP,Kok,Vas,VIHR,KD,SFP,PS,SKP,LKP,SSP,SKS,KTP,KA,STP,IPU,Basic,Hänninen,Syväoja,Varje,IKL,YA,OY,YS,BA,S,YVP,Aaltonen,Flinkman
FI_777,Suomussalmi,8505,4950,0,0,1953,172,545,1931,77,87,0,125,2,0,0,1,1,3,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_832,Taivalkoski,3757,2160,0,0,1348,354,131,120,53,29,0,92,5,0,0,0,1,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_859,Tyrnävä,3914,2667,0,0,1624,191,275,338,97,39,0,60,7,0,0,2,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_564,Oulu / Uleåborg,106854,67802,0,0,17519,10406,14659,11297,8297,2848,0,1719,178,0,0,56,64,184,17,142,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_889,Utajärvi,2570,1522,0,0,770,163,91,188,44,23,0,224,0,0,0,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_785,Vaala,3007,1798,0,0,916,200,138,326,75,37,0,77,4,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_926,Vihanti,2659,1752,0,0,952,164,115,318,45,38,0,56,1,0,0,0,1,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_972,Yli-Ii,1714,1105,0,0,707,62,55,164,26,15,0,52,3,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_973,Ylikiiminki,2588,1468,0,0,867,139,117,165,42,35,0,73,5,0,0,2,1,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_977,Ylivieska,10558,6997,0,0,3132,2078,728,339,239,244,0,147,14,0,0,2,5,2,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_148,Inari / Enare,6051,3644,0,0,1908,362,344,792,98,34,0,53,3,0,0,0,6,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_047,Enontekiö / Enontekis,1922,1020,0,0,442,171,207,103,20,36,0,24,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_240,Kemi,20673,11923,0,0,2737,3184,1060,4106,261,63,0,197,52,0,0,0,146,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_320,Kemijärvi,8553,5289,0,0,2452,438,311,1858,57,56,0,52,2,0,0,0,29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
