gisco_id,name,registered,turnout,invalid,blank,SKE,Kesk.,FP,Kok,KD,SDP,LPVV,PP,SKP,Korj,PS,Vas,EjOP,STL,VIHR,SFP,Lokka
FI_020,Akaa,13283,4831,19,0,22,559,2,1023,266,936,24,17,23,28,845,389,13,36,581,41,7
FI_108,Hämeenkyrö / Tavastkyro,8372,3021,6,0,5,506,5,602,183,396,1,9,10,13,734,217,3,27,283,15,6
FI_143,Ikaalinen / Ikalis,5883,2379,5,0,5,526,1,454,164,353,2,8,16,6,482,108,4,22,204,12,7
FI_177,Juupajoki,1557,596,3,0,1,138,2,107,24,113,0,0,1,0,111,33,0,5,57,0,1
FI_211,Kangasala,24772,10383,22,0,12,1063,15,2753,733,1602,16,38,38,29,1722,522,19,65,1627,83,24
FI_250,Kihniö,1654,620,2,0,1,184,3,59,116,53,0,2,2,2,161,10,0,6,19,0,0
FI_418,Lempäälä,17209,7259,19,0,7,792,10,2048,487,1050,9,31,11,17,1145,413,7,52,1074,74,13
FI_508,Mänttä-Vilppula,8732,2918,9,0,12,423,3,434,194,823,3,9,12,7,527,151,2,33,247,23,6
FI_536,Nokia,26430,10357,34,0,24,779,9,2189,516,1881,19,58,99,35,1974,1071,43,70,1456,82,18
FI_562,Orivesi,7649,3140,12,0,5,516,7,664,187,582,2,14,10,7,577,188,4,31,312,20,2
FI_581,Parkano,5498,1909,8,0,3,373,1,292,206,317,1,1,6,12,479,69,3,23,104,6,5
FI_604,Pirkkala / Birkala,14867,6887,11,0,14,470,11,2275,332,1074,14,44,11,17,1016,293,15,43,1160,82,5
FI_619,Punkalaidun,2447,997,4,0,3,361,1,215,24,121,1,0,2,7,154,41,0,13,44,6,0
FI_635,Pälkäne,5325,2235,14,0,5,371,7,609,130,303,1,8,8,9,388,117,4,24,205,22,10
FI_702,Ruovesi,3826,1556,1,0,3,334,2,336,59,259,1,1,8,7,259,127,2,45,105,6,1
FI_790,Sastamala,20275,7556,27,0,11,1501,7,1429,603,1293,7,26,19,21,1356,526,9,61,589,61,10
