gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,BZÖ,NEOS,REKOS,ANDERS,EUSTOP
AT_20519,Micheldorf,896,286,5,0,49,128,45,18,7,17,4,3,10
AT_20520,Mölbling,1111,345,1,0,49,83,127,38,4,22,4,3,14
AT_20523,Sankt Georgen am Längsee,2953,1037,22,0,166,347,221,123,17,62,14,8,57
AT_20527,Sankt Veit an der Glan,10061,2996,97,0,418,1141,628,311,36,177,31,58,99
AT_20530,Straßburg,1727,643,15,0,199,126,205,26,18,24,7,4,19
AT_20531,Weitensfeld im Gurktal,1776,597,25,0,205,146,155,19,8,17,7,3,12
AT_20534,Frauenstein,2947,991,26,0,216,262,242,126,6,63,4,13,33
AT_20599,Briefwahlkarten - Sankt Veit an der Glan,0,1913,41,0,381,588,296,277,24,164,32,31,79
AT_20601,Bad Kleinkirchheim,1326,402,10,0,91,88,96,45,8,42,1,5,16
AT_20602,Baldramsdorf,1553,483,14,0,94,165,134,31,7,14,5,2,17
AT_20603,Berg im Drautal,1093,403,17,0,135,110,52,43,3,21,6,6,10
AT_20604,Dellach im Drautal,1415,414,9,0,100,151,61,43,3,21,3,4,19
AT_20605,Großkirchheim,1157,485,22,0,165,63,151,28,14,21,4,4,13
AT_20607,Flattach,966,331,16,0,63,93,80,24,8,28,5,1,13
AT_20608,Gmünd in Kärnten,2178,721,14,0,168,218,161,67,7,38,7,4,37
AT_20609,Greifenburg,1449,559,11,0,149,128,125,68,12,35,2,5,24
AT_20610,Heiligenblut am Großglockner,911,280,13,0,105,54,49,17,2,20,5,2,13
AT_20611,Irschen,1629,603,22,0,150,223,93,47,6,36,3,3,20
AT_20613,Kleblach-Lind,995,436,20,0,143,135,67,23,5,12,3,1,27
AT_20616,Lendorf,1408,542,15,0,132,166,91,44,8,30,14,7,35
AT_20618,Mallnitz,696,314,11,0,59,148,49,16,2,15,1,5,8
AT_20619,Malta,1703,415,16,0,71,152,108,30,2,23,3,0,10
AT_20620,Millstatt,2750,881,23,0,229,200,154,136,14,72,12,8,33
AT_20622,Mörtschach,676,211,7,0,73,30,55,15,5,7,4,3,12
AT_20624,Mühldorf,796,365,10,0,39,107,168,18,0,18,1,1,3
AT_20625,Oberdrauburg,997,349,14,0,98,104,60,25,4,26,8,3,7
AT_20627,Obervellach,1911,683,16,0,182,154,158,58,13,38,14,10,40
AT_20630,Radenthein,5078,1479,51,0,212,528,301,159,16,108,24,17,63
AT_20631,Rangersdorf,1395,348,14,0,73,92,106,19,4,17,8,4,11
AT_20632,Rennweg am Katschberg,1492,605,22,0,228,144,115,34,3,30,10,5,14
AT_20633,Sachsenburg,1047,352,12,0,63,113,91,24,2,22,4,4,17
AT_20634,Seeboden am Millstätter See,5093,1518,38,0,366,301,363,188,16,138,32,15,61
AT_20635,Spittal an der Drau,12240,4328,156,0,753,1426,839,464,56,267,61,49,257
AT_20636,Stall,1357,397,6,0,101,122,105,17,6,18,1,5,16
AT_20637,Steinfeld,1692,616,17,0,115,217,136,56,3,37,4,5,26
AT_20638,Trebesing,992,387,20,0,140,87,85,24,5,14,3,0,9
AT_20639,Weißensee,632,304,16,0,108,54,47,33,3,34,0,5,4
AT_20640,Winklern,990,279,7,0,68,91,60,16,3,19,3,2,10
AT_20642,Krems in Kärnten,1524,376,14,0,111,96,95,21,1,10,3,1,24
AT_20643,Lurnfeld,2140,744,22,0,132,252,151,84,14,42,4,8,35
AT_20644,Reißeck,1829,743,20,0,134,296,158,40,12,32,6,11,34
AT_20699,Briefwahlkarten - Spittal an der Drau,0,2801,52,0,614,770,409,428,35,299,40,44,110
AT_20701,Afritz am See,1216,416,9,0,50,151,107,42,10,25,7,3,12
AT_20702,Arnoldstein,5342,1888,62,0,204,826,396,151,33,94,10,22,90
AT_20703,Arriach,1167,329,8,0,80,83,95,30,3,12,5,4,9
AT_20705,Bad Bleiberg,1965,649,13,0,52,326,115,60,12,30,7,9,25
AT_20707,Feistritz an der Gail,530,225,11,0,76,67,40,11,4,9,2,0,5
AT_20708,Feld am See,965,346,14,0,58,82,110,39,5,22,2,2,12
AT_20710,Ferndorf,1865,765,24,0,56,295,211,75,10,43,6,9,36
AT_20711,Finkenstein am Faaker See,6913,2511,85,0,381,861,488,338,71,155,10,27,95
AT_20712,Fresach,1082,370,14,0,47,124,96,43,4,22,6,2,12
AT_20713,Hohenthurn,652,264,9,0,85,75,41,18,4,8,6,3,15
AT_20719,Nötsch im Gailtal,1872,635,19,0,117,216,131,69,10,29,0,2,42
AT_20720,Paternion,4789,1826,70,0,280,599,419,185,28,115,19,25,86
AT_20721,Rosegg,1522,505,17,0,88,122,124,83,13,27,5,9,17
AT_20722,Sankt Jakob im Rosental,3502,1234,31,0,145,548,205,142,20,68,5,25,45
AT_20723,Stockenboi,1379,600,16,0,140,191,144,42,10,18,5,5,29
