gisco_id,name,registered,turnout,invalid,blank,SPÖ,ÖVP,FPÖ,GRÜNE,NEOS,JETZT,GILT,FPS,KPÖ,WEIßE,SLP,EUAUS,M,CPÖ,NBZ,DU
AT_10913,Markt Neuhodis,560,445,3,0,182,144,96,2,6,11,1,0,0,0,0,0,0,0,0,0
AT_10914,Mischendorf,1376,1057,14,0,373,382,248,6,16,12,3,1,2,0,0,0,0,0,0,0
AT_10915,Oberdorf im Burgenland,843,664,6,0,248,173,210,3,8,9,1,0,5,1,0,0,0,0,0,0
AT_10916,Oberschützen,1897,1426,15,0,353,485,431,38,41,46,11,3,3,0,0,0,0,0,0,0
AT_10917,Oberwart,5650,3791,35,0,1171,1130,1063,83,142,113,29,7,14,4,0,0,0,0,0,0
AT_10918,Pinkafeld,4417,3104,32,0,948,744,1065,79,119,81,16,7,12,1,0,0,0,0,0,0
AT_10919,Rechnitz,2433,1752,29,0,607,452,584,13,32,31,2,0,2,0,0,0,0,0,0,0
AT_10920,Riedlingsdorf,1335,993,11,0,371,199,350,12,21,16,8,1,3,1,0,0,0,0,0,0
AT_10921,Rotenturm an der Pinka,1149,915,11,0,353,269,228,5,14,18,8,0,8,1,0,0,0,0,0,0
AT_10922,Schachendorf,564,451,3,0,106,204,96,14,11,11,1,0,5,0,0,0,0,0,0,0
AT_10923,Stadtschlaining,1646,1203,13,0,460,346,325,6,19,29,2,1,2,0,0,0,0,0,0,0
AT_10924,Unterkohlstätten,861,692,6,0,254,264,131,8,9,8,2,9,1,0,0,0,0,0,0,0
AT_10925,Unterwart,696,526,6,0,157,194,137,5,10,14,1,1,1,0,0,0,0,0,0,0
AT_10926,Weiden bei Rechnitz,695,543,2,0,143,208,153,10,9,13,1,1,3,0,0,0,0,0,0,0
AT_10927,Wiesfleck,967,749,3,0,204,256,245,4,8,14,12,0,2,1,0,0,0,0,0,0
AT_10928,Wolfau,1108,870,8,0,220,299,275,10,27,21,4,0,3,3,0,0,0,0,0,0
AT_10929,Neustift an der Lafnitz,643,519,6,0,167,133,171,5,22,9,6,0,0,0,0,0,0,0,0,0
AT_10930,Jabing,594,486,6,0,151,152,129,12,20,11,4,0,1,0,0,0,0,0,0,0
AT_10931,Badersdorf,244,200,5,0,57,88,46,0,0,3,1,0,0,0,0,0,0,0,0,0
AT_10932,Schandorf,215,157,1,0,68,54,31,0,2,1,0,0,0,0,0,0,0,0,0,0
AT_10999,Briefwahlkarten - Oberwart,0,3525,30,0,1176,1091,726,145,146,141,37,1,27,5,0,0,0,0,0,0
AT_1A099,Wahlkarten - Burgenland Nord,0,333,1,0,70,77,61,24,38,45,4,0,10,3,0,0,0,0,0,0
AT_1B099,Wahlkarten - Burgenland Süd,0,411,2,0,118,89,84,36,33,32,8,0,8,1,0,0,0,0,0,0
AT_20099,nichtzuordenbare Wahlkarten - Kärnten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_20101,Klagenfurt am Wörthersee,73972,48330,548,0,14320,12497,13257,1646,2570,2470,512,84,341,85,0,0,0,0,0,0
AT_20199,Briefwahlkarten - Klagenfurt(Stadt),0,7345,48,0,2126,2226,1311,462,524,475,79,9,64,21,0,0,0,0,0,0
AT_20201,Villach,44782,30317,361,0,9657,6696,9608,683,1378,1288,373,38,167,68,0,0,0,0,0,0
AT_20299,Briefwahlkarten - Villach(Stadt),0,3778,27,0,1270,987,715,231,259,196,46,6,29,12,0,0,0,0,0,0
AT_20302,Dellach,1022,705,13,0,180,283,178,10,24,10,2,2,2,1,0,0,0,0,0,0
AT_20305,Hermagor-Pressegger See,5487,3878,56,0,1227,1162,1065,71,132,120,19,6,15,5,0,0,0,0,0,0
