gisco_id,name,registered,turnout,invalid,blank,Eestimaa Ühendatud Vasakpartei,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Erakond Isamaa ja Res Publica Liit,Eesti Keskerakond,Eesti Konservatiivne Rahvaerakond,Eesti Reformierakond,Eesti Iseseisvuspartei,IMRE MÜRK,KRISTIINA OJULAND,KRISTA MULENOK,ROMAN UBAKIVI,TAIRA AASA,DMITRI SILBER,OLGA SÕTNIK,JEVGENI KRIŠTAFOVITŠ,LANCE GARETH EDWARD BOXALL,RENE KUULMANN,INDREK TARAND,TANEL TALVE,SVETLANA IVNITSKAJA,ANDRES INN,SILVER MEIKAR,JOERI WIERSMA
EE_0786,Tamsalu,2957,0,0,0,0,116,3,92,133,27,177,8,1,22,3,0,0,0,0,3,0,0,98,58,1,0,18,0
EE_0790,Tapa,4994,0,0,0,0,187,3,250,286,68,331,8,1,9,12,0,0,0,1,7,0,1,238,87,1,0,17,0
EE_0795,Tartu linn,68787,26725,135,0,15,4139,134,3989,3489,1055,7742,306,65,200,97,1,11,1,14,48,7,44,3490,668,9,6,1058,2
EE_0794,Tartu vald,5013,0,0,0,0,224,7,220,111,84,481,31,7,24,14,0,0,0,0,6,1,1,241,84,0,0,43,0
EE_0797,Tarvastu,2914,0,0,0,0,112,3,160,122,34,188,12,0,13,5,1,0,0,0,1,1,4,135,60,0,0,8,0
EE_0802,Toila,1799,0,0,0,0,88,4,93,126,25,161,13,0,22,4,0,0,0,1,0,0,1,114,30,0,0,6,0
EE_0805,Tootsi,667,0,0,0,0,57,0,21,58,4,55,1,0,3,2,0,0,0,0,1,0,0,20,15,0,0,1,0
EE_0807,Torgu,314,0,0,0,0,31,0,18,7,11,26,1,1,0,0,0,0,0,0,0,0,0,17,6,0,0,2,0
EE_0808,Tori,1894,0,0,0,0,80,2,68,77,18,135,17,0,3,5,0,0,0,0,0,0,0,105,29,1,0,6,0
EE_0810,Torma,1637,0,0,0,0,68,18,38,49,18,109,5,0,3,3,0,0,0,0,0,1,0,77,33,0,0,4,0
EE_0815,Tudulinna,379,0,0,0,0,20,1,24,20,4,40,2,0,3,0,0,0,0,0,0,0,0,26,3,0,0,0,0
EE_0831,Tähtvere,2061,0,0,0,0,98,2,127,64,32,229,9,2,2,7,0,0,0,0,0,1,1,96,33,0,0,22,0
EE_0820,Tõlliste,1341,0,0,0,0,68,0,32,84,13,83,9,1,6,2,0,0,0,0,1,0,3,72,12,2,1,4,0
EE_0823,Tõrva,2407,0,0,0,1,106,1,154,108,45,229,18,0,7,0,1,0,0,0,0,0,1,150,32,0,0,12,0
EE_0826,Tõstamaa,1145,0,0,0,0,62,1,44,45,12,81,9,0,5,2,0,0,0,0,0,0,0,84,12,0,0,6,0
EE_0835,Türi,8001,0,0,0,1,334,7,473,307,105,597,32,1,25,19,0,0,0,0,2,0,3,448,95,2,2,43,1
EE_0843,Urvaste,1061,0,0,0,0,83,0,21,18,20,46,10,0,4,1,0,0,0,0,0,0,0,39,20,0,0,7,0
EE_0851,Vaivara,714,0,0,0,0,49,0,16,76,2,21,1,0,1,0,0,1,0,0,3,0,1,17,5,0,0,2,0
EE_0854,Valga,8382,0,0,0,1,281,3,297,716,110,493,44,0,12,2,0,0,0,1,1,0,0,286,67,0,0,28,0
