gisco_id,name,registered,turnout,invalid,blank,Eesti Keskerakond,Indrek Tarand,Eesti Reformierakond,Erakond Isamaa ja Res Publica Liit,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Martin Helme,Eestimaa Rahvaliit,Dimitri Klenski,Eestimaa Ühendatud Vasakpartei,Libertas Eesti Erakond,Erakond Eesti Kristlikud Demokraadid,Vene Erakond Eestis,Põllumeeste Kogu,Juri Žuravljov,Märt Õigus,Taira Aasa
EE_0758,Suure-Jaani,0,0,0,0,253,454,264,170,145,57,44,49,0,1,8,4,1,5,0,0,1
EE_0767,Sõmerpalu,0,0,0,0,68,150,107,25,125,11,9,10,0,0,0,3,0,0,1,1,1
EE_0770,Sõmeru,0,0,0,0,144,297,153,86,61,20,24,19,3,0,4,1,1,0,0,0,0
EE_0773,Tabivere,0,0,0,0,81,133,78,32,35,13,9,116,0,0,2,1,0,2,2,0,0
EE_0776,Taebla,0,0,0,0,70,246,150,69,64,27,26,12,2,0,2,6,0,1,0,0,0
EE_0779,Taheva,0,0,0,0,43,66,12,22,18,9,1,26,0,0,0,0,0,1,0,0,1
EE_0848,Tahkuranna,0,0,0,0,64,252,92,54,53,11,28,10,0,0,5,0,0,1,0,0,1
EE_0784,Tallinn,246893,133530,0,0,42846,20550,13021,13305,6763,2353,2610,618,3484,836,731,397,453,88,264,68,93
EE_0786,Tamsalu,0,0,0,0,232,290,158,105,75,18,13,17,5,3,4,3,2,1,0,1,1
EE_0790,Tapa,0,0,0,0,537,506,249,168,158,39,21,23,15,8,8,12,2,0,6,3,2
EE_0795,Tartu linn,71698,30534,0,0,4169,6558,4292,3724,2724,1078,600,357,243,112,214,74,90,39,14,11,10
EE_0794,Tartu vald,0,0,0,0,133,414,315,162,151,56,30,96,2,8,9,1,1,2,0,0,1
EE_MA12,Tartumaa,38813,14735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0797,Tarvastu,0,0,0,0,180,348,148,82,85,31,18,71,0,1,5,3,3,6,1,1,0
EE_0802,Toila,0,0,0,0,136,188,117,78,62,30,28,11,7,3,4,6,2,2,3,0,0
EE_0805,Tootsi,0,0,0,0,74,76,48,15,13,4,6,3,1,0,0,0,1,1,0,0,0
EE_0807,Torgu,0,0,0,0,22,28,13,13,9,7,0,0,0,0,0,1,0,0,0,1,0
EE_0808,Tori,0,0,0,0,83,241,136,62,60,27,36,18,0,1,6,3,0,0,0,0,0
EE_0810,Torma,0,0,0,0,73,157,88,40,34,16,13,165,1,1,1,3,0,0,0,1,0
EE_0815,Tudulinna,0,0,0,0,12,54,32,12,12,0,5,10,1,0,0,0,0,0,0,0,0
EE_0831,Tähtvere,0,0,0,0,75,217,125,94,71,26,28,43,0,1,5,1,2,4,0,0,0
EE_0820,Tõlliste,0,0,0,0,88,110,49,15,64,7,6,22,0,0,1,5,0,0,0,0,0
EE_0823,Tõrva,0,0,0,0,166,295,178,87,94,20,21,37,0,1,2,3,1,2,1,1,0
EE_0826,Tõstamaa,0,0,0,0,33,154,41,25,57,6,8,9,2,1,2,0,0,3,0,0,0
EE_0835,Türi,0,0,0,0,419,859,446,338,232,59,87,77,1,5,13,10,0,5,0,1,5
EE_0843,Urvaste,0,0,0,0,62,66,40,27,60,7,3,5,1,0,0,3,0,1,0,0,0
EE_0851,Vaivara,0,0,0,0,194,16,18,17,6,3,1,11,10,7,1,0,5,0,2,0,1
EE_0854,Valga,0,0,0,0,1127,642,328,187,233,39,48,227,65,26,10,8,12,1,9,3,0
EE_MA13,Valgamaa,24935,8997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0856,Valgjärve,0,0,0,0,69,105,62,32,57,14,8,18,0,0,1,0,0,3,0,0,0
EE_0858,Valjala,0,0,0,0,50,82,49,58,47,9,8,14,0,0,2,9,0,1,0,1,2
EE_0861,Vara,0,0,0,0,92,115,77,42,51,9,8,21,0,18,1,0,2,2,1,0,1
EE_0863,Varbla,0,0,0,0,48,99,20,18,42,3,13,3,0,1,2,1,0,4,1,0,1
EE_0865,Varstu,0,0,0,0,38,67,28,28,78,4,5,4,1,0,4,0,0,4,0,0,0
EE_0868,Vasalemma,0,0,0,0,189,147,69,20,51,9,7,2,13,8,2,3,2,2,1,0,0
