gisco_id,name,registered,turnout,invalid,blank,PiS,PJN,SLD,Ruch PL,PSL,PPP,PO,Samoobrona,NP (2011),PR (2007),MN
PL_430601906,Szydłowo,6434,2713,209,0,424,72,223,356,272,21,1136,0,0,0,0
PL_430601907,Ujście,6406,2811,238,0,447,72,282,282,358,20,1112,0,0,0,0
PL_430601908,Wyrzysk,11089,4560,361,0,962,139,508,390,738,34,1428,0,0,0,0
PL_430601909,Wysoka,5293,2147,190,0,425,63,244,242,244,12,727,0,0,0,0
PL_430572001,Chocz,3762,1585,143,0,262,9,120,73,786,5,176,0,11,0,0
PL_430572002,Czermin,3832,1584,159,0,384,14,177,99,529,8,200,0,14,0,0
PL_430572003,Dobrzyca,6552,2569,242,0,468,33,252,258,681,21,591,0,23,0,0
PL_430572004,Gizałki,3624,1228,120,0,257,14,143,88,376,5,216,0,9,0,0
PL_430572005,Gołuchów,7986,3627,247,0,828,45,239,259,1260,17,686,0,46,0,0
PL_430572006,Pleszew,24149,10646,638,0,2327,142,1413,970,1250,51,3693,0,162,0,0
PL_430612101,Luboń,22566,13498,482,0,2528,285,926,1704,287,74,7212,0,0,0,0
PL_430612102,Puszczykowo,7968,5127,195,0,931,93,373,505,121,27,2882,0,0,0,0
PL_430612103,Buk,9458,4825,376,0,1041,99,334,493,513,37,1932,0,0,0,0
PL_430612104,Czerwonak,20246,11482,497,0,1859,289,944,1503,289,69,6032,0,0,0,0
PL_430612105,Dopiewo,13957,8376,425,0,1232,128,526,873,610,25,4557,0,0,0,0
PL_430612106,Kleszczewo,4628,2593,106,0,528,68,185,255,223,16,1212,0,0,0,0
PL_430612107,Komorniki,14932,8966,376,0,1343,168,647,990,248,50,5144,0,0,0,0
PL_430612108,Kostrzyn,13227,6273,421,0,1219,121,607,668,496,40,2701,0,0,0,0
PL_430612109,Kórnik,15883,8909,441,0,1654,182,745,960,620,65,4242,0,0,0,0
PL_430612110,Mosina,21801,11952,684,0,2336,221,1075,1355,489,84,5708,0,0,0,0
PL_430612111,Murowana Goślina,12823,6751,417,0,898,134,1110,848,229,45,3070,0,0,0,0
PL_430612112,Pobiedziska,14094,7441,495,0,1351,143,725,753,364,28,3582,0,0,0,0
PL_430612113,Rokietnica,9614,5358,191,0,789,115,320,570,277,17,3079,0,0,0,0
PL_430612114,Stęszew,11504,5332,423,0,889,101,407,574,839,18,2081,0,0,0,0
PL_430612115,Suchy Las,11007,7316,223,0,1220,127,630,754,178,34,4150,0,0,0,0
PL_430612116,Swarzędz,34004,19988,885,0,3383,743,1395,2033,646,85,10818,0,0,0,0
PL_430612117,Tarnowo Podgórne,16741,10404,366,0,1744,186,615,1027,340,33,6093,0,0,0,0
PL_430592201,Bojanowo,7002,2601,259,0,404,50,257,276,377,17,898,0,63,0,0
PL_430592202,Jutrosin,5504,1960,231,0,316,22,158,137,536,9,540,0,11,0,0
PL_430592203,Miejska Górka,7425,2720,362,0,515,29,221,201,528,11,821,0,32,0,0
PL_430592204,Pakosław,3579,1448,149,0,259,22,91,108,456,3,339,0,21,0,0
PL_430592205,Rawicz,24519,10905,795,0,1780,157,1251,1210,816,56,4642,0,198,0,0
PL_430582301,Słupca,11611,6123,268,0,1310,97,559,634,1475,25,1658,0,88,9,0
PL_430582302,Lądek,4637,1832,113,0,451,29,199,182,483,6,338,0,22,9,0
PL_430582303,Orchowo,3136,1261,128,0,280,8,132,147,262,4,288,0,10,2,0
PL_430582304,Ostrowite,4109,1549,141,0,395,15,132,98,376,5,336,0,48,3,0
PL_430582305,Powidz,1792,880,59,0,253,19,104,108,119,0,207,0,9,2,0
PL_430582306,Słupca,7297,2816,194,0,748,35,394,282,686,11,435,0,25,6,0
PL_430582307,Strzałkowo,7820,3469,292,0,759,63,318,383,727,18,796,0,49,64,0
PL_430582308,Zagórów,7170,2558,236,0,495,23,273,239,879,10,378,0,23,2,0
PL_430612401,Obrzycko,1869,833,60,0,172,15,78,90,42,8,368,0,0,0,0
PL_430612402,Duszniki,6654,3097,331,0,655,44,382,295,603,17,770,0,0,0,0
