gisco_id,name,registered,turnout,invalid,blank,KE,Razem,POLEXIT,JN,PiS,RPE,Wiosna,Konf,K’15,PO
PL_1005261531303,Moskorzew,2363,993,21,0,214,6,2,0,704,0,11,12,20,3
PL_1005261531304,Radków,2092,868,15,0,276,6,3,0,515,0,15,22,15,1
PL_1005261531305,Secemin,4050,1669,19,0,383,5,7,0,1136,0,38,45,33,3
PL_1005261531306,Włoszczowa,16121,7431,82,0,2172,29,11,0,4476,0,174,268,204,15
PL_1005261526101,Kielce,153718,81571,453,0,35451,645,176,0,33860,0,3806,3967,2706,498
PL_1004281560101,Bartoszyce,18704,7517,65,0,3384,101,0,0,2812,0,479,287,389,0
PL_1004281560102,Górowo Iławeckie,3285,1181,13,0,674,10,0,0,376,0,40,38,30,0
PL_1004281560103,Bartoszyce,8573,2567,38,0,793,31,0,0,1357,0,126,111,111,0
PL_1004281560104,Bisztynek,5104,1308,21,0,472,16,0,0,613,0,69,60,57,0
PL_1004281560105,Górowo Iławeckie,6538,1514,39,0,663,36,0,0,579,0,81,62,54,0
PL_1004281560106,Sępopol,5035,1349,20,0,494,18,0,0,651,0,71,40,55,0
PL_1004281540201,Braniewo,13382,5039,39,0,2397,62,0,0,1693,0,433,242,173,0
PL_1004281540202,Braniewo,4843,1282,13,0,467,17,0,0,620,0,78,50,37,0
PL_1004281540203,Frombork,3144,1032,14,0,458,20,0,0,357,0,106,43,34,0
PL_1004281540204,Lelkowo,2369,544,3,0,199,7,0,0,272,0,28,18,17,0
PL_1004281540205,Pieniężno,5208,1515,10,0,576,19,0,0,750,0,64,51,45,0
PL_1004281540206,Płoskinia,2033,549,4,0,191,15,0,0,254,0,37,25,23,0
PL_1004281540207,Wilczęta,2355,751,16,0,331,19,0,0,322,0,25,22,16,0
PL_1004281540301,Działdowo,16992,6763,42,0,2876,113,0,0,2876,0,389,237,230,0
PL_1004281540302,Działdowo,7413,2026,27,0,500,47,0,0,1193,0,101,74,84,0
PL_1004281540303,Iłowo-Osada,5625,1818,28,0,545,36,0,0,954,0,124,68,63,0
PL_1004281540304,Lidzbark,11419,3706,44,0,1116,63,0,0,2041,0,186,131,125,0
PL_1004281540305,Płośnica,4593,1515,19,0,391,27,0,0,885,0,75,51,67,0
PL_1004281540306,Rybno,5764,2128,23,0,504,48,0,0,1258,0,113,89,93,0
PL_1004281540401,Elbląg,5799,1846,14,0,752,33,0,0,731,0,165,79,72,0
PL_1004281540402,Godkowo,2537,656,8,0,168,5,0,0,408,0,31,20,16,0
PL_1004281540403,Gronowo Elbląskie,3941,1162,14,0,431,25,0,0,477,0,112,41,62,0
PL_1004281540404,Markusy,3179,862,18,0,246,14,0,0,449,0,66,38,31,0
PL_1004281540405,Milejewo,2719,919,6,0,309,8,0,0,445,0,67,44,40,0
PL_1004281540406,Młynary,3610,1126,11,0,444,19,0,0,486,0,70,54,42,0
PL_1004281540407,Pasłęk,15297,5175,54,0,2308,62,0,0,2035,0,355,199,162,0
PL_1004281540408,Rychliki,3062,737,7,0,289,17,0,0,337,0,35,28,24,0
PL_1004281540409,Tolkmicko,5215,1692,27,0,646,17,0,0,731,0,137,73,61,0
PL_1004281550501,Ełk,45758,17039,112,0,6951,232,0,0,7065,0,981,1089,607,0
PL_1004281550502,Ełk,8911,2668,19,0,996,29,0,0,1207,0,143,160,114,0
PL_1004281550503,Kalinowo,5358,1400,23,0,313,11,0,0,877,0,57,64,55,0
PL_1004281550504,Prostki,5670,1420,22,0,374,23,0,0,861,0,34,72,34,0
PL_1004281550505,Stare Juchy,3021,869,10,0,325,18,0,0,406,0,41,47,22,0
PL_1004281550601,Giżycko,23071,9418,66,0,4586,170,0,0,3028,0,749,494,325,0
PL_1004281550604,Giżycko,6821,2398,30,0,975,39,0,0,932,0,187,124,111,0
PL_1004281550605,Kruklanki,2557,851,12,0,410,14,0,0,283,0,56,37,39,0
PL_1004281550606,Miłki,3105,974,6,0,334,16,0,0,510,0,48,28,32,0
PL_1004281550608,Ryn,4734,1527,16,0,554,18,0,0,717,0,97,67,58,0
PL_1004281550610,Wydminy,5131,1642,24,0,576,20,0,0,772,0,94,92,64,0
PL_1004281540701,Iława,27050,11560,76,0,4691,174,0,0,4335,0,1406,493,380,0
PL_1004281540702,Lubawa,7613,3131,29,0,1088,65,0,0,1474,0,170,163,142,0
PL_1004281540703,Iława,9759,3248,29,0,1002,42,0,0,1620,0,290,146,119,0
PL_1004281540704,Kisielice,4793,1430,26,0,376,24,0,0,802,0,97,53,52,0
PL_1004281540705,Lubawa,8223,2902,47,0,578,47,0,0,1884,0,98,129,119,0
PL_1004281540706,Susz,9742,2868,43,0,888,77,0,0,1422,0,174,152,112,0
PL_1004281540707,Zalewo,5585,1513,30,0,570,19,0,0,710,0,90,48,46,0
PL_1004281560801,Kętrzyn,21772,8644,48,0,4113,114,0,0,3172,0,525,392,280,0
PL_1004281560802,Barciany,4953,1084,16,0,364,14,0,0,570,0,52,27,41,0
PL_1004281560803,Kętrzyn,6432,1866,32,0,677,52,0,0,801,0,96,94,114,0
PL_1004281560804,Korsze,8200,2161,22,0,721,41,0,0,1013,0,117,99,148,0
PL_1004281560805,Reszel,6317,2188,15,0,952,45,0,0,896,0,126,90,64,0
PL_1004281560806,Srokowo,3169,913,12,0,374,24,0,0,369,0,54,34,46,0
PL_1004281560901,Lidzbark Warmiński,12399,5451,55,0,3177,43,0,0,1584,0,216,215,161,0
PL_1004281560902,Kiwity,2712,850,17,0,301,10,0,0,424,0,26,53,19,0
PL_1004281560903,Lidzbark Warmiński,5403,1460,18,0,625,21,0,0,600,0,58,76,61,0
PL_1004281560904,Lubomino,2837,761,12,0,250,7,0,0,400,0,31,39,22,0
PL_1004281560905,Orneta,9605,3118,28,0,1274,46,0,0,1387,0,178,117,88,0
PL_1004281561001,Mrągowo,17475,7095,68,0,3245,85,0,0,2605,0,519,349,224,0
PL_1004281561002,Mikołajki,6688,2384,22,0,1084,34,0,0,948,0,130,86,80,0
PL_1004281561003,Mrągowo,6348,2085,21,0,812,38,0,0,900,0,144,96,74,0
PL_1004281561004,Piecki,6125,1956,20,0,618,25,0,0,1007,0,104,102,80,0
PL_1004281561005,Sorkwity,3785,1322,17,0,556,24,0,0,539,0,77,64,45,0
PL_1004281561101,Janowiec Kościelny,2576,849,17,0,185,13,0,0,563,0,23,26,22,0
PL_1004281561102,Janowo,2139,716,10,0,183,5,0,0,420,0,39,34,25,0
PL_1004281561103,Kozłowo,4665,1189,24,0,282,29,0,0,698,0,51,44,61,0
PL_1004281561104,Nidzica,16574,6086,52,0,2267,83,0,0,2859,0,325,272,226,0
PL_1004281541201,Nowe Miasto Lubawskie,8422,3436,43,0,1465,67,0,0,1354,0,227,142,138,0
PL_1004281541202,Biskupiec,7515,2485,30,0,771,47,0,0,1354,0,128,82,73,0
PL_1004281541203,Grodziczno,4966,1784,25,0,313,15,0,0,1248,0,62,53,68,0
PL_1004281541204,Kurzętnik,6915,2469,22,0,625,41,0,0,1467,0,106,96,112,0
PL_1004281541205,Nowe Miasto Lubawskie,6357,2172,44,0,595,34,0,0,1223,0,115,87,74,0
PL_1004281551303,Kowale Oleckie,3949,990,17,0,293,13,0,0,549,0,40,35,43,0
PL_1004281551304,Olecko,16799,5873,44,0,2111,87,0,0,2729,0,380,282,240,0
PL_1004281551305,Świętajno,3154,825,8,0,288,8,0,0,410,0,39,41,31,0
PL_1004281551306,Wieliczki,2641,804,6,0,165,3,0,0,513,0,23,62,32,0
PL_1004281561401,Barczewo,14265,5320,46,0,2389,78,0,0,1888,0,445,251,223,0
