gisco_id,name,registered,turnout,invalid,blank,PiS,PO,Razem,NN,PSL,ZL,K’15,.N,JOW,SPP,RS RP,ZdŚ,Samoobrona,SB!,KNP,MN,OdP
PL_212221011,Muszyna,9221,4662,159,0,2501,829,116,172,163,140,378,172,0,22,0,0,0,0,10,0,0
PL_212221012,Nawojowa,6194,3438,127,0,2327,316,59,113,101,49,253,70,0,17,0,0,0,0,6,0,0
PL_212221013,Piwniczna-Zdrój,8429,4010,126,0,2427,486,87,158,172,67,294,155,0,21,0,0,0,0,17,0,0
PL_212221014,Podegrodzie,9453,5363,174,0,3597,420,67,196,269,60,423,127,0,13,0,0,0,0,17,0,0
PL_212221015,Rytro,2975,1604,59,0,1037,158,32,69,50,22,118,40,0,8,0,0,0,0,11,0,0
PL_212221016,Stary Sącz,18029,10215,310,0,6401,1110,193,391,601,164,638,316,0,63,0,0,0,0,28,0,0
PL_212691101,Nowy Targ,26503,13189,310,0,5884,2765,375,658,382,549,1272,871,0,83,0,0,0,0,40,0,0
PL_212691102,Szczawnica,6129,2867,143,0,1140,653,69,147,105,84,231,268,0,17,0,0,0,0,10,0,0
PL_212691103,Czarny Dunajec,17002,6509,264,0,4209,771,101,206,266,63,438,130,0,26,0,0,0,0,35,0,0
PL_212691104,Czorsztyn,5854,2676,138,0,1202,557,72,139,171,58,223,97,0,14,0,0,0,0,5,0,0
PL_212691105,Jabłonka,13884,6737,254,0,4892,445,97,266,135,48,444,125,0,17,0,0,0,0,14,0,0
PL_212691106,Krościenko nad Dunajcem,5360,2644,120,0,1303,350,29,82,139,62,198,350,0,9,0,0,0,0,2,0,0
PL_212691107,Lipnica Wielka,4483,2200,89,0,1306,168,28,45,38,13,470,29,0,6,0,0,0,0,8,0,0
PL_212691108,Łapsze Niżne,7137,2844,102,0,1589,402,71,106,217,46,226,55,0,15,0,0,0,0,15,0,0
PL_212691109,Nowy Targ,18010,7939,365,0,4550,1113,137,314,477,113,541,281,0,27,0,0,0,0,21,0,0
PL_212691110,Ochotnica Dolna,6373,3092,126,0,2089,252,36,99,159,14,193,109,0,6,0,0,0,0,9,0,0
PL_212691111,Raba Wyżna,11206,5352,211,0,3555,542,115,160,108,102,365,156,0,22,0,0,0,0,16,0,0
PL_212691112,Rabka-Zdrój,13983,7549,200,0,4318,1212,212,264,127,222,562,381,0,42,0,0,0,0,9,0,0
PL_212691113,Spytkowice,3360,1550,59,0,988,133,26,66,41,23,155,43,0,13,0,0,0,0,3,0,0
PL_212691114,Szaflary,8299,3192,139,0,2102,329,61,118,89,26,215,88,0,20,0,0,0,0,5,0,0
PL_212231201,Bukowno,8580,4367,123,0,1480,960,172,271,54,573,443,273,0,0,0,0,0,10,8,0,0
PL_212231203,Bolesław,6581,3112,91,0,955,705,127,165,62,435,372,175,0,0,0,0,0,12,13,0,0
PL_212231204,Klucze,12517,6664,197,0,2102,1282,205,282,188,878,1162,346,0,0,0,0,0,12,10,0,0
PL_212231205,Olkusz,40118,22361,460,0,9538,4314,656,1236,490,1905,2310,1365,0,0,0,0,0,42,45,0,0
PL_212231206,Trzyciąż,5701,2691,103,0,1496,239,69,115,242,110,252,52,0,0,0,0,0,7,6,0,0
PL_212231207,Wolbrom,18852,9538,257,0,4526,1895,236,450,458,514,836,327,0,0,0,0,0,15,24,0,0
PL_212231301,Oświęcim,31737,18041,428,0,6424,5037,672,782,270,1667,1345,1416,0,0,0,0,0,0,0,0,0
PL_212231302,Brzeszcze,17357,10646,351,0,4791,2024,433,320,176,856,1183,512,0,0,0,0,0,0,0,0,0
PL_212231303,Chełmek,10425,5800,200,0,2234,1618,243,260,67,374,502,302,0,0,0,0,0,0,0,0,0
PL_212231304,Kęty,27013,15367,401,0,6894,3636,522,589,349,778,1272,926,0,0,0,0,0,0,0,0,0
PL_212231305,Osiek,6476,3485,180,0,1627,539,95,119,251,189,338,147,0,0,0,0,0,0,0,0,0
PL_212231306,Oświęcim,14596,8910,304,0,3834,1822,348,397,252,657,714,582,0,0,0,0,0,0,0,0,0
PL_212231307,Polanka Wielka,3414,1934,95,0,797,225,56,53,432,84,140,52,0,0,0,0,0,0,0,0,0
PL_212231308,Przeciszów,5439,2828,89,0,1267,565,105,111,163,171,225,132,0,0,0,0,0,0,0,0,0
PL_212231309,Zator,7531,4105,161,0,2100,846,113,170,132,173,268,142,0,0,0,0,0,0,0,0,0
PL_212201401,Koniusza,7024,2963,125,0,1300,296,65,103,434,124,433,70,0,0,0,0,0,4,9,0,0
PL_212201402,Koszyce,4646,1722,57,0,785,161,37,65,309,59,216,25,0,0,0,0,0,1,7,0,0
PL_212201403,Nowe Brzesko,4695,2171,79,0,1014,182,33,78,334,80,300,67,0,0,0,0,0,0,4,0,0
PL_212201404,Pałecznica,2879,1368,52,0,362,37,12,25,776,13,81,7,0,0,0,0,0,2,1,0,0
PL_212201405,Proszowice,13354,6033,157,0,2456,748,114,176,811,223,1176,146,0,0,0,0,0,11,15,0,0
PL_212201406,Radziemice,2769,1181,55,0,416,58,12,13,446,21,134,18,0,0,0,0,0,7,1,0,0
PL_212691501,Jordanów,4177,2267,71,0,1067,383,74,124,67,135,225,121,0,0,0,0,0,0,0,0,0
PL_212691502,Sucha Beskidzka,7711,4289,149,0,1658,1138,107,214,82,269,316,356,0,0,0,0,0,0,0,0,0
PL_212691503,Budzów,6663,3019,128,0,1768,277,79,157,229,65,218,98,0,0,0,0,0,0,0,0,0
PL_212691504,Bystra-Sidzina,5168,2414,111,0,1490,199,65,108,147,60,185,49,0,0,0,0,0,0,0,0,0
PL_212691505,Jordanów,8384,4254,149,0,2787,313,88,170,181,89,352,125,0,0,0,0,0,0,0,0,0
PL_212691506,Maków Podhalański,12981,6902,207,0,4010,1107,149,300,190,178,477,284,0,0,0,0,0,0,0,0,0
PL_212691507,Stryszawa,9556,5098,179,0,2852,748,119,211,205,223,346,215,0,0,0,0,0,0,0,0,0
PL_212691508,Zawoja,7199,3554,143,0,2085,500,73,130,89,98,312,124,0,0,0,0,0,0,0,0,0
PL_212691509,Zembrzyce,4481,2345,129,0,1133,334,40,95,280,65,172,97,0,0,0,0,0,0,0,0,0
PL_212241601,Ciężkowice,8938,4259,190,0,2353,388,92,151,508,117,333,107,0,0,0,0,0,11,9,0,0
PL_212241602,Gromnik,6825,3365,137,0,2195,197,74,121,239,39,298,44,0,0,0,0,0,16,5,0,0
PL_212241603,Lisia Góra,11425,5951,199,0,3523,659,97,197,428,105,523,191,0,0,0,0,0,11,18,0,0
PL_212241604,Pleśna,9392,4765,192,0,2582,532,101,173,421,112,501,126,0,0,0,0,0,11,14,0,0
PL_212241605,Radłów,7939,3724,175,0,2050,523,70,162,226,64,372,60,0,0,0,0,0,14,8,0,0
PL_212241606,Ryglice,9186,4202,180,0,2476,431,104,178,212,73,418,92,0,0,0,0,0,28,10,0,0
PL_212241607,Rzepiennik Strzyżewski,5335,2772,84,0,1782,184,66,79,228,50,239,47,0,0,0,0,0,9,4,0,0
PL_212241608,Skrzyszów,10908,5661,192,0,3190,679,128,248,257,145,594,191,0,0,0,0,0,18,19,0,0
PL_212241609,Tarnów,19758,11186,297,0,5948,1530,247,532,606,383,1027,540,0,0,0,0,0,48,28,0,0
PL_212241610,Tuchów,14221,7432,237,0,4437,859,160,311,408,168,631,185,0,0,0,0,0,20,16,0,0
PL_212241611,Wierzchosławice,8549,4672,175,0,2517,691,79,201,302,113,414,153,0,0,0,0,0,15,12,0,0
PL_212241612,Wietrzychowice,3268,1420,82,0,516,87,17,36,551,22,75,27,0,0,0,0,0,3,4,0,0
PL_212241613,Wojnicz,10559,5385,177,0,3040,664,110,253,278,123,526,179,0,0,0,0,0,26,9,0,0
PL_212241614,Zakliczyn,9688,4838,216,0,2716,695,111,155,333,160,341,92,0,0,0,0,0,8,11,0,0
PL_212241615,Żabno,15127,7432,255,0,4140,791,116,276,788,166,620,236,0,0,0,0,0,29,15,0,0
PL_212241616,Szerzyny,6377,3028,121,0,1798,269,41,89,400,32,233,36,0,0,0,0,0,6,3,0,0
PL_212691701,Zakopane,22804,12525,260,0,5275,3278,346,560,188,485,872,984,0,249,0,0,0,0,28,0,0
PL_212691702,Biały Dunajec,5512,2377,64,0,1549,262,41,96,126,13,160,40,0,14,0,0,0,0,12,0,0
PL_212691703,Bukowina Tatrzańska,10164,4884,146,0,3246,628,78,145,137,82,258,131,0,24,0,0,0,0,9,0,0
PL_212691704,Kościelisko,6653,3108,90,0,1763,542,69,126,65,61,263,101,0,17,0,0,0,0,11,0,0
PL_212691705,Poronin,8693,3894,124,0,2246,714,72,137,105,28,331,102,0,28,0,0,0,0,7,0,0
PL_212231801,Andrychów,34787,19655,582,0,9152,3864,728,731,445,952,2083,1118,0,0,0,0,0,0,0,0,0
PL_212231802,Brzeźnica,7999,3783,148,0,1881,696,123,143,150,159,273,210,0,0,0,0,0,0,0,0,0
PL_212231803,Kalwaria Zebrzydowska,15793,8119,250,0,3885,1785,193,327,293,229,703,454,0,0,0,0,0,0,0,0,0
PL_212231804,Lanckorona,4748,2204,109,0,1003,364,55,121,116,70,224,142,0,0,0,0,0,0,0,0,0
PL_212231805,Mucharz,3163,1722,43,0,887,246,36,60,143,75,134,98,0,0,0,0,0,0,0,0,0
PL_212231806,Spytkowice,8083,3981,180,0,2364,546,90,145,102,147,245,162,0,0,0,0,0,0,0,0,0
PL_212231807,Stryszów,5402,2690,140,0,1238,636,63,99,137,68,215,94,0,0,0,0,0,0,0,0,0
PL_212231808,Tomice,6051,3066,106,0,1424,571,109,128,195,116,280,137,0,0,0,0,0,0,0,0,0
