gisco_id,name,registered,turnout,invalid,blank,ΠΑ.ΣΟ.Κ.,Ν.Δ. (1974),ΛΑ.Ο.Σ.,Κ.Κ.Ε.,ΣΥ.ΡΙΖ.Α.,Ο.Π.,Κ.Ε.Κ.Α.,ΠΑ.Μ.ΜΕ.,Ο.Ε.,Ε.Ο. (1986),ΦΙ.ΣΥ.,Χ.Α.,Μ.-Λ. Κ.Κ.Ε.,ΑΝΤ.ΑΡ.ΣΥ.Α.,Ε.Κ.,Α.Σ.Κ.Ε.,Ε.Κ.Α.Δ.,Κ.Φ.,Ε.Ε.Κ.,ΕΛ.ΕΝ.,Ο.Τ.,Κ.Π.Σ.Κ.,Ο.Α.Κ.Κ.Ε.,Λ.Ε.Υ.Κ.Ο.,ΠΑ.ΝΑ.Κ,Κ.Ν.
EL_220704,Πολυδάμαντα,6860,4380,44,29,1894,1571,282,175,99,96,51,24,21,11,10,11,9,9,10,3,5,6,5,1,3,7,3,0,0,1
EL_220303,Βερδικούσσης,2357,1277,12,10,397,560,74,110,22,13,6,37,6,2,0,1,5,2,3,2,4,1,5,0,1,2,1,0,0,1
EL_220203,Λακέρειας,2236,1506,14,6,448,538,95,268,66,23,12,7,6,7,1,3,0,1,2,1,1,1,2,3,0,1,0,0,0,0
EL_220307,Ποταμιάς (Θεσσαλιας),5967,3700,51,20,1429,1511,161,242,63,90,27,12,6,21,4,7,10,9,5,4,7,1,5,5,0,5,2,0,0,3
EL_220102,Γιάννουλης,6699,4087,46,34,1484,1122,315,583,190,123,34,16,18,18,12,12,9,20,16,7,5,3,7,1,0,7,3,0,0,2
EL_220101,Λαρισαίων,90700,48503,677,561,15612,15017,3460,5333,2433,2218,346,587,398,285,416,195,150,221,165,43,41,43,50,20,26,160,27,0,1,18
EL_220308,Σαρανταπόρου,4471,2781,23,20,1064,958,92,367,90,65,13,16,15,4,4,8,8,10,5,1,7,0,2,1,2,4,2,0,0,0
EL_220503,Γόννων,4344,2551,32,19,801,883,135,370,103,62,7,14,15,7,8,26,7,17,11,8,7,1,5,1,4,3,5,0,0,0
EL_220305,Λιβαδίου,3507,2348,23,18,699,1111,67,209,88,50,2,25,9,9,5,3,9,7,4,1,0,0,5,0,1,1,1,0,0,1
EL_220601,Τυρνάβου,14827,8126,94,66,2738,2373,586,1293,380,177,54,53,37,37,45,31,46,33,17,19,10,7,17,3,3,1,4,0,0,2
EL_220301,Ελασσόνας,12620,7788,84,50,3076,2762,364,771,238,168,26,50,17,29,24,22,22,20,12,5,15,2,12,3,3,5,6,0,0,2
EL_220501,Μακρυχωρίου,3000,1897,26,20,619,744,100,215,56,32,12,10,11,6,5,8,5,4,4,2,4,1,1,0,1,4,1,5,0,1
EL_220701,Φαρσάλων,7917,4629,57,40,1847,1573,266,318,155,144,32,21,31,18,24,11,17,26,11,5,8,4,9,6,0,3,2,0,0,1
EL_220702,Ενιππέα,4730,3084,29,32,1289,1160,185,129,66,83,25,12,12,9,9,5,5,15,5,1,3,2,4,1,1,1,1,0,0,0
EL_220204,Μελιβοίας,3888,2250,25,12,962,720,96,232,52,48,14,9,12,10,8,4,11,7,7,4,3,3,4,2,1,1,3,0,0,0
