gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,SPI,JL,SJVP,ÖVR
SE_1480,Göteborg,373836,297341,148,4467,78679,13076,29981,19698,84693,25407,24694,7455,3701,2524,573,987,597,661
SE_1481,Mölndal,43645,36728,15,635,10030,2015,4190,2756,10801,2217,1982,1176,329,271,56,159,50,46
SE_1482,Kungälv,29369,25297,6,459,6516,1961,2173,2165,8192,1261,1116,863,173,146,24,127,70,45
SE_1484,Lysekil,11575,9455,4,182,1918,445,950,553,3975,510,432,233,47,45,41,73,39,8
SE_1485,Uddevalla,38448,31491,13,625,7139,1891,2311,2424,11987,1612,1436,1110,192,193,59,175,260,64
SE_1486,Strömstad,8151,6177,2,127,1322,832,590,382,2068,299,317,106,33,27,8,27,20,17
SE_1487,Vänersborg,28470,23380,7,456,4440,1945,1551,1722,9631,1357,1095,596,128,142,80,108,75,47
SE_1488,Trollhättan,39876,32721,16,566,6049,1801,2188,1762,15926,1733,1373,627,150,202,36,122,76,94
SE_1489,Alingsås,27732,23542,7,391,5249,1869,2240,2417,7297,1474,1541,550,148,151,48,116,19,25
SE_1490,Borås,75051,61324,29,1037,15297,3495,4342,4735,21911,3665,2544,1946,209,506,1048,359,107,94
SE_1491,Ulricehamn,17202,14313,5,293,3364,2060,798,1380,4296,560,587,406,49,75,332,65,22,21
SE_1492,Åmål,9823,7789,2,195,1395,846,385,485,3354,439,318,182,39,37,9,28,32,43
SE_1493,Mariestad,18476,15034,4,294,3485,999,719,1135,6204,898,565,438,57,73,31,94,18,20
SE_1494,Lidköping,29043,24354,5,448,5349,2102,1280,2094,9432,1524,1021,676,89,147,10,80,56,41
SE_1495,Skara,14271,11731,1,216,2936,1053,708,775,4427,557,477,346,63,65,2,76,8,21
SE_1496,Skövde,38481,31649,11,632,7885,2726,2089,2291,11625,1552,1240,939,154,245,40,156,30,34
SE_1497,Hjo,6896,5731,1,109,1442,514,333,565,1995,246,247,168,31,34,4,25,6,11
SE_1498,Tidaholm,9618,8051,3,149,1364,682,334,572,3850,440,235,261,30,68,7,30,6,20
SE_1499,Falköping,24077,19914,9,344,4389,2464,871,1887,7066,938,709,816,80,137,22,113,20,49
SE_1715,Kil,8903,7333,3,163,1504,787,433,464,2991,372,246,235,16,37,17,38,19,8
SE_1730,Eda,5725,4313,4,81,681,669,149,256,1917,205,87,138,4,29,8,74,7,4
SE_1737,Torsby,10204,8007,3,162,1675,918,253,304,3507,654,192,227,14,31,7,32,9,19
SE_1760,Storfors,3421,2800,0,39,429,232,99,125,1444,237,61,78,9,7,12,11,8,9
SE_1761,Hammarö,10733,9222,2,142,2265,510,637,597,3804,520,362,210,42,54,23,31,11,12
SE_1762,Munkfors,3144,2537,0,45,237,241,138,68,1391,227,60,79,12,14,3,12,4,6
SE_1763,Forshaga,8607,7164,2,129,1149,538,351,376,3598,398,217,255,14,50,14,46,16,11
SE_1764,Grums,7231,5689,0,98,913,529,184,302,2907,356,131,150,21,40,13,24,4,17
SE_1765,Årjäng,6867,5060,2,110,956,925,407,493,1579,230,116,144,6,13,2,70,4,3
SE_1766,Sunne,10476,8521,4,162,1979,1661,433,476,2858,329,271,205,21,28,13,49,14,18
SE_1780,Karlstad,65259,54541,19,968,13504,4020,4104,3504,19731,3199,2929,1218,306,354,394,197,29,65
SE_1781,Kristinehamn,18815,15410,9,270,3111,1294,972,839,6595,1105,547,380,50,59,47,46,48,38
SE_1782,Filipstad,8613,6669,1,117,917,384,273,228,3702,586,150,204,23,18,12,34,12,8
SE_1783,Hagfors,10566,8444,0,123,976,688,256,258,4644,922,148,306,11,36,9,31,14,22
SE_1784,Arvika,20133,15916,1,307,2890,1746,864,850,6497,1061,761,614,43,87,32,135,5,23
SE_1785,Säffle,12461,9960,3,191,2015,1666,508,683,3589,409,241,382,32,67,15,68,59,32
SE_1814,Lekeberg,5534,4625,0,106,852,776,219,451,1574,184,161,212,15,26,11,34,0,4
SE_1860,Laxå,4780,3867,1,67,513,290,162,304,2038,212,76,138,12,14,13,24,0,3
SE_1861,Hallsberg,11629,9769,4,197,1407,837,473,630,4695,569,336,436,33,41,16,78,2,15
SE_1862,Degerfors,7770,6397,0,95,615,341,201,329,3633,703,168,183,23,35,29,24,1,17
SE_1863,Hällefors,5803,4598,1,57,570,345,122,134,2610,390,124,161,21,31,9,20,0,3
SE_1864,Ljusnarsberg,4139,3156,0,37,453,321,97,118,1510,277,107,184,17,14,8,9,1,3
SE_1880,Örebro,98117,82077,28,1419,16950,5062,7006,6541,30623,4804,4849,2858,543,525,184,513,3,169
SE_1881,Kumla,14480,12255,7,237,1987,893,731,1066,5684,565,350,523,25,74,41,54,2,16
SE_1882,Askersund,9078,7504,1,132,1371,801,384,549,3238,399,259,273,30,24,15,15,0,13
SE_1883,Karlskoga,23667,19277,4,356,3747,793,898,1010,9341,1206,604,567,52,148,444,87,0,20
SE_1884,Nora,8009,6491,0,129,1180,572,425,393,2740,348,295,260,32,42,11,50,0,14
SE_1885,Lindesberg,17755,14439,1,273,2577,1750,622,765,6168,751,504,727,52,85,23,117,1,23
SE_1904,Skinnskatteberg,3554,2818,1,44,399,256,157,106,1347,254,95,82,21,11,18,11,3,13
SE_1907,Surahammar,7385,5782,0,118,813,271,335,238,3056,475,175,142,9,38,38,52,12,10
SE_1960,Kungsör,6234,5057,2,92,1161,539,302,280,1924,287,183,157,22,32,4,49,10,13
SE_1961,Hallstahammar,11076,8786,0,198,1375,458,507,620,4213,648,316,243,15,58,53,56,5,21
SE_1962,Norberg,4519,3597,0,90,573,233,158,117,1562,442,147,107,31,31,19,22,48,17
SE_1980,Västerås,99834,81556,30,1822,21280,4256,8066,4802,28626,4186,3907,1775,347,591,1044,395,48,381
SE_1981,Sala,16577,13421,7,314,3011,1872,824,854,4650,745,463,355,25,98,30,85,22,66
SE_1982,Fagersta,9417,7375,2,136,1291,322,372,334,3611,683,220,165,25,48,16,36,50,64
SE_1983,Köping,18870,14887,7,324,2897,1254,813,728,6572,966,486,490,58,93,43,91,14,51
SE_1984,Arboga,10340,8373,0,166,1733,725,542,423,3453,525,316,201,38,90,14,107,6,34
SE_2021,Vansbro,5515,4378,1,130,706,676,155,395,1663,316,98,123,17,19,14,28,35,2
SE_2023,Malung-Sälen,8263,6678,4,147,1721,769,411,243,2465,513,157,135,26,30,13,13,21,10
SE_2026,Gagnef,7597,6189,5,103,1107,990,249,443,2350,347,249,166,22,42,31,45,33,7
SE_2029,Leksand,12129,10052,5,213,2509,1333,489,1034,3080,474,478,151,61,59,42,59,45,20
SE_2031,Rättvik,8760,6918,2,140,1506,1038,385,371,2441,281,277,171,40,46,83,72,38,27
