gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,OVR
SE_1233,Vellinge,25952,14590,129,0,5316,660,2236,869,1470,152,1448,1699,341,206,64
SE_1286,Ystad,23344,10638,146,0,1935,1040,993,348,2460,365,1408,1326,404,164,49
SE_1277,Åstorp,10641,3967,74,0,458,256,238,195,1201,160,383,826,75,72,29
SE_1292,Ängelholm,31682,14672,245,0,2734,1052,1377,1001,2669,564,2168,1978,507,274,103
SE_1257,Örkelljunga,7394,3187,52,0,334,222,228,473,615,86,316,728,63,55,15
SE_1256,Östra Göinge,10528,4265,57,0,418,359,248,279,1250,216,405,837,121,39,36
SE_0127,Botkyrka,56956,25485,227,0,2860,827,2186,1457,7839,1934,4081,2185,1102,564,223
SE_0162,Danderyd,23675,16335,79,0,5937,869,3562,1393,806,193,1841,723,501,305,126
SE_0125,Ekerö,18926,11148,97,0,2482,649,1628,672,1431,380,2187,808,513,201,100
SE_0136,Haninge,56796,27410,319,0,4056,1076,2791,1121,6942,1712,4140,2787,1185,831,450
SE_0126,Huddinge,69453,35710,307,0,6004,1487,3869,1665,7659,2051,6450,3115,1819,927,357
SE_0123,Järfälla,49772,27036,244,0,4217,1018,3185,1681,6254,1695,4522,2314,1012,711,183
SE_0186,Lidingö,33676,21508,124,0,6448,1463,4412,1461,1577,463,3097,1059,907,356,141
SE_0182,Nacka,67459,41353,255,0,9087,2027,6235,2138,5521,1691,8518,2152,2439,925,365
SE_0188,Norrtälje,45597,21311,260,0,2901,1742,2416,985,4941,1171,3168,2235,859,443,190
SE_0140,Nykvarn,6886,3055,54,0,504,197,340,147,717,97,442,394,85,58,20
SE_0192,Nynäshamn,20184,9625,80,0,1221,489,1076,422,2402,594,1488,1139,412,205,97
SE_0128,Salem,11262,6122,61,0,1032,326,826,337,1151,284,1117,557,243,139,49
SE_0191,Sigtuna,30148,13844,152,0,2334,734,1610,784,3155,683,1866,1467,573,350,136
SE_0163,Sollentuna,48330,29031,240,0,6139,1583,4637,1988,4290,1264,4961,1660,1266,768,235
