gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,JL,SD,PP,FI,ÖVR
SE_0780,Växjö,62063,29622,575,0,5478,1893,3445,1540,6232,3217,3112,762,1047,1921,388,12
SE_0765,Älmhult,11820,4797,95,0,843,437,486,288,1289,258,368,134,272,272,54,1
SE_2506,Arjeplog,2520,974,16,0,66,43,77,27,330,165,52,96,25,74,3,0
SE_2505,Arvidsjaur,5381,2240,28,0,163,100,147,29,952,340,84,160,49,168,16,4
SE_2582,Boden,21722,9349,137,0,1213,250,719,310,3587,933,524,574,231,728,126,17
SE_2523,Gällivare,15002,4871,68,0,453,57,191,112,2062,838,210,351,111,366,39,13
SE_2583,Haparanda,6574,1882,34,0,262,170,83,68,731,135,90,127,23,142,16,1
SE_2510,Jokkmokk,4252,1604,31,0,107,40,92,30,616,226,145,142,29,125,21,0
SE_2514,Kalix,13471,5042,99,0,435,198,332,122,2428,409,332,308,88,261,24,6
SE_2584,Kiruna,17989,5757,86,0,391,98,244,188,2046,981,409,396,215,493,110,100
SE_2580,Luleå,57505,25619,420,0,3158,898,2079,789,8859,2334,2483,1119,370,2364,562,184
SE_2521,Pajala,5151,1739,30,0,124,67,57,88,655,413,61,115,28,71,19,11
SE_2581,Piteå,32379,14992,183,0,1136,578,882,580,6492,1356,914,1401,160,980,305,25
SE_2560,Älvsbyn,6675,2463,16,0,142,128,136,109,953,383,83,212,75,205,20,1
SE_2513,Överkalix,3024,1151,23,0,54,97,37,19,602,157,34,51,17,51,8,1
SE_2518,Övertorneå,3657,1277,26,0,119,214,49,58,459,161,50,60,21,55,4,1
SE_1280,Malmö,212650,91733,1601,0,19209,1762,12689,2016,20622,5150,10642,1397,5074,7161,4078,332
SE_1272,Bromölla,9432,3229,76,0,405,135,275,94,1149,217,164,67,355,238,47,7
SE_1278,Båstad,11562,5334,88,0,1913,450,892,229,595,84,437,93,198,242,109,4
SE_1293,Hässleholm,38394,15185,378,0,2619,1299,1564,1098,3500,553,1211,381,1398,934,241,9
SE_1276,Klippan,12301,4197,116,0,823,258,462,211,1149,138,236,93,319,329,49,14
SE_1290,Kristianstad,60094,24801,693,0,5046,1296,3354,1034,5648,878,2054,599,1993,1655,538,13
SE_1273,Osby,9731,3624,79,0,450,305,353,238,1053,165,243,88,406,206,37,1
SE_1275,Perstorp,5246,1741,56,0,292,123,192,53,521,88,72,33,142,155,14,0
SE_1291,Simrishamn,15743,6506,139,0,1529,461,968,201,1239,206,550,145,316,384,365,3
SE_1270,Tomelilla,9991,3380,85,0,620,388,368,77,741,93,283,67,313,224,115,6
SE_1277,Åstorp,10336,3449,90,0,627,163,292,113,1163,144,171,71,257,309,42,7
SE_1292,Ängelholm,30793,13333,344,0,4178,632,1764,575,2396,337,1124,293,646,803,233,8
SE_1257,Örkelljunga,7254,2669,72,0,501,167,345,363,537,56,147,54,228,164,30,5
SE_1256,Östra Göinge,10529,3898,125,0,550,276,331,233,1193,160,252,105,379,235,54,5
SE_1231,Burlöv,11616,4608,75,0,859,119,523,111,1410,194,355,98,426,332,97,9
SE_1261,Kävlinge,21115,9521,237,0,2321,560,1440,196,2198,262,630,220,645,678,119,15
SE_1262,Lomma,15397,8778,184,0,3002,352,1795,262,1186,127,655,218,330,489,165,13
SE_1281,Lund,83488,47631,847,0,8989,1977,8693,1338,7114,2386,7869,766,1457,4176,1915,104
SE_1265,Sjöbo,13985,4971,155,0,990,498,520,147,1086,160,328,128,528,343,78,10
SE_1264,Skurup,10978,4210,119,0,915,358,495,100,950,142,247,85,375,326,90,8
SE_1230,Staffanstorp,15920,7698,142,0,2120,378,1128,238,1715,147,527,162,429,554,153,5
SE_1263,Svedala,14265,5825,157,0,1361,318,826,139,1391,162,342,128,504,407,80,10
SE_1287,Trelleborg,31595,12238,322,0,2611,573,1482,368,3407,357,758,250,1191,753,150,16
SE_1233,Vellinge,24947,12635,198,0,5804,430,2403,381,1191,117,569,223,580,569,158,12
SE_1286,Ystad,22615,9214,224,0,2246,535,1255,218,2251,235,670,216,526,601,226,11
SE_1260,Bjuv,10430,3423,106,0,532,153,307,99,1229,116,162,83,326,270,35,5
SE_1285,Eslöv,23232,9104,265,0,1514,696,930,223,2653,311,719,220,762,694,109,8
SE_1283,Helsingborg,97771,41764,818,0,10177,1111,6223,1455,9314,1275,3582,871,2837,3106,931,64
