gisco_id,name,registered,turnout,invalid,blank,VVD,PvdA,D66,SP,CDA,PVV,GL,PvdD,50PLUS,CU-SGP,Artikel50,PPNL,AeuP,DG,Ikkiesvooreerlijk.eu,AeE,LDP,Jezus Leeft,IQ
NL_1894,Peel en Maas,34712,10643,14,56,1260,616,1044,971,2958,1993,303,285,856,60,55,71,36,18,16,7,7,12,5
NL_0765,Pekela,9919,3040,13,18,183,387,141,659,345,691,126,127,111,188,10,12,9,3,5,0,3,8,3
NL_1926,Pijnacker-Nootdorp,36547,15037,28,59,2395,1041,2765,1009,2462,2192,895,624,397,804,90,137,30,24,20,14,28,18,5
NL_0439,Purmerend,61906,18943,71,70,2191,2098,2707,2185,1567,3914,1146,1140,887,352,141,207,122,37,27,16,24,33,8
NL_0273,Putten,18284,8292,15,15,814,259,511,295,1878,908,185,167,192,2917,36,17,35,3,5,3,6,30,3
NL_0177,Raalte,28544,10661,20,41,1297,830,1226,779,4112,845,464,203,407,301,35,37,17,17,9,6,6,14,0
NL_0703,Reimerswaal,15418,7533,18,7,530,328,290,440,928,1053,72,157,205,3394,41,17,18,3,4,4,9,15,0
NL_0274,Renkum,25021,11974,29,23,1695,1138,2669,885,1590,1025,1264,653,355,424,51,61,26,28,10,15,10,20,3
NL_0339,Renswoude,3563,1544,2,7,192,36,84,57,381,173,30,25,42,498,3,5,3,0,0,0,3,5,0
NL_1667,Reusel-De Mierden,10030,2908,6,10,409,212,277,300,817,425,82,81,222,13,15,15,6,7,2,2,3,4,2
NL_0275,Rheden,34844,14508,27,38,1852,1580,2567,1772,1954,1619,1198,663,437,519,51,85,27,39,20,11,19,28,2
NL_0340,Rhenen,14489,6509,10,12,717,433,738,288,865,886,345,206,169,1721,27,32,13,8,8,0,11,20,0
NL_0597,Ridderkerk,36145,13566,33,38,1214,1029,1116,1088,1633,2560,307,611,476,3155,71,89,43,24,17,2,10,48,2
NL_0196,Rijnwaarden,8599,2499,5,7,244,247,254,294,490,514,92,105,179,21,9,16,9,8,2,2,2,2,0
NL_1742,Rijssen-Holten,27745,13324,18,15,908,642,662,489,3007,969,199,176,181,5920,43,36,18,5,4,3,3,25,3
NL_0603,Rijswijk,37240,14796,32,78,1836,1315,2594,1283,1658,2790,930,762,685,399,116,143,61,35,16,8,21,30,4
NL_1669,Roerdalen,16630,5813,12,38,519,545,524,559,1409,1346,195,224,303,42,21,24,13,10,16,4,4,8,0
NL_0957,Roermond,43910,13675,28,71,1492,1103,1832,1479,2379,2852,888,547,496,139,124,85,48,38,20,15,17,21,15
NL_1674,Roosendaal,58869,18739,54,62,2609,1401,2489,2194,2986,3803,838,713,943,241,91,132,47,31,28,14,24,28,11
NL_0599,Rotterdam,447511,126325,656,430,13023,13286,22184,14102,10760,23580,9807,6472,3006,5289,825,1470,332,327,166,121,166,258,65
NL_0277,Rozendaal,1134,721,0,3,213,41,156,28,100,50,52,27,24,17,2,5,2,2,0,0,0,0,0
NL_0840,Rucphen,18246,4914,6,10,660,213,347,376,820,1844,104,164,270,33,23,6,10,8,4,4,5,6,4
NL_NLZZSA,Saba,816,116,1,2,2,7,54,26,11,4,4,0,2,2,2,2,0,0,0,0,2,0,0
NL_0441,Schagen,35618,13758,26,36,2260,1447,2068,1344,2236,1611,732,670,794,200,86,103,41,36,14,10,19,19,6
NL_0458,Schermer,4197,1899,5,1,361,150,320,149,366,205,101,106,56,27,8,23,2,7,5,2,2,4,2
NL_0279,Scherpenzeel,6996,3450,10,4,336,135,242,103,625,436,68,69,74,1298,16,12,7,2,2,2,0,11,0
NL_0606,Schiedam,55775,17131,49,61,1557,1676,2407,2038,1787,4020,948,881,678,547,117,170,57,35,22,11,16,45,9
NL_0088,Schiermonnikoog,754,535,4,3,62,65,83,47,81,41,55,34,24,30,0,3,0,0,3,3,3,0,0
NL_0844,Schijndel,18360,5539,13,17,637,435,640,789,1240,867,235,198,344,20,26,32,8,9,13,4,2,9,2
NL_0962,Schinnen,10517,4160,10,19,398,280,577,429,1025,726,193,165,214,42,20,19,10,14,4,2,5,4,4
NL_0608,Schoonhoven,9123,4068,11,14,523,317,616,332,598,490,219,187,155,525,15,19,14,10,2,0,6,15,0
NL_1676,Schouwen-Duiveland,27044,11859,25,18,1825,800,1144,1147,1849,1448,391,478,354,2201,35,50,23,12,13,12,18,13,3
NL_0518,s-Gravenhage,368990,137435,419,450,18268,13418,31066,10335,11514,21179,11763,7073,3626,4022,913,1443,316,458,505,105,245,270,47
