gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,SP,D66,PVV,CDA,GL,PvdD,CU,50PLUS,SGP,MenS,PPNL,DPK,PvdT,LP,NL,LibDem,AeuP,NXD
NL_0376,Blaricum,7052,5872,9,13,986,2819,332,557,351,382,70,116,66,120,23,9,7,2,4,2,2,3,2,0
NL_0377,Bloemendaal,16736,14335,25,14,2329,6616,522,2023,574,1088,383,316,147,192,31,32,29,2,6,4,0,2,2,0
NL_0055,Boarnsterhim,14836,11947,15,19,4674,3020,993,771,620,1086,174,150,170,128,34,41,23,8,6,7,5,2,2,0
NL_1901,Bodegraven-Reeuwijk,24734,19964,29,30,2721,7163,865,1245,1627,2386,346,273,1256,298,1600,26,44,21,12,7,4,2,9,0
NL_0755,Boekel,7496,5597,10,9,829,1713,954,324,539,891,60,74,17,132,3,8,14,3,12,3,3,3,0,0
NL_NLZZBO,Bonaire,10336,2565,58,358,514,448,121,247,70,415,44,59,111,50,9,0,0,4,0,7,13,0,37,0
NL_1681,Borger-Odoorn,20466,15950,25,15,5589,3694,1619,765,1381,1317,248,268,571,231,90,48,47,14,16,3,3,0,6,0
NL_0147,Borne,16617,13015,21,12,3156,3255,1363,978,1031,2433,189,114,159,193,17,33,34,16,4,3,4,0,0,0
NL_0654,Borsele,17116,13332,28,19,2509,3114,1129,616,1240,1502,198,210,396,168,2113,24,25,9,13,5,8,6,0,0
NL_0499,Boskoop,11186,9075,8,14,1486,3278,495,659,791,977,167,159,442,156,357,23,22,12,13,2,3,6,5,0
NL_0756,Boxmeer,21869,18014,27,28,2647,4385,5708,1014,1260,2156,231,159,77,230,15,18,30,6,9,10,0,2,2,0
NL_0757,Boxtel,23181,17077,40,24,4137,4422,2697,1444,1535,1531,357,246,100,406,15,26,61,4,20,5,4,2,2,0
NL_0758,Breda,135080,97618,220,196,23102,29766,11125,10524,8790,6311,2315,1780,627,1841,136,251,411,60,76,39,13,26,9,0
NL_0501,Brielle,12807,9642,17,29,1894,3418,919,624,1343,615,133,199,114,234,34,13,22,7,15,3,2,2,5,0
NL_1876,Bronckhorst,29487,23121,32,26,5711,7029,2093,1606,1584,3304,370,331,414,308,192,58,29,10,13,4,2,4,2,0
NL_0213,Brummen,16681,12665,23,11,3892,3525,1184,951,1146,954,252,221,169,208,40,34,26,9,7,6,3,3,3,0
NL_0899,Brunssum,23352,15789,25,49,3820,2410,2710,679,3784,1070,201,324,194,371,18,40,40,18,18,5,6,3,4,0
NL_0312,Bunnik,11075,9346,15,11,1980,2931,522,1084,539,1052,472,166,207,173,133,21,22,5,9,3,0,3,0,0
NL_0313,Bunschoten,14908,11943,28,15,772,3364,304,203,934,1772,38,72,3399,102,887,12,14,12,11,2,0,2,2,0
NL_0214,Buren,19935,15688,21,18,3183,5559,914,1016,1948,1046,209,277,360,275,780,13,34,5,21,5,2,2,2,0
NL_0381,Bussum,24138,19095,34,18,3836,7555,1043,2460,1177,1142,494,504,285,317,78,43,69,11,10,7,5,6,5,0
NL_0502,Capelle aan den IJssel,50298,35132,93,55,8248,9279,2835,2277,4693,1778,484,875,1400,890,1940,80,116,28,23,15,9,8,6,0
NL_0383,Castricum,26957,22373,30,18,5232,7729,1760,2190,1417,1986,660,506,166,408,32,67,70,18,16,6,58,2,2,0
NL_0109,Coevorden,27949,21480,36,34,6681,5860,1846,1091,1879,2463,294,268,476,298,127,40,39,14,18,7,4,4,4,0
NL_1706,Cranendonck,15823,11750,19,23,2093,3559,1673,691,1550,1409,127,147,38,320,17,12,37,13,15,2,3,2,0,0
NL_0611,Cromstrijen,10094,7966,7,7,1653,2642,509,453,873,636,84,168,249,142,497,10,11,4,10,6,0,2,3,0
NL_1684,Cuijk,18718,14006,27,33,3015,3478,3149,939,1238,1379,222,161,40,227,6,19,34,11,15,8,3,2,0,0
NL_0216,Culemborg,20477,15707,32,19,4157,4308,1281,1353,1662,995,631,332,341,297,161,47,52,8,17,4,6,3,3,0
NL_0148,Dalfsen,20967,17109,24,22,3315,4513,1231,916,968,3361,225,157,1667,218,406,17,27,9,17,7,5,3,3,0
NL_1891,Dantumadiel,14917,11216,19,9,3112,1350,1105,278,972,2163,94,113,1188,95,669,11,21,4,8,2,0,2,2,0
NL_0310,De Bilt,32359,26750,36,51,5398,8799,1731,3163,1713,1988,975,598,822,472,827,68,71,8,14,8,4,3,3,0
NL_1663,De Marne,8190,6317,6,5,1939,1095,758,281,465,753,190,159,470,88,65,11,13,5,4,2,2,0,7,0
NL_0736,De Ronde Venen,32445,26094,33,23,3866,11677,1160,2151,2134,2371,479,388,744,499,387,46,67,22,20,10,6,6,5,0
NL_1690,De Wolden,18568,14955,25,12,3473,5138,922,973,1038,1994,273,234,483,162,127,34,30,15,7,8,4,2,2,0
NL_0503,Delft,72855,55129,157,163,14692,11941,4617,8353,5088,2994,2402,1322,1459,995,320,114,384,27,34,37,12,8,10,0
NL_0010,Delfzijl,20633,14196,40,38,5214,2479,1695,508,1420,1235,156,258,723,260,65,14,58,7,9,8,3,2,4,0
NL_0400,Den Helder,44894,30235,61,49,6515,9202,2809,1601,4319,1987,381,736,1014,1021,233,62,120,40,41,9,19,5,11,0
NL_0762,Deurne,24778,17995,23,46,3148,5773,2742,1070,1920,2320,204,180,61,368,19,32,43,12,14,16,3,3,0,0
NL_0150,Deventer,73400,55246,125,77,18761,11759,5603,5314,4177,3850,1822,1032,1285,856,148,112,186,42,40,18,9,16,14,0
NL_0384,Diemen,18415,13360,42,25,4027,3520,1244,1229,1316,511,447,352,159,341,14,19,60,17,17,10,3,4,3,0
NL_1774,Dinkelland,19745,16120,28,19,2540,5193,1234,883,1294,4195,133,125,90,273,26,19,22,14,3,3,25,0,3,0
NL_0504,Dirksland,6409,5026,10,5,745,1151,327,113,566,426,33,56,351,73,1131,10,12,7,7,0,0,2,2,0
NL_0221,Doesburg,9166,6772,9,7,2109,1385,1055,507,656,493,135,127,114,92,22,15,22,4,8,5,2,2,4,0
NL_0222,Doetinchem,43619,32618,44,36,10212,7719,3714,2440,2913,2796,642,528,606,434,337,58,76,20,18,4,8,4,9,0
NL_0766,Dongen,19581,14346,19,26,3355,4232,1832,1054,1496,1348,172,218,157,302,38,20,24,18,18,6,5,4,2,0
NL_0058,Dongeradeel,18708,14221,29,17,3687,2156,1453,588,1036,3244,173,183,1209,142,206,33,24,15,12,7,3,3,3,0
NL_0505,Dordrecht,88544,62254,177,110,16452,14095,6071,4144,7788,3817,1418,1576,2800,1364,1967,104,203,49,48,34,4,18,15,0
NL_0498,Drechterland,14690,11491,26,10,2134,4448,868,775,994,1163,217,210,78,447,17,17,43,18,16,2,4,3,2,0
NL_1719,Drimmelen,21043,15372,28,23,3091,5014,1814,1093,1820,1359,229,243,95,422,29,32,44,10,18,3,0,2,3,0
NL_0303,Dronten,29448,23119,52,24,3939,8302,1630,1366,2133,2633,369,320,1469,429,289,55,52,24,12,5,5,3,8,0
NL_0225,Druten,13829,10275,18,12,2543,3099,1427,718,1065,839,120,140,42,199,9,8,18,5,9,0,2,2,2,0
NL_0226,Duiven,19288,14805,31,14,3825,4445,1636,1087,1412,1268,265,194,204,313,29,25,24,9,14,2,4,3,2,0
NL_1711,Echt-Susteren,25793,18765,33,64,3508,3819,2509,958,4111,2470,271,364,98,381,10,58,57,22,12,10,3,6,3,0
NL_0385,Edam-Volendam,21866,16838,22,33,1877,7270,729,667,2826,2359,216,225,79,381,29,37,36,19,6,13,6,5,3,0
NL_0228,Ede,81682,65026,100,62,10068,17603,3429,4003,4827,7190,1237,882,6258,974,8055,86,131,33,53,16,5,6,8,0
NL_0317,Eemnes,6569,5404,5,10,1004,2140,353,445,463,460,79,122,134,99,52,3,22,4,3,4,3,3,0,0
NL_1651,Eemsmond,12584,9796,16,12,3256,1560,1220,347,601,1134,195,188,920,135,135,21,25,8,7,9,3,2,2,0
NL_0770,Eersel,14337,10968,16,22,1859,3557,1360,861,915,1665,170,137,46,272,12,21,17,18,6,7,2,4,2,0
NL_1903,Eijsden-Margraten,19766,14993,33,41,3357,3884,1598,1147,1927,1952,339,242,57,295,14,47,31,10,6,3,4,4,2,0
NL_0772,Eindhoven,160708,111180,275,282,29058,24988,15718,11782,10933,6539,3183,2141,1336,3447,178,237,610,100,151,67,92,44,19,0
NL_0230,Elburg,16904,13547,31,14,1566,3087,818,404,941,1824,128,118,2222,163,2179,17,9,5,7,3,9,3,3,0
NL_0114,Emmen,84851,61090,113,59,22983,10758,6803,2646,6878,5833,742,822,1716,979,252,125,186,38,67,44,14,8,24,0
NL_0388,Enkhuizen,14057,10702,21,15,2854,2881,1080,767,1107,690,215,262,240,329,148,21,40,3,15,2,5,2,6,0
NL_0153,Enschede,118768,82328,210,188,25421,16035,9710,7172,8473,6460,1759,1450,3011,1302,323,144,459,57,64,41,15,14,20,0
NL_0232,Epe,25568,20006,32,23,5005,5663,1373,1175,1819,2163,269,301,973,319,792,33,28,10,16,0,5,6,5,0
NL_0233,Ermelo,20361,16289,31,22,2322,4544,962,877,1105,2484,272,265,1895,253,1154,35,28,9,15,5,0,4,7,0
NL_0777,Etten-Leur,32122,23060,45,32,5214,7070,2786,1525,2830,1891,340,346,171,590,34,39,66,16,37,12,9,4,3,0
NL_1722,Ferwerderadiel,6722,4957,4,6,1346,812,514,182,378,1122,66,66,325,69,30,11,11,7,5,0,2,0,2,0
NL_0070,Franekeradeel,15757,11879,24,13,3715,2415,1190,561,865,1930,211,193,475,144,59,34,19,9,13,2,2,3,2,0
NL_0653,Gaasterlan-Sleat,8007,6405,8,15,1450,1610,536,314,403,1364,129,100,193,72,166,10,11,9,6,5,3,0,3,0
NL_0779,Geertruidenberg,16831,11967,16,24,2615,3572,1539,654,1668,961,156,182,85,340,40,26,37,14,11,17,6,3,3,0
NL_0236,Geldermalsen,19664,15963,23,14,2866,5511,824,972,1714,1275,254,207,345,296,1549,13,56,12,13,4,4,8,3,0
NL_1771,Geldrop-Mierlo,29808,21950,31,47,4777,5629,3420,1726,2556,1978,456,378,184,584,18,36,78,8,23,9,2,6,4,0
NL_1652,Gemert-Bakel,22338,16439,34,39,2794,4719,2912,936,1871,2203,194,208,47,376,10,27,30,16,7,12,3,0,3,0
NL_0907,Gennep,13551,9908,12,21,1925,2475,2451,602,968,917,137,134,37,156,8,24,17,11,3,4,0,3,3,0
NL_0689,Giessenlanden,10978,9186,12,4,1648,2900,484,424,677,1132,108,116,937,109,590,13,14,5,7,3,3,3,3,0
NL_0784,Gilze en Rijen,19611,14719,26,16,3419,4256,1834,1036,1714,1277,221,225,59,501,14,36,39,14,13,7,5,4,3,0
NL_0511,Goedereede,8770,7294,10,7,864,1980,351,213,657,638,41,92,520,93,1795,11,14,3,2,0,2,0,2,0
NL_0664,Goes,28959,21640,36,42,5417,5110,2156,1334,1692,2084,461,375,976,323,1472,38,53,26,14,10,7,7,7,0
NL_0785,Goirle,17862,13716,17,20,3241,4041,1879,1174,1244,1115,252,209,54,368,9,25,33,9,13,3,3,3,4,0
NL_0512,Gorinchem,26027,19068,39,37,5217,4950,1767,1345,1893,1188,385,376,931,334,461,36,67,10,18,4,4,2,4,0
NL_0513,Gouda,52854,40425,105,91,10515,8831,3202,3547,4245,2609,1197,917,2154,760,1919,61,141,49,26,22,20,7,7,0
NL_0693,Graafstroom,7094,5959,7,5,520,1317,221,150,321,1069,45,55,931,57,1237,6,9,3,6,0,0,0,0,0
NL_0365,Graft-De Rijp,4958,4082,15,4,832,1599,344,305,310,369,72,102,16,75,3,6,16,5,4,3,0,2,0,0
NL_0786,Grave,9533,7334,13,9,1432,2113,1326,515,742,696,105,116,41,148,2,14,28,16,8,6,2,2,2,0
NL_0241,Groesbeek,15278,11563,30,19,2962,2495,1853,788,1384,1158,296,251,52,189,17,16,31,4,6,4,2,3,3,0
NL_0014,Groningen,153080,118092,225,282,42889,19384,14086,15343,5392,4719,5403,2822,4759,973,508,279,733,37,73,101,26,40,18,0
NL_0015,Grootegast,9183,6905,4,15,1490,1339,579,263,574,1405,95,85,786,67,148,12,15,4,6,6,11,0,4,0
NL_1729,Gulpen-Wittem,11867,9508,17,21,2030,2124,1290,549,1465,1197,181,199,77,244,30,38,20,8,4,3,6,3,2,0
NL_0158,Haaksbergen,18821,14623,20,23,3317,4189,1362,910,1308,2514,173,151,107,317,20,29,28,17,15,8,108,5,2,0
NL_0788,Haaren,10615,7997,10,19,1463,2658,932,599,624,1145,163,139,39,151,4,16,16,5,4,2,4,3,2,0
NL_0392,Haarlem,114425,86365,199,185,26212,19972,8029,10735,6890,3972,3440,2811,1174,1740,190,274,319,58,70,39,12,26,18,0
NL_0393,Haarlemmerliede en Spaarnwoude,4226,3427,2,2,627,1317,222,310,346,296,71,77,37,80,10,8,10,4,2,2,2,2,2,0
NL_0394,Haarlemmermeer,104745,80745,218,134,15994,31915,4859,6146,8561,5038,1315,1768,1661,1896,579,147,236,95,77,49,9,35,13,0
NL_1655,Halderberge,22957,16186,41,21,3245,4928,1912,937,2396,1483,172,229,90,533,26,31,80,22,21,5,6,5,7,0
NL_0160,Hardenberg,45192,35293,52,46,7276,7992,2783,1398,2735,6348,353,340,4610,498,648,53,78,30,28,4,8,6,7,0
NL_0243,Harderwijk,34056,26539,64,31,4787,7886,1642,1598,2196,3356,476,442,2701,429,738,43,75,18,28,10,5,8,6,0
NL_0523,Hardinxveld-Giessendam,13246,10821,20,12,1549,2179,479,265,825,1030,70,91,1850,131,2267,9,16,10,9,2,3,2,3,0
NL_0017,Haren,14461,12355,18,10,3422,3381,806,1498,407,1091,528,237,629,129,80,22,31,5,6,3,48,2,2,0
NL_0395,Harenkarspel,12011,9211,13,21,1796,3509,721,669,730,1008,201,181,75,189,8,34,29,12,9,3,3,0,0,0
NL_0072,Harlingen,12292,9116,21,10,3027,2008,1005,414,832,795,174,191,335,160,52,18,42,13,8,5,0,4,2,0
NL_0244,Hattem,9059,7348,22,7,1837,1526,503,454,410,921,121,67,1172,80,191,9,9,8,7,3,0,0,3,0
NL_0396,Heemskerk,29989,22549,58,38,5866,6334,2235,1601,2425,1782,477,548,290,628,39,35,87,20,31,14,28,6,7,0
NL_0397,Heemstede,19934,16766,32,18,3135,7012,769,2337,767,1248,421,388,187,302,35,36,42,11,7,2,2,12,3,0
NL_0246,Heerde,14396,11248,23,13,2495,2527,720,502,860,1620,106,166,1691,130,356,9,13,3,7,3,0,3,5,0
NL_0074,Heerenveen,33775,25545,48,37,9774,5358,2457,1557,1751,2251,467,432,832,285,80,50,52,17,20,17,40,4,16,0
NL_0398,Heerhugowaard,38868,28749,74,35,7058,9253,2833,2041,2809,1979,542,582,510,639,68,93,114,44,37,14,10,7,7,0
NL_0917,Heerlen,70744,46644,137,141,11387,7184,9922,2316,9005,2908,734,1027,357,971,55,143,202,41,56,22,5,8,23,0
NL_1658,Heeze-Leende,12099,9474,13,15,1584,3245,1202,818,715,1305,172,119,41,184,4,15,16,10,9,0,0,7,0,0
NL_0399,Heiloo,17554,14482,21,12,3423,5117,905,1543,805,1250,457,334,156,298,27,29,47,10,18,8,12,8,2,0
NL_0163,Hellendoorn,27729,21959,38,30,4505,5021,2154,1189,1665,5056,250,224,1177,344,191,23,34,22,19,5,5,3,4,0
NL_0530,Hellevoetsluis,30323,21627,40,41,4908,6898,2011,1110,3819,809,275,522,311,606,67,47,73,32,24,15,5,6,8,0
NL_0794,Helmond,64525,43246,139,108,9696,11264,7201,2573,6570,2798,628,651,209,999,31,56,134,54,58,22,35,12,8,0
NL_0531,Hendrik-Ido-Ambacht,21172,16659,39,16,2895,4883,943,735,1815,1281,170,236,968,282,2300,22,38,15,5,7,2,6,2,0
NL_0164,Hengelo,61689,46670,118,90,13219,10243,6222,3561,4009,5251,854,743,1078,797,125,83,170,34,29,18,8,10,8,0
NL_0063,het Bildt,7941,5939,19,10,1929,1134,624,230,443,1023,86,103,203,45,28,10,30,13,6,2,0,0,2,0
NL_0252,Heumen,12563,10296,11,21,2550,2866,1265,1052,665,1161,300,153,49,140,5,17,22,3,6,4,0,3,3,0
NL_0797,Heusden,33171,24681,63,37,4737,7910,2993,1815,2949,2404,314,400,206,599,45,57,71,28,26,9,8,5,5,0
NL_0534,Hillegom,15872,12279,30,11,2316,4593,828,973,1362,973,237,314,134,318,88,26,32,13,13,7,3,5,3,0
NL_0798,Hilvarenbeek,11756,9215,17,14,1813,3069,1119,704,601,1258,182,143,37,190,5,15,22,6,14,4,4,4,0,0
NL_0402,Hilversum,64078,48625,92,81,12139,14110,4028,5555,4191,2788,1441,1299,1152,959,327,122,224,27,35,16,7,16,16,0
NL_1735,Hof van Twente,27545,21997,33,33,5123,7180,1706,1454,1608,3631,283,206,251,307,63,22,39,25,18,7,5,2,2,0
NL_1911,Hollands Kroon,36417,27295,53,44,5729,9944,2280,1587,2980,2337,397,455,460,719,76,50,88,37,24,17,7,5,6,0
NL_0118,Hoogeveen,42406,31428,49,65,7959,6611,3114,1234,3252,4821,380,340,2382,431,597,26,92,18,20,13,5,6,13,0
NL_0018,Hoogezand-Sappemeer,26932,18943,41,24,7598,3082,2517,877,1894,1016,302,355,740,278,76,32,56,13,22,4,9,4,6,0
NL_0405,Hoorn,52448,39246,90,72,10827,10981,4169,3018,3805,2206,887,1017,456,1243,90,88,169,32,49,21,9,12,5,0
NL_1507,Horst aan de Maas,31991,23876,37,70,3868,6585,3682,1657,2839,3750,367,276,103,446,22,48,68,22,19,7,2,6,2,0
NL_0321,Houten,35441,28884,31,34,6119,9003,1905,2887,2264,2334,898,510,1551,474,693,43,93,11,17,10,2,2,4,0
NL_0406,Huizen,31926,24902,28,24,4840,8677,1481,2072,2050,2142,459,524,1342,501,608,40,65,14,12,11,3,6,3,0
NL_0677,Hulst,20295,14384,24,14,3721,3921,1683,644,1953,1458,168,245,94,271,28,22,36,20,12,6,53,10,6,0
NL_0353,IJsselstein,25224,19359,41,26,4382,6649,1460,1495,2023,1507,334,311,404,408,205,28,45,7,18,5,4,3,4,0
NL_1884,Kaag en Braassem,19783,16051,22,27,2524,6402,915,1342,1688,1832,287,273,173,377,67,19,48,20,22,5,4,4,0,0
NL_0166,Kampen,37562,29959,39,38,5953,5346,2492,1191,2153,3785,462,317,4415,337,3274,36,61,12,21,3,16,4,4,0
NL_0678,Kapelle,9316,7639,3,7,1386,2000,610,356,562,928,86,105,445,97,1004,13,5,8,3,2,14,5,0,0
NL_0537,Katwijk,46458,34924,39,44,4279,9948,1769,1360,3620,5236,291,502,3437,599,3549,44,104,28,35,16,7,8,9,0
NL_0928,Kerkrade,36079,23159,50,68,5911,3255,3944,853,5874,1539,284,536,78,503,19,75,92,23,24,15,3,5,8,0
NL_1598,Koggenland,16904,13323,24,28,2278,5311,920,870,1193,1674,223,238,72,376,13,37,36,7,8,4,3,5,3,0
NL_0079,Kollumerland en Nieuwkruisland,9992,7256,22,16,1787,1244,745,213,670,1529,64,116,593,82,124,11,11,3,12,7,3,3,3,0
NL_0588,Korendijk,8351,6772,5,3,1014,1889,424,301,708,557,89,110,291,100,1242,10,16,7,2,2,2,0,2,0
NL_0542,Krimpen aan den IJssel,22097,17338,42,16,3494,4378,954,977,1842,1181,263,309,1159,258,2372,21,35,12,10,7,0,2,6,0
NL_1659,Laarbeek,16770,12478,26,12,2317,3713,2023,755,1445,1493,152,145,37,260,6,15,39,19,11,7,2,0,2,0
NL_1685,Landerd,11629,9165,17,10,1587,2851,1604,570,861,1177,111,91,26,197,4,10,24,9,7,2,3,2,3,0
NL_0882,Landgraaf,30360,21012,34,58,5125,3460,3604,930,4813,1451,308,472,106,451,18,58,67,27,17,5,2,2,5,0
NL_0415,Landsmeer,8090,6490,10,13,1610,2362,473,595,638,247,148,144,45,145,21,6,19,3,4,5,0,2,0,0
NL_0416,Langedijk,20384,16158,34,16,3351,5580,1300,1178,1429,1546,396,333,428,359,47,50,48,21,21,12,4,2,3,0
NL_1621,Lansingerland,40229,32349,54,48,4992,13328,1436,2478,3154,2970,473,579,1671,548,379,39,100,45,26,11,6,4,8,0
NL_0417,Laren,8578,7074,9,4,933,3857,297,685,362,480,123,134,36,106,9,10,15,0,5,6,0,3,0,0
NL_0022,Leek,14906,11527,23,21,3794,2271,1051,623,773,1245,234,166,942,154,139,31,32,5,8,6,4,4,4,0
NL_0545,Leerdam,15470,11344,19,13,2615,2864,757,469,1283,1026,131,163,783,152,1002,20,23,3,5,2,12,2,2,0
NL_0080,Leeuwarden,74187,54636,112,96,22341,8778,6157,3706,4005,3835,1313,1151,1809,616,203,128,250,37,52,28,6,6,7,0
NL_0081,Leeuwarderadeel,8046,6425,8,4,2481,1132,647,305,400,921,86,91,235,56,24,12,14,2,4,0,2,2,2,0
NL_0546,Leiden,89270,69401,186,174,20845,14204,5936,10546,6180,2733,3364,2001,1303,969,243,124,408,61,31,42,17,19,15,0
NL_0547,Leiderdorp,20309,16330,53,30,3975,5202,1099,1767,1372,1165,430,338,317,324,167,14,46,9,10,7,2,2,2,0
NL_1916,Leidschendam-Voorburg,55323,42984,119,62,8781,14689,2644,4750,4178,3394,946,1136,700,1063,174,77,158,49,22,18,4,16,4,0
NL_0995,Lelystad,55419,38302,100,62,9790,10254,3728,2142,5624,1858,695,939,1324,1040,290,110,202,37,59,17,9,5,17,0
NL_0082,Lemsterland,10221,7908,22,12,1980,2448,698,431,714,935,91,102,211,119,67,27,20,17,12,0,0,7,7,0
NL_1640,Leudal,28482,20706,32,55,3398,5968,2558,1314,3261,2627,362,300,90,533,30,55,46,25,19,7,22,4,0,0
NL_0327,Leusden,22254,18489,31,29,3555,6555,1074,1716,1063,1831,525,306,984,332,350,50,44,11,5,11,4,7,6,0
NL_0694,Liesveld,7242,5968,10,8,853,1542,256,171,408,761,49,53,870,86,884,5,5,2,3,2,0,0,0,0
